ObjectID;DateTime;P_in;T_in;Qh
10080;2021-01-01 00:00:00;48,76;-2,35;5,302
10080;2021-01-01 02:00:00;48,78;-2,39;5,246
10080;2021-01-01 04:00:00;48,78;-2,46;5,249
10080;2021-01-01 06:00:00;48,78;-2,48;5,249
10080;2021-01-01 08:00:00;48,78;-2,53;5,251
10080;2021-01-01 10:00:00;48,76;-2,56;5,427
10080;2021-01-01 12:00:00;48,75;-2,18;5,474
10080;2021-01-01 14:00:00;48,71;-1,71;5,455
10080;2021-01-01 16:00:00;49,08;-2,54;5,467
10080;2021-01-01 18:00:00;49,11;-2,52;5,471
10080;2021-01-01 20:00:00;49,64;-2,4;5,472
10080;2021-01-01 22:00:00;49,7;-2,49;5,42
10080;2021-01-02 00:00:00;49,72;-2,52;5,364
10080;2021-01-02 02:00:00;49,73;-2,58;5,366
10080;2021-01-02 04:00:00;49,73;-2,65;5,368
10080;2021-01-02 06:00:00;49,85;-2,69;5,445
10080;2021-01-02 08:00:00;50,15;-2,68;5,482
10080;2021-01-02 10:00:00;50,13;-2,7;5,542
10080;2021-01-02 12:00:00;50,1;-2,74;5,601
10080;2021-01-02 14:00:00;50,58;-2,75;5,538
10080;2021-01-02 16:00:00;51,04;-2,72;5,594
10080;2021-01-02 18:00:00;51,5;-2,66;5,521
10080;2021-01-02 20:00:00;51,44;-2,51;5,509
10080;2021-01-02 22:00:00;51,34;-2,51;5,497
10080;2021-01-03 00:00:00;51,35;-2,52;5,498
10080;2021-01-03 02:00:00;51,4;-2,5;5,442
10080;2021-01-03 04:00:00;51,49;-2,46;5,387
10080;2021-01-03 06:00:00;51,49;-2,39;5,511
10080;2021-01-03 08:00:00;52,02;-2,3;5,508
10080;2021-01-03 10:00:00;52,02;-2,25;5,57
10080;2021-01-03 12:00:00;52,03;4;5,497
10080;2021-01-03 14:00:00;52,02;-1,92;5,496
10080;2021-01-03 16:00:00;52,03;-1,96;5,563
10080;2021-01-03 18:00:00;52,03;-2;5,562
10080;2021-01-03 20:00:00;52,03;-2,04;5,566
10080;2021-01-03 22:00:00;52,06;-2,12;5,507
10080;2021-01-04 00:00:00;52,09;-2,23;5,386
10080;2021-01-04 02:00:00;52,12;-2,31;5,393
10080;2021-01-04 04:00:00;52,13;-2,35;5,393
10080;2021-01-04 06:00:00;52,1;-2,43;5,393
10080;2021-01-04 08:00:00;52,09;-2,46;5,393
10080;2021-01-04 10:00:00;52,48;-2,4;5,567
10080;2021-01-04 12:00:00;52,45;-2,27;5,559
10080;2021-01-04 14:00:00;52,4;-2,25;5,551
10080;2021-01-04 16:00:00;52,39;-2,4;5,555
10080;2021-01-04 18:00:00;52,39;-2,45;5,556
10080;2021-01-04 20:00:00;52,38;-2,2;5,548
10080;2021-01-04 22:00:00;52,36;-2,42;5,553
10080;2021-01-05 00:00:00;52,39;-2,43;5,492
10080;2021-01-05 02:00:00;52,46;-2,51;5,438
10080;2021-01-05 04:00:00;52,5;-2,51;5,507
10080;2021-01-05 06:00:00;52,5;-2,52;5,508
10080;2021-01-05 08:00:00;52,49;-2,55;5,572
10080;2021-01-05 10:00:00;52,91;-2,52;5,687
10080;2021-01-05 12:00:00;52,92;-2,23;5,287
10080;2021-01-05 14:00:00;52,94;-2,35;5,49
10080;2021-01-05 16:00:00;52,91;-2,37;5,682
10080;2021-01-05 18:00:00;52,89;-2,33;5,614
10080;2021-01-05 20:00:00;52,89;-1,93;5,665
10080;2021-01-05 22:00:00;52,53;-2,29;5,634
10080;2021-01-06 00:00:00;52,4;-2,33;5,619
10080;2021-01-06 02:00:00;52,45;-2,32;5,56
