ObjectID;DateTime;P_in;T_in;Qh
10370;2021-01-01 08:00:00;46,5;4;23,3
10370;2021-01-01 12:00:00;46;4;23,4
10370;2021-01-01 20:00:00;46;4;23,4
10370;2021-01-02 08:00:00;47,7;4;22,5
10370;2021-01-02 12:00:00;47,7;4;22,48
10370;2021-01-02 20:00:00;48,8;4;23,45
10370;2021-01-03 08:00:00;48,4;4;23,42
10370;2021-01-03 12:00:00;48;4;23,444
10370;2021-01-03 20:00:00;48,9;3;23,46
10370;2021-01-04 08:00:00;49;4;23,41
10370;2021-01-04 12:00:00;49,2;4;23,42
10370;2021-01-04 20:00:00;49;3;23,5
10370;2021-01-05 08:00:00;49;3;23,5
10370;2021-01-05 12:00:00;49;3;21,37
10370;2021-01-05 20:00:00;49,4;3;23,45
10370;2021-01-06 08:00:00;49,1;3;23,26
10370;2021-01-06 12:00:00;48,9;3;23,4
10370;2021-01-06 20:00:00;48,2;3;23,27
10370;2021-01-07 08:00:00;47;3;23,3
10370;2021-01-07 12:00:00;47;3;23,3
10370;2021-01-07 20:00:00;47,5;3;21,1
10370;2021-01-08 08:00:00;47,9;3;21,18
10370;2021-01-08 12:00:00;48;3;21,13
10370;2021-01-08 20:00:00;48;3;21,14
10370;2021-01-09 08:00:00;48;3;15,15
10370;2021-01-09 12:00:00;48;3;19,1
10370;2021-01-09 20:00:00;48;3;21,29
10370;2021-01-10 08:00:00;48,2;3;19,18
10370;2021-01-10 12:00:00;48,3;3;19,14
10370;2021-01-10 20:00:00;48;3;21,2
10370;2021-01-11 08:00:00;48;3;21,3
10370;2021-01-11 12:00:00;48;3;21,286
10370;2021-01-11 20:00:00;48,8;7;21,18
10370;2021-01-12 08:00:00;48,8;3;17,03
10370;2021-01-12 12:00:00;48,9;3;18,5
10370;2021-01-12 20:00:00;48,9;3;18,5
10370;2021-01-13 08:00:00;48,9;3;24,8
10370;2021-01-13 12:00:00;48,9;3;23,3
10370;2021-01-13 20:00:00;48,5;3;24,4
10370;2021-01-14 08:00:00;48,6;3;19,6
10370;2021-01-14 12:00:00;48,5;3;18,35
10370;2021-01-14 20:00:00;48,5;3;23,8
10370;2021-01-15 08:00:00;48,6;3;24,2
10370;2021-01-15 12:00:00;48,7;3;25,609
10370;2021-01-15 20:00:00;49,2;3;28,85
10370;2021-01-16 08:00:00;49,2;3;28
10370;2021-01-16 12:00:00;49,6;3;26,823
10370;2021-01-16 20:00:00;50;2;31,1
10370;2021-01-17 08:00:00;50;2;31
10370;2021-01-17 12:00:00;50;2;28,9
10370;2021-01-17 20:00:00;49,6;2;18,27
10370;2021-01-18 08:00:00;49,5;3;26,9
10370;2021-01-18 12:00:00;49,5;3;24,99
10370;2021-01-18 20:00:00;49,9;3;29,43
10370;2021-01-19 08:00:00;50,1;3;21,25
10370;2021-01-19 12:00:00;50,1;3;14,221
10370;2021-01-19 20:00:00;50,5;3;12,37
10370;2021-01-20 08:00:00;50,6;3;13,99
10370;2021-01-20 12:00:00;50,6;3;14,22
10370;2021-01-20 20:00:00;50,5;3;14,6
10370;2021-01-21 08:00:00;50,5;3;26,57
10370;2021-01-21 12:00:00;50;3;27,95
10370;2021-01-21 20:00:00;50,3;3;27,9
10370;2021-01-22 08:00:00;50,3;3;28,048
10370;2021-01-22 12:00:00;50;3;29,08
10370;2021-01-22 20:00:00;50,4;3;28,46
10370;2021-01-23 08:00:00;50,4;3;29,2
10370;2021-01-23 12:00:00;49,9;3;29,657
10370;2021-01-23 20:00:00;49,8;3;29,93
10370;2021-01-24 08:00:00;49,9;2;30,4
10370;2021-01-24 12:00:00;50;2;31,87
10370;2021-01-24 20:00:00;50,4;2;29,788
10370;2021-01-25 08:00:00;50;3;27,3
10370;2021-01-25 12:00:00;50;3;30,8
10370;2021-01-25 20:00:00;50;3;31,75
10370;2021-01-26 08:00:00;50;3;30,66
10370;2021-01-26 12:00:00;49,7;3;29,86
10370;2021-01-26 20:00:00;49,7;3;29,79
10370;2021-01-27 08:00:00;50;3;30,43
10370;2021-01-27 12:00:00;50;5;28,154
10370;2021-01-27 20:00:00;50;3;28,44
10370;2021-01-28 08:00:00;50;3;32,04
10370;2021-01-28 12:00:00;49,9;3;32,12
10370;2021-01-28 20:00:00;49,8;3;30,522
10370;2021-01-29 08:00:00;49,9;3;30,28
10370;2021-01-29 12:00:00;49,9;3;32,95
10370;2021-01-29 20:00:00;49,9;3;32,25
10370;2021-01-30 08:00:00;50;3;30,46
10370;2021-01-30 12:00:00;49,9;3;29,99
10370;2021-01-30 20:00:00;50;3;31,18
10370;2021-01-31 08:00:00;50,1;3;28,39
10370;2021-01-31 12:00:00;50;3;31,85
10370;2021-01-31 20:00:00;50,1;3;30,05
10370;2021-02-01 08:00:00;50,1;3;30,78
10370;2021-02-01 12:00:00;50,1;3;31,32
10370;2021-02-01 20:00:00;50,1;3;31,32
10370;2021-02-02 08:00:00;50;3;30,371
10370;2021-02-02 12:00:00;50;3;31,15
10370;2021-02-02 20:00:00;50;3;30,35
10370;2021-02-03 08:00:00;50,2;3;29,99
10370;2021-02-03 12:00:00;50,3;4;32,53
10370;2021-02-03 20:00:00;50,3;3;29,71
10370;2021-02-04 08:00:00;50,3;3;29,71
