ObjectID;DateTime;P_in;T_in;Qh
9510;2021-01-01 06:00:00;35,1;NULL;3,337
9510;2021-01-01 12:00:00;35,1;-1;3,421
9510;2021-01-01 14:00:00;NULL;NULL;3,436
9510;2021-01-01 18:00:00;35,1;NULL;3,501
9510;2021-01-02 06:00:00;NULL;NULL;3,383
9510;2021-01-02 12:00:00;35,1;-1;3,512
9510;2021-01-02 14:00:00;NULL;NULL;3,561
9510;2021-01-02 18:00:00;35,1;NULL;3,517
9510;2021-01-03 06:00:00;35,1;NULL;3,367
9510;2021-01-03 12:00:00;35,2;-1;3,547
9510;2021-01-03 14:00:00;NULL;NULL;3,451
9510;2021-01-03 18:00:00;35,2;NULL;3,523
9510;2021-01-04 06:00:00;35,2;NULL;3,258
9510;2021-01-04 12:00:00;35,1;-1;3,667
9510;2021-01-04 14:00:00;NULL;NULL;3,659
9510;2021-01-04 18:00:00;NULL;NULL;3,668
9510;2021-01-05 06:00:00;35,1;NULL;3,438
9510;2021-01-05 12:00:00;35,1;-1;3,645
9510;2021-01-05 14:00:00;NULL;NULL;3,635
9510;2021-01-05 18:00:00;35,1;NULL;3,613
9510;2021-01-06 06:00:00;35,1;NULL;3,376
9510;2021-01-06 12:00:00;35,1;-1;3,78
9510;2021-01-06 14:00:00;NULL;NULL;3,711
9510;2021-01-06 18:00:00;35,1;NULL;3,875
9510;2021-01-07 06:00:00;35,1;NULL;3,664
9510;2021-01-07 12:00:00;35,1;-2;3,9
9510;2021-01-07 14:00:00;NULL;NULL;3,863
9510;2021-01-07 18:00:00;35,1;NULL;3,848
9510;2021-01-08 06:00:00;35,1;NULL;3,619
9510;2021-01-08 12:00:00;35,1;-2;3,826
9510;2021-01-08 14:00:00;NULL;NULL;3,573
9510;2021-01-08 18:00:00;NULL;NULL;3,817
9510;2021-01-09 06:00:00;35,1;NULL;3,692
9510;2021-01-09 12:00:00;35,1;-2;3,81
9510;2021-01-09 14:00:00;NULL;NULL;3,722
9510;2021-01-09 18:00:00;35,1;NULL;3,782
9510;2021-01-10 06:00:00;NULL;NULL;3,586
9510;2021-01-10 12:00:00;35,1;-2;3,817
9510;2021-01-10 14:00:00;NULL;NULL;3,857
9510;2021-01-10 18:00:00;35,1;NULL;4,04
9510;2021-01-11 06:00:00;35,1;NULL;3,714
