ObjectID;DateTime;P_in;T_in;Qh
9610;2021-01-01 06:00:00;30,2;1,23;60,404
9610;2021-01-01 08:00:00;30,2;1,23;60,328
9610;2021-01-01 12:00:00;30,3;1,22;60,948
9610;2021-01-01 16:00:00;30,2;1,18;62,399
9610;2021-01-01 18:00:00;30,2;1,2;61,232
9610;2021-01-01 20:00:00;30,3;NULL;62
9610;2021-01-02 06:00:00;30,1;1,15;63,185
9610;2021-01-02 08:00:00;30,1;1,12;64,785
9610;2021-01-02 12:00:00;29,9;1,05;67,796
9610;2021-01-02 16:00:00;29,9;1,07;66,856
9610;2021-01-02 18:00:00;29,8;1,05;67,231
9610;2021-01-02 20:00:00;29,8;1,06;66,32
9610;2021-01-03 06:00:00;29,8;1,07;65,733
9610;2021-01-03 08:00:00;29,8;1,02;67,697
9610;2021-01-03 12:00:00;29,7;0,98;68,511
9610;2021-01-03 16:00:00;29,7;0,98;67,721
9610;2021-01-03 18:00:00;29,6;0,95;69,568
9610;2021-01-03 20:00:00;29,6;0,98;67,102
9610;2021-01-04 06:00:00;29,8;1,02;65,304
9610;2021-01-04 08:00:00;29,7;1;66,107
9610;2021-01-04 12:00:00;29,6;0,94;69,037
9610;2021-01-04 16:00:00;29,5;0,93;69,154
9610;2021-01-04 18:00:00;29,5;0,92;68,903
9610;2021-01-04 20:00:00;29,5;0,96;66,917
9610;2021-01-05 06:00:00;29,7;1,04;63,151
9610;2021-01-05 08:00:00;29,6;1;64,258
9610;2021-01-05 12:00:00;29,5;0,96;66,095
9610;2021-01-05 16:00:00;29,5;0,95;66,365
9610;2021-01-05 18:00:00;29,5;0,96;65,96
9610;2021-01-05 20:00:00;29,5;1,01;63,625
9610;2021-01-06 06:00:00;29,6;0,99;63,986
9610;2021-01-06 08:00:00;29,5;0,93;65,851
9610;2021-01-06 12:00:00;29,2;0,82;70,45
9610;2021-01-06 16:00:00;29,1;0,84;69,199
9610;2021-01-06 18:00:00;29;0,85;67,606
9610;2021-01-06 20:00:00;29;0,84;68,89
9610;2021-01-07 06:00:00;29;0,84;67,392
9610;2021-01-07 08:00:00;29;0,82;68,037
9610;2021-01-07 12:00:00;28,8;0,75;70,989
9610;2021-01-07 16:00:00;28,9;0,77;70,071
9610;2021-01-07 18:00:00;28,9;0,81;68,505
9610;2021-01-07 20:00:00;29;0,87;65,913
9610;2021-01-08 06:00:00;28,8;0,74;70,232
9610;2021-01-08 08:00:00;28,8;0,72;71,135
9610;2021-01-08 12:00:00;28,7;0,72;71,588
9610;2021-01-08 16:00:00;29;0,8;68,174
9610;2021-01-08 18:00:00;29,1;0,84;65,667
9610;2021-01-08 20:00:00;29,2;0,85;65,193
9610;2021-01-09 06:00:00;29,7;0,96;61,327
9610;2021-01-09 08:00:00;29,6;0,92;62,854
9610;2021-01-09 12:00:00;29,5;0,85;65,68
9610;2021-01-09 16:00:00;29,6;0,85;64,752
9610;2021-01-09 18:00:00;29,5;0,85;64,847
9610;2021-01-09 20:00:00;29,6;0,87;63,508
9610;2021-01-10 06:00:00;27,7;0,87;64,337
9610;2021-01-10 08:00:00;29,6;0,81;65,9
9610;2021-01-10 12:00:00;29,3;0,72;69,298
