ObjectID;DateTime;P_in;T_in;Qh
9620;2021-01-01 06:00:00;30,2;NULL;0,535
9620;2021-01-01 12:00:00;31;NULL;0,523
9620;2021-01-01 14:00:00;NULL;NULL;0,517
9620;2021-01-01 18:00:00;31;NULL;0,503
9620;2021-01-02 06:00:00;NULL;NULL;0,525
9620;2021-01-02 12:00:00;30,7;NULL;0,533
9620;2021-01-02 14:00:00;NULL;NULL;0,495
9620;2021-01-02 18:00:00;30,7;NULL;0,53
9620;2021-01-03 06:00:00;30,7;NULL;0,547
9620;2021-01-03 12:00:00;30,6;NULL;0,531
9620;2021-01-03 14:00:00;NULL;NULL;0,544
9620;2021-01-03 18:00:00;30,6;NULL;0,506
9620;2021-01-04 06:00:00;30,6;NULL;0,539
9620;2021-01-04 12:00:00;30,4;NULL;0,513
9620;2021-01-04 14:00:00;NULL;NULL;0,524
9620;2021-01-04 18:00:00;NULL;NULL;0,539
9620;2021-01-05 06:00:00;30,4;NULL;0,495
9620;2021-01-05 12:00:00;30,3;NULL;0,502
9620;2021-01-05 14:00:00;NULL;NULL;0,503
9620;2021-01-05 18:00:00;30,3;NULL;0,539
9620;2021-01-06 06:00:00;30,3;NULL;0,553
9620;2021-01-06 12:00:00;30,2;NULL;0,545
9620;2021-01-06 14:00:00;NULL;NULL;0,5
9620;2021-01-06 18:00:00;30;NULL;0,558
9620;2021-01-07 06:00:00;30;NULL;0,555
9620;2021-01-07 12:00:00;30;NULL;0,553
9620;2021-01-07 14:00:00;NULL;NULL;0,514
9620;2021-01-07 18:00:00;30;NULL;0,562
9620;2021-01-08 06:00:00;30;NULL;0,551
9620;2021-01-08 12:00:00;30;NULL;0,538
9620;2021-01-08 14:00:00;NULL;NULL;0,524
9620;2021-01-08 18:00:00;NULL;NULL;0,53
9620;2021-01-09 06:00:00;30;NULL;0,543
9620;2021-01-09 12:00:00;30,2;NULL;0,493
9620;2021-01-09 14:00:00;NULL;NULL;0,474
9620;2021-01-09 18:00:00;30,2;NULL;0,467
9620;2021-01-10 06:00:00;NULL;NULL;0,507
9620;2021-01-10 12:00:00;30,2;NULL;0,521
9620;2021-01-10 14:00:00;NULL;NULL;0,577
9620;2021-01-10 18:00:00;30;NULL;0,583
9620;2021-01-11 06:00:00;30;NULL;0,57
9620;2021-01-11 12:00:00;30;NULL;0,585
9620;2021-01-11 14:00:00;NULL;NULL;0,574
9620;2021-01-11 18:00:00;29,8;NULL;0,614
9620;2021-01-12 06:00:00;29,5;NULL;0,56
9620;2021-01-12 12:00:00;29,8;NULL;0,558
9620;2021-01-12 14:00:00;NULL;NULL;0,553
9620;2021-01-12 18:00:00;30,2;NULL;0,569
9620;2021-01-13 06:00:00;31,2;NULL;0,62
9620;2021-01-13 12:00:00;31,2;NULL;0,576
9620;2021-01-13 14:00:00;NULL;NULL;0,593
9620;2021-01-13 18:00:00;31;NULL;0,652
9620;2021-01-14 06:00:00;30,8;NULL;0,643
9620;2021-01-14 12:00:00;30,5;NULL;0,642
9620;2021-01-14 14:00:00;NULL;NULL;0,578
9620;2021-01-14 18:00:00;30,5;NULL;0,585
9620;2021-01-15 06:00:00;31,8;NULL;0,572
9620;2021-01-15 12:00:00;31,8;NULL;0,52
9620;2021-01-15 14:00:00;NULL;NULL;0,568
9620;2021-01-15 18:00:00;30,2;NULL;0,586
9620;2021-01-16 06:00:00;30,2;NULL;0,526
9620;2021-01-16 12:00:00;30,2;NULL;0,494
9620;2021-01-16 14:00:00;NULL;NULL;0,54
9620;2021-01-16 18:00:00;NULL;NULL;0,515
9620;2021-01-17 06:00:00;30,2;NULL;0,493
9620;2021-01-17 12:00:00;30,2;NULL;0,497
9620;2021-01-17 14:00:00;NULL;NULL;0,536
9620;2021-01-17 18:00:00;30,2;NULL;0,567
9620;2021-01-18 06:00:00;29,8;NULL;0,595
9620;2021-01-18 12:00:00;29,5;NULL;0,565
9620;2021-01-18 14:00:00;NULL;NULL;0,562
9620;2021-01-18 18:00:00;30;NULL;0,619
9620;2021-01-19 06:00:00;30;NULL;0,565
9620;2021-01-19 12:00:00;30;NULL;0,557
9620;2021-01-19 14:00:00;NULL;NULL;0,569
9620;2021-01-19 18:00:00;30,2;NULL;0,549
9620;2021-01-20 06:00:00;30,6;NULL;0,562
9620;2021-01-20 12:00:00;30,8;NULL;0,557
9620;2021-01-20 14:00:00;NULL;NULL;0,503
9620;2021-01-20 18:00:00;30,6;NULL;0,58
9620;2021-01-21 06:00:00;30,3;NULL;0,546
9620;2021-01-21 12:00:00;30,2;NULL;0,555
9620;2021-01-21 14:00:00;NULL;NULL;0,576
9620;2021-01-21 18:00:00;30,2;NULL;0,584
9620;2021-01-22 06:00:00;30,3;NULL;0,597
9620;2021-01-22 12:00:00;30,3;NULL;0,527
9620;2021-01-22 14:00:00;NULL;NULL;0,548
9620;2021-01-22 18:00:00;30,5;NULL;0,595
9620;2021-01-23 06:00:00;30;NULL;0,633
9620;2021-01-23 12:00:00;30;NULL;0,62
9620;2021-01-23 14:00:00;NULL;NULL;0,599
9620;2021-01-23 18:00:00;30;NULL;0,63
9620;2021-01-24 06:00:00;30;NULL;0,56
9620;2021-01-24 12:00:00;30;-2;0,552
9620;2021-01-24 14:00:00;NULL;NULL;0,5
9620;2021-01-24 18:00:00;30;NULL;0,57
9620;2021-01-25 06:00:00;30;NULL;0,478
9620;2021-01-25 12:00:00;31,5;NULL;0,47
9620;2021-01-25 18:00:00;31;NULL;0,43
9620;2021-01-26 06:00:00;31;NULL;0,45
9620;2021-01-26 12:00:00;31;NULL;0,46
9620;2021-01-26 18:00:00;31,3;NULL;0,41
9620;2021-01-27 06:00:00;31,3;NULL;0,4
9620;2021-01-27 12:00:00;31,3;NULL;0,4
9620;2021-01-27 18:00:00;31,4;NULL;0,4
9620;2021-01-28 06:00:00;31,4;NULL;0,49
9620;2021-01-28 12:00:00;31;NULL;0,5
9620;2021-01-28 18:00:00;31;NULL;0,49
9620;2021-01-29 06:00:00;31;NULL;0,48
9620;2021-01-29 12:00:00;31;NULL;0,49
9620;2021-01-29 18:00:00;31;NULL;0,5
9620;2021-01-30 06:00:00;31,2;NULL;0,44
9620;2021-01-30 12:00:00;31,6;NULL;0,44
9620;2021-01-30 18:00:00;31,6;NULL;0,44
9620;2021-01-31 06:00:00;31,6;NULL;0,44
9620;2021-01-31 12:00:00;31,6;NULL;0,44
9620;2021-01-31 18:00:00;31,6;NULL;0,44
9620;2021-02-01 06:00:00;31,4;NULL;0,45
9620;2021-02-01 12:00:00;31,5;NULL;0,48
9620;2021-02-01 18:00:00;31,5;NULL;0,47
9620;2021-02-02 06:00:00;31,6;NULL;0,49
9620;2021-02-02 12:00:00;31,7;NULL;0,46
9620;2021-02-02 18:00:00;31,8;NULL;0,47
9620;2021-02-03 06:00:00;32;NULL;0,47
9620;2021-02-03 12:00:00;31,4;NULL;0,45
9620;2021-02-03 18:00:00;30,5;NULL;0,47
9620;2021-02-04 06:00:00;30;NULL;0,52
9620;2021-02-04 12:00:00;30;NULL;0,5
9620;2021-02-04 18:00:00;30;NULL;0,48
9620;2021-02-05 06:00:00;30,2;NULL;0,46
9620;2021-02-05 12:00:00;30,3;NULL;0,43
9620;2021-02-05 18:00:00;30,3;NULL;0,45
9620;2021-02-06 06:00:00;30,6;NULL;0,4
9620;2021-02-06 12:00:00;30,6;NULL;0,42
9620;2021-02-06 18:00:00;30,6;NULL;0,42
9620;2021-02-07 06:00:00;NULL;NULL;0,42
9620;2021-02-07 12:00:00;29;NULL;0,45
9620;2021-02-07 18:00:00;28;NULL;0,45
9620;2021-02-08 06:00:00;28,3;NULL;0,52
9620;2021-02-08 12:00:00;28,7;NULL;0,68
9620;2021-02-08 14:00:00;NULL;NULL;0
9620;2021-02-08 18:00:00;30;NULL;0
9620;2021-02-09 06:00:00;30;NULL;0,6
9620;2021-02-09 12:00:00;30;NULL;0,6
9620;2021-02-09 18:00:00;30;NULL;NULL
9620;2021-02-10 06:00:00;30;NULL;0,6
9620;2021-02-10 12:00:00;30;NULL;0,65
9620;2021-02-10 18:00:00;30;NULL;0,63
9620;2021-02-11 06:00:00;30;NULL;NULL
9620;2021-02-11 12:00:00;30;NULL;0,6
9620;2021-02-11 18:00:00;30,2;NULL;0,58
9620;2021-02-12 06:00:00;30,3;NULL;0,6
9620;2021-02-12 12:00:00;30,2;NULL;0,6
9620;2021-02-12 18:00:00;30,3;NULL;0,55
