ObjectID;DateTime;P_in;T_in;Qh
9660;2021-01-01 06:00:00;29,5;1,95;49,312
9660;2021-01-01 08:00:00;NULL;1,95;49,738
9660;2021-01-01 12:00:00;30;1,96;48,679
9660;2021-01-01 16:00:00;NULL;1,93;50,293
9660;2021-01-01 18:00:00;30;1,93;50,58
9660;2021-01-01 20:00:00;NULL;1,94;49,219
9660;2021-01-02 06:00:00;29,5;1,89;52,084
9660;2021-01-02 08:00:00;NULL;1,9;50,423
9660;2021-01-02 12:00:00;29,5;1,87;50,945
9660;2021-01-02 16:00:00;NULL;1,86;52,056
9660;2021-01-02 18:00:00;29,5;1,85;52,008
9660;2021-01-02 20:00:00;NULL;1,85;51,625
9660;2021-01-03 06:00:00;29,5;1,82;52,508
9660;2021-01-03 08:00:00;NULL;1,82;52,228
9660;2021-01-03 12:00:00;29,5;1,8;53,083
9660;2021-01-03 16:00:00;NULL;1,8;53,431
9660;2021-01-03 18:00:00;29;1,81;52,675
9660;2021-01-03 20:00:00;NULL;1,78;54,471
9660;2021-01-04 06:00:00;29;1,72;56,644
9660;2021-01-04 08:00:00;NULL;1,72;55,964
9660;2021-01-04 12:00:00;29;1,66;59,168
9660;2021-01-04 16:00:00;NULL;1,65;59,974
9660;2021-01-04 18:00:00;29;1,64;60,185
9660;2021-01-04 20:00:00;NULL;1,64;60,091
9660;2021-01-05 06:00:00;29;1,64;59,652
9660;2021-01-05 08:00:00;NULL;1,63;59,54
9660;2021-01-05 12:00:00;29;1,62;59,987
9660;2021-01-05 16:00:00;NULL;1,62;60,121
9660;2021-01-05 18:00:00;28,5;1,61;59,671
9660;2021-01-05 20:00:00;NULL;1,6;60,878
9660;2021-01-06 06:00:00;29;1,59;60
9660;2021-01-06 08:00:00;NULL;1,56;61,057
9660;2021-01-06 12:00:00;28,5;1,54;61,136
9660;2021-01-06 16:00:00;NULL;1,55;60,672
9660;2021-01-06 18:00:00;28,5;1,52;62,069
9660;2021-01-06 20:00:00;NULL;1,53;61,06
9660;2021-01-07 06:00:00;28,5;1,5;62,244
9660;2021-01-07 08:00:00;NULL;1,48;62,773
9660;2021-01-07 12:00:00;28;1,42;65,05
9660;2021-01-07 16:00:00;NULL;1,44;64,524
9660;2021-01-07 18:00:00;28;1,44;64,528
9660;2021-01-07 20:00:00;NULL;1,51;60,685
9660;2021-01-08 06:00:00;28;1,43;63,604
9660;2021-01-08 08:00:00;NULL;1,41;64,079
9660;2021-01-08 12:00:00;28;1,44;62,421
9660;2021-01-08 16:00:00;NULL;1,44;63,455
9660;2021-01-08 18:00:00;28;1,45;62,425
9660;2021-01-08 20:00:00;NULL;1,47;62,221
9660;2021-01-09 06:00:00;29;1,48;62,506
9660;2021-01-09 08:00:00;NULL;1,5;60,72
9660;2021-01-09 12:00:00;28,5;1,49;60,692
9660;2021-01-09 16:00:00;NULL;1,48;61,308
9660;2021-01-09 18:00:00;28,5;1,5;60,726
9660;2021-01-09 20:00:00;NULL;1,5;60,058
9660;2021-01-10 06:00:00;29;1,5;59,664
9660;2021-01-10 08:00:00;NULL;1,48;60,051
9660;2021-01-10 12:00:00;28,5;1,46;59,924
9660;2021-01-10 16:00:00;NULL;1,41;61,203
9660;2021-01-10 18:00:00;28;1,41;60,994
9660;2021-01-10 20:00:00;NULL;1,41;61,197
9660;2021-01-11 06:00:00;28;1,38;61,901
9660;2021-01-11 08:00:00;NULL;1,38;61,78
9660;2021-01-11 12:00:00;27,5;1,33;62,845
9660;2021-01-11 16:00:00;NULL;1,33;62,397
9660;2021-01-11 18:00:00;27,5;1,32;62
9660;2021-01-11 20:00:00;NULL;1,32;61,981
9660;2021-01-12 06:00:00;27;1,26;63,72
9660;2021-01-12 08:00:00;NULL;1,25;64,629
9660;2021-01-12 12:00:00;27;1,31;63
9660;2021-01-12 16:00:00;NULL;1,34;62,716
9660;2021-01-12 18:00:00;28,5;1,37;62,444
9660;2021-01-12 20:00:00;NULL;1,37;62,027
9660;2021-01-13 06:00:00;29;1,31;63,355
9660;2021-01-13 08:00:00;NULL;1,28;62,541
9660;2021-01-13 12:00:00;29;1,29;62,448
9660;2021-01-13 16:00:00;NULL;1,25;64,529
9660;2021-01-13 18:00:00;28,5;1,22;65,54
9660;2021-01-13 20:00:00;NULL;1,22;64,738
9660;2021-01-14 06:00:00;28,5;1,17;66,381
9660;2021-01-14 08:00:00;NULL;1,15;66,463
9660;2021-01-14 12:00:00;28;1,13;67,079
9660;2021-01-14 16:00:00;NULL;1,23;62,184
9660;2021-01-14 18:00:00;28,5;1,22;63,621
9660;2021-01-14 20:00:00;NULL;1,22;64,076
9660;2021-01-15 06:00:00;30;1,35;60,449
9660;2021-01-15 08:00:00;NULL;1,36;59,227
9660;2021-01-15 12:00:00;30;1,4;56,864
9660;2021-01-15 16:00:00;NULL;1,31;59,447
9660;2021-01-15 18:00:00;28,5;1,28;60,671
9660;2021-01-15 20:00:00;NULL;1,26;61,38
9660;2021-01-16 06:00:00;28,5;1,31;60,417
9660;2021-01-16 08:00:00;NULL;1,3;60,538
9660;2021-01-16 12:00:00;28,5;1,32;59,693
9660;2021-01-16 16:00:00;NULL;1,34;59,164
9660;2021-01-16 18:00:00;28,5;1,35;58,264
9660;2021-01-16 20:00:00;NULL;1,31;60,048
9660;2021-01-17 06:00:00;28,5;1,29;60,668
9660;2021-01-17 08:00:00;NULL;1,29;60,709
9660;2021-01-17 12:00:00;28,5;1,28;59,904
9660;2021-01-17 16:00:00;NULL;1,24;60,598
9660;2021-01-17 18:00:00;28;1,2;62,037
9660;2021-01-17 20:00:00;NULL;1,22;59,875
9660;2021-01-18 06:00:00;27,5;1,13;63,922
9660;2021-01-18 08:00:00;NULL;1,06;66,946
9660;2021-01-18 12:00:00;27,5;1,05;66,063
9660;2021-01-18 16:00:00;NULL;1,24;60,029
9660;2021-01-18 18:00:00;28;1,2;61
9660;2021-01-18 20:00:00;NULL;1,2;61,442
9660;2021-01-19 06:00:00;28;1,11;64,017
9660;2021-01-19 08:00:00;NULL;1,11;64,013
9660;2021-01-19 12:00:00;28;1,12;63,918
9660;2021-01-19 16:00:00;NULL;1,15;63,262
9660;2021-01-19 18:00:00;28,5;1,18;61,766
9660;2021-01-19 20:00:00;NULL;1,18;61,936
9660;2021-01-20 06:00:00;29;1,22;58,442
9660;2021-01-20 08:00:00;NULL;1,19;59,858
9660;2021-01-20 12:00:00;29;1,18;60,426
9660;2021-01-20 16:00:00;NULL;1,17;61,419
9660;2021-01-20 18:00:00;29;1,13;61,983
9660;2021-01-20 20:00:00;NULL;1,13;60,822
9660;2021-01-21 06:00:00;28,5;1,11;61,787
9660;2021-01-21 08:00:00;NULL;1,08;61,601
9660;2021-01-21 12:00:00;28;1,06;62,565
9660;2021-01-21 16:00:00;NULL;1,11;61,749
9660;2021-01-21 18:00:00;28,5;1,1;61,804
9660;2021-01-21 20:00:00;NULL;1,11;61,462
9660;2021-01-22 06:00:00;29;1,12;61,151
9660;2021-01-22 08:00:00;NULL;1,09;62,433
9660;2021-01-22 12:00:00;28,5;1,1;61,719
9660;2021-01-22 16:00:00;NULL;1,09;62,496
9660;2021-01-22 18:00:00;28,5;1,07;62,788
9660;2021-01-22 20:00:00;NULL;1,08;62,39
9660;2021-01-23 06:00:00;28;1;63,781
