ObjectID;DateTime;P_in;T_in;Qh
9670;2021-01-01 06:00:00;29;NULL;4,9
9670;2021-01-01 12:00:00;29,5;1;4,7
9670;2021-01-01 18:00:00;29,5;NULL;4,7
9670;2021-01-02 06:00:00;29,5;NULL;4,8
9670;2021-01-02 12:00:00;29,5;1;4,8
9670;2021-01-02 18:00:00;29;NULL;5,1
9670;2021-01-03 06:00:00;29;NULL;5,2
9670;2021-01-03 12:00:00;29;1;4,7
9670;2021-01-03 18:00:00;29;NULL;4,9
9670;2021-01-04 06:00:00;29;NULL;4,7
9670;2021-01-04 12:00:00;29;1;4,6
9670;2021-01-04 18:00:00;29;NULL;5,2
9670;2021-01-05 06:00:00;29;NULL;4,7
9670;2021-01-05 12:00:00;29;1;4,7
9670;2021-01-05 18:00:00;29;NULL;5,1
9670;2021-01-06 06:00:00;29;NULL;5,1
9670;2021-01-06 12:00:00;28,5;1;5
9670;2021-01-06 18:00:00;28;NULL;5,2
9670;2021-01-07 06:00:00;28;NULL;5,2
9670;2021-01-07 12:00:00;28;1;5,2
9670;2021-01-07 18:00:00;28;NULL;5,3
9670;2021-01-08 06:00:00;28;NULL;5,1
9670;2021-01-08 12:00:00;28;1;5
9670;2021-01-08 18:00:00;28;NULL;4,8
9670;2021-01-09 06:00:00;28,5;NULL;4,8
9670;2021-01-09 12:00:00;28,5;1;4,8
9670;2021-01-09 18:00:00;29;NULL;5,1
9670;2021-01-10 06:00:00;29;NULL;4,9
9670;2021-01-10 12:00:00;29;1;4,8
9670;2021-01-10 18:00:00;28,5;NULL;5,4
9670;2021-01-11 06:00:00;28;NULL;5,3
9670;2021-01-11 12:00:00;28;1;5,4
9670;2021-01-11 18:00:00;27,5;NULL;5,7
9670;2021-01-12 06:00:00;27;NULL;5,7
9670;2021-01-12 12:00:00;27;1;5,6
9670;2021-01-12 18:00:00;28;NULL;5,7
9670;2021-01-13 06:00:00;29;NULL;5,5
9670;2021-01-13 12:00:00;29;1;5,5
9670;2021-01-13 18:00:00;29;NULL;5,6
9670;2021-01-14 06:00:00;28,5;NULL;5,6
9670;2021-01-14 12:00:00;28,5;1;5,6
9670;2021-01-14 18:00:00;28;NULL;5,6
9670;2021-01-15 06:00:00;30;NULL;5,3
9670;2021-01-15 12:00:00;30;0;5,2
9670;2021-01-15 18:00:00;29;NULL;5
9670;2021-01-16 06:00:00;28;NULL;5,2
9670;2021-01-16 12:00:00;28;0;4,8
9670;2021-01-16 18:00:00;28;NULL;5,1
9670;2021-01-17 06:00:00;28;NULL;5,1
9670;2021-01-17 12:00:00;28,5;0;5,1
9670;2021-01-17 18:00:00;28;NULL;6,1
9670;2021-01-18 06:00:00;28;NULL;5,5
9670;2021-01-18 12:00:00;27;0;5,5
9670;2021-01-18 18:00:00;28;NULL;5,6
9670;2021-01-19 06:00:00;28;NULL;5,4
9670;2021-01-19 12:00:00;28;0;5,5
9670;2021-01-19 18:00:00;28;NULL;5,6
9670;2021-01-20 06:00:00;29;NULL;5,2
9670;2021-01-20 12:00:00;29;0;5,2
9670;2021-01-20 18:00:00;29;NULL;5,4
9670;2021-01-21 06:00:00;28,5;NULL;6
9670;2021-01-21 12:00:00;28;0;5,5
9670;2021-01-21 18:00:00;28;NULL;6,4
9670;2021-01-22 06:00:00;28,5;NULL;5,6
9670;2021-01-22 12:00:00;28,5;0;5,6
9670;2021-01-22 18:00:00;28,5;NULL;5,7
9670;2021-01-23 06:00:00;28;NULL;5,7
9670;2021-01-23 12:00:00;28;0;5,5
9670;2021-01-23 18:00:00;28;NULL;6,1
9670;2021-01-24 06:00:00;28,5;NULL;5,6
9670;2021-01-24 12:00:00;29;0;5,5
9670;2021-01-24 18:00:00;29,5;NULL;5,3
9670;2021-01-25 06:00:00;30;NULL;5
9670;2021-01-25 12:00:00;30;0;4,8
9670;2021-01-25 18:00:00;29,5;NULL;4,8
9670;2021-01-26 06:00:00;29,5;NULL;4,8
9670;2021-01-26 12:00:00;29,5;0;5,1
9670;2021-01-26 18:00:00;29,5;NULL;4,8
9670;2021-01-27 06:00:00;29,5;NULL;4,9
9670;2021-01-27 12:00:00;29,5;0;5
9670;2021-01-27 18:00:00;29,5;NULL;5,1
9670;2021-01-28 06:00:00;30;NULL;4,7
9670;2021-01-28 12:00:00;29,5;0;4,6
9670;2021-01-28 18:00:00;29,5;NULL;4,6
9670;2021-01-29 06:00:00;29,5;NULL;4,1
9670;2021-01-29 12:00:00;29,5;0;4,6
9670;2021-01-29 18:00:00;29,5;NULL;4,7
9670;2021-01-30 06:00:00;30;NULL;4,3
9670;2021-01-30 12:00:00;30;0;4,2
9670;2021-01-30 18:00:00;30;NULL;4,4
9670;2021-01-31 06:00:00;30;NULL;4,5
9670;2021-01-31 12:00:00;30;0;4,4
