ObjectID;DateTime;P_in;T_in;Qh
9420;2021-01-01 06:00:00;28,49;NULL;4,142
9420;2021-01-01 08:00:00;28,59;NULL;4,155
9420;2021-01-01 12:00:00;28,78;4;4,21
9420;2021-01-01 16:00:00;28,79;NULL;4,187
9420;2021-01-01 18:00:00;28,79;NULL;4,014
9420;2021-01-01 20:00:00;28,75;NULL;3,989
9420;2021-01-02 06:00:00;28,7;NULL;3,941
9420;2021-01-02 08:00:00;28,65;NULL;4,021
9420;2021-01-02 12:00:00;27,9;4;4,031
9420;2021-01-02 16:00:00;28,47;NULL;4,081
9420;2021-01-02 18:00:00;28,45;NULL;4,076
9420;2021-01-02 20:00:00;28,36;NULL;4,071
9420;2021-01-03 06:00:00;28,28;NULL;4,029
9420;2021-01-03 08:00:00;28,32;NULL;4,04
9420;2021-01-03 12:00:00;28,28;4;4,052
9420;2021-01-03 16:00:00;28,3;NULL;4,042
9420;2021-01-03 18:00:00;28,25;NULL;4,037
9420;2021-01-03 20:00:00;28,18;NULL;3,999
9420;2021-01-04 06:00:00;28,34;NULL;3,989
9420;2021-01-04 08:00:00;28,34;NULL;4,01
9420;2021-01-04 12:00:00;28,22;4;4,076
9420;2021-01-04 16:00:00;28,12;NULL;4,032
9420;2021-01-04 18:00:00;28,07;NULL;4,056
9420;2021-01-04 20:00:00;27,97;NULL;4,072
9420;2021-01-05 06:00:00;28,28;NULL;3,962
9420;2021-01-05 08:00:00;28,17;NULL;4,006
9420;2021-01-05 12:00:00;28,09;4;4,02
9420;2021-01-05 16:00:00;27,95;NULL;4,055
9420;2021-01-05 18:00:00;27,85;NULL;4,1
9420;2021-01-05 20:00:00;27,77;NULL;4,063
9420;2021-01-06 06:00:00;27,96;NULL;3,98
9420;2021-01-06 08:00:00;27,95;NULL;4,03
9420;2021-01-06 12:00:00;27,65;4;4,069
9420;2021-01-06 16:00:00;27,59;NULL;4,096
9420;2021-01-06 18:00:00;27,45;NULL;4,065
9420;2021-01-06 20:00:00;27,41;NULL;4,029
9420;2021-01-07 06:00:00;27,34;NULL;3,996
9420;2021-01-07 08:00:00;27,3;NULL;4,041
9420;2021-01-07 12:00:00;27,09;4;4,121
9420;2021-01-07 16:00:00;27,18;NULL;4,053
9420;2021-01-07 18:00:00;27,1;NULL;4,121
9420;2021-01-07 20:00:00;27,05;NULL;4,116
9420;2021-01-08 06:00:00;27,12;NULL;4,023
9420;2021-01-08 08:00:00;27,05;NULL;4,116
9420;2021-01-08 12:00:00;26,4;4;4,1
9420;2021-01-08 16:00:00;27,29;NULL;4,044
9420;2021-01-08 18:00:00;27,34;NULL;4,081
9420;2021-01-08 20:00:00;27,4;NULL;4,059
9420;2021-01-09 06:00:00;28,1;NULL;3,97
9420;2021-01-09 08:00:00;28,12;NULL;4
9420;2021-01-09 12:00:00;27,95;4;4,029
9420;2021-01-09 16:00:00;27,96;NULL;4,035
9420;2021-01-09 18:00:00;27,94;NULL;4,03
9420;2021-01-09 20:00:00;27,93;NULL;4,003
9420;2021-01-10 06:00:00;28,31;NULL;3,931
9420;2021-01-10 08:00:00;28,15;NULL;4,017
9420;2021-01-10 12:00:00;27,86;4;4,024
9420;2021-01-10 16:00:00;27,41;NULL;4,066
9420;2021-01-10 18:00:00;27,25;NULL;4,041
9420;2021-01-10 20:00:00;27,2;NULL;4,033
9420;2021-01-11 06:00:00;27,32;NULL;3,912
9420;2021-01-11 08:00:00;27,17;NULL;3,996
9420;2021-01-11 12:00:00;26,74;4;4,039
9420;2021-01-11 16:00:00;26,55;NULL;4,171
9420;2021-01-11 18:00:00;26,3;NULL;4,261
9420;2021-01-11 20:00:00;26,07;NULL;4,274
9420;2021-01-12 06:00:00;26;NULL;4,274
9420;2021-01-12 08:00:00;25,89;NULL;4,289
9420;2021-01-12 12:00:00;26,09;4;4,322
9420;2021-01-12 16:00:00;26,59;NULL;4,304
9420;2021-01-12 18:00:00;26,92;NULL;4,355
9420;2021-01-12 20:00:00;27,31;NULL;4,371
9420;2021-01-13 06:00:00;28,05;NULL;4,382
9420;2021-01-13 08:00:00;27,82;NULL;4,516
9420;2021-01-13 12:00:00;27,77;3;4,478
9420;2021-01-13 16:00:00;27,72;NULL;4,494
9420;2021-01-13 18:00:00;27,51;NULL;4,576
9420;2021-01-13 20:00:00;27,32;NULL;4,628
9420;2021-01-14 06:00:00;27,23;NULL;4,633
9420;2021-01-14 08:00:00;27,06;NULL;4,664
9420;2021-01-14 12:00:00;26,8;1;4,692
9420;2021-01-14 16:00:00;27,01;NULL;4,568
9420;2021-01-14 18:00:00;27,13;NULL;4,543
9420;2021-01-14 20:00:00;27,18;NULL;4,552
9420;2021-01-15 06:00:00;28,83;NULL;4,357
9420;2021-01-15 08:00:00;28,97;NULL;4,41
9420;2021-01-15 12:00:00;29,32;3;4,254
9420;2021-01-15 16:00:00;28,2;NULL;4,221
9420;2021-01-15 18:00:00;27,85;NULL;4,254
9420;2021-01-15 20:00:00;27,54;NULL;4,229
9420;2021-01-16 06:00:00;27,63;NULL;4,125
9420;2021-01-16 08:00:00;27,69;NULL;4,193
9420;2021-01-16 12:00:00;27,73;3;4,252
9420;2021-01-16 16:00:00;27,79;NULL;4,218
9420;2021-01-16 18:00:00;27,81;NULL;4,199
9420;2021-01-16 20:00:00;27,75;NULL;4,163
9420;2021-01-17 06:00:00;27,73;NULL;4,076
9420;2021-01-17 08:00:00;27,75;NULL;4,133
9420;2021-01-17 12:00:00;27,6;3;4,196
9420;2021-01-17 16:00:00;27,25;NULL;4,276
9420;2021-01-17 18:00:00;26,97;NULL;4,281
9420;2021-01-17 20:00:00;26,68;NULL;4,278
9420;2021-01-18 06:00:00;26,23;NULL;4,249
9420;2021-01-18 08:00:00;26,05;NULL;4,323
9420;2021-01-18 12:00:00;25,1;3;4,3
9420;2021-01-18 18:00:00;25,9;NULL;4,3
9420;2021-01-19 06:00:00;26,3;NULL;4,3
9420;2021-01-19 12:00:00;26,7;3;4,3
9420;2021-01-19 18:00:00;27,3;NULL;4,3
9420;2021-01-20 06:00:00;27,9;NULL;4,2
9420;2021-01-20 12:00:00;27,8;3;4,2
9420;2021-01-20 18:00:00;27,5;NULL;4,3
9420;2021-01-21 06:00:00;27,1;NULL;4,2
9420;2021-01-21 12:00:00;26,8;3;4,3
9420;2021-01-21 18:00:00;26,9;NULL;4,3
9420;2021-01-22 06:00:00;27,3;NULL;4,2
9420;2021-01-22 12:00:00;27,3;3;4,3
9420;2021-01-22 18:00:00;27,3;NULL;4,3
9420;2021-01-23 06:00:00;26,7;NULL;4,3
9420;2021-01-23 12:00:00;26,2;3;4,5
9420;2021-01-23 18:00:00;26,6;NULL;4,4
9420;2021-01-24 06:00:00;27,5;NULL;4,3
9420;2021-01-24 12:00:00;27,9;3;4,3
9420;2021-01-24 18:00:00;28,1;NULL;4,2
9420;2021-01-25 06:00:00;29,58;NULL;4,043
9420;2021-01-25 08:00:00;29,63;NULL;4,141
9420;2021-01-25 12:00:00;29,3;3;4,119
9420;2021-01-25 16:00:00;29,06;NULL;4,028
9420;2021-01-25 18:00:00;28,88;NULL;4,086
9420;2021-01-25 20:00:00;28,74;NULL;4,088
9420;2021-01-26 06:00:00;29,17;NULL;3,982
9420;2021-01-26 08:00:00;29,02;NULL;4,075
9420;2021-01-26 12:00:00;28,91;3;3,971
9420;2021-01-26 16:00:00;29,05;NULL;2,789
9420;2021-01-26 18:00:00;29,68;NULL;1,425
9420;2021-01-26 20:00:00;29,2;NULL;3,958
9420;2021-01-27 06:00:00;29,36;NULL;3,808
9420;2021-01-27 08:00:00;29,3;NULL;3,885
9420;2021-01-27 12:00:00;29,41;3;3,842
9420;2021-01-27 16:00:00;29,48;NULL;3,853
