ObjectID;DateTime;P_in;T_in;Qh
9710;2021-01-01 06:00:00;28,1;NULL;13,64
9710;2021-01-01 08:00:00;NULL;NULL;13,238
9710;2021-01-01 12:00:00;29,2;2;13,263
9710;2021-01-01 16:00:00;NULL;NULL;13,197
9710;2021-01-01 18:00:00;29,1;NULL;13,209
9710;2021-01-01 20:00:00;NULL;NULL;13,028
9710;2021-01-02 06:00:00;28,5;NULL;14,258
9710;2021-01-02 08:00:00;NULL;NULL;14,212
9710;2021-01-02 12:00:00;28,8;2;14,281
9710;2021-01-02 16:00:00;NULL;NULL;12,929
9710;2021-01-02 18:00:00;28,7;NULL;13,296
9710;2021-01-02 20:00:00;NULL;NULL;13,61
9710;2021-01-03 06:00:00;28,6;NULL;14,076
9710;2021-01-03 08:00:00;NULL;NULL;14,57
9710;2021-01-03 12:00:00;28,7;2;14,397
9710;2021-01-03 16:00:00;NULL;NULL;12,973
9710;2021-01-03 18:00:00;28,6;NULL;12,242
9710;2021-01-03 20:00:00;NULL;NULL;12,447
9710;2021-01-04 06:00:00;28,6;NULL;13,789
9710;2021-01-04 08:00:00;NULL;NULL;13,794
9710;2021-01-04 12:00:00;28,6;1;13,917
9710;2021-01-04 16:00:00;NULL;NULL;13,66
9710;2021-01-04 18:00:00;28,6;NULL;13,612
9710;2021-01-04 20:00:00;NULL;NULL;13,763
9710;2021-01-05 06:00:00;28,6;NULL;13,272
9710;2021-01-05 08:00:00;NULL;NULL;13,38
9710;2021-01-05 12:00:00;28,4;1;13,353
9710;2021-01-05 16:00:00;NULL;NULL;13,215
9710;2021-01-05 18:00:00;28,3;NULL;13,521
9710;2021-01-05 20:00:00;NULL;NULL;13,86
9710;2021-01-06 06:00:00;28,3;NULL;13,692
9710;2021-01-06 08:00:00;NULL;NULL;14,04
9710;2021-01-06 12:00:00;28,1;1;13,729
9710;2021-01-06 16:00:00;NULL;NULL;13,656
9710;2021-01-06 18:00:00;27,9;NULL;13,835
9710;2021-01-06 20:00:00;NULL;NULL;13,871
9710;2021-01-07 06:00:00;27,7;NULL;15,639
9710;2021-01-07 08:00:00;NULL;NULL;15,883
9710;2021-01-07 12:00:00;27,5;1;15,194
9710;2021-01-07 16:00:00;NULL;NULL;14,912
9710;2021-01-07 18:00:00;27,5;NULL;15,064
9710;2021-01-07 20:00:00;NULL;NULL;14,992
9710;2021-01-08 06:00:00;27,5;NULL;16,194
9710;2021-01-08 08:00:00;NULL;NULL;16,065
9710;2021-01-08 12:00:00;27,4;1;14,898
9710;2021-01-08 16:00:00;NULL;NULL;13,74
