ObjectID;DateTime;P_in;T_in;Qh
9410;2021-01-01 06:00:00;30,5;NULL;10,877
9410;2021-01-01 08:00:00;NULL;NULL;10,483
9410;2021-01-01 12:00:00;30,7;1;10,237
9410;2021-01-01 16:00:00;NULL;NULL;10,095
9410;2021-01-01 18:00:00;30,7;NULL;10,429
9410;2021-01-01 20:00:00;NULL;NULL;10,092
9410;2021-01-02 06:00:00;30,5;NULL;10,431
9410;2021-01-02 08:00:00;NULL;NULL;10,415
9410;2021-01-02 12:00:00;30,5;1;10,275
9410;2021-01-02 16:00:00;NULL;NULL;10,365
9410;2021-01-02 18:00:00;30,4;NULL;10,746
9410;2021-01-02 20:00:00;NULL;NULL;10,568
9410;2021-01-03 06:00:00;30,3;NULL;10,526
9410;2021-01-03 08:00:00;NULL;NULL;10,458
9410;2021-01-03 12:00:00;30,3;1;10,51
9410;2021-01-03 16:00:00;NULL;NULL;10,46
9410;2021-01-03 18:00:00;30,2;NULL;10,378
9410;2021-01-03 20:00:00;NULL;NULL;11,092
9410;2021-01-04 06:00:00;30,3;NULL;10,683
9410;2021-01-04 08:00:00;NULL;NULL;10,646
9410;2021-01-04 12:00:00;30,2;1;10,629
9410;2021-01-04 16:00:00;NULL;NULL;10,714
9410;2021-01-04 18:00:00;30,2;NULL;10,401
9410;2021-01-04 20:00:00;NULL;NULL;10,828
9410;2021-01-05 06:00:00;30,2;NULL;10,121
9410;2021-01-05 08:00:00;NULL;NULL;10,489
9410;2021-01-05 12:00:00;30,1;1;10,121
9410;2021-01-05 16:00:00;NULL;NULL;10,348
9410;2021-01-05 18:00:00;30;NULL;10,543
9410;2021-01-05 20:00:00;NULL;NULL;11,259
9410;2021-01-06 06:00:00;29,9;NULL;10,012
9410;2021-01-06 08:00:00;NULL;NULL;10,074
9410;2021-01-06 12:00:00;29,8;1;10,165
9410;2021-01-06 16:00:00;NULL;NULL;10,418
9410;2021-01-06 18:00:00;29,5;NULL;10,719
9410;2021-01-06 20:00:00;NULL;NULL;10,936
9410;2021-01-07 06:00:00;29,3;NULL;11,02
9410;2021-01-07 08:00:00;NULL;NULL;10,802
9410;2021-01-07 12:00:00;29,1;1;10,475
9410;2021-01-07 16:00:00;NULL;NULL;10,045
9410;2021-01-07 18:00:00;29;NULL;10,458
9410;2021-01-07 20:00:00;NULL;NULL;11,016
9410;2021-01-08 06:00:00;29,2;NULL;10,72
9410;2021-01-08 08:00:00;NULL;NULL;10,929
9410;2021-01-08 12:00:00;29,1;1;10,155
9410;2021-01-08 16:00:00;NULL;NULL;10,574
9410;2021-01-08 18:00:00;29,3;NULL;10,677
9410;2021-01-08 20:00:00;NULL;NULL;10,735
9410;2021-01-09 06:00:00;30,1;NULL;10,293
9410;2021-01-09 08:00:00;NULL;NULL;10,302
9410;2021-01-09 12:00:00;30;1;10,477
9410;2021-01-09 16:00:00;NULL;NULL;10,604
9410;2021-01-09 18:00:00;30,1;NULL;10,702
9410;2021-01-09 20:00:00;NULL;NULL;10,596
9410;2021-01-10 06:00:00;30;NULL;10,505
9410;2021-01-10 08:00:00;NULL;NULL;10,601
9410;2021-01-10 12:00:00;29,9;1;10,903
9410;2021-01-10 16:00:00;NULL;NULL;10,775
9410;2021-01-10 18:00:00;29,5;NULL;10,705
9410;2021-01-10 20:00:00;NULL;NULL;10,797
9410;2021-01-11 06:00:00;29,1;NULL;10,071
9410;2021-01-11 08:00:00;NULL;NULL;10,536
9410;2021-01-11 12:00:00;28,8;1;10,706
9410;2021-01-11 16:00:00;NULL;NULL;11,229
9410;2021-01-11 18:00:00;28,2;NULL;11,476
9410;2021-01-11 20:00:00;NULL;NULL;11,862
9410;2021-01-12 06:00:00;28;NULL;11,193
9410;2021-01-12 08:00:00;NULL;NULL;10,995
9410;2021-01-12 12:00:00;28,1;1;11,258
9410;2021-01-12 16:00:00;NULL;NULL;11,553
9410;2021-01-12 18:00:00;29,5;NULL;11,634
9410;2021-01-12 20:00:00;NULL;NULL;11,82
9410;2021-01-13 06:00:00;30,2;NULL;11,433
9410;2021-01-13 08:00:00;NULL;NULL;11,958
9410;2021-01-13 12:00:00;30;1;11,787
9410;2021-01-13 16:00:00;NULL;NULL;11,995
9410;2021-01-13 18:00:00;29,8;NULL;12,279
9410;2021-01-13 20:00:00;NULL;NULL;11,907
9410;2021-01-14 06:00:00;29,4;NULL;11,986
9410;2021-01-14 08:00:00;NULL;NULL;12,102
9410;2021-01-14 12:00:00;29,1;1;12,25
9410;2021-01-14 16:00:00;NULL;NULL;11,963
9410;2021-01-14 18:00:00;29,4;NULL;12,248
9410;2021-01-14 20:00:00;NULL;NULL;12,186
9410;2021-01-15 06:00:00;31,2;NULL;11,109
9410;2021-01-15 08:00:00;NULL;NULL;11,136
9410;2021-01-15 12:00:00;31,4;1;11,242
9410;2021-01-15 16:00:00;NULL;NULL;11,307
9410;2021-01-15 18:00:00;29,9;NULL;11,15
9410;2021-01-15 20:00:00;NULL;NULL;10,505
9410;2021-01-16 06:00:00;30;NULL;10,649
9410;2021-01-16 08:00:00;NULL;NULL;10,362
9410;2021-01-16 12:00:00;29,9;1;10,653
9410;2021-01-16 16:00:00;NULL;NULL;10,552
9410;2021-01-16 18:00:00;29,9;NULL;10,853
9410;2021-01-16 20:00:00;NULL;NULL;10,707
9410;2021-01-17 06:00:00;29,9;NULL;11,022
9410;2021-01-17 08:00:00;NULL;NULL;10,608
9410;2021-01-17 12:00:00;29,8;1;10,578
9410;2021-01-17 16:00:00;NULL;NULL;10,695
9410;2021-01-17 18:00:00;29,8;NULL;11,249
9410;2021-01-17 20:00:00;NULL;NULL;11,218
9410;2021-01-18 06:00:00;28,4;NULL;11,711
9410;2021-01-18 08:00:00;NULL;NULL;11,12
9410;2021-01-18 12:00:00;27,9;1;11,628
9410;2021-01-18 16:00:00;NULL;NULL;11,386
9410;2021-01-18 18:00:00;28,9;NULL;11,767
9410;2021-01-18 20:00:00;NULL;NULL;11,639
9410;2021-01-19 06:00:00;29,5;NULL;11,306
9410;2021-01-19 08:00:00;NULL;NULL;11,306
9410;2021-01-19 12:00:00;29,5;1;11,092
9410;2021-01-19 16:00:00;NULL;NULL;10,771
9410;2021-01-19 18:00:00;29,6;NULL;10,952
9410;2021-01-19 20:00:00;NULL;NULL;11,429
9410;2021-01-20 06:00:00;30;NULL;11,408
9410;2021-01-20 08:00:00;NULL;NULL;10,879
9410;2021-01-20 12:00:00;30,1;1;10,707
9410;2021-01-20 16:00:00;NULL;NULL;10,828
9410;2021-01-20 18:00:00;28,9;NULL;10,929
9410;2021-01-20 20:00:00;NULL;NULL;11,437
9410;2021-01-21 06:00:00;28,4;NULL;11,922
9410;2021-01-21 08:00:00;NULL;NULL;11,676
9410;2021-01-21 12:00:00;29,2;1;11,636
9410;2021-01-21 16:00:00;NULL;NULL;11,068
9410;2021-01-21 18:00:00;29,4;NULL;11,307
9410;2021-01-21 20:00:00;NULL;NULL;11,618
9410;2021-01-22 06:00:00;29,9;NULL;11,739
9410;2021-01-22 08:00:00;NULL;NULL;11,573
9410;2021-01-22 12:00:00;29,7;1;11,245
9410;2021-01-22 16:00:00;NULL;NULL;11,195
9410;2021-01-22 18:00:00;29,8;NULL;11,394
9410;2021-01-22 20:00:00;NULL;NULL;11,393
9410;2021-01-23 06:00:00;29,3;NULL;12,321
9410;2021-01-23 08:00:00;NULL;NULL;12,107
9410;2021-01-23 12:00:00;28,6;0;11,89
9410;2021-01-23 16:00:00;NULL;NULL;11,239
9410;2021-01-23 18:00:00;28,6;NULL;11,348
9410;2021-01-23 20:00:00;NULL;NULL;11,093
9410;2021-01-24 06:00:00;28,6;NULL;11,414
9410;2021-01-24 08:00:00;NULL;NULL;10,916
9410;2021-01-24 12:00:00;27,2;5;10,964
9410;2021-01-24 16:00:00;NULL;NULL;10,784
9410;2021-01-24 18:00:00;27,4;NULL;10,439
9410;2021-01-24 20:00:00;NULL;NULL;10,985
9410;2021-01-25 06:00:00;31,4;NULL;10,811
9410;2021-01-25 08:00:00;NULL;NULL;10,15
9410;2021-01-25 12:00:00;31;0;10,112
9410;2021-01-25 16:00:00;NULL;NULL;9,588
9410;2021-01-25 18:00:00;30,5;NULL;9,953
9410;2021-01-25 20:00:00;NULL;NULL;10,087
9410;2021-01-26 06:00:00;31;NULL;10,429
9410;2021-01-26 08:00:00;NULL;NULL;10,19
9410;2021-01-26 12:00:00;30,6;0;10,601
9410;2021-01-26 16:00:00;NULL;NULL;10,574
9410;2021-01-26 18:00:00;30,8;NULL;10,562
9410;2021-01-26 20:00:00;NULL;NULL;10,736
9410;2021-01-27 06:00:00;31;NULL;10,421
9410;2021-01-27 08:00:00;NULL;NULL;9,898
9410;2021-01-27 12:00:00;31,1;0;9,967
9410;2021-01-27 16:00:00;NULL;NULL;9,982
9410;2021-01-27 18:00:00;31,1;NULL;10,383
9410;2021-01-27 20:00:00;NULL;NULL;10,375
9410;2021-01-28 06:00:00;30,8;NULL;10,939
9410;2021-01-28 08:00:00;NULL;NULL;10,963
9410;2021-01-28 12:00:00;30,6;0;11,401
9410;2021-01-28 16:00:00;NULL;NULL;10,692
9410;2021-01-28 18:00:00;30,7;NULL;10,707
9410;2021-01-28 20:00:00;NULL;NULL;10,78
9410;2021-01-29 06:00:00;30,8;NULL;11,921
9410;2021-01-29 08:00:00;NULL;NULL;11,698
9410;2021-01-29 12:00:00;30,7;0;12,317
9410;2021-01-29 16:00:00;NULL;NULL;14,701
9410;2021-01-29 18:00:00;30,6;NULL;14,147
9410;2021-01-29 20:00:00;NULL;NULL;10,851
9410;2021-01-30 06:00:00;31,4;NULL;10,231
9410;2021-01-30 08:00:00;NULL;NULL;9,955
9410;2021-01-30 12:00:00;31,3;0;10,098
9410;2021-01-30 16:00:00;NULL;NULL;9,917
9410;2021-01-30 18:00:00;31,3;NULL;9,312
9410;2021-01-30 20:00:00;NULL;NULL;9,564
9410;2021-01-31 06:00:00;31,3;NULL;10,076
9410;2021-01-31 08:00:00;NULL;NULL;10,239
9410;2021-01-31 12:00:00;31;0;10,205
9410;2021-01-31 16:00:00;NULL;NULL;9,858
9410;2021-01-31 18:00:00;31;NULL;9,938
9410;2021-01-31 20:00:00;NULL;NULL;10,075
9410;2021-02-01 06:00:00;31,2;NULL;9,239
9410;2021-02-01 08:00:00;NULL;NULL;9,244
9410;2021-02-01 12:00:00;31,3;0;9,488
9410;2021-02-01 16:00:00;NULL;NULL;9,444
9410;2021-02-01 18:00:00;31,4;NULL;9,724
9410;2021-02-01 20:00:00;NULL;NULL;9,885
9410;2021-02-02 06:00:00;31,2;NULL;10,592
9410;2021-02-02 08:00:00;NULL;NULL;10,4
9410;2021-02-02 12:00:00;31,3;0;10,339
9410;2021-02-02 16:00:00;NULL;NULL;9,555
9410;2021-02-02 18:00:00;31,4;NULL;9,663
9410;2021-02-02 20:00:00;NULL;NULL;9,832
9410;2021-02-03 06:00:00;32;NULL;9,937
9410;2021-02-03 08:00:00;NULL;NULL;10,182
