ObjectID;DateTime;P_in;T_in;Qh
9430;2021-01-01 06:00:00;29;NULL;12,474
9430;2021-01-01 08:00:00;NULL;NULL;12,398
9430;2021-01-01 12:00:00;29;2;12,16
9430;2021-01-01 16:00:00;NULL;NULL;11,659
9430;2021-01-01 18:00:00;29;NULL;13,633
9430;2021-01-01 20:00:00;NULL;NULL;11,972
9430;2021-01-02 06:00:00;29;NULL;11,773
9430;2021-01-02 08:00:00;NULL;NULL;12,064
9430;2021-01-02 12:00:00;29;2;11,444
9430;2021-01-02 16:00:00;NULL;NULL;11,646
9430;2021-01-02 18:00:00;29;NULL;14,463
9430;2021-01-02 20:00:00;NULL;NULL;13,57
9430;2021-01-03 06:00:00;28,5;NULL;12,708
9430;2021-01-03 08:00:00;NULL;NULL;13,151
9430;2021-01-03 12:00:00;28,5;2;11,982
9430;2021-01-03 16:00:00;NULL;NULL;13,093
9430;2021-01-03 18:00:00;28,5;NULL;13,378
9430;2021-01-03 20:00:00;NULL;NULL;13,757
9430;2021-01-04 06:00:00;28,5;NULL;11,586
9430;2021-01-04 08:00:00;NULL;NULL;12,075
9430;2021-01-04 12:00:00;28,5;2;12,935
9430;2021-01-04 16:00:00;NULL;NULL;11,987
9430;2021-01-04 18:00:00;28,5;NULL;13,956
9430;2021-01-04 20:00:00;NULL;NULL;12,614
9430;2021-01-05 06:00:00;28,5;NULL;12,315
9430;2021-01-05 08:00:00;NULL;NULL;12,256
9430;2021-01-05 12:00:00;28,5;2;12,546
9430;2021-01-05 16:00:00;NULL;NULL;12,551
9430;2021-01-05 18:00:00;28;NULL;12,989
9430;2021-01-05 20:00:00;NULL;NULL;13,732
9430;2021-01-06 06:00:00;28;NULL;12,443
9430;2021-01-06 08:00:00;NULL;NULL;12,535
9430;2021-01-06 12:00:00;28,2;2;13,127
9430;2021-01-06 16:00:00;NULL;NULL;12,029
9430;2021-01-06 18:00:00;28;NULL;13,804
9430;2021-01-06 20:00:00;NULL;NULL;13,108
9430;2021-01-07 06:00:00;28;NULL;12,037
9430;2021-01-07 08:00:00;NULL;NULL;12,459
9430;2021-01-07 12:00:00;28;2;11,098
9430;2021-01-07 16:00:00;NULL;NULL;11,911
9430;2021-01-07 18:00:00;28;NULL;14,007
9430;2021-01-07 20:00:00;NULL;NULL;13,918
9430;2021-01-08 06:00:00;28;NULL;12,156
9430;2021-01-08 08:00:00;NULL;NULL;13,265
9430;2021-01-08 12:00:00;28;2;10,467
9430;2021-01-08 16:00:00;NULL;NULL;11,725
9430;2021-01-08 18:00:00;28;NULL;13,896
9430;2021-01-08 20:00:00;NULL;NULL;12,143
9430;2021-01-09 06:00:00;28,3;NULL;11,606
9430;2021-01-09 08:00:00;NULL;NULL;12,337
9430;2021-01-09 12:00:00;28,5;2;11,968
9430;2021-01-09 16:00:00;NULL;NULL;11,117
9430;2021-01-09 18:00:00;28,5;NULL;14,143
9430;2021-01-09 20:00:00;NULL;NULL;12,555
9430;2021-01-10 06:00:00;28,5;NULL;11,704
9430;2021-01-10 08:00:00;NULL;NULL;12,362
9430;2021-01-10 12:00:00;28,5;2;15,284
9430;2021-01-10 16:00:00;NULL;NULL;13,167
9430;2021-01-10 18:00:00;28;NULL;14,814
9430;2021-01-10 20:00:00;NULL;NULL;14,126
9430;2021-01-11 06:00:00;28;NULL;13,22
9430;2021-01-11 08:00:00;NULL;NULL;15,183
9430;2021-01-11 12:00:00;27,5;2;14,653
9430;2021-01-11 16:00:00;NULL;NULL;14,799
9430;2021-01-11 18:00:00;27;NULL;15,673
