ObjectID;DateTime;P_in;T_in;Qh
9440;2021-01-01 06:00:00;29,16;4,34;3,705
9440;2021-01-01 08:00:00;29,26;4,33;3,852
9440;2021-01-01 12:00:00;29,49;4,34;3,615
9440;2021-01-01 16:00:00;29,52;4,36;3,584
9440;2021-01-01 18:00:00;29,47;4,36;3,612
9440;2021-01-01 20:00:00;29,39;4,37;3,568
9440;2021-01-02 06:00:00;29,31;4,32;3,691
9440;2021-01-02 08:00:00;29,31;4,32;3,757
9440;2021-01-02 12:00:00;29,23;4,32;3,813
9440;2021-01-02 16:00:00;29,14;4,33;3,802
9440;2021-01-02 18:00:00;29,05;4,31;3,855
9440;2021-01-02 20:00:00;29,01;4,31;3,785
9440;2021-01-03 06:00:00;28,93;4,26;3,742
9440;2021-01-03 08:00:00;29,02;4,26;3,488
9440;2021-01-03 12:00:00;28,89;4,25;4,392
9440;2021-01-03 16:00:00;29;4,27;3,322
9440;2021-01-03 18:00:00;28,93;4,27;3,675
9440;2021-01-03 20:00:00;28,86;4,28;3,633
9440;2021-01-04 06:00:00;29,02;4,28;3,621
9440;2021-01-04 08:00:00;29,06;4,28;3,494
9440;2021-01-04 12:00:00;28,96;4,25;3,614
9440;2021-01-04 16:00:00;28,88;4,27;3,603
9440;2021-01-04 18:00:00;28,84;4,28;3,467
9440;2021-01-04 20:00:00;28,7;4,27;3,677
9440;2021-01-05 06:00:00;28,98;4,26;3,451
9440;2021-01-05 08:00:00;28,87;4,25;3,438
9440;2021-01-05 12:00:00;28,79;4,24;3,658
9440;2021-01-05 16:00:00;28,65;4,25;3,573
9440;2021-01-05 18:00:00;28,55;4,24;3,657
9440;2021-01-05 20:00:00;28,43;4,22;3,674
9440;2021-01-06 06:00:00;28,59;4,19;3,697
9440;2021-01-06 08:00:00;28,61;4,18;3,699
9440;2021-01-06 12:00:00;28,33;4,15;3,727
9440;2021-01-06 16:00:00;28,25;4,17;3,683
9440;2021-01-06 18:00:00;28,12;4,17;3,73
9440;2021-01-06 20:00:00;28,08;4,16;3,66
9440;2021-01-07 06:00:00;27,91;4,08;4,084
9440;2021-01-07 08:00:00;27,9;4,08;4,081
9440;2021-01-07 12:00:00;27,73;4,09;4,119
9440;2021-01-07 16:00:00;27,82;4,11;4,1
9440;2021-01-07 18:00:00;27,76;4,11;3,934
9440;2021-01-07 20:00:00;27,71;4,11;4,084
9440;2021-01-08 06:00:00;27,75;4,09;4,216
9440;2021-01-08 08:00:00;27,71;4,08;4,242
9440;2021-01-08 12:00:00;27,69;4,08;4,144
9440;2021-01-08 16:00:00;28,04;4,12;3,178
9440;2021-01-08 18:00:00;28,06;4,13;3,466
9440;2021-01-08 20:00:00;28,09;4,13;3,503
9440;2021-01-09 06:00:00;28,77;4,11;3,526
9440;2021-01-09 08:00:00;28,81;4,11;3,63
9440;2021-01-09 12:00:00;28,65;4,1;3,739
9440;2021-01-09 16:00:00;28,67;4,11;3,578
9440;2021-01-09 18:00:00;28,64;4,11;3,477
9440;2021-01-09 20:00:00;28,62;4,1;3,572
9440;2021-01-10 06:00:00;29,03;4,08;3,428
9440;2021-01-10 08:00:00;28,92;4,06;3,348
9440;2021-01-10 12:00:00;28,61;4,01;3,443
9440;2021-01-10 16:00:00;28,18;4,01;3,421
9440;2021-01-10 18:00:00;27,99;4;3,461
9440;2021-01-10 20:00:00;27,92;4,01;3,578
9440;2021-01-11 06:00:00;27,95;4,03;3,646
9440;2021-01-11 08:00:00;27,8;4;4,162
9440;2021-01-11 12:00:00;27,41;3,96;4,165
9440;2021-01-11 16:00:00;27,28;3,95;4,022
9440;2021-01-11 18:00:00;27,02;3,93;4,074
9440;2021-01-11 20:00:00;26,77;3,91;4,156
9440;2021-01-12 06:00:00;26,63;3,86;4,317
9440;2021-01-12 08:00:00;26,52;3,86;4,479
9440;2021-01-12 12:00:00;26,68;3,85;4,356
9440;2021-01-12 16:00:00;27,31;3,87;4,431
9440;2021-01-12 18:00:00;27,5;3,87;4,305
9440;2021-01-12 20:00:00;27,83;3,85;4,738
9440;2021-01-13 06:00:00;28,74;3,8;4,541
9440;2021-01-13 08:00:00;28,52;3,74;4,994
9440;2021-01-13 12:00:00;28,45;3,73;5,046
9440;2021-01-13 16:00:00;28,45;3,74;4,982
9440;2021-01-13 18:00:00;28,24;3,73;5,006
9440;2021-01-13 20:00:00;28,06;3,72;4,783
9440;2021-01-14 06:00:00;27,9;3,67;4,946
9440;2021-01-14 08:00:00;27,78;3,65;5,083
9440;2021-01-14 12:00:00;27,49;3,62;5,31
9440;2021-01-14 16:00:00;27,7;3,68;5,035
9440;2021-01-14 18:00:00;27,85;3,7;5
9440;2021-01-14 20:00:00;27,91;3,71;4,852
9440;2021-01-15 06:00:00;29,69;3,79;4,461
9440;2021-01-15 08:00:00;29,86;3,81;3,706
9440;2021-01-15 12:00:00;30,15;3,83;4,188
9440;2021-01-15 16:00:00;29,1;3,84;3,938
9440;2021-01-15 18:00:00;28,77;3,85;3,957
9440;2021-01-15 20:00:00;28,46;3,85;3,685
9440;2021-01-16 06:00:00;28,46;3,82;3,717
9440;2021-01-16 08:00:00;28,54;3,82;3,794
9440;2021-01-16 12:00:00;28,58;3,81;3,832
9440;2021-01-16 16:00:00;28,72;3,83;3,557
9440;2021-01-16 18:00:00;28,71;3,82;3,523
9440;2021-01-16 20:00:00;28,6;3,81;3,672
9440;2021-01-17 06:00:00;28,57;3,79;3,538
9440;2021-01-17 08:00:00;28,61;3,78;3,608
9440;2021-01-17 12:00:00;28,46;3,74;3,914
9440;2021-01-17 16:00:00;28,15;3,7;3,934
9440;2021-01-17 18:00:00;27,86;3,7;4,019
9440;2021-01-17 20:00:00;27,44;3,69;4,05
9440;2021-01-18 06:00:00;26,97;3,64;4,592
9440;2021-01-18 08:00:00;26,68;3,61;5,118
9440;2021-01-18 12:00:00;26,41;3,59;4,945
9440;2021-01-18 16:00:00;26,8;3,61;4,685
9440;2021-01-18 18:00:00;27,24;3,61;4,611
9440;2021-01-18 20:00:00;27,3;3,6;4,776
9440;2021-01-19 06:00:00;27,56;3,58;4,792
9440;2021-01-19 08:00:00;27,58;3,58;4,796
