ObjectID;DateTime;P_in;T_in;Qh
9460;2021-01-01 06:00:00;28,1;2,74;1,758
9460;2021-01-01 08:00:00;NULL;2,73;1,732
9460;2021-01-01 12:00:00;29,3;2,76;1,846
9460;2021-01-01 16:00:00;NULL;2,8;1,677
9460;2021-01-01 18:00:00;29,3;2,77;1,738
9460;2021-01-01 20:00:00;NULL;2,75;1,738
9460;2021-01-02 06:00:00;NULL;2,66;1,903
9460;2021-01-02 08:00:00;NULL;2,66;1,87
9460;2021-01-02 12:00:00;29;2,71;1,999
9460;2021-01-02 16:00:00;NULL;2,67;1,96
9460;2021-01-02 18:00:00;29;2,63;2,088
9460;2021-01-02 20:00:00;NULL;2,63;2,085
9460;2021-01-03 06:00:00;29;2,55;2,014
9460;2021-01-03 08:00:00;NULL;2,56;2,118
9460;2021-01-03 12:00:00;28,7;2,55;2,249
9460;2021-01-03 16:00:00;NULL;2,61;2,047
9460;2021-01-03 18:00:00;28,7;2,62;2,011
9460;2021-01-03 20:00:00;NULL;2,67;1,739
9460;2021-01-04 06:00:00;28,7;2,68;1,716
9460;2021-01-04 08:00:00;NULL;2,67;1,818
9460;2021-01-04 12:00:00;28,8;2,67;1,847
9460;2021-01-04 16:00:00;NULL;2,71;1,742
9460;2021-01-04 18:00:00;NULL;2,7;1,838
9460;2021-01-04 20:00:00;NULL;2,69;1,896
9460;2021-01-05 06:00:00;28,8;2,66;1,679
9460;2021-01-05 08:00:00;NULL;2,67;1,706
9460;2021-01-05 12:00:00;28,6;2,69;1,769
9460;2021-01-05 16:00:00;NULL;2,67;1,825
9460;2021-01-05 18:00:00;28,6;2,58;1,885
9460;2021-01-05 20:00:00;NULL;2,63;2,072
9460;2021-01-06 06:00:00;28,6;2,61;1,922
9460;2021-01-06 08:00:00;NULL;2,58;1,889
9460;2021-01-06 12:00:00;28;2,55;1,969
9460;2021-01-06 16:00:00;NULL;2,63;1,897
9460;2021-01-06 18:00:00;27,8;2,55;1,986
9460;2021-01-06 20:00:00;NULL;2,57;2,015
9460;2021-01-07 06:00:00;27,8;2,44;2,104
9460;2021-01-07 08:00:00;NULL;2,44;2,007
9460;2021-01-07 12:00:00;27,4;2,46;2,154
9460;2021-01-07 16:00:00;NULL;2,51;2,033
9460;2021-01-07 18:00:00;27,4;2,42;2,087
9460;2021-01-07 20:00:00;NULL;2,4;2,312
9460;2021-01-08 06:00:00;27,4;2,34;2,094
9460;2021-01-08 08:00:00;NULL;2,35;2,156
9460;2021-01-08 12:00:00;27,5;2,44;2,055
9460;2021-01-08 16:00:00;NULL;2,55;1,754
9460;2021-01-08 18:00:00;NULL;2,55;1,819
9460;2021-01-08 20:00:00;NULL;2,56;1,853
9460;2021-01-09 06:00:00;27,5;2,55;1,8
9460;2021-01-09 08:00:00;NULL;2,53;1,737
9460;2021-01-09 12:00:00;28,3;2,59;1,86
9460;2021-01-09 16:00:00;NULL;2,62;1,694
9460;2021-01-09 18:00:00;28,3;2,56;1,857
9460;2021-01-09 20:00:00;NULL;2,58;1,793
9460;2021-01-10 06:00:00;NULL;2,56;1,683
9460;2021-01-10 08:00:00;NULL;2,49;1,644
9460;2021-01-10 12:00:00;28,3;2,38;1,956
9460;2021-01-10 16:00:00;NULL;2,5;1,956
9460;2021-01-10 18:00:00;28;2,47;2,007
9460;2021-01-10 20:00:00;NULL;2,44;2,131
9460;2021-01-11 06:00:00;27,7;2,46;2,038
9460;2021-01-11 08:00:00;NULL;2,47;2,16
9460;2021-01-11 12:00:00;27,2;2,46;2,066
9460;2021-01-11 16:00:00;NULL;2,43;2,047
9460;2021-01-11 18:00:00;26,5;2,4;2,036
9460;2021-01-11 20:00:00;NULL;2,32;2,254
9460;2021-01-12 06:00:00;26,4;2,36;2,191
9460;2021-01-12 08:00:00;NULL;2,32;2,216
9460;2021-01-12 12:00:00;26,4;2,3;2,257
9460;2021-01-12 16:00:00;NULL;2,21;2,376
9460;2021-01-12 18:00:00;27,6;2,18;2,39
9460;2021-01-12 20:00:00;NULL;2,3;2,328
9460;2021-01-13 06:00:00;28,6;2,17;2,406
9460;2021-01-13 08:00:00;NULL;2,12;2,658
9460;2021-01-13 12:00:00;28,4;2,15;2,684
9460;2021-01-13 16:00:00;NULL;2,11;2,323
9460;2021-01-13 18:00:00;28;2,09;2,589
9460;2021-01-13 20:00:00;NULL;2,04;2,61
9460;2021-01-14 06:00:00;27,7;1,99;2,598
9460;2021-01-14 08:00:00;NULL;1,98;2,611
9460;2021-01-14 12:00:00;27,4;2,03;2,533
9460;2021-01-14 16:00:00;NULL;2,13;2,452
9460;2021-01-14 18:00:00;27,9;2,16;2,336
9460;2021-01-14 20:00:00;NULL;2,19;2,275
9460;2021-01-15 06:00:00;29,7;2,39;1,799
9460;2021-01-15 08:00:00;NULL;2,4;1,977
9460;2021-01-15 12:00:00;29,9;2,48;1,861
9460;2021-01-15 16:00:00;NULL;2,49;1,86
9460;2021-01-15 18:00:00;28,4;2,48;1,838
9460;2021-01-15 20:00:00;NULL;2,47;1,98
9460;2021-01-16 06:00:00;28,3;2,4;1,98
9460;2021-01-16 08:00:00;NULL;2,37;1,922
9460;2021-01-16 12:00:00;28,4;2,35;2,024
9460;2021-01-16 16:00:00;NULL;2,5;1,632
9460;2021-01-16 18:00:00;NULL;2,45;1,799
9460;2021-01-16 20:00:00;NULL;2,4;1,858
9460;2021-01-17 06:00:00;28,4;2,31;1,658
9460;2021-01-17 08:00:00;NULL;2,38;1,693
9460;2021-01-17 12:00:00;28,4;2,33;2,277
9460;2021-01-17 16:00:00;NULL;2,33;2,22
9460;2021-01-17 18:00:00;28,4;2,32;2,153
9460;2021-01-17 20:00:00;NULL;2,31;2,321
9460;2021-01-18 06:00:00;26,8;2,17;2,442
9460;2021-01-18 08:00:00;NULL;2,16;2,546
9460;2021-01-18 12:00:00;26,3;2,11;2,426
9460;2021-01-18 16:00:00;NULL;2,11;2,272
9460;2021-01-18 18:00:00;27;2,05;2,53
9460;2021-01-18 20:00:00;NULL;1,98;2,601
9460;2021-01-19 06:00:00;27,4;2,1;2,405
9460;2021-01-19 08:00:00;NULL;2,12;2,564
9460;2021-01-19 12:00:00;27,4;2,11;2,407
9460;2021-01-19 16:00:00;NULL;2,11;2,12
9460;2021-01-19 18:00:00;28,1;2,14;2,189
9460;2021-01-19 20:00:00;NULL;2,19;2,163
9460;2021-01-20 06:00:00;28,7;2,23;2,213
9460;2021-01-20 08:00:00;NULL;2,2;2,239
9460;2021-01-20 12:00:00;28,5;2,23;2,332
9460;2021-01-20 16:00:00;NULL;2,13;2,266
9460;2021-01-20 18:00:00;28,2;2,11;2,508
9460;2021-01-20 20:00:00;NULL;2,11;2,594
9460;2021-01-21 06:00:00;27,8;2,02;2,375
9460;2021-01-21 08:00:00;NULL;2,06;2,434
9460;2021-01-21 12:00:00;27,5;2,1;2,312
9460;2021-01-21 16:00:00;NULL;2,09;2,109
9460;2021-01-21 18:00:00;27,6;2,09;2,235
9460;2021-01-21 20:00:00;NULL;2,08;2,39
9460;2021-01-22 06:00:00;28,1;2,12;1,971
9460;2021-01-22 08:00:00;NULL;2,13;2,175
9460;2021-01-22 12:00:00;28,1;2,12;2,071
9460;2021-01-22 16:00:00;NULL;2,19;2,011
9460;2021-01-22 18:00:00;28;2,17;2,268
9460;2021-01-22 20:00:00;NULL;2,14;2,231
9460;2021-01-23 06:00:00;27,4;1,95;2,443
9460;2021-01-23 08:00:00;NULL;1,92;2,465
9460;2021-01-23 12:00:00;27;1,97;2,708
9460;2021-01-23 16:00:00;NULL;2,07;2,379
9460;2021-01-23 18:00:00;27;2,06;2,412
9460;2021-01-23 20:00:00;NULL;2,07;2,414
9460;2021-01-24 06:00:00;27;2,14;1,951
9460;2021-01-24 08:00:00;NULL;2,16;1,967
9460;2021-01-24 12:00:00;27;2,25;2,021
9460;2021-01-24 16:00:00;NULL;2,3;1,767
9460;2021-01-24 18:00:00;27;2,32;1,729
