ObjectID;DateTime;P_in;T_in;Qh
9520;2021-01-01 06:00:00;35,54;NULL;0,957
9520;2021-01-01 12:00:00;35,63;2;1,019
9520;2021-01-01 14:00:00;35,6;NULL;1,041
9520;2021-01-01 18:00:00;35,62;NULL;1,035
9520;2021-01-02 06:00:00;35,66;NULL;1,006
9520;2021-01-02 12:00:00;35,52;2;1,033
9520;2021-01-02 14:00:00;35,55;NULL;1,018
9520;2021-01-02 18:00:00;35,63;NULL;1,02
9520;2021-01-03 06:00:00;35,68;NULL;0,994
9520;2021-01-03 12:00:00;35,67;-1;1,026
9520;2021-01-03 14:00:00;35,65;NULL;1,02
9520;2021-01-03 18:00:00;35,53;NULL;1,009
9520;2021-01-04 06:00:00;35,6;NULL;0,97
9520;2021-01-04 12:00:00;35,53;2;1,008
9520;2021-01-04 14:00:00;35,56;NULL;1,009
9520;2021-01-04 18:00:00;35,5;NULL;1,021
9520;2021-01-05 06:00:00;35,52;NULL;0,991
9520;2021-01-05 12:00:00;35,53;2;0,98
9520;2021-01-05 14:00:00;35,53;NULL;0,982
9520;2021-01-05 18:00:00;35,57;NULL;1,033
9520;2021-01-06 06:00:00;35,64;NULL;0,999
9520;2021-01-06 12:00:00;35,54;1;1,051
9520;2021-01-06 14:00:00;35,53;NULL;1,008
9520;2021-01-06 18:00:00;35,5;NULL;1,034
9520;2021-01-07 06:00:00;35,59;NULL;1,031
9520;2021-01-07 12:00:00;35,52;1;1,084
9520;2021-01-07 14:00:00;35,5;NULL;1,068
9520;2021-01-07 18:00:00;35,59;NULL;1,09
9520;2021-01-08 06:00:00;35,49;NULL;1,045
9520;2021-01-08 12:00:00;35,59;1;0,974
9520;2021-01-08 14:00:00;35,48;NULL;0,947
9520;2021-01-08 18:00:00;35,51;NULL;1,094
9520;2021-01-09 06:00:00;35,66;NULL;0,987
9520;2021-01-09 12:00:00;35,53;1;1,008
9520;2021-01-09 14:00:00;35,59;NULL;0,984
9520;2021-01-09 18:00:00;35,61;NULL;0,985
9520;2021-01-10 06:00:00;35,53;NULL;1,002
9520;2021-01-10 12:00:00;35,53;1;1,03
9520;2021-01-10 14:00:00;35,54;NULL;1,024
9520;2021-01-10 18:00:00;35,61;NULL;1,035
9520;2021-01-11 06:00:00;35,56;NULL;1,026
9520;2021-01-11 12:00:00;35,54;1;1,043
9520;2021-01-11 14:00:00;35,56;NULL;1,116
9520;2021-01-11 18:00:00;35,47;NULL;1,129
9520;2021-01-12 06:00:00;35,5;NULL;1,093
9520;2021-01-12 12:00:00;36,41;1;1,143
9520;2021-01-12 14:00:00;36,45;NULL;1,086
9520;2021-01-12 18:00:00;37,49;NULL;1,158
9520;2021-01-13 06:00:00;37,5;NULL;1,13
9520;2021-01-13 12:00:00;37,47;-1;1,184
9520;2021-01-13 14:00:00;37,38;NULL;1,119
9520;2021-01-13 18:00:00;37,48;NULL;1,214
9520;2021-01-14 06:00:00;37,47;NULL;1,197
9520;2021-01-14 12:00:00;37,45;-2;1,226
9520;2021-01-14 14:00:00;37,39;NULL;1,181
9520;2021-01-14 18:00:00;37,45;NULL;1,225
9520;2021-01-15 06:00:00;37,5;NULL;1,192
9520;2021-01-15 12:00:00;36,1;1;1,054
9520;2021-01-15 14:00:00;35,55;NULL;1,129
9520;2021-01-15 18:00:00;35,5;NULL;1,129
9520;2021-01-16 06:00:00;35,6;NULL;1,051
9520;2021-01-16 12:00:00;35,53;1;0,986
9520;2021-01-16 14:00:00;35,63;NULL;1,039
9520;2021-01-16 18:00:00;35,5;NULL;1,074
9520;2021-01-17 06:00:00;35,65;NULL;1,03
9520;2021-01-17 12:00:00;34,8;1;1,005
9520;2021-01-17 14:00:00;35,52;NULL;0,995
9520;2021-01-17 18:00:00;35,52;NULL;1,057
9520;2021-01-18 06:00:00;35,47;NULL;1,036
9520;2021-01-18 12:00:00;35,47;1;0,998
9520;2021-01-18 14:00:00;36,29;NULL;0,975
9520;2021-01-18 18:00:00;36,51;NULL;1,09
9520;2021-01-19 06:00:00;36,54;NULL;1,104
9520;2021-01-19 12:00:00;36,47;1;1,105
9520;2021-01-19 14:00:00;36,49;NULL;1,022
9520;2021-01-19 18:00:00;36,52;NULL;1,101
9520;2021-01-20 06:00:00;36,49;NULL;1,063
9520;2021-01-20 12:00:00;36,55;1;1,069
9520;2021-01-20 14:00:00;36,54;NULL;1,016
9520;2021-01-20 18:00:00;36,49;NULL;1,078
9520;2021-01-21 06:00:00;36,59;NULL;1,064
9520;2021-01-21 12:00:00;36,45;1;1,097
9520;2021-01-21 14:00:00;36,52;NULL;0,988
9520;2021-01-21 18:00:00;36,49;NULL;0,99
9520;2021-01-22 06:00:00;36,51;NULL;1,045
9520;2021-01-22 12:00:00;36,47;1;1,042
9520;2021-01-22 14:00:00;36,49;NULL;1,04
9520;2021-01-22 18:00:00;36,52;NULL;1,064
9520;2021-01-23 06:00:00;36,47;NULL;1,129
9520;2021-01-23 12:00:00;36,46;1;1,174
9520;2021-01-23 14:00:00;36,46;NULL;1,14
9520;2021-01-23 18:00:00;36,5;NULL;1,145
9520;2021-01-24 06:00:00;36,52;NULL;1,104
9520;2021-01-24 12:00:00;36,47;1;1,145
