ObjectID;DateTime;P_in;T_in;Qh
9450;2021-01-01 06:00:00;29,1;NULL;1
9450;2021-01-01 12:00:00;29,4;4;1
9450;2021-01-01 18:00:00;29,3;NULL;1
9450;2021-01-02 06:00:00;29,2;NULL;1
9450;2021-01-02 08:00:00;NULL;NULL;1
9450;2021-01-02 12:00:00;29,1;4;1
9450;2021-01-02 16:00:00;NULL;NULL;1
9450;2021-01-02 18:00:00;28,9;NULL;1
9450;2021-01-03 06:00:00;28,9;NULL;1
9450;2021-01-03 12:00:00;28,9;4;0,9
9450;2021-01-03 18:00:00;28,8;NULL;0,9
9450;2021-01-03 20:00:00;NULL;NULL;0,9
9450;2021-01-04 06:00:00;28,9;NULL;0,9
9450;2021-01-04 12:00:00;28,9;4;0,8
9450;2021-01-04 18:00:00;28,6;NULL;0,8
9450;2021-01-05 06:00:00;28,8;NULL;0,9
9450;2021-01-05 12:00:00;28,6;4;0,8
9450;2021-01-05 18:00:00;28,3;NULL;0,8
9450;2021-01-06 06:00:00;28,5;NULL;0,8
9450;2021-01-06 08:00:00;NULL;NULL;0,8
9450;2021-01-06 12:00:00;28,3;4;0,89
9450;2021-01-06 16:00:00;NULL;NULL;0,9
9450;2021-01-06 18:00:00;28;NULL;0,9
9450;2021-01-07 06:00:00;27,7;NULL;0,9
9450;2021-01-07 12:00:00;27,6;4;1
9450;2021-01-07 18:00:00;27,6;NULL;1
9450;2021-01-07 20:00:00;NULL;NULL;1
9450;2021-01-08 06:00:00;27,7;NULL;1
9450;2021-01-08 12:00:00;27,6;4;0,96
9450;2021-01-08 18:00:00;27,9;NULL;0,96
9450;2021-01-09 06:00:00;28,7;NULL;1
9450;2021-01-09 12:00:00;28,4;4;0,9
9450;2021-01-09 18:00:00;28,5;NULL;0,9
9450;2021-01-10 06:00:00;28,8;NULL;0,9
9450;2021-01-10 08:00:00;NULL;NULL;0,9
9450;2021-01-10 12:00:00;28,4;4;1
9450;2021-01-10 16:00:00;NULL;NULL;1
9450;2021-01-10 18:00:00;27,8;NULL;1
9450;2021-01-11 06:00:00;27,7;NULL;1
9450;2021-01-11 12:00:00;27,3;4;0,9
9450;2021-01-11 18:00:00;26,7;NULL;NULL
9450;2021-01-12 06:00:00;26,6;NULL;0,9
9450;2021-01-12 12:00:00;26,5;4;1,01
9450;2021-01-12 18:00:00;27,6;NULL;1,01
9450;2021-01-13 06:00:00;28,6;NULL;NULL
9450;2021-01-13 12:00:00;28,5;4;1
9450;2021-01-13 18:00:00;28,1;NULL;1
9450;2021-01-14 06:00:00;27,9;NULL;1
