ObjectID;DateTime;P_in;T_in;Qh
9530;2021-01-01 06:00:00;33;NULL;27
9530;2021-01-01 12:00:00;33,5;2;26
9530;2021-01-01 18:00:00;33;NULL;26
9530;2021-01-02 06:00:00;33;NULL;25
9530;2021-01-02 12:00:00;33;2;27
9530;2021-01-02 18:00:00;33;NULL;26
9530;2021-01-03 06:00:00;33,5;NULL;26
9530;2021-01-03 12:00:00;33;2;27
9530;2021-01-03 18:00:00;33;NULL;26
9530;2021-01-04 06:00:00;33;NULL;25
9530;2021-01-04 12:00:00;33;2;26
9530;2021-01-04 18:00:00;33;NULL;26
9530;2021-01-05 06:00:00;33;NULL;25
9530;2021-01-05 12:00:00;33;2;28
9530;2021-01-05 18:00:00;33;NULL;28
9530;2021-01-06 06:00:00;33;NULL;27
9530;2021-01-06 12:00:00;33;2;29
9530;2021-01-06 18:00:00;32,5;NULL;29
9530;2021-01-07 06:00:00;33;NULL;26
9530;2021-01-07 12:00:00;32,5;2;29
9530;2021-01-07 18:00:00;32,5;NULL;30
9530;2021-01-08 06:00:00;32,5;NULL;29
9530;2021-01-08 12:00:00;32,5;2;30
9530;2021-01-08 18:00:00;32,5;NULL;30
9530;2021-01-09 06:00:00;32,5;NULL;29
9530;2021-01-09 12:00:00;33;1;27
9530;2021-01-09 18:00:00;33;NULL;26
9530;2021-01-10 06:00:00;32,5;NULL;27
9530;2021-01-10 12:00:00;32,5;2;29
9530;2021-01-10 18:00:00;32,5;NULL;29
9530;2021-01-11 06:00:00;33;NULL;28
9530;2021-01-11 12:00:00;33,5;1;29
9530;2021-01-11 18:00:00;32,5;NULL;29
9530;2021-01-12 06:00:00;32,5;NULL;27
9530;2021-01-12 12:00:00;33,5;1;29
9530;2021-01-12 18:00:00;34,5;NULL;30
9530;2021-01-13 06:00:00;34,5;NULL;29
9530;2021-01-13 12:00:00;34,5;0;30
9530;2021-01-13 18:00:00;34,5;NULL;30
9530;2021-01-14 06:00:00;34;NULL;31
9530;2021-01-14 12:00:00;34;0;31
9530;2021-01-14 18:00:00;34;NULL;31
9530;2021-01-15 06:00:00;34;NULL;31
9530;2021-01-15 12:00:00;32,5;0;31
9530;2021-01-15 18:00:00;33;NULL;27
9530;2021-01-16 06:00:00;33;NULL;27
9530;2021-01-16 12:00:00;33;0;26
9530;2021-01-16 18:00:00;33;NULL;28
9530;2021-01-17 06:00:00;33;NULL;27
9530;2021-01-17 12:00:00;33;0;26
9530;2021-01-17 18:00:00;33;NULL;26
9530;2021-01-18 06:00:00;30,5;NULL;28
9530;2021-01-18 12:00:00;32,5;0;29
9530;2021-01-18 18:00:00;34;NULL;28
9530;2021-01-19 06:00:00;34;NULL;28
9530;2021-01-19 12:00:00;34;0;28
9530;2021-01-19 18:00:00;33,5;NULL;29
9530;2021-01-20 06:00:00;33,5;NULL;27
9530;2021-01-20 12:00:00;34;0;26
9530;2021-01-20 18:00:00;34;NULL;27
9530;2021-01-21 06:00:00;34;NULL;28
9530;2021-01-21 12:00:00;34;0;27
9530;2021-01-21 18:00:00;34;NULL;27
9530;2021-01-22 06:00:00;34;NULL;27
9530;2021-01-22 12:00:00;34;0;27
9530;2021-01-22 18:00:00;34;NULL;28
9530;2021-01-23 06:00:00;33,5;NULL;28
9530;2021-01-23 12:00:00;33;0;31
9530;2021-01-23 18:00:00;33;NULL;32
9530;2021-01-24 06:00:00;34;NULL;28
9530;2021-01-24 12:00:00;33,5;0;29
9530;2021-01-24 18:00:00;33,5;NULL;29
9530;2021-01-25 06:00:00;34,5;NULL;25
9530;2021-01-25 12:00:00;34;0;21
9530;2021-01-25 18:00:00;34;NULL;20
9530;2021-01-26 06:00:00;34;NULL;22
9530;2021-01-26 12:00:00;34;0;21
9530;2021-01-26 18:00:00;34;NULL;21
9530;2021-01-27 06:00:00;34;NULL;22
9530;2021-01-27 12:00:00;34,5;0;20
9530;2021-01-27 18:00:00;34;NULL;22
9530;2021-01-28 06:00:00;34;NULL;22
9530;2021-01-28 12:00:00;34;0;22
9530;2021-01-28 18:00:00;34;NULL;22
9530;2021-01-29 06:00:00;34;NULL;22
9530;2021-01-29 12:00:00;34;0;21
9530;2021-01-29 18:00:00;33,5;NULL;23
9530;2021-01-30 06:00:00;33,5;NULL;23
