ObjectID;DateTime;P_in;T_in;Qh
9540;2021-01-01 06:00:00;33,87;1,9;3,947
9540;2021-01-01 12:00:00;33,97;1,89;3,997
9540;2021-01-01 14:00:00;33,97;1,87;3,997
9540;2021-01-01 18:00:00;33,91;1,86;4,177
9540;2021-01-02 06:00:00;33,93;1,81;4,293
9540;2021-01-02 12:00:00;33,82;1,81;4,314
9540;2021-01-02 14:00:00;33,75;1,8;4,491
9540;2021-01-02 18:00:00;33,87;1,85;4,134
9540;2021-01-03 06:00:00;33,89;1,84;4,1
9540;2021-01-03 12:00:00;33,83;1,79;4,465
9540;2021-01-03 14:00:00;33,88;1,81;4,062
9540;2021-01-03 18:00:00;33,77;1,79;4,085
9540;2021-01-04 06:00:00;33,85;1,83;3,834
9540;2021-01-04 12:00:00;33,72;1,78;4,116
9540;2021-01-04 14:00:00;33,73;1,76;4,118
9540;2021-01-04 18:00:00;33,69;1,78;4,075
9540;2021-01-05 06:00:00;33,78;1,84;3,751
9540;2021-01-05 12:00:00;33,71;1,8;4,114
9540;2021-01-05 14:00:00;33,7;1,78;4,151
9540;2021-01-05 18:00:00;33,66;1,79;4,108
9540;2021-01-06 06:00:00;33,76;1,75;4,27
9540;2021-01-06 12:00:00;33,65;1,75;3,923
9540;2021-01-06 14:00:00;33,62;1,75;4,03
9540;2021-01-06 18:00:00;33,53;1,69;4,462
9540;2021-01-07 06:00:00;33,63;1,67;4,143
9540;2021-01-07 12:00:00;33,5;1,66;4,311
9540;2021-01-07 14:00:00;33,52;1,62;4,463
9540;2021-01-07 18:00:00;33,57;1,62;4,099
9540;2021-01-08 06:00:00;33,52;1,53;4,058
9540;2021-01-08 12:00:00;33,51;1,59;4,093
9540;2021-01-08 14:00:00;33,56;1,61;4,025
9540;2021-01-08 18:00:00;33,53;1,49;4,319
9540;2021-01-09 06:00:00;33,8;1,61;4,316
9540;2021-01-09 12:00:00;33,7;1,55;4,044
9540;2021-01-09 14:00:00;33,72;1,58;4,12
9540;2021-01-09 18:00:00;33,73;1,64;4,343
9540;2021-01-10 06:00:00;33,77;1,53;4,016
9540;2021-01-10 12:00:00;33,61;1,49;4,404
9540;2021-01-10 14:00:00;33,59;1,48;4,216
9540;2021-01-10 18:00:00;33,59;1,48;4,069
9540;2021-01-11 06:00:00;33,54;1,47;4,21
9540;2021-01-11 12:00:00;33,44;1,42;3,977
9540;2021-01-11 14:00:00;33,44;1,39;4,014
9540;2021-01-11 18:00:00;33,31;1,37;4,438
9540;2021-01-12 06:00:00;33,29;1,39;4,251
9540;2021-01-12 12:00:00;34,01;1,4;4,349
9540;2021-01-12 14:00:00;34,11;1,41;4,287
9540;2021-01-12 18:00:00;34,96;1,42;4,594
9540;2021-01-13 06:00:00;35,29;1,41;4,328
9540;2021-01-13 12:00:00;35,15;1,37;4,66
9540;2021-01-13 14:00:00;35,1;1,41;4,458
9540;2021-01-13 18:00:00;35,09;1,32;4,886
9540;2021-01-14 06:00:00;35,09;1,23;4,578
9540;2021-01-14 12:00:00;34,95;1,27;4,827
9540;2021-01-14 14:00:00;34,96;1,31;4,828
9540;2021-01-14 18:00:00;35;1,31;4,833
9540;2021-01-15 06:00:00;35,41;1,29;4,542
9540;2021-01-15 12:00:00;34,35;1,13;4,592
9540;2021-01-15 14:00:00;33,8;1,21;4,288
9540;2021-01-15 18:00:00;33,6;1,31;4,628
9540;2021-01-16 06:00:00;33,66;1,38;4,561
9540;2021-01-16 12:00:00;33,68;1,45;4,043
9540;2021-01-16 14:00:00;33,75;1,45;3,866
9540;2021-01-16 18:00:00;33,65;1,37;4,374
9540;2021-01-17 06:00:00;33,76;1,33;4,279
9540;2021-01-17 12:00:00;33,72;1,36;4,236
9540;2021-01-17 14:00:00;33,65;1,38;4,264
9540;2021-01-17 18:00:00;33,53;1,38;4,247
9540;2021-01-18 06:00:00;33,36;1,31;4,262
9540;2021-01-18 12:00:00;33,24;1,3;4,394
9540;2021-01-18 14:00:00;33,29;1,37;3,995
9540;2021-01-18 18:00:00;34,22;1,28;4,719
9540;2021-01-19 06:00:00;34,28;1,26;4,578
9540;2021-01-19 12:00:00;34,26;1,32;4,082
9540;2021-01-19 14:00:00;34,28;1,32;3,896
9540;2021-01-19 18:00:00;34,37;1,27;4,476
9540;2021-01-20 06:00:00;34,5;1,33;4,113
9540;2021-01-20 12:00:00;34,5;1,34;4,265
9540;2021-01-20 14:00:00;34,51;1,32;4,19
9540;2021-01-20 18:00:00;34,43;1,33;4,294
9540;2021-01-21 06:00:00;34,46;1,25;4,223
9540;2021-01-21 12:00:00;34,24;1,28;4,269
9540;2021-01-21 14:00:00;34,32;1,31;4,241
9540;2021-01-21 18:00:00;34,36;1,29;4,246
9540;2021-01-22 06:00:00;34,43;1,27;4,257
9540;2021-01-22 12:00:00;34,38;1,3;4,287
9540;2021-01-22 14:00:00;34,41;1,3;4,291
9540;2021-01-22 18:00:00;34,45;1,31;4,182
9540;2021-01-23 06:00:00;34,26;1,09;4,238
9540;2021-01-23 12:00:00;34,14;1,08;4,486
9540;2021-01-23 14:00:00;34,17;1,13;4,188
9540;2021-01-23 18:00:00;34,19;1,08;4,682
9540;2021-01-24 06:00:00;34,44;1,02;3,997
9540;2021-01-24 12:00:00;34,44;1,09;4,262
9540;2021-01-24 14:00:00;34,54;1,11;3,931
9540;2021-01-24 18:00:00;34,48;1,07;4,458
9540;2021-01-25 06:00:00;34,79;1,29;4,189
9540;2021-01-25 12:00:00;34,04;1,4;3,565
9540;2021-01-25 14:00:00;34;1,4;4,085
9540;2021-01-25 18:00:00;33,91;1,42;3,962
9540;2021-01-26 06:00:00;34,07;1,41;3,906
9540;2021-01-26 12:00:00;33,98;1,5;3,369
9540;2021-01-26 14:00:00;33,96;1,41;3,93
9540;2021-01-26 18:00:00;34,08;1,44;3,906
9540;2021-01-27 06:00:00;34,05;1,42;3,828
9540;2021-01-27 12:00:00;34,2;1,52;3,241
9540;2021-01-27 14:00:00;34,22;1,59;3,28
9540;2021-01-27 18:00:00;34,16;1,47;3,276
9540;2021-01-28 06:00:00;34,11;1,28;3,499
9540;2021-01-28 12:00:00;33,94;1,35;3,555
9540;2021-01-28 14:00:00;33,96;1,34;3,594
9540;2021-01-28 18:00:00;34,05;1,32;3,642
9540;2021-01-29 06:00:00;34,12;1,26;3,69
9540;2021-01-29 12:00:00;33,96;1,32;3,669
9540;2021-01-29 14:00:00;34,01;1,31;3,676
9540;2021-01-29 18:00:00;33,97;1,17;3,936
9540;2021-01-30 06:00:00;34,12;1,19;4,03
9540;2021-01-30 12:00:00;34,12;1,21;3,612
9540;2021-01-30 14:00:00;34,13;1,28;3,801
9540;2021-01-30 18:00:00;34,02;1,2;4,089
9540;2021-01-31 06:00:00;34,06;1,2;4,02
9540;2021-01-31 12:00:00;34,17;1,33;3,39
9540;2021-01-31 14:00:00;34,1;1,32;3,985
9540;2021-01-31 18:00:00;34,09;1,27;3,985
9540;2021-02-01 06:00:00;34,14;1,23;3,992
9540;2021-02-01 12:00:00;34,13;1,19;3,916
9540;2021-02-01 14:00:00;34,19;1,24;3,659
9540;2021-02-01 18:00:00;34,06;1,24;3,907
9540;2021-02-02 06:00:00;34,15;1,2;3,692
9540;2021-02-02 12:00:00;34,14;1,28;3,35
9540;2021-02-02 14:00:00;34,13;1,23;3,764
9540;2021-02-02 18:00:00;34,26;1,34;3,249
9540;2021-02-03 06:00:00;34,36;1,39;3,712
9540;2021-02-03 12:00:00;33,43;1,53;2,942
9540;2021-02-03 14:00:00;33,35;1,57;2,934
9540;2021-02-03 18:00:00;33,27;1,35;3,515
9540;2021-02-04 06:00:00;33,09;1,35;3,095
9540;2021-02-04 12:00:00;33,1;1,31;3,351
9540;2021-02-04 14:00:00;33,15;1,3;3,394
9540;2021-02-04 18:00:00;33,12;1,31;3,39
9540;2021-02-05 06:00:00;33,31;1,4;3,409
9540;2021-02-05 12:00:00;33,3;1,47;3,297
9540;2021-02-05 14:00:00;33,4;1,56;2,865
9540;2021-02-05 18:00:00;33,31;1,46;3,262
9540;2021-02-06 06:00:00;33,45;1,46;3,129
9540;2021-02-06 12:00:00;33,35;1,39;3,303
9540;2021-02-06 14:00:00;33,35;1,39;3,267
9540;2021-02-06 18:00:00;33,32;1,4;3,227
9540;2021-02-07 06:00:00;32,82;1,11;3,722
9540;2021-02-07 12:00:00;32,59;1,14;3,658
9540;2021-02-07 14:00:00;32,61;1,17;3,337
9540;2021-02-07 18:00:00;32,53;1,07;3,76
9540;2021-02-08 06:00:00;32,44;0,99;3,75
9540;2021-02-08 12:00:00;33,13;0,95;4,164
9540;2021-02-08 14:00:00;33,79;1;4,102
9540;2021-02-08 18:00:00;34,15;1;3,959
9540;2021-02-09 06:00:00;34,19;0,9;4,382
9540;2021-02-09 12:00:00;34,04;0,83;4,476
9540;2021-02-09 14:00:00;34,1;0,81;4,409
9540;2021-02-09 18:00:00;33,4;NULL;4,53
9540;2021-02-10 06:00:00;33,5;NULL;4,42
9540;2021-02-10 12:00:00;33,5;0;4,45
9540;2021-02-10 18:00:00;33,5;NULL;4,46
9540;2021-02-11 06:00:00;33,6;NULL;4,44
9540;2021-02-11 12:00:00;33,5;0;4,45
9540;2021-02-11 18:00:00;33,6;NULL;4,51
9540;2021-02-12 06:00:00;33,7;NULL;4,03
9540;2021-02-12 12:00:00;32,9;0;4,2
9540;2021-02-12 18:00:00;33,1;NULL;4,4
9540;2021-02-13 06:00:00;33,2;NULL;4,29
9540;2021-02-13 12:00:00;33,2;0;3,59
