ObjectID;DateTime;P_in;T_in;Qh
9110;2021-01-01 06:00:00;34,5;NULL;0,358
9110;2021-01-01 12:00:00;34,5;0;0,376
9110;2021-01-01 14:00:00;NULL;NULL;0,385
9110;2021-01-01 18:00:00;34,5;NULL;0,36
9110;2021-01-02 06:00:00;NULL;NULL;0,366
9110;2021-01-02 12:00:00;34;NULL;0,351
9110;2021-01-02 14:00:00;NULL;NULL;0,348
9110;2021-01-02 18:00:00;34;NULL;0,347
9110;2021-01-03 06:00:00;34;NULL;0,355
9110;2021-01-03 12:00:00;34,5;0;0,36
9110;2021-01-03 14:00:00;NULL;NULL;0,346
9110;2021-01-03 18:00:00;34,5;NULL;0,377
9110;2021-01-04 06:00:00;34;NULL;0,366
9110;2021-01-04 12:00:00;34;0;0,365
9110;2021-01-04 14:00:00;NULL;NULL;0,349
9110;2021-01-04 18:00:00;NULL;NULL;0,354
9110;2021-01-05 06:00:00;34;NULL;0,348
9110;2021-01-05 12:00:00;34;NULL;0,365
9110;2021-01-05 14:00:00;NULL;NULL;0,354
9110;2021-01-05 18:00:00;34;NULL;0,353
9110;2021-01-06 06:00:00;34;NULL;0,345
9110;2021-01-06 12:00:00;34;0;0,401
9110;2021-01-06 14:00:00;NULL;NULL;0,396
9110;2021-01-06 18:00:00;33,5;NULL;0,374
9110;2021-01-07 06:00:00;33,5;NULL;0,368
9110;2021-01-07 12:00:00;34,5;-1;0,407
9110;2021-01-07 14:00:00;NULL;NULL;0,382
9110;2021-01-07 18:00:00;34,5;NULL;0,366
9110;2021-01-08 06:00:00;34;NULL;0,376
9110;2021-01-08 12:00:00;34;-1;0,393
9110;2021-01-08 14:00:00;NULL;NULL;0,374
9110;2021-01-08 18:00:00;NULL;NULL;0,367
9110;2021-01-09 06:00:00;34;NULL;0,343
9110;2021-01-09 12:00:00;34,5;0;0,371
9110;2021-01-09 14:00:00;NULL;NULL;0,348
9110;2021-01-09 18:00:00;34,5;NULL;0,369
9110;2021-01-10 06:00:00;NULL;NULL;0,363
9110;2021-01-10 12:00:00;34;0;0,363
9110;2021-01-10 14:00:00;NULL;NULL;0,372
9110;2021-01-10 18:00:00;34;NULL;0,365
9110;2021-01-11 06:00:00;34,5;NULL;0,374
9110;2021-01-11 12:00:00;34;-1;0,388
9110;2021-01-11 14:00:00;NULL;NULL;0,396
9110;2021-01-11 18:00:00;34;NULL;0,38
9110;2021-01-12 06:00:00;34;NULL;0,372
9110;2021-01-12 12:00:00;34,5;-2;0,39
9110;2021-01-12 14:00:00;NULL;NULL;0,388
9110;2021-01-12 18:00:00;36;NULL;0,395
9110;2021-01-13 06:00:00;36;NULL;0,39
9110;2021-01-13 12:00:00;36;-2;0,397
9110;2021-01-13 14:00:00;NULL;NULL;0,38
9110;2021-01-13 18:00:00;36;NULL;0,385
9110;2021-01-14 06:00:00;36;NULL;0,401
9110;2021-01-14 12:00:00;36;-3;0,418
9110;2021-01-14 14:00:00;NULL;NULL;0,415
9110;2021-01-14 18:00:00;36;NULL;0,408
9110;2021-01-15 06:00:00;36;NULL;0,392
9110;2021-01-15 12:00:00;34,5;-1;0,385
9110;2021-01-15 14:00:00;NULL;NULL;0,384
9110;2021-01-15 18:00:00;34,5;NULL;0,357
9110;2021-01-16 06:00:00;34,5;NULL;0,349
9110;2021-01-16 12:00:00;34,5;0;0,353
9110;2021-01-16 14:00:00;NULL;NULL;0,331
9110;2021-01-16 18:00:00;NULL;NULL;0,356
9110;2021-01-17 06:00:00;34,5;NULL;0,354
9110;2021-01-17 12:00:00;34,5;0;0,348
9110;2021-01-17 14:00:00;NULL;NULL;0,327
9110;2021-01-17 18:00:00;34,5;NULL;0,345
9110;2021-01-18 06:00:00;34;NULL;0,376
9110;2021-01-18 12:00:00;34;-1;0,376
9110;2021-01-18 14:00:00;NULL;NULL;0,361
9110;2021-01-18 18:00:00;35;NULL;0,374
9110;2021-01-19 06:00:00;35;NULL;0,369
9110;2021-01-19 12:00:00;35;-2;0,227
9110;2021-01-19 14:00:00;NULL;NULL;0,313
9110;2021-01-19 18:00:00;35;NULL;0,291
9110;2021-01-20 06:00:00;35;NULL;0,294
9110;2021-01-20 12:00:00;35;0;0,387
9110;2021-01-20 14:00:00;NULL;NULL;0,364
9110;2021-01-20 18:00:00;35;NULL;0,362
9110;2021-01-21 06:00:00;35;NULL;0,372
9110;2021-01-21 12:00:00;35;-1;0,399
9110;2021-01-21 14:00:00;NULL;NULL;0,357
9110;2021-01-21 18:00:00;35;NULL;0,367
9110;2021-01-22 06:00:00;35;NULL;0,382
9110;2021-01-22 12:00:00;35;0;0,352
9110;2021-01-22 14:00:00;NULL;NULL;0,346
9110;2021-01-22 18:00:00;35;NULL;0,369
9110;2021-01-23 06:00:00;35;NULL;0,379
9110;2021-01-23 12:00:00;35;-3;0,405
9110;2021-01-23 14:00:00;NULL;NULL;0,396
9110;2021-01-23 18:00:00;35;NULL;0,402
9110;2021-01-24 06:00:00;35;NULL;0,367
9110;2021-01-24 12:00:00;35;-2;0,213
9110;2021-01-24 14:00:00;NULL;NULL;0,396
9110;2021-01-24 18:00:00;35;NULL;0,4
9110;2021-01-25 06:00:00;35,5;NULL;0,345
9110;2021-01-25 12:00:00;35;1;0,353
9110;2021-01-25 14:00:00;NULL;NULL;0,345
9110;2021-01-25 18:00:00;35;NULL;0,374
9110;2021-01-26 06:00:00;35;NULL;0,371
9110;2021-01-26 12:00:00;34,5;2;0,36
9110;2021-01-26 14:00:00;NULL;NULL;0,376
9110;2021-01-26 18:00:00;35;NULL;0,136
9110;2021-01-27 06:00:00;35;NULL;0,382
9110;2021-01-27 12:00:00;35;2;0,36
9110;2021-01-27 14:00:00;NULL;NULL;0,352
9110;2021-01-27 18:00:00;35;NULL;0,362
9110;2021-01-28 06:00:00;35;NULL;0,329
9110;2021-01-28 12:00:00;34,5;1;0,312
9110;2021-01-28 14:00:00;NULL;NULL;0,31
9110;2021-01-28 18:00:00;35;NULL;0,337
9110;2021-01-29 06:00:00;35;NULL;0,33
9110;2021-01-29 12:00:00;34,5;0;0,349
9110;2021-01-29 14:00:00;NULL;NULL;0,316
9110;2021-01-29 18:00:00;34,5;NULL;0,338
9110;2021-01-30 06:00:00;35;NULL;0,222
9110;2021-01-30 12:00:00;35;0;0,261
9110;2021-01-30 14:00:00;NULL;NULL;0,26
9110;2021-01-30 18:00:00;35;NULL;0,271
9110;2021-01-31 06:00:00;35;NULL;0,28
9110;2021-01-31 12:00:00;35;NULL;0,286
9110;2021-01-31 14:00:00;NULL;NULL;0,243
9110;2021-01-31 18:00:00;35;NULL;0,334
9110;2021-02-01 06:00:00;35;NULL;0,326
9110;2021-02-01 12:00:00;35;1;0,337
9110;2021-02-01 14:00:00;NULL;NULL;0,317
9110;2021-02-01 18:00:00;35;NULL;0,312
9110;2021-02-02 06:00:00;35;NULL;0,312
9110;2021-02-02 12:00:00;35;1;0,306
9110;2021-02-02 14:00:00;NULL;NULL;0,297
9110;2021-02-02 18:00:00;35;NULL;0,336
9110;2021-02-03 06:00:00;35;NULL;0,327
9110;2021-02-03 12:00:00;34;2;0,295
9110;2021-02-03 14:00:00;NULL;NULL;0,313
9110;2021-02-03 18:00:00;34;NULL;0,309
9110;2021-02-04 06:00:00;34;NULL;0,325
9110;2021-02-04 12:00:00;34;1;0,298
9110;2021-02-04 14:00:00;NULL;NULL;0,307
9110;2021-02-04 18:00:00;34;NULL;0,309
9110;2021-02-05 06:00:00;34;NULL;0,308
9110;2021-02-05 12:00:00;34;3;0,318
9110;2021-02-05 14:00:00;NULL;NULL;0,37
9110;2021-02-05 18:00:00;34;NULL;0,358
9110;2021-02-06 06:00:00;34;NULL;0,365
9110;2021-02-06 12:00:00;34;3;0,407
9110;2021-02-06 14:00:00;NULL;NULL;0,371
9110;2021-02-06 18:00:00;34;NULL;0,377
9110;2021-02-07 06:00:00;NULL;NULL;0,321
9110;2021-02-07 12:00:00;31;3;0,322
9110;2021-02-07 14:00:00;NULL;NULL;0,316
9110;2021-02-07 18:00:00;30;NULL;0,342
9110;2021-02-08 06:00:00;33,5;NULL;0,346
9110;2021-02-08 12:00:00;34;-2;0,385
9110;2021-02-08 14:00:00;NULL;NULL;0,363
9110;2021-02-08 18:00:00;35;NULL;0,364
9110;2021-02-09 06:00:00;34;NULL;0,36
9110;2021-02-09 12:00:00;34;-3;0,4
9110;2021-02-09 14:00:00;NULL;NULL;0,394
9110;2021-02-09 18:00:00;35;NULL;0,396
9110;2021-02-10 06:00:00;35;NULL;0,381
9110;2021-02-10 12:00:00;35;-2;0,393
9110;2021-02-10 14:00:00;NULL;NULL;0,375
9110;2021-02-10 18:00:00;35;NULL;0,355
9110;2021-02-11 06:00:00;35;NULL;0,373
9110;2021-02-11 12:00:00;35;-2;0,382
9110;2021-02-11 14:00:00;NULL;NULL;0,356
9110;2021-02-11 18:00:00;35;NULL;0,419
9110;2021-02-12 06:00:00;35;NULL;0,432
9110;2021-02-12 12:00:00;34,5;-1;0,306
9110;2021-02-12 14:00:00;NULL;NULL;0,318
9110;2021-02-12 18:00:00;34,5;NULL;0,339
9110;2021-02-13 06:00:00;34,5;NULL;0,33
9110;2021-02-13 12:00:00;34,5;0;0,31
9110;2021-02-13 14:00:00;NULL;NULL;0,314
9110;2021-02-13 18:00:00;NULL;NULL;0,34
9110;2021-02-14 06:00:00;34,5;NULL;0,33
9110;2021-02-14 12:00:00;34,5;0;0,328
9110;2021-02-14 14:00:00;NULL;NULL;0,352
9110;2021-02-14 18:00:00;34,5;NULL;0,328
9110;2021-02-15 06:00:00;34,5;NULL;0,337
9110;2021-02-15 12:00:00;34;-1;0,347
9110;2021-02-15 14:00:00;NULL;NULL;0,331
9110;2021-02-15 18:00:00;34;NULL;0,355
9110;2021-02-16 06:00:00;34;NULL;0,375
9110;2021-02-16 12:00:00;34,5;-2;0,387
9110;2021-02-16 14:00:00;NULL;NULL;0,346
9110;2021-02-16 18:00:00;35;NULL;0,362
9110;2021-02-17 06:00:00;35;NULL;0,361
9110;2021-02-17 12:00:00;35;NULL;0,383
9110;2021-02-17 14:00:00;NULL;NULL;0,338
9110;2021-02-17 18:00:00;35;NULL;0,38
9110;2021-02-18 06:00:00;35;NULL;0,371
9110;2021-02-18 12:00:00;35;-2;0,415
9110;2021-02-18 14:00:00;NULL;NULL;0,343
9110;2021-02-18 18:00:00;35;NULL;0,412
9110;2021-02-19 06:00:00;35;NULL;0,391
9110;2021-02-19 12:00:00;35;-2;0,444
9110;2021-02-19 14:00:00;NULL;NULL;0,395
9110;2021-02-19 18:00:00;35;NULL;0,414
9110;2021-02-20 06:00:00;35;NULL;0,38
9110;2021-02-20 12:00:00;35;-1;0,392
9110;2021-02-20 14:00:00;NULL;NULL;0,353
9110;2021-02-20 18:00:00;34;NULL;0,384
