ObjectID;DateTime;P_in;T_in;Qh
9120;2021-01-01 06:00:00;34;NULL;0,748
9120;2021-01-01 12:00:00;34;NULL;0,634
9120;2021-01-01 14:00:00;NULL;NULL;0,885
9120;2021-01-01 18:00:00;34;NULL;0,75
9120;2021-01-02 06:00:00;NULL;NULL;0,628
9120;2021-01-02 12:00:00;34;NULL;0,83
9120;2021-01-02 14:00:00;NULL;NULL;0,753
9120;2021-01-02 18:00:00;34;NULL;0,658
9120;2021-01-03 06:00:00;34;NULL;0,639
9120;2021-01-03 12:00:00;34;NULL;0,796
9120;2021-01-03 14:00:00;NULL;NULL;0,931
9120;2021-01-03 18:00:00;34;NULL;0,761
9120;2021-01-04 06:00:00;34;NULL;0,635
9120;2021-01-04 12:00:00;34;NULL;0,793
9120;2021-01-04 14:00:00;NULL;NULL;0,87
9120;2021-01-04 18:00:00;NULL;NULL;0,707
9120;2021-01-05 06:00:00;34;NULL;0,623
9120;2021-01-05 12:00:00;34;NULL;0,656
9120;2021-01-05 14:00:00;NULL;NULL;1,025
9120;2021-01-05 18:00:00;34;NULL;1,005
9120;2021-01-06 06:00:00;34;NULL;0,628
9120;2021-01-06 12:00:00;34;NULL;0,744
9120;2021-01-06 14:00:00;NULL;NULL;0,864
9120;2021-01-06 18:00:00;34;NULL;0,907
9120;2021-01-07 06:00:00;34;NULL;0,651
9120;2021-01-07 12:00:00;34;NULL;0,742
9120;2021-01-07 14:00:00;NULL;NULL;0,723
9120;2021-01-07 18:00:00;34;NULL;0,975
9120;2021-01-08 06:00:00;34;NULL;0,727
9120;2021-01-08 12:00:00;34;NULL;0,822
9120;2021-01-08 14:00:00;NULL;NULL;1,011
9120;2021-01-08 18:00:00;NULL;NULL;1,268
9120;2021-01-09 06:00:00;34;NULL;0,736
9120;2021-01-09 12:00:00;34;NULL;0,979
9120;2021-01-09 14:00:00;NULL;NULL;0,92
9120;2021-01-09 18:00:00;34;NULL;0,845
9120;2021-01-10 06:00:00;NULL;NULL;0,711
9120;2021-01-10 12:00:00;34;NULL;1,107
9120;2021-01-10 14:00:00;NULL;NULL;0,696
9120;2021-01-10 18:00:00;34;NULL;0,724
9120;2021-01-11 06:00:00;34;NULL;0,731
9120;2021-01-11 12:00:00;34;NULL;0,789
9120;2021-01-11 14:00:00;NULL;NULL;0,758
9120;2021-01-11 18:00:00;34;NULL;0,932
9120;2021-01-12 06:00:00;34;NULL;0,825
9120;2021-01-12 12:00:00;34,5;NULL;0,79
9120;2021-01-12 14:00:00;NULL;NULL;0,943
9120;2021-01-12 18:00:00;34,5;NULL;1,065
9120;2021-01-13 06:00:00;36;NULL;0,806
9120;2021-01-13 12:00:00;35,5;NULL;1,12
9120;2021-01-13 14:00:00;NULL;NULL;1,418
9120;2021-01-13 18:00:00;35,5;NULL;1,038
9120;2021-01-14 06:00:00;35,5;NULL;0,977
9120;2021-01-14 12:00:00;35,5;NULL;0,999
9120;2021-01-14 14:00:00;NULL;NULL;1,126
9120;2021-01-14 18:00:00;35,5;NULL;0,902
9120;2021-01-15 06:00:00;35,5;NULL;0,788
9120;2021-01-15 12:00:00;35,5;NULL;1,281
9120;2021-01-15 14:00:00;NULL;NULL;0,994
9120;2021-01-15 18:00:00;34;NULL;0,775
9120;2021-01-16 06:00:00;34;NULL;0,757
9120;2021-01-16 12:00:00;34;NULL;1,208
9120;2021-01-16 14:00:00;NULL;NULL;1,093
9120;2021-01-16 18:00:00;NULL;NULL;0,912
9120;2021-01-17 06:00:00;34;NULL;0,669
9120;2021-01-17 12:00:00;34;NULL;1,053
9120;2021-01-17 14:00:00;NULL;NULL;0,901
9120;2021-01-17 18:00:00;34;NULL;1,043
9120;2021-01-18 06:00:00;33,5;NULL;0,819
9120;2021-01-18 12:00:00;33,5;NULL;1,193
9120;2021-01-18 14:00:00;NULL;NULL;1,065
9120;2021-01-18 18:00:00;34,5;NULL;1,028
9120;2021-01-19 06:00:00;34,5;NULL;0,808
9120;2021-01-19 12:00:00;34,5;NULL;0,8
9120;2021-01-19 14:00:00;NULL;NULL;1,05
9120;2021-01-19 18:00:00;34,5;NULL;0,768
9120;2021-01-20 06:00:00;34,5;NULL;0,719
9120;2021-01-20 12:00:00;34,5;NULL;0,846
9120;2021-01-20 14:00:00;NULL;NULL;1,102
9120;2021-01-20 18:00:00;34,5;NULL;1,076
9120;2021-01-21 06:00:00;34,5;NULL;0,834
9120;2021-01-21 12:00:00;34,5;NULL;0,805
9120;2021-01-21 14:00:00;NULL;NULL;0,858
9120;2021-01-21 18:00:00;34,5;NULL;1,09
9120;2021-01-22 06:00:00;34,5;NULL;0,736
9120;2021-01-22 12:00:00;34,5;NULL;1,259
9120;2021-01-22 14:00:00;NULL;NULL;1,038
9120;2021-01-22 18:00:00;34,5;NULL;0,732
9120;2021-01-23 06:00:00;34,5;NULL;0,769
9120;2021-01-23 12:00:00;34;NULL;1,037
9120;2021-01-23 14:00:00;NULL;NULL;1,186
9120;2021-01-23 18:00:00;34;NULL;0,803
9120;2021-01-24 06:00:00;34;NULL;0,833
9120;2021-01-24 12:00:00;34;8;1,193
9120;2021-01-24 14:00:00;NULL;NULL;0,941
9120;2021-01-24 18:00:00;34;NULL;0,88
9120;2021-01-25 06:00:00;35;NULL;0,855
9120;2021-01-25 12:00:00;34,5;NULL;0,83
9120;2021-01-25 14:00:00;NULL;NULL;0,878
9120;2021-01-25 18:00:00;34,5;NULL;1,116
9120;2021-01-26 06:00:00;34,5;NULL;0,62
9120;2021-01-26 12:00:00;34,5;NULL;1,026
9120;2021-01-26 14:00:00;NULL;NULL;0,683
9120;2021-01-26 18:00:00;34,5;NULL;1,083
9120;2021-01-27 06:00:00;34,5;NULL;0,66
9120;2021-01-27 12:00:00;34,5;NULL;0,788
9120;2021-01-27 14:00:00;NULL;NULL;0,692
9120;2021-01-27 18:00:00;34,5;NULL;0,927
9120;2021-01-28 06:00:00;34,5;NULL;0,576
9120;2021-01-28 12:00:00;34,5;NULL;0,862
9120;2021-01-28 14:00:00;NULL;NULL;1,031
9120;2021-01-28 18:00:00;34,5;NULL;0,678
9120;2021-01-29 06:00:00;34,5;NULL;0,616
9120;2021-01-29 12:00:00;34,5;NULL;1,053
9120;2021-01-29 14:00:00;NULL;NULL;1,031
9120;2021-01-29 18:00:00;34;NULL;0,878
9120;2021-01-30 06:00:00;34,5;NULL;0,696
9120;2021-01-30 12:00:00;34,5;NULL;0,782
9120;2021-01-30 14:00:00;NULL;NULL;0,997
9120;2021-01-30 18:00:00;34,5;NULL;0,662
9120;2021-01-31 06:00:00;34,5;NULL;0,732
9120;2021-01-31 12:00:00;34,5;NULL;0,993
9120;2021-01-31 14:00:00;NULL;NULL;0,928
9120;2021-01-31 18:00:00;34,5;NULL;0,713
9120;2021-02-01 06:00:00;34,5;NULL;0,762
9120;2021-02-01 12:00:00;34,5;NULL;1,293
9120;2021-02-01 14:00:00;NULL;NULL;0,936
9120;2021-02-01 18:00:00;34,5;NULL;1,325
9120;2021-02-02 06:00:00;34,5;NULL;0,728
9120;2021-02-02 12:00:00;34,5;NULL;0,942
9120;2021-02-02 14:00:00;NULL;NULL;0,956
9120;2021-02-02 18:00:00;34,5;NULL;0,64
9120;2021-02-03 06:00:00;34,5;NULL;0,706
9120;2021-02-03 12:00:00;34;NULL;1,002
9120;2021-02-03 14:00:00;NULL;NULL;1,101
9120;2021-02-03 18:00:00;34;NULL;0,938
9120;2021-02-04 06:00:00;33,5;NULL;0,671
9120;2021-02-04 12:00:00;33,5;NULL;0,783
9120;2021-02-04 14:00:00;NULL;NULL;0,9
9120;2021-02-04 18:00:00;33,5;NULL;0,877
9120;2021-02-05 06:00:00;33,5;NULL;0,718
9120;2021-02-05 12:00:00;34;NULL;0,756
9120;2021-02-05 14:00:00;NULL;NULL;0,575
9120;2021-02-05 18:00:00;33,5;NULL;1,267
9120;2021-02-06 06:00:00;33,5;NULL;0,672
9120;2021-02-06 12:00:00;33,5;NULL;0,805
9120;2021-02-06 14:00:00;NULL;NULL;1,021
9120;2021-02-06 18:00:00;33,5;NULL;0,688
9120;2021-02-07 06:00:00;NULL;NULL;0,795
9120;2021-02-07 12:00:00;33;NULL;1,075
9120;2021-02-07 14:00:00;NULL;NULL;1,341
9120;2021-02-07 18:00:00;33;NULL;0,722
9120;2021-02-08 06:00:00;33;NULL;0,66
9120;2021-02-08 12:00:00;33;NULL;0,927
9120;2021-02-08 14:00:00;NULL;NULL;0,996
9120;2021-02-08 18:00:00;34,5;NULL;1,1
9120;2021-02-09 06:00:00;34;NULL;0,771
9120;2021-02-09 12:00:00;34;NULL;0,846
9120;2021-02-09 14:00:00;NULL;NULL;0,824
9120;2021-02-09 18:00:00;34;NULL;1,3
9120;2021-02-10 06:00:00;34,5;NULL;0,61
9120;2021-02-10 12:00:00;34,5;NULL;0,877
9120;2021-02-10 14:00:00;NULL;NULL;1,056
9120;2021-02-10 18:00:00;34,5;NULL;1,293
9120;2021-02-11 06:00:00;34,5;NULL;0,955
9120;2021-02-11 12:00:00;34,5;NULL;0,855
9120;2021-02-11 14:00:00;NULL;NULL;1,031
9120;2021-02-11 18:00:00;34,5;NULL;1,064
9120;2021-02-12 06:00:00;34,5;NULL;1,004
9120;2021-02-12 12:00:00;34,5;NULL;0,801
9120;2021-02-12 14:00:00;NULL;NULL;1,134
9120;2021-02-12 18:00:00;34;NULL;0,932
9120;2021-02-13 06:00:00;34;NULL;0,654
9120;2021-02-13 12:00:00;34;NULL;0,837
9120;2021-02-13 14:00:00;NULL;NULL;1,244
9120;2021-02-13 18:00:00;NULL;NULL;1,162
9120;2021-02-14 06:00:00;34;NULL;0,713
9120;2021-02-14 12:00:00;34;NULL;0,726
9120;2021-02-14 14:00:00;NULL;NULL;1,357
9120;2021-02-14 18:00:00;34;NULL;1,199
9120;2021-02-15 06:00:00;34;NULL;0,725
9120;2021-02-15 12:00:00;34;NULL;1,265
9120;2021-02-15 14:00:00;NULL;NULL;1,145
9120;2021-02-15 18:00:00;34;NULL;1,227
9120;2021-02-16 06:00:00;33,5;NULL;0,883
9120;2021-02-16 12:00:00;33,5;NULL;1,358
9120;2021-02-16 14:00:00;NULL;NULL;0,919
9120;2021-02-16 18:00:00;33,5;NULL;0,908
9120;2021-02-17 06:00:00;34,5;NULL;0,794
9120;2021-02-17 12:00:00;34,5;NULL;1,298
9120;2021-02-17 14:00:00;NULL;NULL;0,845
9120;2021-02-17 18:00:00;34,5;NULL;1,03
9120;2021-02-18 06:00:00;34,5;NULL;0,824
9120;2021-02-18 12:00:00;34,5;NULL;1,056
9120;2021-02-18 14:00:00;NULL;NULL;1,263
9120;2021-02-18 18:00:00;34,5;NULL;0,995
9120;2021-02-19 06:00:00;34,5;NULL;0,88
9120;2021-02-19 12:00:00;34,5;NULL;1,317
9120;2021-02-19 14:00:00;NULL;NULL;1,086
9120;2021-02-19 18:00:00;34,5;NULL;0,968
9120;2021-02-20 06:00:00;34,5;NULL;0,7
9120;2021-02-20 12:00:00;34,5;NULL;1,08
9120;2021-02-20 14:00:00;NULL;NULL;1,442
9120;2021-02-20 18:00:00;34,5;NULL;1,344
9120;2021-02-21 06:00:00;34,5;NULL;0,89
9120;2021-02-21 12:00:00;NULL;NULL;0,854
9120;2021-02-21 14:00:00;NULL;NULL;0,996
9120;2021-02-21 18:00:00;NULL;NULL;1,012
9120;2021-02-22 06:00:00;34,5;NULL;0,703
9120;2021-02-22 12:00:00;34,5;NULL;0,932
9120;2021-02-22 14:00:00;NULL;NULL;1,239
9120;2021-02-22 18:00:00;34,5;NULL;1,201
9120;2021-02-23 06:00:00;NULL;NULL;0,738
9120;2021-02-23 12:00:00;34,5;NULL;1,206
9120;2021-02-23 14:00:00;NULL;NULL;0,711
9120;2021-02-23 18:00:00;34,5;NULL;0,728
