ObjectID;DateTime;P_in;T_in;Qh
9130;2021-01-01 06:00:00;28,72;0,02;75,43
9130;2021-01-01 08:00:00;27,23;0,01;75,791
9130;2021-01-01 12:00:00;28,67;-0,01;77,199
9130;2021-01-01 16:00:00;28,07;-0,01;77,679
9130;2021-01-01 18:00:00;28,39;-0,04;78,927
9130;2021-01-01 20:00:00;28,41;-0,04;78,853
9130;2021-01-02 06:00:00;28,6;-0,02;77,095
9130;2021-01-02 08:00:00;28,58;-0,03;77,324
9130;2021-01-02 12:00:00;28,23;-0,05;78,679
9130;2021-01-02 16:00:00;28,23;-0,06;78,6
9130;2021-01-02 18:00:00;28,25;-0,09;78,75
9130;2021-01-02 20:00:00;28,25;-0,09;78,542
9130;2021-01-03 06:00:00;28,38;-0,11;77,461
9130;2021-01-03 08:00:00;28,33;-0,1;77,759
9130;2021-01-03 12:00:00;28,14;-0,12;78,984
9130;2021-01-03 16:00:00;26,23;-0,1;78,461
9130;2021-01-03 18:00:00;28,07;-0,13;78,739
9130;2021-01-03 20:00:00;28,05;-0,13;78,471
9130;2021-01-04 06:00:00;28,34;-0,09;77,186
9130;2021-01-04 08:00:00;28,25;-0,12;77,89
9130;2021-01-04 12:00:00;27,93;-0,15;79,284
9130;2021-01-04 16:00:00;27,83;-0,18;79,761
9130;2021-01-04 18:00:00;27,77;-0,2;79,945
9130;2021-01-04 20:00:00;27,82;-0,19;79,487
9130;2021-01-05 06:00:00;28,2;-0,17;77,756
9130;2021-01-05 08:00:00;28,11;-0,19;78,149
9130;2021-01-05 12:00:00;27,87;-0,2;79,562
9130;2021-01-05 16:00:00;27,78;-0,21;79,792
9130;2021-01-05 18:00:00;27,75;-0,21;79,776
9130;2021-01-05 20:00:00;27,84;-0,24;79,522
9130;2021-01-06 06:00:00;28,02;-0,28;78,802
9130;2021-01-06 08:00:00;27,96;-0,3;79,222
9130;2021-01-06 12:00:00;27,52;-0,33;80,756
9130;2021-01-06 16:00:00;27,38;-0,37;81,292
9130;2021-01-06 18:00:00;27,3;-0,4;81,669
9130;2021-01-06 20:00:00;25,87;-0,37;81,413
9130;2021-01-07 06:00:00;26,03;-0,4;80,703
9130;2021-01-07 08:00:00;27,41;-0,44;81,04
9130;2021-01-07 12:00:00;27,01;-0,48;82,543
9130;2021-01-07 16:00:00;26,99;-0,48;82,669
9130;2021-01-07 18:00:00;27,12;-0,45;82,146
9130;2021-01-07 20:00:00;27,01;-0,51;82,722
9130;2021-01-08 06:00:00;27,3;-0,51;81,117
9130;2021-01-08 08:00:00;27,13;-0,52;81,895
9130;2021-01-08 12:00:00;26,96;-0,49;82,465
9130;2021-01-08 16:00:00;27,04;-0,54;82,801
9130;2021-01-08 18:00:00;27,06;-0,57;82,95
9130;2021-01-08 20:00:00;27,21;-0,53;82,362
9130;2021-01-09 06:00:00;28,15;-0,42;78,356
9130;2021-01-09 08:00:00;27,96;-0,46;79,401
9130;2021-01-09 12:00:00;27,67;-0,46;80,806
9130;2021-01-09 16:00:00;27,74;-0,44;80,538
9130;2021-01-09 18:00:00;27,74;-0,43;80,641
9130;2021-01-09 20:00:00;27,76;-0,42;80,481
9130;2021-01-10 06:00:00;28,07;-0,41;79,302
9130;2021-01-10 08:00:00;27,86;-0,44;80,053
9130;2021-01-10 12:00:00;27,48;-0,5;81,536
9130;2021-01-10 16:00:00;26,95;-0,58;83,392
9130;2021-01-10 18:00:00;26,83;-0,61;84,356
9130;2021-01-10 20:00:00;26,79;-0,62;84,173
9130;2021-01-11 06:00:00;26,67;-0,7;85,521
9130;2021-01-11 08:00:00;24,88;-0,65;84,545
9130;2021-01-11 12:00:00;24,35;-0,72;87,01
9130;2021-01-11 16:00:00;26,07;-0,81;87,62
9130;2021-01-11 18:00:00;24,52;-0,82;87,839
9130;2021-01-11 20:00:00;25,78;-0,86;87,824
9130;2021-01-12 06:00:00;25,75;-0,9;87,832
9130;2021-01-12 08:00:00;25,55;-0,95;88,633
9130;2021-01-12 12:00:00;25,98;-0,91;90,111
9130;2021-01-12 16:00:00;26,43;-0,87;90,353
9130;2021-01-12 18:00:00;27,22;-0,87;90,842
9130;2021-01-12 20:00:00;25,58;-0,88;90,892
9130;2021-01-13 06:00:00;27,76;-0,94;91,295
9130;2021-01-13 08:00:00;27,33;-1;93,097
9130;2021-01-13 12:00:00;27,18;-0,97;93,497
9130;2021-01-13 16:00:00;27,21;-0,99;92,967
9130;2021-01-13 18:00:00;27,07;-1,03;93,563
9130;2021-01-13 20:00:00;27,03;-1,08;93,404
9130;2021-01-14 06:00:00;27;-1,14;93,354
9130;2021-01-14 08:00:00;26,66;-1,18;94,791
9130;2021-01-14 12:00:00;26,29;-1,16;95,938
9130;2021-01-14 16:00:00;26,56;-1,13;94,76
9130;2021-01-14 18:00:00;26,64;-1,18;94,955
9130;2021-01-14 20:00:00;26,71;-1,19;94,817
9130;2021-01-15 06:00:00;28,06;-1,04;91,613
9130;2021-01-15 08:00:00;28,31;-1,01;90,151
9130;2021-01-15 12:00:00;27,71;-1,08;88,294
9130;2021-01-15 16:00:00;27,06;-0,97;86,699
9130;2021-01-15 18:00:00;27,13;-0,93;84,268
