ObjectID;DateTime;P_in;T_in;Qh
9140;2021-01-01 00:00:00;NULL;NULL;0,838
9140;2021-01-01 02:00:00;NULL;NULL;0,849
9140;2021-01-01 04:00:00;NULL;NULL;0,843
9140;2021-01-01 06:00:00;33,5;NULL;0,847
9140;2021-01-01 08:00:00;NULL;NULL;0,856
9140;2021-01-01 10:00:00;NULL;NULL;0,895
9140;2021-01-01 12:00:00;33,9;NULL;0,893
9140;2021-01-01 14:00:00;NULL;NULL;0,89
9140;2021-01-01 16:00:00;NULL;NULL;0,902
9140;2021-01-01 18:00:00;33,9;NULL;0,882
9140;2021-01-01 20:00:00;NULL;NULL;0,9
9140;2021-01-01 22:00:00;NULL;NULL;0,869
9140;2021-01-02 00:00:00;NULL;NULL;0,88
9140;2021-01-02 02:00:00;NULL;NULL;0,86
9140;2021-01-02 04:00:00;NULL;NULL;0,855
9140;2021-01-02 06:00:00;NULL;NULL;0,857
9140;2021-01-02 08:00:00;NULL;NULL;0,88
9140;2021-01-02 10:00:00;NULL;NULL;0,88
9140;2021-01-02 12:00:00;33,9;NULL;0,896
9140;2021-01-02 14:00:00;NULL;NULL;0,877
9140;2021-01-02 16:00:00;NULL;NULL;0,899
9140;2021-01-02 18:00:00;33,9;NULL;0,898
9140;2021-01-02 20:00:00;NULL;NULL;0,881
9140;2021-01-02 22:00:00;NULL;NULL;0,887
9140;2021-01-03 00:00:00;NULL;NULL;0,865
9140;2021-01-03 02:00:00;NULL;NULL;0,889
9140;2021-01-03 04:00:00;NULL;NULL;0,853
9140;2021-01-03 06:00:00;33,9;NULL;0,863
9140;2021-01-03 08:00:00;NULL;NULL;0,873
9140;2021-01-03 10:00:00;NULL;NULL;0,899
9140;2021-01-03 12:00:00;33,8;NULL;0,89
9140;2021-01-03 14:00:00;NULL;NULL;0,892
9140;2021-01-03 16:00:00;NULL;NULL;0,899
9140;2021-01-03 18:00:00;33,8;NULL;0,894
9140;2021-01-03 20:00:00;NULL;NULL;0,892
9140;2021-01-03 22:00:00;NULL;NULL;0,862
9140;2021-01-04 00:00:00;NULL;NULL;0,876
9140;2021-01-04 02:00:00;NULL;NULL;0,86
9140;2021-01-04 04:00:00;NULL;NULL;0,852
9140;2021-01-04 06:00:00;33,8;NULL;0,859
9140;2021-01-04 08:00:00;NULL;NULL;0,899
9140;2021-01-04 10:00:00;NULL;NULL;0,884
9140;2021-01-04 12:00:00;33,8;NULL;0,873
9140;2021-01-04 14:00:00;NULL;NULL;0,876
9140;2021-01-04 16:00:00;NULL;NULL;0,874
9140;2021-01-04 18:00:00;NULL;NULL;0,889
9140;2021-01-04 20:00:00;NULL;NULL;0,885
9140;2021-01-04 22:00:00;NULL;NULL;0,867
9140;2021-01-05 00:00:00;NULL;NULL;0,871
9140;2021-01-05 02:00:00;NULL;NULL;0,854
9140;2021-01-05 04:00:00;NULL;NULL;0,861
9140;2021-01-05 06:00:00;33,8;NULL;0,856
9140;2021-01-05 08:00:00;NULL;NULL;0,894
9140;2021-01-05 10:00:00;NULL;NULL;0,899
9140;2021-01-05 12:00:00;33,5;NULL;0,893
9140;2021-01-05 14:00:00;NULL;NULL;0,878
9140;2021-01-05 16:00:00;NULL;NULL;0,907
9140;2021-01-05 18:00:00;33,5;NULL;0,891
9140;2021-01-05 20:00:00;NULL;NULL;0,9
9140;2021-01-05 22:00:00;NULL;NULL;0,879
9140;2021-01-06 00:00:00;NULL;NULL;0,861
9140;2021-01-06 02:00:00;NULL;NULL;0,868
9140;2021-01-06 04:00:00;NULL;NULL;0,876
9140;2021-01-06 06:00:00;33,5;NULL;0,864
9140;2021-01-06 08:00:00;NULL;NULL;0,899
9140;2021-01-06 10:00:00;NULL;NULL;0,875
9140;2021-01-06 12:00:00;33,5;NULL;0,89
9140;2021-01-06 14:00:00;NULL;NULL;0,89
9140;2021-01-06 16:00:00;NULL;NULL;0,883
9140;2021-01-06 18:00:00;33,5;NULL;0,911
