ObjectID;DateTime;P_in;T_in;Qh
9550;2021-01-01 06:00:00;31,5;NULL;0,312
9550;2021-01-01 12:00:00;32;-2;0,328
9550;2021-01-01 14:00:00;NULL;NULL;0,333
9550;2021-01-01 18:00:00;32;NULL;0,331
9550;2021-01-02 06:00:00;NULL;NULL;0,324
9550;2021-01-02 12:00:00;32;-1;0,333
9550;2021-01-02 14:00:00;NULL;NULL;0,346
9550;2021-01-02 18:00:00;32;NULL;0,333
9550;2021-01-03 06:00:00;32;NULL;0,33
9550;2021-01-03 12:00:00;32;-1;0,346
9550;2021-01-03 14:00:00;NULL;NULL;0,34
9550;2021-01-03 18:00:00;32;NULL;0,334
9550;2021-01-04 06:00:00;32;NULL;0,326
9550;2021-01-04 12:00:00;32;-1;0,337
9550;2021-01-04 14:00:00;NULL;NULL;0,34
9550;2021-01-04 18:00:00;32;NULL;0,337
9550;2021-01-05 06:00:00;32;NULL;0,312
9550;2021-01-05 12:00:00;32;-1;0,327
9550;2021-01-05 14:00:00;NULL;NULL;0,337
9550;2021-01-05 18:00:00;32;NULL;0,33
9550;2021-01-06 06:00:00;32;NULL;0,316
9550;2021-01-06 12:00:00;31,5;1;0,348
9550;2021-01-06 14:00:00;NULL;NULL;0,339
9550;2021-01-06 18:00:00;31,5;NULL;0,339
9550;2021-01-07 06:00:00;31,5;NULL;0,328
9550;2021-01-07 12:00:00;31;1;0,35
9550;2021-01-07 14:00:00;NULL;NULL;0,352
9550;2021-01-07 18:00:00;31;NULL;0,348
9550;2021-01-08 06:00:00;31;NULL;0,335
9550;2021-01-08 12:00:00;31;1;0,348
9550;2021-01-08 14:00:00;NULL;NULL;0,351
9550;2021-01-08 18:00:00;31;NULL;0,341
9550;2021-01-09 06:00:00;31;NULL;0,316
9550;2021-01-09 12:00:00;31,5;1;0,332
9550;2021-01-09 14:00:00;NULL;NULL;0,33
9550;2021-01-09 18:00:00;31,5;NULL;0,326
9550;2021-01-10 06:00:00;31,5;NULL;0,311
9550;2021-01-10 12:00:00;31,5;1;0,334
9550;2021-01-10 14:00:00;NULL;NULL;0,33
9550;2021-01-10 18:00:00;31,5;NULL;0,334
9550;2021-01-11 06:00:00;31,5;NULL;0,324
9550;2021-01-11 12:00:00;31;-2;0,345
9550;2021-01-11 14:00:00;NULL;NULL;0,339
9550;2021-01-11 18:00:00;31;NULL;0,352
9550;2021-01-12 06:00:00;30,5;NULL;0,352
9550;2021-01-12 12:00:00;31;-2;0,36
9550;2021-01-12 14:00:00;NULL;NULL;0,349
9550;2021-01-12 18:00:00;31;NULL;0,373
9550;2021-01-13 06:00:00;31;NULL;0,351
9550;2021-01-13 12:00:00;32;-2;0,373
9550;2021-01-13 14:00:00;NULL;NULL;0,377
9550;2021-01-13 18:00:00;32;NULL;0,39
9550;2021-01-14 06:00:00;NULL;NULL;0,39
9550;2021-01-14 12:00:00;32;-2;0,409
9550;2021-01-14 14:00:00;NULL;NULL;0,389
9550;2021-01-14 18:00:00;32;NULL;0,384
9550;2021-01-15 06:00:00;32;NULL;0,369
9550;2021-01-15 12:00:00;32;-2;0,378
9550;2021-01-15 14:00:00;NULL;NULL;0,379
9550;2021-01-15 18:00:00;32;NULL;0,383
9550;2021-01-16 06:00:00;32;NULL;0,355
9550;2021-01-16 12:00:00;31,5;0;0,35
9550;2021-01-16 14:00:00;NULL;NULL;0,358
9550;2021-01-16 18:00:00;NULL;NULL;0,341
9550;2021-01-17 06:00:00;31,5;NULL;0,318
9550;2021-01-17 12:00:00;31,5;-1;0,329
9550;2021-01-17 14:00:00;NULL;NULL;0,323
9550;2021-01-17 18:00:00;31,5;NULL;0,328
9550;2021-01-18 06:00:00;30,5;NULL;0,334
9550;2021-01-18 12:00:00;30,5;-2;0,345
9550;2021-01-18 14:00:00;NULL;NULL;0,338
9550;2021-01-18 18:00:00;31;NULL;0,356
9550;2021-01-19 06:00:00;31;NULL;0,347
9550;2021-01-19 12:00:00;31,5;-2;0,363
9550;2021-01-19 14:00:00;NULL;NULL;0,357
9550;2021-01-19 18:00:00;31,5;NULL;0,359
9550;2021-01-20 06:00:00;32;NULL;0,34
9550;2021-01-20 12:00:00;32;-2;0,359
9550;2021-01-20 14:00:00;NULL;NULL;0,347
9550;2021-01-20 18:00:00;32;NULL;0,352
9550;2021-01-21 06:00:00;31,5;NULL;0,346
9550;2021-01-21 12:00:00;31,5;-3;0,363
9550;2021-01-21 14:00:00;NULL;NULL;0,356
9550;2021-01-21 18:00:00;31,5;NULL;0,359
9550;2021-01-22 06:00:00;31,5;NULL;0,347
9550;2021-01-22 12:00:00;32;-2;0,328
9550;2021-01-22 14:00:00;NULL;NULL;0,36
9550;2021-01-22 18:00:00;32;NULL;0,354
9550;2021-01-23 06:00:00;31,5;NULL;0,364
9550;2021-01-23 12:00:00;31,5;-3;0,373
9550;2021-01-23 14:00:00;NULL;NULL;0,374
9550;2021-01-23 18:00:00;31,5;NULL;0,38
9550;2021-01-24 06:00:00;31,5;NULL;0,356
9550;2021-01-24 12:00:00;32;-2;0,371
9550;2021-01-24 14:00:00;NULL;NULL;0,371
9550;2021-01-24 18:00:00;32;NULL;0,36
9550;2021-01-25 06:00:00;32;NULL;0,307
9550;2021-01-25 12:00:00;32;0;0,308
9550;2021-01-25 14:00:00;NULL;NULL;0,31
