ObjectID;DateTime;P_in;T_in;Qh
9210;2021-01-01 00:00:00;NULL;NULL;24,142
9210;2021-01-01 02:00:00;NULL;NULL;24,089
9210;2021-01-01 04:00:00;NULL;NULL;23,492
9210;2021-01-01 06:00:00;NULL;NULL;24,535
9210;2021-01-01 08:00:00;46,8;3;24,004
9210;2021-01-01 10:00:00;NULL;NULL;24,888
9210;2021-01-01 12:00:00;46,8;3;25,425
9210;2021-01-01 14:00:00;NULL;NULL;25,431
9210;2021-01-01 16:00:00;NULL;NULL;25,621
9210;2021-01-01 18:00:00;NULL;NULL;25,697
9210;2021-01-01 20:00:00;47,4;3;25,365
9210;2021-01-01 22:00:00;NULL;NULL;24,875
9210;2021-01-02 00:00:00;NULL;NULL;24,453
9210;2021-01-02 04:00:00;NULL;NULL;23,798
9210;2021-01-02 06:00:00;NULL;NULL;24,687
9210;2021-01-02 08:00:00;49;3;24,795
9210;2021-01-02 10:00:00;NULL;NULL;25,637
9210;2021-01-02 12:00:00;49;3;25,737
9210;2021-01-02 14:00:00;NULL;NULL;24,914
9210;2021-01-02 16:00:00;NULL;NULL;25,032
9210;2021-01-02 18:00:00;NULL;NULL;25,368
9210;2021-01-02 20:00:00;49;3;25,593
9210;2021-01-02 22:00:00;NULL;NULL;25,153
9210;2021-01-03 00:00:00;NULL;NULL;23,959
9210;2021-01-03 02:00:00;NULL;NULL;23,232
9210;2021-01-03 04:00:00;NULL;NULL;24,167
9210;2021-01-03 06:00:00;NULL;NULL;24,225
9210;2021-01-03 08:00:00;49;3;24,498
9210;2021-01-03 10:00:00;NULL;NULL;25,113
9210;2021-01-03 12:00:00;49;3;24,789
9210;2021-01-03 14:00:00;NULL;NULL;25,642
9210;2021-01-03 16:00:00;NULL;NULL;25,442
9210;2021-01-03 18:00:00;NULL;NULL;25,716
9210;2021-01-03 20:00:00;49,2;3;25,485
9210;2021-01-03 22:00:00;NULL;NULL;24,6
9210;2021-01-04 00:00:00;NULL;NULL;24,49
9210;2021-01-04 02:00:00;NULL;NULL;23,245
9210;2021-01-04 04:00:00;NULL;NULL;23,751
9210;2021-01-04 06:00:00;NULL;NULL;24,397
9210;2021-01-04 08:00:00;49,4;3;24,502
9210;2021-01-04 10:00:00;NULL;NULL;25,558
9210;2021-01-04 12:00:00;49,5;3;26
9210;2021-01-04 14:00:00;NULL;NULL;25,361
9210;2021-01-04 16:00:00;NULL;NULL;25,717
9210;2021-01-04 18:00:00;NULL;NULL;25,884
9210;2021-01-04 20:00:00;49,2;3;26,174
9210;2021-01-04 22:00:00;NULL;NULL;24,797
9210;2021-01-05 00:00:00;NULL;NULL;24,706
9210;2021-01-05 02:00:00;NULL;NULL;24,323
9210;2021-01-05 04:00:00;NULL;NULL;24,848
9210;2021-01-05 06:00:00;NULL;NULL;24,342
9210;2021-01-05 08:00:00;49,6;3;25,015
9210;2021-01-05 10:00:00;NULL;NULL;25,61
9210;2021-01-05 12:00:00;49,8;3;25,83
9210;2021-01-05 14:00:00;NULL;NULL;25,674
9210;2021-01-05 16:00:00;NULL;NULL;23
9210;2021-01-05 18:00:00;NULL;NULL;26,227
9210;2021-01-05 20:00:00;49,6;3;25,266
9210;2021-01-05 22:00:00;NULL;NULL;25,259
9210;2021-01-06 00:00:00;NULL;NULL;25,012
9210;2021-01-06 02:00:00;NULL;NULL;24,6
9210;2021-01-06 04:00:00;NULL;NULL;24,456
9210;2021-01-06 06:00:00;NULL;NULL;25,533
9210;2021-01-06 08:00:00;49,6;3;25,565
9210;2021-01-06 10:00:00;NULL;NULL;26,564
9210;2021-01-06 12:00:00;49,2;3;26,786
9210;2021-01-06 14:00:00;NULL;NULL;26,612
9210;2021-01-06 16:00:00;NULL;NULL;27,008
9210;2021-01-06 18:00:00;NULL;NULL;26,836
9210;2021-01-06 20:00:00;48,3;3;26,724
9210;2021-01-06 22:00:00;NULL;NULL;25,949
9210;2021-01-07 00:00:00;NULL;NULL;25,011
9210;2021-01-07 02:00:00;NULL;NULL;25,392
9210;2021-01-07 04:00:00;NULL;NULL;25,452
9210;2021-01-07 06:00:00;NULL;NULL;25,751
9210;2021-01-07 08:00:00;47,5;3;26,084
9210;2021-01-07 10:00:00;NULL;NULL;27,071
