ObjectID;DateTime;P_in;T_in;Qh
9220;2021-01-01 06:00:00;48,3;NULL;14,649
9220;2021-01-01 08:00:00;NULL;NULL;14,809
9220;2021-01-01 12:00:00;48,3;3;15,297
9220;2021-01-01 16:00:00;NULL;NULL;15,186
9220;2021-01-01 18:00:00;48,3;NULL;15,275
9220;2021-01-01 20:00:00;NULL;NULL;15,164
9220;2021-01-02 06:00:00;49;NULL;14,739
9220;2021-01-02 08:00:00;NULL;NULL;14,803
9220;2021-01-02 12:00:00;49;3;15,112
9220;2021-01-02 16:00:00;NULL;NULL;14,936
9220;2021-01-02 18:00:00;49;NULL;15,397
9220;2021-01-02 20:00:00;NULL;NULL;15,306
9220;2021-01-03 06:00:00;49,3;NULL;14,56
9220;2021-01-03 08:00:00;NULL;NULL;14,841
9220;2021-01-03 12:00:00;50,4;3;15,153
9220;2021-01-03 16:00:00;NULL;NULL;15,152
9220;2021-01-03 18:00:00;50,9;NULL;15,404
9220;2021-01-03 20:00:00;NULL;NULL;15,006
9220;2021-01-04 06:00:00;50;NULL;14,356
9220;2021-01-04 08:00:00;NULL;NULL;14,903
9220;2021-01-04 12:00:00;50;3;14,852
9220;2021-01-04 16:00:00;NULL;NULL;15,581
9220;2021-01-04 18:00:00;50;NULL;16,182
9220;2021-01-04 20:00:00;NULL;NULL;16,097
9220;2021-01-05 06:00:00;50,4;NULL;15,5
9220;2021-01-05 08:00:00;NULL;NULL;15,192
9220;2021-01-05 12:00:00;50,4;3;15,167
9220;2021-01-05 16:00:00;NULL;NULL;15,663
9220;2021-01-05 18:00:00;50,4;NULL;15,747
9220;2021-01-05 20:00:00;NULL;NULL;15,93
9220;2021-01-06 06:00:00;50;NULL;15,865
9220;2021-01-06 08:00:00;NULL;NULL;15,707
9220;2021-01-06 12:00:00;50,4;3;16,46
9220;2021-01-06 16:00:00;NULL;NULL;16,679
9220;2021-01-06 18:00:00;49;NULL;16,482
9220;2021-01-06 20:00:00;NULL;NULL;16,637
9220;2021-01-07 06:00:00;48,3;NULL;15,744
9220;2021-01-07 08:00:00;NULL;NULL;16,096
9220;2021-01-07 12:00:00;48,3;3;16,51
9220;2021-01-07 16:00:00;NULL;NULL;16,433
9220;2021-01-07 18:00:00;48,3;NULL;16,727
9220;2021-01-07 20:00:00;NULL;NULL;16,481
9220;2021-01-08 06:00:00;49;NULL;16,418
9220;2021-01-08 08:00:00;NULL;NULL;16,791
9220;2021-01-08 12:00:00;49;3;16,528
9220;2021-01-08 16:00:00;NULL;NULL;16,159
9220;2021-01-08 18:00:00;49;NULL;17,177
9220;2021-01-08 20:00:00;NULL;NULL;16,578
9220;2021-01-09 06:00:00;49,4;NULL;15,335
9220;2021-01-09 08:00:00;NULL;NULL;15,628
9220;2021-01-09 12:00:00;49,4;3;15,433
9220;2021-01-09 16:00:00;NULL;NULL;15,659
9220;2021-01-09 18:00:00;49,4;NULL;15,494
9220;2021-01-09 20:00:00;NULL;NULL;15,226
9220;2021-01-10 06:00:00;49;NULL;14,584
9220;2021-01-10 08:00:00;NULL;NULL;15,055
9220;2021-01-10 12:00:00;49;3;15,557
9220;2021-01-10 16:00:00;NULL;NULL;15,396
9220;2021-01-10 18:00:00;49;NULL;16,052
9220;2021-01-10 20:00:00;NULL;NULL;16,26
9220;2021-01-11 06:00:00;49,4;NULL;15,743
9220;2021-01-11 08:00:00;NULL;NULL;15,805
9220;2021-01-11 12:00:00;49,4;3;15,996
9220;2021-01-11 16:00:00;NULL;NULL;16,674
9220;2021-01-11 18:00:00;50,4;NULL;16,527
9220;2021-01-11 20:00:00;NULL;NULL;17,094
9220;2021-01-12 06:00:00;50;NULL;16,273
9220;2021-01-12 08:00:00;NULL;NULL;16,552
9220;2021-01-12 12:00:00;50;3;16,652
9220;2021-01-12 16:00:00;NULL;NULL;16,843
9220;2021-01-12 18:00:00;50;NULL;17,872
9220;2021-01-12 20:00:00;NULL;NULL;17,311
9220;2021-01-13 06:00:00;50,4;NULL;17,392
9220;2021-01-13 08:00:00;NULL;NULL;17,292
9220;2021-01-13 12:00:00;50,4;3;17,796
9220;2021-01-13 16:00:00;NULL;NULL;17,661
9220;2021-01-13 18:00:00;50,4;NULL;17,796
9220;2021-01-13 20:00:00;NULL;NULL;17,857
9220;2021-01-14 06:00:00;50,4;NULL;15,388
9220;2021-01-14 08:00:00;NULL;NULL;17,172
9220;2021-01-14 12:00:00;50;3;18,689
9220;2021-01-14 16:00:00;NULL;NULL;18,058
9220;2021-01-14 18:00:00;50;NULL;17,672
9220;2021-01-14 20:00:00;NULL;NULL;18,307
9220;2021-01-15 06:00:00;50,4;NULL;17,543
9220;2021-01-15 08:00:00;NULL;NULL;17,766
9220;2021-01-15 12:00:00;50,4;3;16,985
9220;2021-01-15 16:00:00;NULL;NULL;16,049
9220;2021-01-15 18:00:00;50,4;NULL;16,649
9220;2021-01-15 20:00:00;NULL;NULL;16,165
9220;2021-01-16 06:00:00;50,4;NULL;14,777
9220;2021-01-16 08:00:00;NULL;NULL;14,682
9220;2021-01-16 12:00:00;51;3;15,094
9220;2021-01-16 16:00:00;NULL;NULL;15,189
9220;2021-01-16 18:00:00;51;NULL;15,368
9220;2021-01-16 20:00:00;NULL;NULL;15,096
9220;2021-01-17 06:00:00;51;NULL;14,032
9220;2021-01-17 08:00:00;NULL;NULL;15,166
9220;2021-01-17 12:00:00;51,5;3;14,877
9220;2021-01-17 16:00:00;NULL;NULL;14,991
9220;2021-01-17 18:00:00;51,5;NULL;15,059
9220;2021-01-17 20:00:00;NULL;NULL;15,652
9220;2021-01-18 06:00:00;51;NULL;15,665
9220;2021-01-18 08:00:00;NULL;NULL;15,213
9220;2021-01-18 12:00:00;51;3;15,581
9220;2021-01-18 16:00:00;NULL;NULL;14,575
9220;2021-01-18 18:00:00;51;NULL;15,36
9220;2021-01-18 20:00:00;NULL;NULL;16,504
9220;2021-01-19 06:00:00;51,5;NULL;16,496
9220;2021-01-19 08:00:00;NULL;NULL;16,049
9220;2021-01-19 12:00:00;51,5;3;16,443
9220;2021-01-19 16:00:00;NULL;NULL;15,813
9220;2021-01-19 18:00:00;52,5;NULL;15,961
9220;2021-01-19 20:00:00;NULL;NULL;15,972
9220;2021-01-20 06:00:00;52,5;NULL;15,342
9220;2021-01-20 08:00:00;NULL;NULL;14,846
9220;2021-01-20 12:00:00;52,5;3;15,391
9220;2021-01-20 16:00:00;NULL;NULL;15,302
9220;2021-01-20 18:00:00;52,5;NULL;15,653
9220;2021-01-20 20:00:00;NULL;NULL;15,194
9220;2021-01-21 06:00:00;52,5;NULL;15,495
9220;2021-01-21 08:00:00;NULL;NULL;16,068
9220;2021-01-21 12:00:00;52,5;3;15,779
9220;2021-01-21 16:00:00;NULL;NULL;14,912
9220;2021-01-21 18:00:00;52,5;NULL;15,674
9220;2021-01-21 20:00:00;NULL;NULL;15,697
9220;2021-01-22 06:00:00;52,5;NULL;15,632
9220;2021-01-22 08:00:00;NULL;NULL;15,86
9220;2021-01-22 12:00:00;51,5;3;15,437
9220;2021-01-22 16:00:00;NULL;NULL;15,418
9220;2021-01-22 18:00:00;52,5;NULL;15,622
9220;2021-01-22 20:00:00;NULL;NULL;16,257
9220;2021-01-23 06:00:00;52,5;NULL;16,559
9220;2021-01-23 08:00:00;NULL;NULL;17,596
9220;2021-01-23 12:00:00;51,5;3;17,38
9220;2021-01-23 16:00:00;NULL;NULL;17,963
9220;2021-01-23 18:00:00;51,5;NULL;17,646
9220;2021-01-23 20:00:00;NULL;NULL;18,169
9220;2021-01-24 06:00:00;51,5;NULL;16,457
9220;2021-01-24 08:00:00;NULL;NULL;17,264
9220;2021-01-24 12:00:00;51,5;3;17,457
9220;2021-01-24 16:00:00;NULL;NULL;16,997
9220;2021-01-24 18:00:00;51,5;NULL;16,886
9220;2021-01-24 20:00:00;NULL;NULL;17,019
9220;2021-01-25 06:00:00;52,5;NULL;14,446
9220;2021-01-25 08:00:00;NULL;NULL;14,062
9220;2021-01-25 12:00:00;52,5;3;13,824
9220;2021-01-25 16:00:00;NULL;NULL;13,579
9220;2021-01-25 18:00:00;51,5;NULL;13,291
9220;2021-01-25 20:00:00;NULL;NULL;13,419
9220;2021-01-26 06:00:00;51,5;NULL;13,083
9220;2021-01-26 08:00:00;NULL;NULL;13,55
9220;2021-01-26 12:00:00;51,5;3;12,54
9220;2021-01-26 16:00:00;NULL;NULL;13,43
9220;2021-01-26 18:00:00;51,5;NULL;13,1
9220;2021-01-26 20:00:00;NULL;NULL;13,007
9220;2021-01-27 06:00:00;51,5;NULL;12,711
9220;2021-01-27 08:00:00;NULL;NULL;12,822
9220;2021-01-27 12:00:00;51,5;3;12,225
9220;2021-01-27 16:00:00;NULL;NULL;12,365
9220;2021-01-27 18:00:00;51,5;NULL;13,571
9220;2021-01-27 20:00:00;NULL;NULL;12,678
9220;2021-01-28 06:00:00;51,5;NULL;13,097
9220;2021-01-28 08:00:00;NULL;NULL;13,094
9220;2021-01-28 12:00:00;51,5;3;12,478
9220;2021-01-28 16:00:00;NULL;NULL;12,71
9220;2021-01-28 18:00:00;51,5;NULL;12,992
9220;2021-01-28 20:00:00;NULL;NULL;13,025
9220;2021-01-29 06:00:00;51,5;NULL;13,657
9220;2021-01-29 08:00:00;NULL;NULL;14,185
