ObjectID;DateTime;P_in;T_in;Qh
9230;2021-01-01 06:00:00;46,88;3,6;1,862
9230;2021-01-01 12:00:00;46,84;3,4;1,945
9230;2021-01-01 14:00:00;46,79;3,43;1,945
9230;2021-01-01 18:00:00;47,06;3,39;1,997
9230;2021-01-02 06:00:00;47,82;3,57;1,888
9230;2021-01-02 12:00:00;48,1;3,38;1,984
9230;2021-01-02 14:00:00;48,16;3,43;1,986
9230;2021-01-02 18:00:00;48,85;3,29;2,009
9230;2021-01-03 06:00:00;48,45;3,47;1,879
9230;2021-01-03 12:00:00;48,85;3,37;1,989
9230;2021-01-03 14:00:00;48,89;3,4;1,984
9230;2021-01-03 18:00:00;48,98;3,41;1,982
9230;2021-01-04 06:00:00;49,21;3,41;1,879
9230;2021-01-04 12:00:00;49,28;3,3;2,019
9230;2021-01-04 14:00:00;49,24;3,33;2,012
9230;2021-01-04 18:00:00;49,15;3,27;2,033
9230;2021-01-05 06:00:00;49,22;3,42;1,916
9230;2021-01-05 12:00:00;49,5;3,29;2,012
9230;2021-01-05 14:00:00;49,53;3,34;1,993
9230;2021-01-05 18:00:00;49,39;3,44;1,971
9230;2021-01-06 06:00:00;49,08;3,28;1,927
9230;2021-01-06 12:00:00;48,9;3,23;1,974
9230;2021-01-06 14:00:00;48,74;3,16;2,006
9230;2021-01-06 18:00:00;48,45;2,98;2,07
9230;2021-01-07 06:00:00;47,51;3,11;1,95
9230;2021-01-07 12:00:00;47,25;2,97;2,043
9230;2021-01-07 14:00:00;47,18;3,05;2,036
9230;2021-01-07 18:00:00;47,38;2,96;2,101
9230;2021-01-08 06:00:00;48,11;2,81;1,981
9230;2021-01-08 12:00:00;48,19;2,92;2,003
9230;2021-01-08 14:00:00;48,23;3,07;2,008
9230;2021-01-08 18:00:00;48,26;2,97;2,063
9230;2021-01-09 06:00:00;48,5;3,34;1,939
9230;2021-01-09 12:00:00;48,46;3,23;2,018
9230;2021-01-09 14:00:00;48,39;3,37;2,001
9230;2021-01-09 18:00:00;48,34;3,39;2,002
9230;2021-01-10 06:00:00;48,49;3,23;1,882
9230;2021-01-10 12:00:00;48,6;2,9;2,037
9230;2021-01-10 14:00:00;48,57;2,84;2,24
9230;2021-01-10 18:00:00;48,37;2,72;2,322
9230;2021-01-11 06:00:00;48,57;3,18;1,895
9230;2021-01-11 12:00:00;48,11;2,21;3,137
9230;2021-01-11 14:00:00;48,31;2,08;3,137
9230;2021-01-11 18:00:00;48,9;2,03;2,975
9230;2021-01-12 06:00:00;48,82;1,99;3,087
9230;2021-01-12 12:00:00;48,91;2,13;3,056
9230;2021-01-12 14:00:00;48,91;2,2;2,997
9230;2021-01-12 18:00:00;48,79;2,03;3,097
9230;2021-01-13 06:00:00;49;2,21;3,003
9230;2021-01-13 12:00:00;49,18;2,5;2,569
9230;2021-01-13 14:00:00;48,93;2,27;3,043
9230;2021-01-13 18:00:00;48,41;1,74;3,507
9230;2021-01-14 06:00:00;49,1;2,71;1,533
9230;2021-01-14 12:00:00;48,56;1,87;3,049
9230;2021-01-14 14:00:00;48,44;1,84;3,245
9230;2021-01-14 18:00:00;48,9;2,5;1,932
9230;2021-01-15 06:00:00;48,59;1,77;3,284
9230;2021-01-15 12:00:00;48,75;1,94;3,234
9230;2021-01-15 14:00:00;48,82;2,13;3,085
9230;2021-01-15 18:00:00;48,93;2,17;3,21
9230;2021-01-16 06:00:00;49,72;2,34;3,084
9230;2021-01-16 12:00:00;49,91;2,55;2,815
9230;2021-01-16 14:00:00;50,15;2,41;2,912
9230;2021-01-16 18:00:00;50,25;2,4;3,038
9230;2021-01-17 06:00:00;49,7;2,5;2,722
9230;2021-01-17 12:00:00;49,6;2,39;2,84
