ObjectID;DateTime;P_in;T_in;Qh
9240;2021-01-01 06:00:00;47;NULL;14,789
9240;2021-01-01 08:00:00;NULL;NULL;14,325
9240;2021-01-01 12:00:00;45,5;2;14,59
9240;2021-01-01 16:00:00;NULL;NULL;14,905
9240;2021-01-01 18:00:00;45,5;NULL;14,948
9240;2021-01-01 20:00:00;NULL;NULL;15,068
9240;2021-01-02 06:00:00;NULL;NULL;14,653
9240;2021-01-02 08:00:00;NULL;NULL;14,406
9240;2021-01-02 12:00:00;47;2;14,669
9240;2021-01-02 16:00:00;NULL;NULL;15,254
9240;2021-01-02 18:00:00;47;NULL;15,344
9240;2021-01-02 20:00:00;NULL;NULL;15,776
9240;2021-01-03 06:00:00;47;NULL;14,572
9240;2021-01-03 08:00:00;NULL;NULL;14,681
9240;2021-01-03 12:00:00;49;2;14,823
9240;2021-01-03 16:00:00;NULL;NULL;14,811
9240;2021-01-03 18:00:00;49;NULL;15,025
9240;2021-01-03 20:00:00;NULL;NULL;14,917
9240;2021-01-04 06:00:00;48,5;NULL;14,601
9240;2021-01-04 08:00:00;NULL;NULL;14,422
9240;2021-01-04 12:00:00;49;2;15,086
9240;2021-01-04 16:00:00;NULL;NULL;15,648
9240;2021-01-04 18:00:00;NULL;NULL;15,925
9240;2021-01-04 20:00:00;NULL;NULL;16,173
9240;2021-01-05 06:00:00;48;NULL;15,048
9240;2021-01-05 08:00:00;NULL;NULL;14,826
9240;2021-01-05 12:00:00;48;2;15,427
9240;2021-01-05 16:00:00;NULL;NULL;15,06
9240;2021-01-05 18:00:00;48;NULL;15,644
9240;2021-01-05 20:00:00;NULL;NULL;15,848
9240;2021-01-06 06:00:00;48;NULL;15,494
9240;2021-01-06 08:00:00;NULL;NULL;15,554
9240;2021-01-06 12:00:00;48;2;15,818
9240;2021-01-06 16:00:00;NULL;NULL;16,414
9240;2021-01-06 18:00:00;47,5;NULL;17,083
9240;2021-01-06 20:00:00;NULL;NULL;16,457
9240;2021-01-07 06:00:00;47,5;NULL;15,926
9240;2021-01-07 08:00:00;NULL;NULL;15,815
9240;2021-01-07 12:00:00;48;1;16,152
9240;2021-01-07 16:00:00;NULL;NULL;16,191
9240;2021-01-07 18:00:00;48;NULL;16,254
9240;2021-01-07 20:00:00;NULL;NULL;16,335
9240;2021-01-08 06:00:00;48;NULL;16,386
9240;2021-01-08 08:00:00;NULL;NULL;16,011
9240;2021-01-08 12:00:00;47;1;15,436
9240;2021-01-08 16:00:00;NULL;NULL;16,335
9240;2021-01-08 18:00:00;NULL;NULL;15,751
9240;2021-01-08 20:00:00;NULL;NULL;15,644
9240;2021-01-09 06:00:00;47;NULL;14,241
9240;2021-01-09 08:00:00;NULL;NULL;14,081
9240;2021-01-09 12:00:00;47;1;14,423
9240;2021-01-09 16:00:00;NULL;NULL;14,099
9240;2021-01-09 18:00:00;47;NULL;14,344
9240;2021-01-09 20:00:00;NULL;NULL;14,075
9240;2021-01-10 06:00:00;NULL;NULL;14,248
9240;2021-01-10 08:00:00;NULL;NULL;13,641
9240;2021-01-10 12:00:00;48;1;14,599
