ObjectID;DateTime;P_in;T_in;Qh
9310;2021-01-01 06:00:00;46,1;NULL;1,3
9310;2021-01-01 12:00:00;46,2;1;1,2
9310;2021-01-01 14:00:00;NULL;NULL;1,162
9310;2021-01-01 18:00:00;46,2;NULL;1,209
9310;2021-01-02 06:00:00;NULL;NULL;1,13
9310;2021-01-02 12:00:00;47,4;0;1,166
9310;2021-01-02 14:00:00;NULL;NULL;1,131
9310;2021-01-02 18:00:00;47,4;NULL;1,164
9310;2021-01-03 06:00:00;47,4;NULL;1,139
9310;2021-01-03 12:00:00;48,1;1;1,157
9310;2021-01-03 14:00:00;NULL;NULL;1,112
9310;2021-01-03 18:00:00;48,1;NULL;1,185
9310;2021-01-04 06:00:00;48;NULL;1,15
9310;2021-01-04 12:00:00;48,5;0;1,195
9310;2021-01-04 14:00:00;NULL;NULL;1,175
9310;2021-01-04 18:00:00;NULL;NULL;1,258
9310;2021-01-05 06:00:00;48,5;NULL;1,174
9310;2021-01-05 12:00:00;48,7;0;1,162
9310;2021-01-05 14:00:00;NULL;NULL;1,143
9310;2021-01-05 18:00:00;48,7;NULL;1,193
9310;2021-01-06 06:00:00;48,7;NULL;1,191
9310;2021-01-06 12:00:00;48,1;0;1,241
9310;2021-01-06 14:00:00;NULL;NULL;1,233
9310;2021-01-06 18:00:00;48;NULL;1,325
9310;2021-01-07 06:00:00;48;NULL;1,277
9310;2021-01-07 12:00:00;46,5;0;1,254
9310;2021-01-07 14:00:00;NULL;NULL;1,204
9310;2021-01-07 18:00:00;46,5;NULL;1,263
9310;2021-01-08 06:00:00;47;NULL;1,265
9310;2021-01-08 12:00:00;47,5;0;1,222
9310;2021-01-08 14:00:00;NULL;NULL;1,18
9310;2021-01-08 18:00:00;NULL;NULL;1,191
9310;2021-01-09 06:00:00;47,5;NULL;1,069
9310;2021-01-09 12:00:00;47,8;0;1,067
9310;2021-01-09 14:00:00;NULL;NULL;1,029
9310;2021-01-09 18:00:00;47,8;NULL;1,143
9310;2021-01-10 06:00:00;NULL;NULL;1,111
9310;2021-01-10 12:00:00;47,9;0;1,11
9310;2021-01-10 14:00:00;NULL;NULL;1,102
9310;2021-01-10 18:00:00;47,8;NULL;1,185
9310;2021-01-11 06:00:00;47,9;NULL;1,078
9310;2021-01-11 12:00:00;47,8;-1;1,124
9310;2021-01-11 14:00:00;NULL;NULL;1,126
9310;2021-01-11 18:00:00;48,6;NULL;1,177
9310;2021-01-12 06:00:00;48,5;NULL;1,22
9310;2021-01-12 12:00:00;48,6;-1;1,234
9310;2021-01-12 14:00:00;NULL;NULL;1,203
9310;2021-01-12 18:00:00;48,6;NULL;1,372
9310;2021-01-13 06:00:00;48,7;NULL;1,261
