ObjectID;DateTime;P_in;T_in;Qh
9320;2021-01-01 00:00:00;47;NULL;35,316
9320;2021-01-01 02:00:00;47;NULL;35,156
9320;2021-01-01 04:00:00;47;NULL;34,68
9320;2021-01-01 06:00:00;47;NULL;34,875
9320;2021-01-01 08:00:00;47;NULL;35,503
9320;2021-01-01 10:00:00;47;NULL;35,846
9320;2021-01-01 12:00:00;47;2;36,165
9320;2021-01-01 14:00:00;47;NULL;18,723
9320;2021-01-01 16:00:00;47;NULL;35,383
9320;2021-01-01 18:00:00;47;NULL;35,507
9320;2021-01-01 20:00:00;47;NULL;35,62
9320;2021-01-01 22:00:00;47;NULL;35,195
9320;2021-01-02 00:00:00;47;NULL;34,759
9320;2021-01-02 02:00:00;47;NULL;33,776
9320;2021-01-02 04:00:00;47;NULL;34,46
9320;2021-01-02 06:00:00;47,5;NULL;34,731
9320;2021-01-02 08:00:00;48;NULL;35,583
9320;2021-01-02 10:00:00;48;NULL;37,44
9320;2021-01-02 12:00:00;48;2;38,769
9320;2021-01-02 14:00:00;48;NULL;25,067
9320;2021-01-02 16:00:00;48;NULL;36,443
9320;2021-01-02 18:00:00;48;NULL;36,528
9320;2021-01-02 20:00:00;48;NULL;35,926
9320;2021-01-02 22:00:00;48;NULL;34,56
9320;2021-01-03 00:00:00;48;NULL;34,517
9320;2021-01-03 02:00:00;48;NULL;34,055
9320;2021-01-03 04:00:00;48;NULL;34,119
9320;2021-01-03 06:00:00;48;NULL;35,146
9320;2021-01-03 08:00:00;48;NULL;35,089
9320;2021-01-03 10:00:00;48;NULL;36,477
9320;2021-01-03 12:00:00;48;2;36,548
9320;2021-01-03 14:00:00;48;NULL;20,392
9320;2021-01-03 16:00:00;48;NULL;35,517
9320;2021-01-03 18:00:00;48;NULL;36,069
9320;2021-01-03 20:00:00;48;NULL;36,139
9320;2021-01-03 22:00:00;48;NULL;35,414
9320;2021-01-04 00:00:00;48;NULL;34,939
9320;2021-01-04 02:00:00;48;NULL;34,648
9320;2021-01-04 04:00:00;48;NULL;35,343
9320;2021-01-04 06:00:00;48;NULL;35,798
9320;2021-01-04 08:00:00;48,5;NULL;36,906
9320;2021-01-04 10:00:00;48,5;NULL;37,89
9320;2021-01-04 12:00:00;48,5;2;37,786
9320;2021-01-04 14:00:00;48,5;NULL;20,782
9320;2021-01-04 16:00:00;48,5;NULL;37,804
9320;2021-01-04 18:00:00;48,5;NULL;37,918
9320;2021-01-04 20:00:00;48,5;NULL;37,881
9320;2021-01-04 22:00:00;48,5;NULL;37,039
9320;2021-01-05 00:00:00;48,5;NULL;36,778
9320;2021-01-05 02:00:00;48,5;NULL;36,215
9320;2021-01-05 04:00:00;48,5;NULL;35,922
9320;2021-01-05 06:00:00;48,5;NULL;35,952
9320;2021-01-05 08:00:00;48,5;NULL;37,108
9320;2021-01-05 10:00:00;48,5;NULL;38,021
9320;2021-01-05 12:00:00;49;2;39,464
9320;2021-01-05 14:00:00;49;NULL;21,861
9320;2021-01-05 16:00:00;49;NULL;38,403
9320;2021-01-05 18:00:00;49;NULL;39,001
9320;2021-01-05 20:00:00;49;NULL;39,57
9320;2021-01-05 22:00:00;49;NULL;38,237
9320;2021-01-06 00:00:00;49;NULL;37,82
9320;2021-01-06 02:00:00;49;NULL;37,603
9320;2021-01-06 04:00:00;49;NULL;36,347
9320;2021-01-06 06:00:00;48,5;NULL;36,599
9320;2021-01-06 08:00:00;48,5;NULL;37,792
