ObjectID;DateTime;P_in;T_in;Qh
9761;2021-01-01 00:00:00;46,8;NULL;87,307
9761;2021-01-01 02:00:00;46,8;NULL;89,791
9761;2021-01-01 04:00:00;46,8;NULL;106,276
9761;2021-01-01 06:00:00;46,3;NULL;95,949
9761;2021-01-01 08:00:00;46,8;NULL;120,953
9761;2021-01-01 10:00:00;46,6;NULL;97,498
9761;2021-01-01 12:00:00;46,5;3;125,279
9761;2021-01-01 14:00:00;46,2;NULL;161,483
9761;2021-01-01 16:00:00;46,3;NULL;161,53
9761;2021-01-01 18:00:00;46,5;NULL;161,565
9761;2021-01-01 20:00:00;46,8;NULL;161,436
9761;2021-01-01 22:00:00;46,8;NULL;161,542
9761;2021-01-02 00:00:00;46,8;NULL;161,543
9761;2021-01-02 02:00:00;46,8;NULL;160,86
9761;2021-01-02 04:00:00;46,8;NULL;161,582
9761;2021-01-02 06:00:00;47;NULL;161,481
9761;2021-01-02 08:00:00;47,4;NULL;161,372
9761;2021-01-02 10:00:00;47,5;NULL;161,412
9761;2021-01-02 12:00:00;47,5;3;161,402
9761;2021-01-02 14:00:00;47,8;NULL;161,058
9761;2021-01-02 16:00:00;48,1;NULL;161,065
9761;2021-01-02 18:00:00;48,3;NULL;161,361
9761;2021-01-02 20:00:00;47,4;NULL;161,429
9761;2021-01-02 22:00:00;47,2;NULL;161,523
9761;2021-01-03 00:00:00;47,2;NULL;161,444
9761;2021-01-03 02:00:00;47,2;NULL;161,709
9761;2021-01-03 04:00:00;47,2;NULL;161,695
9761;2021-01-03 06:00:00;47,6;NULL;161,554
9761;2021-01-03 08:00:00;47,9;NULL;161,329
9761;2021-01-03 10:00:00;48;NULL;161,026
9761;2021-01-03 12:00:00;48;3;160,719
9761;2021-01-03 14:00:00;48,2;NULL;160,381
9761;2021-01-03 16:00:00;48,2;NULL;160,291
9761;2021-01-03 18:00:00;48,2;NULL;160
9761;2021-01-03 20:00:00;48,2;NULL;160,373
9761;2021-01-03 22:00:00;48,4;NULL;160,323
9761;2021-01-04 00:00:00;48,5;NULL;160,481
9761;2021-01-04 02:00:00;48,5;NULL;160,528
9761;2021-01-04 04:00:00;48,5;NULL;160,908
9761;2021-01-04 06:00:00;48,3;NULL;161,192
9761;2021-01-04 08:00:00;48,3;NULL;161,352
9761;2021-01-04 10:00:00;48,3;NULL;161,498
9761;2021-01-04 12:00:00;48,5;3;161,572
9761;2021-01-04 14:00:00;48,4;NULL;161,455
9761;2021-01-04 16:00:00;48,3;NULL;161,807
9761;2021-01-04 18:00:00;48,3;NULL;161,748
9761;2021-01-04 20:00:00;48,2;NULL;162,115
9761;2021-01-04 22:00:00;48,1;NULL;162,099
9761;2021-01-05 00:00:00;48,1;NULL;161,885
9761;2021-01-05 02:00:00;48,1;NULL;161,674
9761;2021-01-05 04:00:00;48,1;NULL;161,605
9761;2021-01-05 06:00:00;48,3;NULL;161,655
9761;2021-01-05 08:00:00;48,3;NULL;161,75
9761;2021-01-05 10:00:00;48,6;NULL;161,857
9761;2021-01-05 12:00:00;48,6;3;161,779
9761;2021-01-05 14:00:00;48,6;NULL;161,781
9761;2021-01-05 16:00:00;48,5;NULL;161,661
9761;2021-01-05 18:00:00;48,4;NULL;161,859
9761;2021-01-05 20:00:00;48,3;NULL;162,127
9761;2021-01-05 22:00:00;48,1;NULL;162,24
9761;2021-01-06 00:00:00;48,1;NULL;162,477
9761;2021-01-06 02:00:00;48,1;NULL;162,63
9761;2021-01-06 04:00:00;48,1;NULL;162,606
9761;2021-01-06 06:00:00;48,1;NULL;162,453
9761;2021-01-06 08:00:00;48,1;NULL;162,895
9761;2021-01-06 10:00:00;48,1;NULL;162,57
9761;2021-01-06 12:00:00;48;3;162,641
9761;2021-01-06 14:00:00;47,8;NULL;162,631
9761;2021-01-06 16:00:00;47,6;NULL;162,602
9761;2021-01-06 18:00:00;47,5;NULL;162,472
9761;2021-01-06 20:00:00;47,3;NULL;162,772
9761;2021-01-06 22:00:00;47,3;NULL;162,806
9761;2021-01-07 00:00:00;47,3;NULL;162,792
9761;2021-01-07 02:00:00;47,3;NULL;162,747
9761;2021-01-07 04:00:00;47,3;NULL;162,608
9761;2021-01-07 06:00:00;46,7;NULL;162,741
9761;2021-01-07 08:00:00;46,5;NULL;162,878
9761;2021-01-07 10:00:00;46,5;NULL;162,895
9761;2021-01-07 12:00:00;46,4;3;162,67
9761;2021-01-07 14:00:00;46,4;NULL;162,367
9761;2021-01-07 16:00:00;46,4;NULL;162,27
9761;2021-01-07 18:00:00;46,6;NULL;162,074
9761;2021-01-07 20:00:00;46,7;NULL;162,175
9761;2021-01-07 22:00:00;46,8;NULL;161,484
9761;2021-01-08 00:00:00;46,8;NULL;162,249
9761;2021-01-08 02:00:00;46,8;NULL;162,266
9761;2021-01-08 04:00:00;46,8;NULL;162,138
9761;2021-01-08 06:00:00;47,5;NULL;138,625
9761;2021-01-08 08:00:00;47,5;NULL;160,216
9761;2021-01-08 10:00:00;47,5;NULL;161,851
9761;2021-01-08 12:00:00;47,5;2;161,482
9761;2021-01-08 14:00:00;47,6;NULL;161,482
9761;2021-01-08 16:00:00;47,6;NULL;160,841
9761;2021-01-08 18:00:00;47,6;NULL;160,502
9761;2021-01-08 20:00:00;47,6;NULL;160,219
9761;2021-01-08 22:00:00;47,6;NULL;159,26
9761;2021-01-09 00:00:00;47,6;NULL;158,825
9761;2021-01-09 02:00:00;47,6;NULL;158,653
9761;2021-01-09 04:00:00;47,6;NULL;159,171
9761;2021-01-09 06:00:00;47,6;NULL;158,962
9761;2021-01-09 08:00:00;47,8;NULL;158,42
9761;2021-01-09 10:00:00;47,8;NULL;158,192
9761;2021-01-09 12:00:00;47,7;3;157,666
9761;2021-01-09 14:00:00;47,7;NULL;157,182
9761;2021-01-09 16:00:00;47,7;NULL;156,98
9761;2021-01-09 18:00:00;47,6;NULL;157,14
9761;2021-01-09 20:00:00;47,7;NULL;157,102
9761;2021-01-09 22:00:00;47,7;NULL;156,989
9761;2021-01-10 00:00:00;47,7;NULL;157,011
9761;2021-01-10 02:00:00;47,7;NULL;157,305
9761;2021-01-10 04:00:00;47,7;NULL;157,737
9761;2021-01-10 06:00:00;47,8;NULL;158,209
9761;2021-01-10 08:00:00;47,9;NULL;158,204
9761;2021-01-10 10:00:00;48;NULL;157,633
