ObjectID;DateTime;P_in;T_in;Qh
9330;2021-01-01 06:00:00;47;NULL;0,321
9330;2021-01-01 12:00:00;47;-2;0,331
9330;2021-01-01 14:00:00;NULL;NULL;0,325
9330;2021-01-01 18:00:00;47;NULL;0,329
9330;2021-01-02 06:00:00;NULL;NULL;0,33
9330;2021-01-02 12:00:00;48,5;-2;0,335
9330;2021-01-02 14:00:00;NULL;NULL;0,331
9330;2021-01-02 18:00:00;48,5;NULL;0,329
9330;2021-01-03 06:00:00;48,5;NULL;0,326
9330;2021-01-03 12:00:00;48,5;-2;0,335
9330;2021-01-03 14:00:00;NULL;NULL;0,332
9330;2021-01-03 18:00:00;48,5;NULL;0,333
9330;2021-01-04 06:00:00;48;NULL;0,322
9330;2021-01-04 12:00:00;49;-2;0,332
9330;2021-01-04 14:00:00;NULL;NULL;0,33
9330;2021-01-04 18:00:00;NULL;NULL;0,331
9330;2021-01-05 06:00:00;49;NULL;0,324
9330;2021-01-05 12:00:00;49;-2;0,335
9330;2021-01-05 14:00:00;NULL;NULL;0,326
9330;2021-01-05 18:00:00;49;NULL;0,332
9330;2021-01-06 06:00:00;49;NULL;0,329
9330;2021-01-06 12:00:00;48,5;-2;0,339
9330;2021-01-06 14:00:00;NULL;NULL;0,338
9330;2021-01-06 18:00:00;48;NULL;0,339
9330;2021-01-07 06:00:00;48;NULL;0,334
9330;2021-01-07 12:00:00;47;-3;0,358
9330;2021-01-07 14:00:00;NULL;NULL;0,359
9330;2021-01-07 18:00:00;47;NULL;0,356
9330;2021-01-08 06:00:00;47;NULL;0,353
9330;2021-01-08 12:00:00;48;-5;0,38
9330;2021-01-08 14:00:00;NULL;NULL;0,378
9330;2021-01-08 18:00:00;NULL;NULL;0,376
9330;2021-01-09 06:00:00;48;NULL;0,359
9330;2021-01-09 12:00:00;48;-3;0,365
9330;2021-01-09 14:00:00;NULL;NULL;0,366
9330;2021-01-09 18:00:00;48;NULL;0,363
9330;2021-01-10 06:00:00;NULL;NULL;0,367
9330;2021-01-10 12:00:00;48,5;-2;0,36
9330;2021-01-10 14:00:00;NULL;NULL;0,363
9330;2021-01-10 18:00:00;48;NULL;0,359
9330;2021-01-11 06:00:00;49;NULL;0,356
9330;2021-01-11 12:00:00;48,5;-3;0,341
9330;2021-01-11 14:00:00;NULL;NULL;0,333
9330;2021-01-11 18:00:00;49;NULL;0,343
9330;2021-01-12 06:00:00;49;NULL;0,337
9330;2021-01-12 12:00:00;49;-4;0,347
9330;2021-01-12 14:00:00;NULL;NULL;0,345
9330;2021-01-12 18:00:00;49;NULL;0,385
9330;2021-01-13 06:00:00;49;NULL;0,377
9330;2021-01-13 12:00:00;49;-4;0,387
9330;2021-01-13 14:00:00;NULL;NULL;0,379
9330;2021-01-13 18:00:00;49;NULL;0,389
9330;2021-01-14 06:00:00;48,5;NULL;0,398
9330;2021-01-14 12:00:00;49;-6;0,403
9330;2021-01-14 14:00:00;NULL;NULL;0,397
9330;2021-01-14 18:00:00;49;NULL;0,398
9330;2021-01-15 06:00:00;49;NULL;0,398
9330;2021-01-15 12:00:00;49;-3;0,365
9330;2021-01-15 14:00:00;NULL;NULL;0,358
9330;2021-01-15 18:00:00;49,5;NULL;0,358
9330;2021-01-16 06:00:00;50;NULL;0,34
9330;2021-01-16 12:00:00;50,5;-1;0,328
9330;2021-01-16 14:00:00;NULL;NULL;0,342
9330;2021-01-16 18:00:00;NULL;NULL;0,346
9330;2021-01-17 06:00:00;50,5;NULL;0,33
9330;2021-01-17 12:00:00;50,5;-1;0,338
9330;2021-01-17 14:00:00;NULL;NULL;0,333
9330;2021-01-17 18:00:00;50,5;NULL;0,337
9330;2021-01-18 06:00:00;50;NULL;0,338
9330;2021-01-18 12:00:00;50;-4;0,343
9330;2021-01-18 14:00:00;NULL;NULL;0,335
9330;2021-01-18 18:00:00;50;NULL;0,346
9330;2021-01-19 06:00:00;50,5;NULL;0,35
9330;2021-01-19 12:00:00;50,5;-4;0,305
9330;2021-01-19 14:00:00;NULL;NULL;0,349
9330;2021-01-19 18:00:00;50,5;NULL;0,319
9330;2021-01-20 06:00:00;51;NULL;0,384
9330;2021-01-20 12:00:00;51;-1;0,34
9330;2021-01-20 14:00:00;NULL;NULL;0,337
9330;2021-01-20 18:00:00;51;NULL;0,339
