ObjectID;DateTime;P_in;T_in;Qh
10120;2021-01-01 00:00:00;48,22;6,08;9,772
10120;2021-01-01 02:00:00;48,22;6,06;9,886
10120;2021-01-01 04:00:00;48,24;6,06;9,777
10120;2021-01-01 06:00:00;48,23;6,03;9,832
10120;2021-01-01 08:00:00;48,23;5,99;9,78
10120;2021-01-01 10:00:00;48,22;5,95;9,891
10120;2021-01-01 12:00:00;48,2;5,92;9,945
10120;2021-01-01 14:00:00;48,16;5,86;9,995
10120;2021-01-01 16:00:00;48,53;5,88;9,908
10120;2021-01-01 18:00:00;48,56;5,84;9,974
10120;2021-01-01 20:00:00;49,08;5,9;10,031
10120;2021-01-01 22:00:00;49,14;5,85;9,99
10120;2021-01-02 00:00:00;49,17;5,84;9,939
10120;2021-01-02 02:00:00;49,17;5,82;9,997
10120;2021-01-02 04:00:00;49,18;5,79;9,944
10120;2021-01-02 06:00:00;49,29;5,75;10,029
10120;2021-01-02 08:00:00;49,57;5,73;10,151
10120;2021-01-02 10:00:00;49,54;5,68;10,494
10120;2021-01-02 12:00:00;49,51;5,63;10,375
10120;2021-01-02 14:00:00;50;5,68;10,368
10120;2021-01-02 16:00:00;50,45;5,7;10,411
10120;2021-01-02 18:00:00;50,87;5,73;10,565
10120;2021-01-02 20:00:00;50,8;5,7;10,551
10120;2021-01-02 22:00:00;50,67;5,7;10,638
10120;2021-01-03 00:00:00;50,72;5,77;10,35
10120;2021-01-03 02:00:00;50,74;5,81;10,412
10120;2021-01-03 04:00:00;50,85;5,87;10,313
10120;2021-01-03 06:00:00;50,86;5,89;10,375
10120;2021-01-03 08:00:00;51,38;5,99;10,306
10120;2021-01-03 10:00:00;51,33;5,98;10,897
10120;2021-01-03 12:00:00;51,35;6,03;10,779
10120;2021-01-03 14:00:00;51,35;6,04;10,717
10120;2021-01-03 16:00:00;51,35;6,03;10,899
10120;2021-01-03 18:00:00;51,32;6,02;11,073
10120;2021-01-03 20:00:00;51,34;6;11,078
10120;2021-01-03 22:00:00;51,38;6,01;10,967
10120;2021-01-04 00:00:00;51,4;6;10,972
10120;2021-01-04 02:00:00;51,45;5,98;10,743
10120;2021-01-04 04:00:00;51,46;5,96;10,567
10120;2021-01-04 06:00:00;51,45;5,92;10,507
10120;2021-01-04 08:00:00;51,4;5,88;10,858
10120;2021-01-04 10:00:00;51,77;5,9;11,127
10120;2021-01-04 12:00:00;51,74;5,84;11,124
10120;2021-01-04 14:00:00;51,7;5,86;11,05
10120;2021-01-04 16:00:00;51,67;5,86;11,227
10120;2021-01-04 18:00:00;51,65;5,85;11,283
10120;2021-01-04 20:00:00;51,62;5,84;11,457
10120;2021-01-04 22:00:00;51,62;5,86;11,275
10120;2021-01-05 00:00:00;51,66;5,89;11,101
10120;2021-01-05 02:00:00;51,71;5,91;11,112
10120;2021-01-05 04:00:00;51,8;5,95;10,826
10120;2021-01-05 06:00:00;51,8;5,97;10,885
10120;2021-01-05 08:00:00;51,8;5,95;10,947
10120;2021-01-05 10:00:00;52,18;6,01;11,28
10120;2021-01-05 12:00:00;52,15;6,02;11,332
10120;2021-01-05 14:00:00;52,2;6,06;11,281
10120;2021-01-05 16:00:00;52,18;6,1;11,334
10120;2021-01-05 18:00:00;52,14;6,11;11,507
10120;2021-01-05 20:00:00;52,14;6,15;11,383
10120;2021-01-05 22:00:00;51,77;6,13;11,417
10120;2021-01-06 00:00:00;51,63;6,17;11,44
10120;2021-01-06 02:00:00;51,7;6,2;11,152
10120;2021-01-06 04:00:00;51,77;6,24;10,984
10120;2021-01-06 06:00:00;51,76;6,24;11,104
10120;2021-01-06 08:00:00;51,71;6,22;11,214
10120;2021-01-06 10:00:00;51,62;6,24;11,313
10120;2021-01-06 12:00:00;51,56;6,19;11,481
10120;2021-01-06 14:00:00;51,12;6,14;11,616
10120;2021-01-06 16:00:00;51,05;6,18;11,595
10120;2021-01-06 18:00:00;51;6,16;11,704
10120;2021-01-06 20:00:00;50,52;6,08;11,765
10120;2021-01-06 22:00:00;50,5;6,09;11,818
10120;2021-01-07 00:00:00;50,14;6,02;11,611
10120;2021-01-07 02:00:00;50,2;6,03;11,452
10120;2021-01-07 04:00:00;49,67;5,93;11,323
10120;2021-01-07 06:00:00;49,78;5,92;11,351
10120;2021-01-07 08:00:00;49,67;5,86;11,212
10120;2021-01-07 10:00:00;49,6;5,8;11,72
10120;2021-01-07 12:00:00;49,57;5,78;11,714
10120;2021-01-07 14:00:00;49,58;5,77;11,716
10120;2021-01-07 16:00:00;49,58;5,74;11,891
10120;2021-01-07 18:00:00;49,65;5,76;11,91
10120;2021-01-07 20:00:00;49,69;5,77;11,862
10120;2021-01-07 22:00:00;49,69;5,74;11,981
10120;2021-01-08 00:00:00;49,74;5,74;11,819
10120;2021-01-08 02:00:00;49,81;5,73;11,545
10120;2021-01-08 04:00:00;49,85;5,71;11,441
10120;2021-01-08 06:00:00;49,89;5,66;11,278
10120;2021-01-08 08:00:00;49,86;5,61;11,508
10120;2021-01-08 10:00:00;49,81;5,55;11,732
10120;2021-01-08 12:00:00;49,81;5,49;11,793
10120;2021-01-08 14:00:00;49,88;5,48;11,403
10120;2021-01-08 16:00:00;49,88;5,44;11,581
10120;2021-01-08 18:00:00;49,87;5,39;11,583
10120;2021-01-08 20:00:00;49,9;5,33;11,418
10120;2021-01-08 22:00:00;49,92;5,3;11,368
10120;2021-01-09 00:00:00;49,99;5,3;11,031
10120;2021-01-09 02:00:00;50,02;5,28;10,924
10120;2021-01-09 04:00:00;50,03;5,24;10,929
10120;2021-01-09 06:00:00;50,04;5,18;10,935
10120;2021-01-09 08:00:00;50,04;5,12;10,879
10120;2021-01-09 10:00:00;50,02;5,07;10,935
10120;2021-01-09 12:00:00;49,93;5,02;11,093
10120;2021-01-09 14:00:00;49,94;5;10,863
10120;2021-01-09 16:00:00;49,92;4,97;10,977
10120;2021-01-09 18:00:00;49,9;4,92;11,149
10120;2021-01-09 20:00:00;49,92;4,92;10,979
10120;2021-01-09 22:00:00;49,91;4,91;11,036
10120;2021-01-10 00:00:00;49,91;4,89;11,037
10120;2021-01-10 02:00:00;49,92;4,87;11,159
10120;2021-01-10 04:00:00;49,93;4,86;11,102
10120;2021-01-10 06:00:00;49,95;4,85;11,166
10120;2021-01-10 08:00:00;50;4,83;11,121
10120;2021-01-10 10:00:00;49,96;4,8;11,232
10120;2021-01-10 12:00:00;49,91;4,74;11,23
10120;2021-01-10 14:00:00;49,87;4,71;11,625
10120;2021-01-10 16:00:00;49,83;4,68;11,735
10120;2021-01-10 18:00:00;49,83;4,69;11,615
10120;2021-01-10 20:00:00;49,84;4,72;11,499
10120;2021-01-10 22:00:00;49,83;4,72;11,496
10120;2021-01-11 00:00:00;49,84;4,74;11,323
10120;2021-01-11 02:00:00;49,93;4,78;11,109
10120;2021-01-11 04:00:00;49,98;4,79;11,061
10120;2021-01-11 06:00:00;49,96;4,77;11,291
10120;2021-01-11 08:00:00;49,9;4,76;11,336
10120;2021-01-11 10:00:00;49,84;4,71;11,558
10120;2021-01-11 12:00:00;49,77;4,67;11,953
10120;2021-01-11 14:00:00;49,83;4,65;12,087
10120;2021-01-11 16:00:00;49,88;4,66;11,985
10120;2021-01-11 18:00:00;49,94;4,65;12,175
10120;2021-01-11 20:00:00;49,96;4,65;12,182
10120;2021-01-11 22:00:00;49,98;4,63;12,071
10120;2021-01-12 00:00:00;49,91;4,61;12,053
10120;2021-01-12 02:00:00;49,92;4,59;11,882
10120;2021-01-12 04:00:00;50,02;4,59;11,671
10120;2021-01-12 06:00:00;49,98;4,55;11,9
10120;2021-01-12 08:00:00;49,88;4,48;12,053
10120;2021-01-12 10:00:00;50,32;4,52;12,11
10120;2021-01-12 12:00:00;50,29;4,48;11,985
10120;2021-01-12 14:00:00;50,28;4,49;11,923
10120;2021-01-12 16:00:00;50,15;4,45;12,778
10120;2021-01-12 18:00:00;50,16;4,46;12,721
10120;2021-01-12 20:00:00;50,15;4,47;12,717
10120;2021-01-12 22:00:00;50,11;4,49;13
10120;2021-01-13 00:00:00;50,15;4,53;12,833
10120;2021-01-13 02:00:00;50,22;4,57;12,732
10120;2021-01-13 04:00:00;50,27;4,61;12,565
10120;2021-01-13 06:00:00;50,26;4,62;12,681
10120;2021-01-13 08:00:00;50,21;4,61;12,666
10120;2021-01-13 10:00:00;50,39;4,66;12,595
10120;2021-01-13 12:00:00;50,31;4,63;12,692
10120;2021-01-13 14:00:00;50,27;4,67;12,681
10120;2021-01-13 16:00:00;49,98;4,63;12,894
10120;2021-01-13 18:00:00;49,93;4,64;12,996
10120;2021-01-13 20:00:00;49,85;4,62;13,036
10120;2021-01-13 22:00:00;49,81;4,62;13,199
10120;2021-01-14 00:00:00;49,86;4,64;12,86
10120;2021-01-14 02:00:00;49,88;4,68;12,747
10120;2021-01-14 04:00:00;49,96;4,72;12,706
10120;2021-01-14 06:00:00;49,98;4,74;12,829
10120;2021-01-14 08:00:00;49,99;4,77;12,713
10120;2021-01-14 10:00:00;49,93;4,77;12,755
