ObjectID;DateTime;P_in;T_in;Qh
9340;2021-01-01 06:00:00;46;NULL;18
9340;2021-01-01 12:00:00;46;2;17,5
9340;2021-01-01 18:00:00;46;NULL;17,5
9340;2021-01-02 06:00:00;47;NULL;17,5
9340;2021-01-02 12:00:00;47;2;17
9340;2021-01-02 18:00:00;48;NULL;17
9340;2021-01-03 06:00:00;47;NULL;17
9340;2021-01-03 12:00:00;47;2;16,1
9340;2021-01-03 18:00:00;47;NULL;16,1
9340;2021-01-04 06:00:00;48;NULL;16
9340;2021-01-04 12:00:00;48;2;17,22
9340;2021-01-04 18:00:00;48;NULL;17,2
9340;2021-01-05 06:00:00;48;NULL;17
9340;2021-01-05 12:00:00;48;2;16,4
9340;2021-01-05 18:00:00;48;NULL;16,4
9340;2021-01-06 06:00:00;48;NULL;16,4
9340;2021-01-06 12:00:00;47;2;16,4
9340;2021-01-06 18:00:00;47;NULL;16,4
9340;2021-01-07 06:00:00;46;NULL;16,4
9340;2021-01-07 12:00:00;46;2;15,8
9340;2021-01-07 18:00:00;46;NULL;15,8
9340;2021-01-08 06:00:00;47;NULL;15,8
9340;2021-01-08 12:00:00;47;2;16,05
9340;2021-01-08 18:00:00;NULL;NULL;16,05
9340;2021-01-09 06:00:00;47;NULL;16
9340;2021-01-09 12:00:00;47;2;16,5
9340;2021-01-09 18:00:00;47;NULL;16,5
9340;2021-01-10 06:00:00;47;NULL;16,5
9340;2021-01-10 12:00:00;47;2;16,5
9340;2021-01-10 18:00:00;47;NULL;16,5
9340;2021-01-11 06:00:00;47;NULL;16,5
9340;2021-01-11 12:00:00;47;2;17,2
9340;2021-01-11 18:00:00;48;NULL;17,2
9340;2021-01-12 06:00:00;48;NULL;17
9340;2021-01-12 12:00:00;48;2;16,94
9340;2021-01-12 18:00:00;48;NULL;16,94
9340;2021-01-13 06:00:00;48;NULL;16,94
9340;2021-01-13 12:00:00;48;2;16,5
9340;2021-01-13 18:00:00;48;NULL;16,5
9340;2021-01-14 06:00:00;48;NULL;16,5
9340;2021-01-14 12:00:00;48;2;16,4
9340;2021-01-14 18:00:00;48;NULL;16,4
9340;2021-01-15 06:00:00;48;NULL;16,4
9340;2021-01-15 12:00:00;48;2;16,2
9340;2021-01-15 18:00:00;49;NULL;16
9340;2021-01-16 06:00:00;49;NULL;16
9340;2021-01-16 12:00:00;49;2;16,35
9340;2021-01-16 18:00:00;50;NULL;16,35
9340;2021-01-17 06:00:00;50;NULL;16,3
9340;2021-01-17 12:00:00;49;2;16,3
9340;2021-01-17 18:00:00;49;NULL;16,3
9340;2021-01-18 06:00:00;49;NULL;16,3
9340;2021-01-18 12:00:00;49;2;15,3
9340;2021-01-18 18:00:00;50;NULL;15,3
9340;2021-01-19 06:00:00;50;NULL;15,3
9340;2021-01-19 12:00:00;50;2;15,3
9340;2021-01-19 18:00:00;50;NULL;15,3
9340;2021-01-20 06:00:00;50;NULL;15,3
9340;2021-01-20 12:00:00;50;2;15,4
9340;2021-01-20 18:00:00;50;NULL;15,4
9340;2021-01-21 06:00:00;50;NULL;15,4
9340;2021-01-21 12:00:00;50;2;15,5
9340;2021-01-21 18:00:00;50;NULL;15,5
9340;2021-01-22 06:00:00;50;NULL;15,5
9340;2021-01-22 12:00:00;50;2;17
9340;2021-01-22 18:00:00;50;NULL;17
9340;2021-01-23 06:00:00;50;NULL;17
9340;2021-01-23 12:00:00;50;1;16
9340;2021-01-23 18:00:00;50;NULL;16
9340;2021-01-24 06:00:00;50;NULL;16
9340;2021-01-24 12:00:00;50;18;16
9340;2021-01-24 18:00:00;50;NULL;16
9340;2021-01-25 06:00:00;50;NULL;16
9340;2021-01-25 12:00:00;50;2;17,2
9340;2021-01-25 18:00:00;50;NULL;17,2
9340;2021-01-26 06:00:00;49;NULL;17,2
9340;2021-01-26 12:00:00;49;2;17
9340;2021-01-26 18:00:00;49;NULL;17
9340;2021-01-27 06:00:00;49;NULL;17
9340;2021-01-27 12:00:00;49;NULL;16,8
9340;2021-01-27 18:00:00;49;NULL;16,8
9340;2021-01-28 06:00:00;49;NULL;16,8
9340;2021-01-28 12:00:00;49;2;17,04
9340;2021-01-28 18:00:00;48;NULL;17,04
9340;2021-01-29 06:00:00;48;NULL;17
9340;2021-01-29 12:00:00;49;2;19,256
9340;2021-01-29 14:00:00;NULL;NULL;18,635
9340;2021-01-29 18:00:00;49;NULL;20,361
9340;2021-01-30 06:00:00;49;NULL;19,753
9340;2021-01-30 12:00:00;49;2;19,616
9340;2021-01-30 14:00:00;NULL;NULL;19,418
9340;2021-01-30 18:00:00;49;NULL;19,949
9340;2021-01-31 06:00:00;49;NULL;19,241
9340;2021-01-31 12:00:00;49;2;19,692
9340;2021-01-31 14:00:00;NULL;NULL;18,445
9340;2021-01-31 18:00:00;49;NULL;19,253
9340;2021-02-01 06:00:00;49;NULL;19,738
9340;2021-02-01 12:00:00;49;2;19,388
9340;2021-02-01 14:00:00;NULL;NULL;19,258
9340;2021-02-01 18:00:00;49;NULL;20,97
9340;2021-02-02 06:00:00;49;NULL;19,019
9340;2021-02-02 12:00:00;49;2;17,763
9340;2021-02-02 14:00:00;NULL;NULL;17,919
9340;2021-02-02 18:00:00;49;NULL;18,626
9340;2021-02-03 06:00:00;49;NULL;17,005
9340;2021-02-03 12:00:00;49;2;16,471
9340;2021-02-03 14:00:00;NULL;NULL;16,007
9340;2021-02-03 18:00:00;49;NULL;18,339
9340;2021-02-04 06:00:00;49;NULL;17,36
9340;2021-02-04 12:00:00;50;2;17,696
9340;2021-02-04 14:00:00;NULL;NULL;17,65
9340;2021-02-04 18:00:00;48;NULL;18,317
9340;2021-02-05 06:00:00;49;NULL;16,449
9340;2021-02-05 12:00:00;49;2;16,2
9340;2021-02-05 14:00:00;NULL;NULL;15,937
9340;2021-02-05 18:00:00;49;NULL;16,039
9340;2021-02-06 06:00:00;49;NULL;15,382
9340;2021-02-06 12:00:00;49;2;16,155
9340;2021-02-06 14:00:00;NULL;NULL;16,313
9340;2021-02-06 18:00:00;49;NULL;17,115
9340;2021-02-07 06:00:00;49;NULL;18,012
9340;2021-02-07 12:00:00;49;1;19,785
9340;2021-02-07 14:00:00;NULL;NULL;19,746
9340;2021-02-07 18:00:00;51;NULL;20,875
9340;2021-02-08 06:00:00;51;NULL;21,533
9340;2021-02-08 12:00:00;51;1;21,954
9340;2021-02-08 14:00:00;NULL;NULL;22,834
9340;2021-02-08 18:00:00;51;NULL;23,91
9340;2021-02-09 06:00:00;50;NULL;23,048
9340;2021-02-09 12:00:00;50;1;22,957
9340;2021-02-09 14:00:00;NULL;NULL;23,065
9340;2021-02-09 18:00:00;51;NULL;23,371
9340;2021-02-10 06:00:00;51;NULL;23,602
9340;2021-02-10 12:00:00;51;1;23,791
9340;2021-02-10 14:00:00;NULL;NULL;23,213
9340;2021-02-10 18:00:00;51;NULL;23,516
9340;2021-02-11 06:00:00;51;NULL;23,128
9340;2021-02-11 12:00:00;51;1;23,493
9340;2021-02-11 14:00:00;NULL;NULL;22,937
9340;2021-02-11 18:00:00;51;NULL;23,34
9340;2021-02-12 06:00:00;51;NULL;21,069
9340;2021-02-12 12:00:00;51;2;20,407
9340;2021-02-12 14:00:00;NULL;NULL;20,238
9340;2021-02-12 18:00:00;51;NULL;21,056
9340;2021-02-13 06:00:00;51;NULL;19,15
9340;2021-02-13 12:00:00;51;2;18,55
9340;2021-02-13 14:00:00;NULL;NULL;18,21
9340;2021-02-13 18:00:00;51;NULL;18,371
9340;2021-02-14 06:00:00;51;NULL;17,766
9340;2021-02-14 12:00:00;51;2;17,839
9340;2021-02-14 14:00:00;NULL;NULL;18,722
9340;2021-02-14 18:00:00;51;NULL;19,13
9340;2021-02-15 06:00:00;51;NULL;20,328
9340;2021-02-15 12:00:00;51;1;15,038
9340;2021-02-15 14:00:00;NULL;NULL;20,317
9340;2021-02-15 18:00:00;51;NULL;21,785
9340;2021-02-16 06:00:00;51;NULL;21,969
9340;2021-02-16 12:00:00;51;1;23,262
9340;2021-02-16 14:00:00;NULL;NULL;21,613
9340;2021-02-16 18:00:00;51;NULL;23,267
9340;2021-02-17 06:00:00;51;NULL;23,051
9340;2021-02-17 12:00:00;51;1;23,428
9340;2021-02-17 14:00:00;NULL;NULL;23,211
9340;2021-02-17 18:00:00;50;NULL;22,756
9340;2021-02-18 06:00:00;51;NULL;21,921
9340;2021-02-18 12:00:00;51;1;22,281
9340;2021-02-18 14:00:00;NULL;NULL;22,324
9340;2021-02-18 18:00:00;51;NULL;24,056
9340;2021-02-19 06:00:00;50;NULL;22,329
9340;2021-02-19 12:00:00;50;1;22,268
9340;2021-02-19 14:00:00;NULL;NULL;21,466
9340;2021-02-19 18:00:00;50;NULL;23,559
9340;2021-02-20 06:00:00;50;NULL;23,158
9340;2021-02-20 12:00:00;50;1;23,093
9340;2021-02-20 14:00:00;NULL;NULL;23,062
9340;2021-02-20 18:00:00;50;NULL;23,576
9340;2021-02-21 06:00:00;50;NULL;23,232
9340;2021-02-21 12:00:00;50;NULL;23,231
9340;2021-02-21 14:00:00;NULL;NULL;22,603
9340;2021-02-21 18:00:00;50;NULL;23,343
9340;2021-02-22 06:00:00;50;NULL;24,216
9340;2021-02-22 12:00:00;50;1;24,546
9340;2021-02-22 14:00:00;NULL;NULL;23,154
9340;2021-02-22 18:00:00;50;NULL;25,121
9340;2021-02-23 06:00:00;50;NULL;24,29
9340;2021-02-23 12:00:00;50;1;25,587
9340;2021-02-23 14:00:00;NULL;NULL;25,474
9340;2021-02-23 18:00:00;46;NULL;25,243
9340;2021-02-24 06:00:00;46;NULL;25,256
9340;2021-02-24 12:00:00;45;0;25,749
9340;2021-02-24 14:00:00;NULL;NULL;25,569
9340;2021-02-24 18:00:00;45;NULL;25,724
9340;2021-02-25 06:00:00;45;NULL;23,795
9340;2021-02-25 12:00:00;44;1;24,963
9340;2021-02-25 14:00:00;NULL;NULL;23,82
9340;2021-02-25 18:00:00;44;1;24,978
9340;2021-02-26 06:00:00;44;1;24,491
9340;2021-02-26 12:00:00;44;1;24,499
9340;2021-02-26 14:00:00;NULL;NULL;24,391
9340;2021-02-26 18:00:00;45;1;24,277
9340;2021-02-27 06:00:00;43;1;24,441
9340;2021-02-27 12:00:00;44;1;24,559
9340;2021-02-27 14:00:00;NULL;NULL;24,696
9340;2021-02-27 18:00:00;44;NULL;24,435
9340;2021-02-28 06:00:00;45;1;21,973
