ObjectID;DateTime;P_in;T_in;Qh
9360;2021-01-01 06:00:00;47;NULL;1,671
9360;2021-01-01 12:00:00;47;0;1,772
9360;2021-01-01 14:00:00;NULL;NULL;1,669
9360;2021-01-01 18:00:00;47;NULL;1,807
9360;2021-01-02 06:00:00;NULL;NULL;1,634
9360;2021-01-02 12:00:00;48;0;1,64
9360;2021-01-02 14:00:00;NULL;NULL;1,699
9360;2021-01-02 18:00:00;48;NULL;1,905
9360;2021-01-03 06:00:00;48;NULL;1,808
9360;2021-01-03 12:00:00;49;NULL;1,665
9360;2021-01-03 14:00:00;NULL;NULL;1,684
9360;2021-01-03 18:00:00;49;NULL;1,669
9360;2021-01-04 06:00:00;48;NULL;1,652
9360;2021-01-04 12:00:00;49;0;1,771
9360;2021-01-04 14:00:00;NULL;NULL;1,778
9360;2021-01-04 18:00:00;NULL;NULL;1,936
9360;2021-01-05 06:00:00;49;NULL;1,68
9360;2021-01-05 12:00:00;49;0;1,729
9360;2021-01-05 14:00:00;NULL;NULL;1,757
9360;2021-01-05 18:00:00;49;NULL;1,847
9360;2021-01-06 06:00:00;49;NULL;1,883
9360;2021-01-06 12:00:00;48;0;1,95
9360;2021-01-06 14:00:00;NULL;NULL;1,915
9360;2021-01-06 18:00:00;47;NULL;1,884
9360;2021-01-07 06:00:00;47;NULL;1,919
9360;2021-01-07 12:00:00;47;0;1,941
9360;2021-01-07 14:00:00;NULL;NULL;1,86
9360;2021-01-07 18:00:00;47;NULL;1,933
9360;2021-01-08 06:00:00;47;NULL;1,826
9360;2021-01-08 12:00:00;48;0;1,867
9360;2021-01-08 14:00:00;NULL;NULL;1,796
9360;2021-01-08 18:00:00;NULL;NULL;1,864
9360;2021-01-09 06:00:00;48;NULL;1,854
9360;2021-01-09 12:00:00;49;0;1,681
9360;2021-01-09 14:00:00;NULL;NULL;1,573
9360;2021-01-09 18:00:00;49;NULL;1,784
9360;2021-01-10 06:00:00;NULL;NULL;1,755
9360;2021-01-10 12:00:00;49;-1;1,798
9360;2021-01-10 14:00:00;NULL;NULL;1,729
9360;2021-01-10 18:00:00;48;NULL;1,896
9360;2021-01-11 06:00:00;49;NULL;1,807
9360;2021-01-11 12:00:00;49;-2;1,681
9360;2021-01-11 14:00:00;NULL;NULL;1,799
9360;2021-01-11 18:00:00;50;NULL;1,981
9360;2021-01-12 06:00:00;49;NULL;1,984
9360;2021-01-12 12:00:00;50;-2;1,795
9360;2021-01-12 14:00:00;NULL;NULL;1,705
9360;2021-01-12 18:00:00;50;NULL;2,1
9360;2021-01-13 06:00:00;50;NULL;2,06
9360;2021-01-13 12:00:00;50;-2;2,029
9360;2021-01-13 14:00:00;NULL;NULL;2,006
9360;2021-01-13 18:00:00;49;NULL;2,104
9360;2021-01-14 06:00:00;49;NULL;2,07
9360;2021-01-14 12:00:00;49;2;2,094
9360;2021-01-14 14:00:00;NULL;NULL;2,023
9360;2021-01-14 18:00:00;49;NULL;1,965
9360;2021-01-15 06:00:00;49;NULL;1,898
