ObjectID;DateTime;P_in;T_in;Qh
9370;2021-01-01 06:00:00;46;NULL;0,304
9370;2021-01-01 12:00:00;46;-3;0,433
9370;2021-01-01 14:00:00;NULL;NULL;0,607
9370;2021-01-01 18:00:00;46;NULL;0,833
9370;2021-01-02 06:00:00;NULL;NULL;0,86
9370;2021-01-02 12:00:00;48;-4;0,739
9370;2021-01-02 14:00:00;NULL;NULL;0,361
9370;2021-01-02 18:00:00;48;NULL;0,486
9370;2021-01-03 06:00:00;48;NULL;0,342
9370;2021-01-03 12:00:00;48;NULL;0,636
9370;2021-01-03 14:00:00;NULL;NULL;0,863
9370;2021-01-03 18:00:00;48;NULL;0,421
9370;2021-01-04 06:00:00;48;NULL;0,868
9370;2021-01-04 12:00:00;48;-4;0,747
9370;2021-01-04 14:00:00;NULL;NULL;0,319
9370;2021-01-04 18:00:00;NULL;NULL;0,886
9370;2021-01-05 06:00:00;48;NULL;0,819
9370;2021-01-05 12:00:00;48;-4;0,491
9370;2021-01-05 14:00:00;NULL;NULL;0,89
9370;2021-01-05 18:00:00;48;NULL;0,395
9370;2021-01-06 06:00:00;48;NULL;0,32
9370;2021-01-06 12:00:00;48;-6;0,919
9370;2021-01-06 14:00:00;NULL;NULL;0,375
9370;2021-01-06 18:00:00;47;NULL;0,917
9370;2021-01-07 06:00:00;47;NULL;0,689
9370;2021-01-07 12:00:00;46;-6;0,409
9370;2021-01-07 14:00:00;NULL;NULL;0,825
9370;2021-01-07 18:00:00;46;NULL;0,405
9370;2021-01-08 06:00:00;46;NULL;0,684
9370;2021-01-08 12:00:00;47;-6;0,802
9370;2021-01-08 14:00:00;NULL;NULL;0,845
9370;2021-01-08 18:00:00;NULL;NULL;0,683
9370;2021-01-09 06:00:00;47;NULL;0,586
9370;2021-01-09 12:00:00;48;-4;0,747
9370;2021-01-09 14:00:00;NULL;NULL;0,609
9370;2021-01-09 18:00:00;48;NULL;0,837
9370;2021-01-10 06:00:00;NULL;NULL;0,383
9370;2021-01-10 12:00:00;48;-4;0,416
9370;2021-01-10 14:00:00;NULL;NULL;0,506
9370;2021-01-10 18:00:00;48;NULL;0,343
9370;2021-01-11 06:00:00;48;NULL;0,327
9370;2021-01-11 12:00:00;48;-6;0,712
9370;2021-01-11 14:00:00;NULL;NULL;0,775
9370;2021-01-11 18:00:00;48;NULL;0,818
9370;2021-01-12 06:00:00;48,5;NULL;0,395
9370;2021-01-12 12:00:00;48,5;-6;0,909
9370;2021-01-12 14:00:00;NULL;NULL;0,36
9370;2021-01-12 18:00:00;48,5;NULL;0,437
9370;2021-01-13 06:00:00;48,5;NULL;0,647
9370;2021-01-13 12:00:00;48,5;-7;0,936
9370;2021-01-13 14:00:00;NULL;NULL;0,886
9370;2021-01-13 18:00:00;48;NULL;0,51
9370;2021-01-14 06:00:00;48;NULL;0,529
9370;2021-01-14 12:00:00;48;-7;0,964
9370;2021-01-14 14:00:00;NULL;NULL;0,458
