ObjectID;DateTime;P_in;T_in;Qh
9380;2021-01-01 00:00:00;46,72;21,949;5,214
9380;2021-01-01 02:00:00;46,76;22,202;5,225
9380;2021-01-01 04:00:00;46,76;22,689;5,224
9380;2021-01-01 06:00:00;46,8;1;5,238
9380;2021-01-01 08:00:00;46,63;19,015;6,19
9380;2021-01-01 10:00:00;46,74;21,191;NULL
9380;2021-01-01 12:00:00;46,69;21,303;5,492
9380;2021-01-01 14:00:00;46,51;19,272;6,316
9380;2021-01-01 16:00:00;46,73;23,484;5,01
9380;2021-01-01 18:00:00;46,72;20,857;5,986
9380;2021-01-01 20:00:00;47,11;22,29;5,576
9380;2021-01-01 22:00:00;47,46;22,135;5,624
9380;2021-01-02 00:00:00;47,52;21,559;5,638
9380;2021-01-02 02:00:00;NULL;NULL;5,643
9380;2021-01-02 04:00:00;47,8;27,232;4,588
9380;2021-01-02 06:00:00;47,64;21,928;5,801
9380;2021-01-02 08:00:00;47,85;21,475;5,861
9380;2021-01-02 10:00:00;47,93;21,438;5,864
9380;2021-01-02 12:00:00;48,1;26,132;4,592
9380;2021-01-02 14:00:00;48,17;22,523;5,595
9380;2021-01-02 16:00:00;48,26;1;5,611
9380;2021-01-02 18:00:00;48,6;21,2;6,015
9380;2021-01-02 20:00:00;47,53;21,299;5,925
9380;2021-01-02 22:00:00;46,87;21,569;5,829
9380;2021-01-03 00:00:00;47,07;24,401;5,023
9380;2021-01-03 02:00:00;47,21;24,11;5,038
9380;2021-01-03 04:00:00;47,39;24,158;5,058
9380;2021-01-03 06:00:00;47,53;1;5,076
9380;2021-01-03 08:00:00;47,48;19,577;6,485
9380;2021-01-03 10:00:00;47,81;22,59;5,442
9380;2021-01-03 12:00:00;47,91;22,914;5,323
9380;2021-01-03 14:00:00;47,97;23,21;5,334
9380;2021-01-03 16:00:00;47,86;1;6,584
9380;2021-01-03 18:00:00;47,95;21,119;5,959
9380;2021-01-03 20:00:00;48,14;22,579;5,449
9380;2021-01-03 22:00:00;48,34;21,828;5,493
9380;2021-01-04 00:00:00;48,44;22,27;5,498
9380;2021-01-04 02:00:00;48,53;22,153;5,51
9380;2021-01-04 04:00:00;48,54;26,757;4,328
9380;2021-01-04 06:00:00;48,43;1;4,632
9380;2021-01-04 08:00:00;48,3;22,388;NULL
9380;2021-01-04 10:00:00;48,16;20,437;6,225
9380;2021-01-04 12:00:00;48,2;20,611;6,217
9380;2021-01-04 14:00:00;48,2;23,299;5,311
9380;2021-01-04 16:00:00;48,17;23,183;5,31
9380;2021-01-04 18:00:00;47,95;19,344;6,566
9380;2021-01-04 20:00:00;47,9;19,334;6,546
9380;2021-01-04 22:00:00;47,89;21,85;5,617
9380;2021-01-05 00:00:00;47,87;23,764;4,851
9380;2021-01-05 02:00:00;47,96;24,293;4,862
9380;2021-01-05 04:00:00;47,94;22,771;5,499
9380;2021-01-05 06:00:00;48,1;4;5,5
9380;2021-01-05 08:00:00;48,15;23,286;5,405
9380;2021-01-05 10:00:00;48,19;23,16;5,415
9380;2021-01-05 12:00:00;48,36;22,756;5,456
9380;2021-01-05 14:00:00;48,41;22,84;5,475
9380;2021-01-05 16:00:00;48,02;19,144;6,777
9380;2021-01-05 18:00:00;48,03;19,624;6,304
9380;2021-01-05 20:00:00;47,79;19,459;6,63
9380;2021-01-05 22:00:00;47,9;22,732;5,317
9380;2021-01-06 00:00:00;47,8;22,578;5,309
9380;2021-01-06 02:00:00;47,8;23,114;5,302
9380;2021-01-06 04:00:00;47,83;22,564;5,313
9380;2021-01-06 06:00:00;47,85;22,565;5,314
9380;2021-01-06 08:00:00;47,86;21,803;5,332
9380;2021-01-06 10:00:00;47,71;20,495;6,02
9380;2021-01-06 12:00:00;47,76;1;5,453
9380;2021-01-06 14:00:00;47,68;20,109;5,543
9380;2021-01-06 16:00:00;47,38;1;6,793
9380;2021-01-06 18:00:00;47,37;20,382;5,814
9380;2021-01-06 20:00:00;47,16;19,07;5,817
9380;2021-01-06 22:00:00;46,89;16,855;6,865
9380;2021-01-07 00:00:00;47,01;21,999;5,35
9380;2021-01-07 02:00:00;46,95;21,919;5,343
9380;2021-01-07 04:00:00;46,76;22,658;5,324
9380;2021-01-07 06:00:00;46,44;18,678;6,568
9380;2021-01-07 08:00:00;46,48;21,13;5,668
9380;2021-01-07 10:00:00;46,34;20,984;5,863
9380;2021-01-07 12:00:00;46,22;4;5,833
9380;2021-01-07 14:00:00;46,3;22,401;5,462
9380;2021-01-07 16:00:00;46,13;4;6,876
9380;2021-01-07 18:00:00;46,38;20,133;6,06
9380;2021-01-07 20:00:00;46,67;19,088;6,109
9380;2021-01-07 22:00:00;46,81;18,455;6,137
9380;2021-01-08 00:00:00;46,95;18,246;6,159
9380;2021-01-08 02:00:00;47,17;18,603;5,722
9380;2021-01-08 04:00:00;47,36;20,098;5,383
9380;2021-01-08 06:00:00;47,43;0;5,391
9380;2021-01-08 08:00:00;47,36;16,589;6,744
9380;2021-01-08 10:00:00;47,58;19,362;5,806
9380;2021-01-08 12:00:00;47,63;19,026;5,818
9380;2021-01-08 14:00:00;47,67;19,554;5,816
9380;2021-01-08 16:00:00;47,67;19,651;5,997
9380;2021-01-08 18:00:00;47,68;18,28;6,129
