ObjectID;DateTime;P_in;T_in;Qh
7390;2021-01-01 06:00:00;46;0;4,3
7390;2021-01-01 12:00:00;46;0;4,4
7390;2021-01-01 16:00:00;46;0;4,4
7390;2021-01-01 20:00:00;46;0;4,5
7390;2021-01-02 06:00:00;46,5;-1;4,4
7390;2021-01-02 12:00:00;47;-1;4,4
7390;2021-01-02 16:00:00;47;-1;4,5
7390;2021-01-02 20:00:00;48;0;4,5
7390;2021-01-03 06:00:00;46,5;-1;4,4
7390;2021-01-03 12:00:00;47;0;4,5
7390;2021-01-03 16:00:00;47;0;4,5
7390;2021-01-03 20:00:00;47;-1;4,5
7390;2021-01-04 06:00:00;47;-1;4,4
7390;2021-01-04 12:00:00;47;0;4,5
7390;2021-01-04 16:00:00;47;1;4,5
7390;2021-01-04 20:00:00;47;-1;4,6
7390;2021-01-05 06:00:00;47;-1;4,5
7390;2021-01-05 12:00:00;47;0;4,5
7390;2021-01-05 16:00:00;47;-1;4,5
7390;2021-01-05 20:00:00;47;-1;4,6
7390;2021-01-06 06:00:00;46,5;-1;4,4
7390;2021-01-06 12:00:00;47;0;4,5
7390;2021-01-06 16:00:00;46,5;-1;4,6
7390;2021-01-06 20:00:00;46;-1;4,7
7390;2021-01-07 06:00:00;46;-1;4,6
7390;2021-01-07 12:00:00;46;-1;4,6
7390;2021-01-07 16:00:00;45;-1;4,8
7390;2021-01-07 20:00:00;46;-1;4,9
7390;2021-01-08 06:00:00;46;-2;4,8
7390;2021-01-08 12:00:00;46,5;-1;4,8
7390;2021-01-08 16:00:00;46,5;-1;4,9
7390;2021-01-08 20:00:00;46,5;-1;4,9
7390;2021-01-09 06:00:00;47;-1;4,7
7390;2021-01-09 12:00:00;47;-1;4,9
7390;2021-01-09 16:00:00;47;-1;4,8
7390;2021-01-09 20:00:00;47;-1;4,8
7390;2021-01-10 06:00:00;47;-1;4,4
7390;2021-01-10 12:00:00;47;-1;4,6
7390;2021-01-10 16:00:00;47;-1;4,5
