ObjectID;DateTime;P_in;T_in;Qh
7040;2021-01-01 00:00:00;NULL;NULL;45,008
7040;2021-01-01 02:00:00;NULL;NULL;49,139
7040;2021-01-01 04:00:00;NULL;NULL;49,555
7040;2021-01-01 06:00:00;46,5;2;49,568
7040;2021-01-01 08:00:00;NULL;NULL;49,534
7040;2021-01-01 10:00:00;NULL;NULL;48,179
7040;2021-01-01 12:00:00;46,6;2;48,608
7040;2021-01-01 14:00:00;NULL;NULL;46,343
7040;2021-01-01 16:00:00;46,5;2;48,721
7040;2021-01-01 18:00:00;NULL;NULL;48,691
7040;2021-01-01 20:00:00;NULL;NULL;51,641
7040;2021-01-01 22:00:00;NULL;NULL;50,518
7040;2021-01-02 00:00:00;NULL;NULL;50,623
7040;2021-01-02 02:00:00;NULL;NULL;49,44
7040;2021-01-02 04:00:00;NULL;NULL;49,48
7040;2021-01-02 06:00:00;47,6;1;47,513
7040;2021-01-02 08:00:00;NULL;NULL;50,206
7040;2021-01-02 10:00:00;NULL;NULL;46,863
7040;2021-01-02 12:00:00;47,9;2;49,136
7040;2021-01-02 14:00:00;NULL;NULL;48,259
7040;2021-01-02 16:00:00;48,4;2;48,37
7040;2021-01-02 18:00:00;NULL;NULL;48,801
7040;2021-01-02 20:00:00;NULL;NULL;45,44
7040;2021-01-02 22:00:00;NULL;NULL;49,407
7040;2021-01-03 00:00:00;NULL;NULL;46,51
7040;2021-01-03 02:00:00;NULL;NULL;47,292
7040;2021-01-03 04:00:00;NULL;NULL;49,112
7040;2021-01-03 06:00:00;47;2;49,027
7040;2021-01-03 08:00:00;NULL;NULL;46,86
7040;2021-01-03 10:00:00;NULL;NULL;46,282
7040;2021-01-03 12:00:00;47,4;2;48,25
7040;2021-01-03 14:00:00;NULL;NULL;46,122
7040;2021-01-03 16:00:00;47,3;2;44,316
7040;2021-01-03 18:00:00;NULL;NULL;49,748
7040;2021-01-03 20:00:00;NULL;NULL;50,222
7040;2021-01-03 22:00:00;NULL;NULL;49,539
7040;2021-01-04 00:00:00;NULL;NULL;49,684
7040;2021-01-04 02:00:00;NULL;NULL;49,168
7040;2021-01-04 04:00:00;NULL;NULL;49,376
7040;2021-01-04 06:00:00;47,9;2;49,333
7040;2021-01-04 08:00:00;NULL;NULL;49,257
7040;2021-01-04 10:00:00;NULL;NULL;49,218
7040;2021-01-04 12:00:00;47,8;2;49,231
7040;2021-01-04 14:00:00;NULL;NULL;47,463
7040;2021-01-04 16:00:00;47,5;2;49,793
7040;2021-01-04 18:00:00;NULL;NULL;49,107
7040;2021-01-04 20:00:00;NULL;NULL;50,472
7040;2021-01-04 22:00:00;NULL;NULL;49,198
7040;2021-01-05 00:00:00;NULL;NULL;50,007
7040;2021-01-05 02:00:00;NULL;NULL;49,234
7040;2021-01-05 04:00:00;NULL;NULL;48,966
7040;2021-01-05 06:00:00;47,5;2;49,174
7040;2021-01-05 08:00:00;NULL;NULL;49,87
7040;2021-01-05 10:00:00;NULL;NULL;48,521
7040;2021-01-05 12:00:00;47,8;2;48,646
7040;2021-01-05 14:00:00;NULL;NULL;48,552
7040;2021-01-05 16:00:00;47,5;2;49,469
7040;2021-01-05 18:00:00;NULL;NULL;50,052
7040;2021-01-05 20:00:00;NULL;NULL;49,872
7040;2021-01-05 22:00:00;NULL;NULL;49,805
7040;2021-01-06 00:00:00;NULL;NULL;49,753
7040;2021-01-06 02:00:00;NULL;NULL;49,32
7040;2021-01-06 04:00:00;NULL;NULL;48,383
7040;2021-01-06 06:00:00;47;2;48,85
7040;2021-01-06 08:00:00;NULL;NULL;50,203
7040;2021-01-06 10:00:00;NULL;NULL;49,763
