ObjectID;DateTime;P_in;T_in;Qh
7140;2021-01-01 00:00:00;46,77;1,41;0,086
7140;2021-01-01 02:00:00;46,81;1,61;0,087
7140;2021-01-01 04:00:00;46,81;2,5;0,087
7140;2021-01-01 06:00:00;46,85;2,59;0,088
7140;2021-01-01 08:00:00;46,83;2,86;0,086
7140;2021-01-01 10:00:00;46,83;3,34;0,091
7140;2021-01-01 12:00:00;46,76;2,91;0,089
7140;2021-01-01 14:00:00;46,66;3,9;0,091
7140;2021-01-01 16:00:00;46,72;3,91;0,094
7140;2021-01-01 18:00:00;46,96;3,57;0,086
7140;2021-01-01 20:00:00;47,18;3,31;0,084
7140;2021-01-01 22:00:00;47,56;3,72;0,087
7140;2021-01-02 00:00:00;47,64;3,59;0,088
7140;2021-01-02 02:00:00;47,77;4,09;0,088
7140;2021-01-02 04:00:00;47,8;4,27;0,087
7140;2021-01-02 06:00:00;47,79;4,21;0,087
7140;2021-01-02 08:00:00;48;4,23;0,086
7140;2021-01-02 10:00:00;48,08;4,45;0,087
7140;2021-01-02 12:00:00;48,09;4,59;0,087
7140;2021-01-02 14:00:00;48,27;6,06;0,088
7140;2021-01-02 16:00:00;48,36;5,68;0,087
7140;2021-01-02 18:00:00;48,73;4,7;0,083
7140;2021-01-02 20:00:00;46,74;3,94;0,078
7140;2021-01-02 22:00:00;46,34;3,87;0,083
7140;2021-01-03 00:00:00;46,5;4,06;0,085
7140;2021-01-03 02:00:00;46,68;3,61;0,084
7140;2021-01-03 04:00:00;46,88;3,65;0,084
7140;2021-01-03 06:00:00;47,04;4,24;0,085
7140;2021-01-03 08:00:00;47,16;3,78;0,084
7140;2021-01-03 10:00:00;47,33;3,51;0,083
7140;2021-01-03 12:00:00;47,41;4,67;0,085
7140;2021-01-03 14:00:00;47,51;5,19;0,086
7140;2021-01-03 16:00:00;47,57;4,64;0,086
7140;2021-01-03 18:00:00;47,56;4,36;0,085
7140;2021-01-03 20:00:00;47,74;3,56;0,085
7140;2021-01-03 22:00:00;47,98;3,49;0,085
7140;2021-01-04 00:00:00;48,09;2,77;0,084
7140;2021-01-04 02:00:00;48,16;2,5;0,082
7140;2021-01-04 04:00:00;47,94;2,66;0,081
7140;2021-01-04 06:00:00;47,9;2,74;0,081
7140;2021-01-04 08:00:00;47,87;3,07;0,083
7140;2021-01-04 10:00:00;47,8;3,49;0,088
7140;2021-01-04 12:00:00;47,81;3,72;0,089
7140;2021-01-04 14:00:00;47,65;4,67;0,086
7140;2021-01-04 16:00:00;47,62;4,99;0,086
