ObjectID;DateTime;P_in;T_in;Qh
7030;2021-01-01 00:00:00;43,16;0,24;4,82
7030;2021-01-01 02:00:00;43,23;0,38;4,825
7030;2021-01-01 04:00:00;43,35;0,3;4,585
7030;2021-01-01 06:00:00;43,47;0,39;4,752
7030;2021-01-01 08:00:00;43,57;0,34;4,868
7030;2021-01-01 10:00:00;43,68;0,22;4,936
7030;2021-01-01 12:00:00;43,74;0,33;4,681
7030;2021-01-01 14:00:00;44,07;0,53;4,82
7030;2021-01-01 16:00:00;44,28;0,4;4,848
7030;2021-01-01 18:00:00;44,41;0,45;4,756
7030;2021-01-01 20:00:00;44,68;0,42;4,789
7030;2021-01-01 22:00:00;44,7;0,46;5,003
7030;2021-01-02 00:00:00;44,7;0,45;4,843
7030;2021-01-02 02:00:00;44,67;0,37;4,417
7030;2021-01-02 04:00:00;44,63;0,46;4,783
7030;2021-01-02 06:00:00;44,63;0,48;4,781
7030;2021-01-02 08:00:00;44,62;0,49;4,834
7030;2021-01-02 10:00:00;44,65;0,51;4,889
7030;2021-01-02 12:00:00;44,65;0,58;4,941
7030;2021-01-02 14:00:00;44,61;0,63;4,882
7030;2021-01-02 16:00:00;44,5;0,62;5,027
7030;2021-01-02 18:00:00;44,05;0,53;4,87
7030;2021-01-02 20:00:00;44,38;0,48;4,964
7030;2021-01-02 22:00:00;44,85;0,4;4,916
7030;2021-01-03 00:00:00;45,1;0,4;4,84
7030;2021-01-03 02:00:00;45,33;0,38;4,651
7030;2021-01-03 04:00:00;45,56;0,42;4,675
7030;2021-01-03 06:00:00;45,72;0,36;4,913
7030;2021-01-03 08:00:00;45,94;0,34;4,885
7030;2021-01-03 10:00:00;46,06;0,4;5,063
7030;2021-01-03 12:00:00;46,14;0,51;5,18
7030;2021-01-03 14:00:00;46,4;0,56;4,877
7030;2021-01-03 16:00:00;46,37;0,41;4,934
7030;2021-01-03 18:00:00;46,51;0,38;5,173
7030;2021-01-03 20:00:00;46,77;0,35;4,983
7030;2021-01-03 22:00:00;47,1;0,39;4,963
7030;2021-01-04 00:00:00;47,21;0,3;4,583
7030;2021-01-04 02:00:00;47,24;0,32;4,87
7030;2021-01-04 04:00:00;46,78;0,29;4,817
7030;2021-01-04 06:00:00;47,11;0,29;4,685
7030;2021-01-04 08:00:00;47,03;0,34;4,845
7030;2021-01-04 10:00:00;46,97;0,38;4,893
7030;2021-01-04 12:00:00;46,91;0,44;4,996
7030;2021-01-04 14:00:00;46,74;0,61;4,917
7030;2021-01-04 16:00:00;46,75;0,56;4,919
7030;2021-01-04 18:00:00;46,66;0,33;5,138
7030;2021-01-04 20:00:00;46,44;0,39;5,165
7030;2021-01-04 22:00:00;46,27;0,18;4,984
7030;2021-01-05 00:00:00;46,19;0,41;4,913
7030;2021-01-05 02:00:00;46,36;0,38;4,933
7030;2021-01-05 04:00:00;46,51;0,39;4,839
7030;2021-01-05 06:00:00;46,61;0,42;4,906
7030;2021-01-05 08:00:00;46,7;0,35;4,918
