ObjectID;DateTime;P_in;T_in;Qh
8028;2021-01-01 00:00:00;NULL;NULL;0,626
8028;2021-01-01 02:00:00;NULL;NULL;0,613
8028;2021-01-01 04:00:00;NULL;NULL;0,593
8028;2021-01-01 06:00:00;40,1;1;0,583
8028;2021-01-01 08:00:00;NULL;NULL;0,608
8028;2021-01-01 10:00:00;NULL;NULL;0,604
8028;2021-01-01 12:00:00;40,5;0;0,596
8028;2021-01-01 14:00:00;NULL;NULL;0,602
8028;2021-01-01 16:00:00;NULL;NULL;0,584
8028;2021-01-01 18:00:00;41,2;1;0,583
8028;2021-01-01 20:00:00;NULL;NULL;0,587
8028;2021-01-01 22:00:00;NULL;NULL;0,586
8028;2021-01-02 00:00:00;NULL;NULL;0,575
8028;2021-01-02 02:00:00;NULL;NULL;0,586
8028;2021-01-02 04:00:00;NULL;NULL;0,59
8028;2021-01-02 06:00:00;41,3;1;0,579
8028;2021-01-02 08:00:00;NULL;NULL;0,59
8028;2021-01-02 10:00:00;NULL;NULL;0,678
8028;2021-01-02 12:00:00;41,5;1;0,611
8028;2021-01-02 14:00:00;NULL;NULL;0,666
8028;2021-01-02 16:00:00;NULL;NULL;0,615
8028;2021-01-02 18:00:00;40,9;1;0,69
8028;2021-01-02 20:00:00;NULL;NULL;0,667
8028;2021-01-02 22:00:00;NULL;NULL;0,62
8028;2021-01-03 00:00:00;NULL;NULL;0,658
8028;2021-01-03 02:00:00;NULL;NULL;0,625
8028;2021-01-03 04:00:00;NULL;NULL;0,645
8028;2021-01-03 06:00:00;41,9;1;0,679
8028;2021-01-03 08:00:00;NULL;NULL;0,69
8028;2021-01-03 10:00:00;NULL;NULL;0,7
8028;2021-01-03 12:00:00;42,1;1;0,663
8028;2021-01-03 14:00:00;NULL;NULL;0,661
8028;2021-01-03 16:00:00;NULL;NULL;0,643
8028;2021-01-03 18:00:00;44,1;1;0,654
8028;2021-01-03 20:00:00;NULL;NULL;0,58
8028;2021-01-03 22:00:00;NULL;NULL;0,63
8028;2021-01-04 00:00:00;NULL;NULL;0,632
8028;2021-01-04 02:00:00;NULL;NULL;0,611
8028;2021-01-04 04:00:00;NULL;NULL;0,65
8028;2021-01-04 06:00:00;41,7;0;0,634
8028;2021-01-04 08:00:00;NULL;NULL;0,582
8028;2021-01-04 10:00:00;NULL;NULL;0,639
8028;2021-01-04 12:00:00;41,7;1;0,664
8028;2021-01-04 14:00:00;NULL;NULL;0,656
8028;2021-01-04 16:00:00;NULL;NULL;0,661
8028;2021-01-04 18:00:00;41,3;1;0,66
8028;2021-01-04 20:00:00;NULL;NULL;0,638
8028;2021-01-04 22:00:00;NULL;NULL;0,631
8028;2021-01-05 00:00:00;NULL;NULL;0,638
8028;2021-01-05 02:00:00;NULL;NULL;0,65
8028;2021-01-05 04:00:00;NULL;NULL;0,65
8028;2021-01-05 06:00:00;41,2;1;0,652
8028;2021-01-05 08:00:00;NULL;NULL;0,671
8028;2021-01-05 10:00:00;NULL;NULL;0,669
8028;2021-01-05 12:00:00;41,6;1;0,665
8028;2021-01-05 14:00:00;NULL;NULL;0,658
8028;2021-01-05 16:00:00;NULL;NULL;0,67
8028;2021-01-05 18:00:00;41,3;1;0,668
8028;2021-01-05 20:00:00;NULL;NULL;0,669
8028;2021-01-05 22:00:00;NULL;NULL;0,644
8028;2021-01-06 00:00:00;NULL;NULL;0,652
8028;2021-01-06 02:00:00;NULL;NULL;0,657
8028;2021-01-06 04:00:00;NULL;NULL;0,611
8028;2021-01-06 06:00:00;40,6;1;0,569
8028;2021-01-06 08:00:00;NULL;NULL;0,676
8028;2021-01-06 10:00:00;NULL;NULL;0,69
8028;2021-01-06 12:00:00;40,6;2;0,682
8028;2021-01-06 14:00:00;NULL;NULL;0,681
8028;2021-01-06 16:00:00;NULL;NULL;0,673
8028;2021-01-06 18:00:00;40,2;0;0,686
8028;2021-01-06 20:00:00;NULL;NULL;0,672
8028;2021-01-06 22:00:00;NULL;NULL;0,65
8028;2021-01-07 00:00:00;NULL;NULL;0,673
8028;2021-01-07 02:00:00;NULL;NULL;0,664
8028;2021-01-07 04:00:00;NULL;NULL;0,677
8028;2021-01-07 06:00:00;40,2;1;0,65
8028;2021-01-07 08:00:00;NULL;NULL;0,601
8028;2021-01-07 10:00:00;NULL;NULL;0,629
8028;2021-01-07 12:00:00;40;1;0,62
8028;2021-01-07 14:00:00;NULL;NULL;0,61
8028;2021-01-07 16:00:00;NULL;NULL;0,621
8028;2021-01-07 18:00:00;40,1;0;0,628
8028;2021-01-07 20:00:00;NULL;NULL;0,627
8028;2021-01-07 22:00:00;NULL;NULL;0,629
8028;2021-01-08 00:00:00;NULL;NULL;0,647
8028;2021-01-08 02:00:00;NULL;NULL;0,634
8028;2021-01-08 04:00:00;NULL;NULL;0,647
8028;2021-01-08 06:00:00;41,3;0;0,641
8028;2021-01-08 08:00:00;NULL;NULL;0,67
8028;2021-01-08 10:00:00;NULL;NULL;0,754
8028;2021-01-08 12:00:00;41,8;-1;0,74
8028;2021-01-08 14:00:00;NULL;NULL;0,734
8028;2021-01-08 16:00:00;NULL;NULL;0,717
8028;2021-01-08 18:00:00;42,1;0;0,736
8028;2021-01-08 20:00:00;NULL;NULL;0,714
8028;2021-01-08 22:00:00;NULL;NULL;0,719
8028;2021-01-09 00:00:00;NULL;NULL;0,702
