ObjectID;DateTime;P_in;T_in;Qh
8029;2021-01-01 00:00:00;NULL;NULL;2,912
8029;2021-01-01 02:00:00;NULL;NULL;2,804
8029;2021-01-01 04:00:00;NULL;NULL;2,744
8029;2021-01-01 06:00:00;38,1;2;2,717
8029;2021-01-01 08:00:00;NULL;NULL;2,835
8029;2021-01-01 10:00:00;NULL;NULL;2,94
8029;2021-01-01 12:00:00;38,4;2;2,791
8029;2021-01-01 14:00:00;NULL;NULL;2,691
8029;2021-01-01 16:00:00;NULL;NULL;2,723
8029;2021-01-01 18:00:00;39,5;2;2,957
8029;2021-01-01 20:00:00;NULL;NULL;2,753
8029;2021-01-01 22:00:00;NULL;NULL;2,666
8029;2021-01-02 00:00:00;NULL;NULL;2,731
8029;2021-01-02 02:00:00;NULL;NULL;2,686
8029;2021-01-02 04:00:00;NULL;NULL;2,67
8029;2021-01-02 06:00:00;39,5;2;2,725
8029;2021-01-02 08:00:00;NULL;NULL;2,844
8029;2021-01-02 10:00:00;NULL;NULL;2,623
8029;2021-01-02 12:00:00;39,9;2;2,606
8029;2021-01-02 14:00:00;NULL;NULL;2,593
8029;2021-01-02 16:00:00;NULL;NULL;2,719
8029;2021-01-02 18:00:00;39;2;2,856
8029;2021-01-02 20:00:00;NULL;NULL;2,789
8029;2021-01-02 22:00:00;NULL;NULL;2,829
8029;2021-01-03 00:00:00;NULL;NULL;2,794
8029;2021-01-03 02:00:00;NULL;NULL;2,697
8029;2021-01-03 04:00:00;NULL;NULL;2,758
8029;2021-01-03 06:00:00;40;2;3,037
8029;2021-01-03 08:00:00;NULL;NULL;2,985
8029;2021-01-03 10:00:00;NULL;NULL;2,797
8029;2021-01-03 12:00:00;40,1;2;2,926
8029;2021-01-03 14:00:00;NULL;NULL;2,967
8029;2021-01-03 16:00:00;NULL;NULL;2,771
8029;2021-01-03 18:00:00;42,8;2;2,88
8029;2021-01-03 20:00:00;NULL;NULL;2,726
8029;2021-01-03 22:00:00;NULL;NULL;2,856
8029;2021-01-04 00:00:00;NULL;NULL;2,714
8029;2021-01-04 02:00:00;NULL;NULL;2,645
8029;2021-01-04 04:00:00;NULL;NULL;2,676
8029;2021-01-04 06:00:00;40;2;2,898
8029;2021-01-04 08:00:00;NULL;NULL;2,706
8029;2021-01-04 10:00:00;NULL;NULL;2,834
8029;2021-01-04 12:00:00;39,6;2;2,927
8029;2021-01-04 14:00:00;NULL;NULL;2,846
8029;2021-01-04 16:00:00;NULL;NULL;3,004
8029;2021-01-04 18:00:00;39,2;2;2,985
8029;2021-01-04 20:00:00;NULL;NULL;2,96
8029;2021-01-04 22:00:00;NULL;NULL;2,878
8029;2021-01-05 00:00:00;NULL;NULL;2,953
8029;2021-01-05 02:00:00;NULL;NULL;2,818
8029;2021-01-05 04:00:00;NULL;NULL;2,782
8029;2021-01-05 06:00:00;39,3;2;2,804
8029;2021-01-05 08:00:00;NULL;NULL;2,775
8029;2021-01-05 10:00:00;NULL;NULL;2,788
8029;2021-01-05 12:00:00;39,8;2;3,016
8029;2021-01-05 14:00:00;NULL;NULL;2,843
8029;2021-01-05 16:00:00;NULL;NULL;2,843
8029;2021-01-05 18:00:00;39;2;3,04
8029;2021-01-05 20:00:00;NULL;NULL;2,92
8029;2021-01-05 22:00:00;NULL;NULL;2,956
8029;2021-01-06 00:00:00;NULL;NULL;3,015
8029;2021-01-06 02:00:00;NULL;NULL;2,919
8029;2021-01-06 04:00:00;NULL;NULL;2,835
8029;2021-01-06 06:00:00;38,8;2;2,866
8029;2021-01-06 08:00:00;NULL;NULL;2,841
8029;2021-01-06 10:00:00;NULL;NULL;2,899
8029;2021-01-06 12:00:00;38,3;2;3,061
8029;2021-01-06 14:00:00;NULL;NULL;3,058
8029;2021-01-06 16:00:00;NULL;NULL;2,993
8029;2021-01-06 18:00:00;38,2;2;3,193
8029;2021-01-06 20:00:00;NULL;NULL;3,164
8029;2021-01-06 22:00:00;NULL;NULL;3,097
8029;2021-01-07 00:00:00;NULL;NULL;3,124
8029;2021-01-07 02:00:00;NULL;NULL;3,047
8029;2021-01-07 04:00:00;NULL;NULL;3,126
8029;2021-01-07 06:00:00;38,9;2;2,826
8029;2021-01-07 08:00:00;NULL;NULL;3,128
8029;2021-01-07 10:00:00;NULL;NULL;3,136
8029;2021-01-07 12:00:00;37,9;2;3,214
8029;2021-01-07 14:00:00;NULL;NULL;3,02
8029;2021-01-07 16:00:00;NULL;NULL;3,192
8029;2021-01-07 18:00:00;37,9;2;3,26
8029;2021-01-07 20:00:00;NULL;NULL;3,171
8029;2021-01-07 22:00:00;NULL;NULL;3,167
8029;2021-01-08 00:00:00;NULL;NULL;3,243
8029;2021-01-08 02:00:00;NULL;NULL;3,177
8029;2021-01-08 04:00:00;NULL;NULL;3,137
8029;2021-01-08 06:00:00;39,3;1;3,138
8029;2021-01-08 08:00:00;NULL;NULL;3,216
8029;2021-01-08 10:00:00;NULL;NULL;3,258
8029;2021-01-08 12:00:00;39,8;1;3,143
8029;2021-01-08 14:00:00;NULL;NULL;3,075
8029;2021-01-08 16:00:00;NULL;NULL;3,121
8029;2021-01-08 18:00:00;40;1;3,154
8029;2021-01-08 20:00:00;NULL;NULL;3,162
8029;2021-01-08 22:00:00;NULL;NULL;2,987
8029;2021-01-09 00:00:00;NULL;NULL;3,033
8029;2021-01-09 02:00:00;NULL;NULL;2,996
8029;2021-01-09 04:00:00;NULL;NULL;2,984
8029;2021-01-09 06:00:00;40,2;1;2,869
8029;2021-01-09 08:00:00;NULL;NULL;2,768
8029;2021-01-09 10:00:00;NULL;NULL;2,696
8029;2021-01-09 12:00:00;40,5;1;2,849
8029;2021-01-09 14:00:00;NULL;NULL;2,773
8029;2021-01-09 16:00:00;NULL;NULL;2,815
8029;2021-01-09 18:00:00;40,5;1;2,782
8029;2021-01-09 20:00:00;NULL;NULL;2,742
8029;2021-01-09 22:00:00;NULL;NULL;2,615
8029;2021-01-10 00:00:00;NULL;NULL;2,576
8029;2021-01-10 02:00:00;NULL;NULL;2,529
8029;2021-01-10 04:00:00;NULL;NULL;2,513
8029;2021-01-10 06:00:00;40,5;1;2,544
8029;2021-01-10 08:00:00;NULL;NULL;2,577
8029;2021-01-10 10:00:00;NULL;NULL;2,542
8029;2021-01-10 12:00:00;40,5;1;2,851
8029;2021-01-10 14:00:00;NULL;NULL;2,7
8029;2021-01-10 16:00:00;NULL;NULL;2,874
8029;2021-01-10 18:00:00;40,5;1;2,933
8029;2021-01-10 20:00:00;NULL;NULL;2,919
8029;2021-01-10 22:00:00;NULL;NULL;2,843
8029;2021-01-11 00:00:00;NULL;NULL;2,762
8029;2021-01-11 02:00:00;NULL;NULL;2,745
8029;2021-01-11 04:00:00;NULL;NULL;2,722
8029;2021-01-11 06:00:00;40,8;1;2,816
8029;2021-01-11 08:00:00;NULL;NULL;2,793
8029;2021-01-11 10:00:00;NULL;NULL;2,89
8029;2021-01-11 12:00:00;40,1;1;2,942
8029;2021-01-11 14:00:00;NULL;NULL;2,962
8029;2021-01-11 16:00:00;NULL;NULL;3,028
8029;2021-01-11 18:00:00;38,1;1;3,152
8029;2021-01-11 20:00:00;NULL;NULL;3,141
8029;2021-01-11 22:00:00;NULL;NULL;3,149
8029;2021-01-12 00:00:00;NULL;NULL;3,167
8029;2021-01-12 02:00:00;NULL;NULL;3,126
8029;2021-01-12 04:00:00;NULL;NULL;3,093
8029;2021-01-12 06:00:00;37,1;1;3,003
8029;2021-01-12 08:00:00;NULL;NULL;3,113
8029;2021-01-12 10:00:00;NULL;NULL;3,059
8029;2021-01-12 12:00:00;36,4;1;3,083
8029;2021-01-12 14:00:00;NULL;NULL;3,063
8029;2021-01-12 16:00:00;NULL;NULL;3,136
8029;2021-01-12 18:00:00;35;1;3,252
8029;2021-01-12 20:00:00;NULL;NULL;3,172
8029;2021-01-12 22:00:00;NULL;NULL;3,238
8029;2021-01-13 00:00:00;NULL;NULL;3,08
8029;2021-01-13 02:00:00;NULL;NULL;3,207
8029;2021-01-13 04:00:00;NULL;NULL;3,174
8029;2021-01-13 06:00:00;34,5;1;3,113
8029;2021-01-13 08:00:00;NULL;NULL;3,266
8029;2021-01-13 10:00:00;NULL;NULL;3,121
8029;2021-01-13 12:00:00;34;1;3,153
8029;2021-01-13 14:00:00;NULL;NULL;3,207
8029;2021-01-13 16:00:00;NULL;NULL;3,176
8029;2021-01-13 18:00:00;34;1;3,388
8029;2021-01-13 20:00:00;NULL;NULL;3,452
8029;2021-01-13 22:00:00;NULL;NULL;3,326
8029;2021-01-14 00:00:00;NULL;NULL;3,345
8029;2021-01-14 02:00:00;NULL;NULL;3,314
8029;2021-01-14 04:00:00;NULL;NULL;3,258
8029;2021-01-14 06:00:00;33;1;3,322
8029;2021-01-14 08:00:00;NULL;NULL;3,29
8029;2021-01-14 10:00:00;NULL;NULL;3,195
8029;2021-01-14 12:00:00;33,3;1;3,123
8029;2021-01-14 14:00:00;NULL;NULL;3,022
8029;2021-01-14 16:00:00;NULL;NULL;3,257
8029;2021-01-14 18:00:00;33;1;3,28
8029;2021-01-14 20:00:00;NULL;NULL;3,244
8029;2021-01-14 22:00:00;NULL;NULL;3,174
8029;2021-01-15 00:00:00;NULL;NULL;3,122
8029;2021-01-15 02:00:00;NULL;NULL;3,11
8029;2021-01-15 04:00:00;NULL;NULL;3,016
8029;2021-01-15 06:00:00;33,1;1;2,918
8029;2021-01-15 08:00:00;NULL;NULL;2,938
8029;2021-01-15 10:00:00;NULL;NULL;2,894
8029;2021-01-15 12:00:00;33,1;1;2,982
8029;2021-01-15 14:00:00;NULL;NULL;2,79
8029;2021-01-15 16:00:00;NULL;NULL;2,835
8029;2021-01-15 18:00:00;33,9;1;2,879
8029;2021-01-15 20:00:00;NULL;NULL;2,729
8029;2021-01-15 22:00:00;NULL;NULL;2,811
8029;2021-01-16 00:00:00;NULL;NULL;2,63
8029;2021-01-16 02:00:00;NULL;NULL;2,708
8029;2021-01-16 04:00:00;NULL;NULL;2,58
8029;2021-01-16 06:00:00;35;1;2,493
8029;2021-01-16 08:00:00;NULL;NULL;2,383
8029;2021-01-16 10:00:00;NULL;NULL;2,735
8029;2021-01-16 12:00:00;35;1;2,839
8029;2021-01-16 14:00:00;NULL;NULL;2,821
8029;2021-01-16 16:00:00;NULL;NULL;2,715
8029;2021-01-16 18:00:00;35,5;1;2,791
8029;2021-01-16 20:00:00;NULL;NULL;2,648
8029;2021-01-16 22:00:00;NULL;NULL;2,783
8029;2021-01-17 00:00:00;NULL;NULL;2,714
8029;2021-01-17 02:00:00;NULL;NULL;2,66
8029;2021-01-17 04:00:00;NULL;NULL;2,658
8029;2021-01-17 06:00:00;36,5;1;2,565
8029;2021-01-17 08:00:00;NULL;NULL;2,602
8029;2021-01-17 10:00:00;NULL;NULL;2,688
8029;2021-01-17 12:00:00;39,5;1;2,712
8029;2021-01-17 14:00:00;NULL;NULL;2,759
8029;2021-01-17 16:00:00;NULL;NULL;2,869
8029;2021-01-17 18:00:00;39,6;1;2,998
8029;2021-01-17 20:00:00;NULL;NULL;2,953
8029;2021-01-17 22:00:00;NULL;NULL;2,944
8029;2021-01-18 00:00:00;NULL;NULL;3,016
8029;2021-01-18 02:00:00;NULL;NULL;3,001
8029;2021-01-18 04:00:00;NULL;NULL;2,906
8029;2021-01-18 06:00:00;39;1;2,89
8029;2021-01-18 08:00:00;NULL;NULL;2,966
8029;2021-01-18 10:00:00;NULL;NULL;2,985
8029;2021-01-18 12:00:00;39;1;2,883
8029;2021-01-18 14:00:00;NULL;NULL;2,873
8029;2021-01-18 16:00:00;NULL;NULL;3,017
8029;2021-01-18 18:00:00;36;1;3,141
8029;2021-01-18 20:00:00;NULL;NULL;3,037
8029;2021-01-18 22:00:00;NULL;NULL;3,011
8029;2021-01-19 00:00:00;NULL;NULL;2,856
8029;2021-01-19 02:00:00;NULL;NULL;2,86
8029;2021-01-19 04:00:00;NULL;NULL;2,904
8029;2021-01-19 06:00:00;36;1;2,756
8029;2021-01-19 08:00:00;NULL;NULL;2,725
8029;2021-01-19 10:00:00;NULL;NULL;2,775
8029;2021-01-19 12:00:00;37,7;1;2,891
8029;2021-01-19 14:00:00;NULL;NULL;2,742
8029;2021-01-19 16:00:00;NULL;NULL;2,453
8029;2021-01-19 18:00:00;38;1;2,464
8029;2021-01-19 20:00:00;NULL;NULL;2,815
8029;2021-01-19 22:00:00;NULL;NULL;2,839
8029;2021-01-20 00:00:00;NULL;NULL;2,787
8029;2021-01-20 02:00:00;NULL;NULL;2,694
8029;2021-01-20 04:00:00;NULL;NULL;2,597
8029;2021-01-20 06:00:00;38;1;2,576
8029;2021-01-20 08:00:00;NULL;NULL;2,607
8029;2021-01-20 10:00:00;NULL;NULL;2,601
8029;2021-01-20 12:00:00;37,6;1;2,682
8029;2021-01-20 14:00:00;NULL;NULL;2,533
8029;2021-01-20 16:00:00;NULL;NULL;2,755
8029;2021-01-20 18:00:00;37,1;1;2,939
8029;2021-01-20 20:00:00;NULL;NULL;2,877
8029;2021-01-20 22:00:00;NULL;NULL;2,804
8029;2021-01-21 00:00:00;NULL;NULL;2,766
8029;2021-01-21 02:00:00;NULL;NULL;2,804
8029;2021-01-21 04:00:00;NULL;NULL;2,798
8029;2021-01-21 06:00:00;37,9;1;2,862
8029;2021-01-21 08:00:00;NULL;NULL;2,922
8029;2021-01-21 10:00:00;NULL;NULL;2,657
8029;2021-01-21 12:00:00;37,5;1;2,643
8029;2021-01-21 14:00:00;NULL;NULL;2,644
8029;2021-01-21 16:00:00;NULL;NULL;2,911
8029;2021-01-21 18:00:00;35,8;1;2,809
8029;2021-01-21 20:00:00;NULL;NULL;2,737
8029;2021-01-21 22:00:00;NULL;NULL;2,683
8029;2021-01-22 00:00:00;NULL;NULL;2,633
8029;2021-01-22 02:00:00;NULL;NULL;2,596
8029;2021-01-22 04:00:00;NULL;NULL;2,664
8029;2021-01-22 06:00:00;34;1;2,639
8029;2021-01-22 08:00:00;NULL;NULL;2,525
8029;2021-01-22 10:00:00;NULL;NULL;2,522
8029;2021-01-22 12:00:00;34;1;2,638
8029;2021-01-22 14:00:00;NULL;NULL;2,492
8029;2021-01-22 16:00:00;NULL;NULL;2,766
8029;2021-01-22 18:00:00;34,4;1;2,639
8029;2021-01-22 20:00:00;NULL;NULL;2,573
8029;2021-01-22 22:00:00;NULL;NULL;2,467
8029;2021-01-23 00:00:00;NULL;NULL;2,505
8029;2021-01-23 02:00:00;NULL;NULL;2,681
8029;2021-01-23 04:00:00;NULL;NULL;2,708
8029;2021-01-23 06:00:00;37;1;2,71
8029;2021-01-23 08:00:00;NULL;NULL;2,755
8029;2021-01-23 10:00:00;NULL;NULL;2,681
8029;2021-01-23 12:00:00;37;1;2,793
8029;2021-01-23 14:00:00;NULL;NULL;2,7
8029;2021-01-23 16:00:00;NULL;NULL;2,871
8029;2021-01-23 18:00:00;37,2;1;2,952
8029;2021-01-23 20:00:00;NULL;NULL;2,858
8029;2021-01-23 22:00:00;NULL;NULL;2,784
8029;2021-01-24 00:00:00;NULL;NULL;2,81
8029;2021-01-24 02:00:00;NULL;NULL;2,756
8029;2021-01-24 04:00:00;NULL;NULL;2,717
8029;2021-01-24 06:00:00;37,3;1;2,759
8029;2021-01-24 08:00:00;NULL;NULL;2,829
8029;2021-01-24 10:00:00;NULL;NULL;2,598
8029;2021-01-24 12:00:00;37,1;1;2,662
8029;2021-01-24 14:00:00;NULL;NULL;2,674
8029;2021-01-24 16:00:00;NULL;NULL;2,668
8029;2021-01-24 18:00:00;37;1;2,532
8029;2021-01-24 20:00:00;NULL;NULL;2,298
8029;2021-01-24 22:00:00;NULL;NULL;2,024
8029;2021-01-25 00:00:00;NULL;NULL;2,259
8029;2021-01-25 02:00:00;NULL;NULL;2,089
8029;2021-01-25 04:00:00;NULL;NULL;2,003
8029;2021-01-25 06:00:00;39,6;1;2,064
8029;2021-01-25 08:00:00;NULL;NULL;2,147
8029;2021-01-25 10:00:00;NULL;NULL;2,124
8029;2021-01-25 12:00:00;39;1;2,369
8029;2021-01-25 14:00:00;NULL;NULL;2,29
8029;2021-01-25 16:00:00;NULL;NULL;2,43
8029;2021-01-25 18:00:00;38,5;1;2,373
8029;2021-01-25 20:00:00;NULL;NULL;2,192
8029;2021-01-25 22:00:00;NULL;NULL;2,305
8029;2021-01-26 00:00:00;NULL;NULL;2,321
8029;2021-01-26 02:00:00;NULL;NULL;2,26
8029;2021-01-26 04:00:00;NULL;NULL;2,276
8029;2021-01-26 06:00:00;40,4;1;2,324
8029;2021-01-26 08:00:00;NULL;NULL;2,382
8029;2021-01-26 10:00:00;NULL;NULL;2,131
8029;2021-01-26 12:00:00;41,5;1;2,184
8029;2021-01-26 14:00:00;NULL;NULL;1,984
8029;2021-01-26 16:00:00;NULL;NULL;2,221
8029;2021-01-26 18:00:00;42,8;1;2,351
8029;2021-01-26 20:00:00;NULL;NULL;2,141
8029;2021-01-26 22:00:00;NULL;NULL;2,154
8029;2021-01-27 00:00:00;NULL;NULL;2,05
8029;2021-01-27 02:00:00;NULL;NULL;2,091
