ObjectID;DateTime;P_in;T_in;Qh
8022;2021-01-01 00:00:00;NULL;NULL;14,916
8022;2021-01-01 02:00:00;NULL;NULL;14,728
8022;2021-01-01 04:00:00;NULL;NULL;14,762
8022;2021-01-01 06:00:00;40;-1;14,79
8022;2021-01-01 08:00:00;NULL;NULL;15,159
8022;2021-01-01 10:00:00;NULL;NULL;16,082
8022;2021-01-01 12:00:00;40;-1;15,716
8022;2021-01-01 14:00:00;NULL;NULL;15,885
8022;2021-01-01 16:00:00;NULL;NULL;15,323
8022;2021-01-01 18:00:00;40,9;0;15,832
8022;2021-01-01 20:00:00;NULL;NULL;15,678
8022;2021-01-01 22:00:00;NULL;NULL;17,193
8022;2021-01-02 00:00:00;NULL;NULL;17,233
8022;2021-01-02 02:00:00;NULL;NULL;17,214
8022;2021-01-02 04:00:00;NULL;NULL;16,754
8022;2021-01-02 06:00:00;41,1;0;16,299
8022;2021-01-02 08:00:00;NULL;NULL;16,084
8022;2021-01-02 10:00:00;NULL;NULL;15,346
8022;2021-01-02 12:00:00;41,1;0;13,802
8022;2021-01-02 14:00:00;NULL;NULL;13,999
8022;2021-01-02 16:00:00;NULL;NULL;14,841
8022;2021-01-02 18:00:00;40,9;0;15,017
8022;2021-01-02 20:00:00;NULL;NULL;16,466
8022;2021-01-02 22:00:00;NULL;NULL;16,73
8022;2021-01-03 00:00:00;NULL;NULL;15,528
8022;2021-01-03 02:00:00;NULL;NULL;16,085
8022;2021-01-03 04:00:00;NULL;NULL;16,096
8022;2021-01-03 06:00:00;42,2;-1;16,389
8022;2021-01-03 08:00:00;NULL;NULL;16,019
8022;2021-01-03 10:00:00;NULL;NULL;16,292
8022;2021-01-03 12:00:00;42,8;1;16,526
8022;2021-01-03 14:00:00;43,6;0;16,657
8022;2021-01-03 16:00:00;NULL;NULL;16,684
8022;2021-01-03 18:00:00;44;0;16,845
8022;2021-01-03 20:00:00;NULL;NULL;16,361
8022;2021-01-03 22:00:00;NULL;NULL;16,036
8022;2021-01-04 00:00:00;NULL;NULL;15,741
8022;2021-01-04 02:00:00;NULL;NULL;15,954
8022;2021-01-04 04:00:00;NULL;NULL;16,192
8022;2021-01-04 06:00:00;41,5;-1;16,151
8022;2021-01-04 08:00:00;NULL;NULL;11,003
8022;2021-01-04 10:00:00;NULL;NULL;16,064
8022;2021-01-04 12:00:00;41,5;0;16,036
8022;2021-01-04 14:00:00;41,2;0;16,36
8022;2021-01-04 16:00:00;NULL;NULL;17,429
8022;2021-01-04 18:00:00;41;0;17,286
8022;2021-01-04 20:00:00;NULL;NULL;17,132
8022;2021-01-04 22:00:00;NULL;NULL;17,171
8022;2021-01-05 00:00:00;NULL;NULL;17,569
8022;2021-01-05 02:00:00;NULL;NULL;16,691
8022;2021-01-05 04:00:00;NULL;NULL;16,463
8022;2021-01-05 06:00:00;41;0;16,336
8022;2021-01-05 08:00:00;NULL;NULL;16,66
8022;2021-01-05 10:00:00;NULL;NULL;17,211
8022;2021-01-05 12:00:00;41,3;0;16,759
8022;2021-01-05 14:00:00;41,2;0;16,287
8022;2021-01-05 16:00:00;NULL;NULL;16,456
8022;2021-01-05 18:00:00;41;0;14,669
8022;2021-01-05 20:00:00;NULL;NULL;15,475
8022;2021-01-05 22:00:00;NULL;NULL;16,279
8022;2021-01-06 00:00:00;NULL;NULL;15,693
8022;2021-01-06 02:00:00;NULL;NULL;15,996
8022;2021-01-06 04:00:00;NULL;NULL;16,521
8022;2021-01-06 06:00:00;40,3;0;17,758
8022;2021-01-06 08:00:00;NULL;NULL;18,098
8022;2021-01-06 10:00:00;NULL;NULL;18,071
8022;2021-01-06 12:00:00;40,3;0;18,361
8022;2021-01-06 14:00:00;40,3;0;18,956
8022;2021-01-06 16:00:00;NULL;NULL;18,377
8022;2021-01-06 18:00:00;40,1;0;18,293
8022;2021-01-06 20:00:00;NULL;NULL;17,652
8022;2021-01-06 22:00:00;NULL;NULL;17,926
8022;2021-01-07 00:00:00;NULL;NULL;17,603
8022;2021-01-07 02:00:00;NULL;NULL;16,839
8022;2021-01-07 04:00:00;NULL;NULL;16,937
8022;2021-01-07 06:00:00;40,2;-1;17,172
8022;2021-01-07 08:00:00;NULL;NULL;19,037
8022;2021-01-07 10:00:00;NULL;NULL;18,488
8022;2021-01-07 12:00:00;39,9;0;18,231
8022;2021-01-07 14:00:00;39,9;0;18,503
8022;2021-01-07 16:00:00;NULL;NULL;18,311
8022;2021-01-07 18:00:00;40;0;17,874
8022;2021-01-07 20:00:00;NULL;NULL;18,112
8022;2021-01-07 22:00:00;NULL;NULL;18,221
8022;2021-01-08 00:00:00;NULL;NULL;17,687
8022;2021-01-08 02:00:00;NULL;NULL;18,037
8022;2021-01-08 04:00:00;NULL;NULL;17,963
8022;2021-01-08 06:00:00;41;-2;17,854
