ObjectID;DateTime;P_in;T_in;Qh
8090;2021-01-01 00:00:00;39,5;3;0
8090;2021-01-01 02:00:00;39,7;3;0
8090;2021-01-01 04:00:00;39,7;3;0
8090;2021-01-01 06:00:00;39,9;3;0
8090;2021-01-01 08:00:00;39,9;3;0
8090;2021-01-01 10:00:00;39,9;3;0
8090;2021-01-01 12:00:00;40;3;0
8090;2021-01-01 14:00:00;40,2;3;0
8090;2021-01-01 16:00:00;40,5;3;5,504
8090;2021-01-01 18:00:00;40,7;3;1,194
8090;2021-01-01 20:00:00;40,9;3;0
8090;2021-01-01 22:00:00;41;3;0
8090;2021-01-02 00:00:00;41;3;0
8090;2021-01-02 02:00:00;41;3;0
8090;2021-01-02 04:00:00;41;3;0
8090;2021-01-02 06:00:00;41;3;0
8090;2021-01-02 08:00:00;41;3;0
8090;2021-01-02 10:00:00;41,1;3;0
8090;2021-01-02 12:00:00;41,1;3;0
8090;2021-01-02 14:00:00;41,1;3;0
8090;2021-01-02 16:00:00;41,1;3;0
8090;2021-01-02 18:00:00;40,9;3;0
8090;2021-01-02 20:00:00;40,9;3;0
8090;2021-01-02 22:00:00;41,3;3;0
8090;2021-01-03 00:00:00;41,7;3;0
8090;2021-01-03 02:00:00;41,9;3;0
8090;2021-01-03 04:00:00;42,1;3;0
8090;2021-01-03 06:00:00;42,2;3;2,205
8090;2021-01-03 08:00:00;42,4;2;58,3
8090;2021-01-03 10:00:00;42,7;2;67,4
8090;2021-01-03 12:00:00;43,3;2;68,2
8090;2021-01-03 14:00:00;43,3;2;71,3
8090;2021-01-03 16:00:00;43,1;1;65
8090;2021-01-03 18:00:00;44,1;2;32,8
8090;2021-01-03 20:00:00;39,4;2;6,035
8090;2021-01-03 22:00:00;37,3;2;0,4
8090;2021-01-04 00:00:00;36,8;2;0
8090;2021-01-04 02:00:00;38,6;2;0
8090;2021-01-04 04:00:00;41,4;2;0
8090;2021-01-04 06:00:00;40,7;2;0
8090;2021-01-04 08:00:00;40,9;2;0
