ObjectID;DateTime;P_in;T_in;Qh
8023;2021-01-01 00:00:00;39,87;3,23;3,889
8023;2021-01-01 02:00:00;40;3,27;3,855
8023;2021-01-01 04:00:00;40,07;3,28;3,816
8023;2021-01-01 06:00:00;40,14;3,28;3,776
8023;2021-01-01 08:00:00;40,33;3,27;3,796
8023;2021-01-01 10:00:00;40,43;3,26;3,806
8023;2021-01-01 12:00:00;40,56;3,25;3,867
8023;2021-01-01 14:00:00;40,79;3,27;3,842
8023;2021-01-01 16:00:00;40,95;3,3;3,859
8023;2021-01-01 18:00:00;41,18;3,31;3,93
8023;2021-01-01 20:00:00;41,3;3,3;3,846
8023;2021-01-01 22:00:00;41,48;3,27;3,72
8023;2021-01-02 00:00:00;41,47;3,26;3,767
8023;2021-01-02 02:00:00;41,47;3,25;3,767
8023;2021-01-02 04:00:00;41,5;3,27;3,769
8023;2021-01-02 06:00:00;41,51;3,28;3,722
8023;2021-01-02 08:00:00;41,48;3,29;3,768
8023;2021-01-02 10:00:00;41,5;3,31;3,866
8023;2021-01-02 12:00:00;41,52;3,3;3,771
8023;2021-01-02 14:00:00;41,57;3,28;3,776
8023;2021-01-02 16:00:00;41,36;3,28;3,804
8023;2021-01-02 18:00:00;41,09;3,24;3,826
8023;2021-01-02 20:00:00;41,09;3,24;3,827
8023;2021-01-02 22:00:00;41,65;3,26;3,639
8023;2021-01-03 00:00:00;41,95;3,28;3,765
8023;2021-01-03 02:00:00;42,17;3,26;3,688
8023;2021-01-03 04:00:00;42,38;3,24;3,709
8023;2021-01-03 06:00:00;42,6;3,23;3,829
8023;2021-01-03 08:00:00;42,73;3,19;3,793
8023;2021-01-03 10:00:00;42,88;3,19;3,807
8023;2021-01-03 12:00:00;43;3,23;3,818
8023;2021-01-03 14:00:00;44,01;3,26;3,708
8023;2021-01-03 16:00:00;43,28;3,25;3,794
8023;2021-01-03 18:00:00;44,37;3,29;3,742
8023;2021-01-03 20:00:00;41,36;2,99;3,657
8023;2021-01-03 22:00:00;35,9;3;3,561
8023;2021-01-04 00:00:00;34,76;3,04;3,482
8023;2021-01-04 02:00:00;34,57;3,09;3,661
8023;2021-01-04 04:00:00;41,29;3,32;3,652
8023;2021-01-04 06:00:00;40,55;3,19;3,773
8023;2021-01-04 08:00:00;40,45;3,21;3,808
8023;2021-01-04 10:00:00;40,52;3,18;3,77
8023;2021-01-04 12:00:00;40,41;3,19;3,711
8023;2021-01-04 14:00:00;40,18;3,18;3,735
8023;2021-01-04 16:00:00;40,08;3,18;3,819
8023;2021-01-04 18:00:00;40;3,18;3,717
8023;2021-01-04 20:00:00;39,79;3,13;3,744
8023;2021-01-04 22:00:00;39,62;3,1;3,681
8023;2021-01-05 00:00:00;39,55;3,1;3,72
8023;2021-01-05 02:00:00;39,66;3,07;3,778
8023;2021-01-05 04:00:00;39,76;3,08;3,695
8023;2021-01-05 06:00:00;39,93;3,04;3,713
8023;2021-01-05 08:00:00;40,06;3,09;3,771
8023;2021-01-05 10:00:00;40,13;3,07;3,826
8023;2021-01-05 12:00:00;40,37;3,1;3,756
8023;2021-01-05 14:00:00;40,22;3,08;3,835
8023;2021-01-05 16:00:00;39,79;3,06;3,884
8023;2021-01-05 18:00:00;39,94;3,08;3,853
8023;2021-01-05 20:00:00;39,69;3,05;3,873
8023;2021-01-05 22:00:00;39,54;3,05;3,72
8023;2021-01-06 00:00:00;39,47;3,03;3,713
8023;2021-01-06 02:00:00;39,49;3,06;3,715
8023;2021-01-06 04:00:00;39,4;3,06;3,751
8023;2021-01-06 06:00:00;39,31;3,06;3,65
8023;2021-01-06 08:00:00;39,35;3,07;3,746
8023;2021-01-06 10:00:00;39,39;3,06;3,842
8023;2021-01-06 12:00:00;39,22;3,06;3,778
8023;2021-01-06 14:00:00;39,08;3,07;3,764
8023;2021-01-06 16:00:00;39,01;3,07;3,848
8023;2021-01-06 18:00:00;38,93;3,02;3,84
8023;2021-01-06 20:00:00;39,19;2,99;3,822
8023;2021-01-06 22:00:00;39,3;3,01;3,742
8023;2021-01-07 00:00:00;39,31;3;3,789
8023;2021-01-07 02:00:00;39,34;2,97;3,747
8023;2021-01-07 04:00:00;39,17;2,98;3,729
8023;2021-01-07 06:00:00;39,05;2,95;3,899
8023;2021-01-07 08:00:00;38,86;2,89;3,879
8023;2021-01-07 10:00:00;38,73;2,9;3,911
8023;2021-01-07 12:00:00;38,56;2,83;3,804
8023;2021-01-07 14:00:00;38,52;2,88;3,978
8023;2021-01-07 16:00:00;38,57;2,88;3,848
8023;2021-01-07 18:00:00;38,69;2,88;4,087
8023;2021-01-07 20:00:00;38,89;2,86;3,974
8023;2021-01-07 22:00:00;39,12;2,86;4,045
8023;2021-01-08 00:00:00;39,23;2,81;4,058
8023;2021-01-08 02:00:00;39,45;2,78;4,038
8023;2021-01-08 04:00:00;39,59;2,86;4,004
8023;2021-01-08 06:00:00;39,82;2,82;4,077
8023;2021-01-08 08:00:00;40,19;2,93;4,116
8023;2021-01-08 10:00:00;40,5;2,97;4,149
8023;2021-01-08 12:00:00;40,68;3,01;4,121
8023;2021-01-08 14:00:00;40,78;3,06;4,178
8023;2021-01-08 16:00:00;40,76;3,09;4,127
8023;2021-01-08 18:00:00;40,69;3,07;4,311
8023;2021-01-08 20:00:00;40,75;3,09;4,126
8023;2021-01-08 22:00:00;40,73;3,06;4,125
8023;2021-01-09 00:00:00;40,79;3,06;4,036
8023;2021-01-09 02:00:00;40,84;3,09;3,899
8023;2021-01-09 04:00:00;40,89;3,09;4,046
8023;2021-01-09 06:00:00;40,8;3,06;4,085
8023;2021-01-09 08:00:00;40,81;3,1;3,944
8023;2021-01-09 10:00:00;40,96;3,1;4,055
8023;2021-01-09 12:00:00;41,02;3,1;4,108
8023;2021-01-09 14:00:00;40,92;3,13;4,097
8023;2021-01-09 16:00:00;40,95;3,14;4,1
8023;2021-01-09 18:00:00;41,03;3,11;4,062
8023;2021-01-09 20:00:00;40,99;3,09;4,01
8023;2021-01-09 22:00:00;41,16;3,11;3,836
8023;2021-01-10 00:00:00;41,16;3,18;3,786
8023;2021-01-10 02:00:00;41,16;3,19;3,834
8023;2021-01-10 04:00:00;41,15;3,16;3,594
8023;2021-01-10 06:00:00;41,23;3,15;3,65
8023;2021-01-10 08:00:00;41,51;3,12;3,725
8023;2021-01-10 10:00:00;41,59;3,1;3,733
8023;2021-01-10 12:00:00;41,25;3,11;3,748
8023;2021-01-10 14:00:00;41,16;3,11;3,739
8023;2021-01-10 16:00:00;41,16;3,1;3,883
8023;2021-01-10 18:00:00;40,96;3,28;3,717
