ObjectID;DateTime;P_in;T_in;Qh
8030;2021-01-01 00:00:00;40,72;NULL;1,049
8030;2021-01-01 02:00:00;40,81;NULL;1,817
8030;2021-01-01 04:00:00;40,87;NULL;2,012
8030;2021-01-01 06:00:00;41,03;2;1,587
8030;2021-01-01 08:00:00;41,15;NULL;1,592
8030;2021-01-01 10:00:00;41,29;NULL;1,501
8030;2021-01-01 12:00:00;41,47;2;1,46
8030;2021-01-01 14:00:00;41,57;NULL;1,804
8030;2021-01-01 16:00:00;41,81;NULL;1,325
8030;2021-01-01 18:00:00;41,98;2;1,38
8030;2021-01-01 20:00:00;42,24;NULL;1,439
8030;2021-01-01 22:00:00;42,32;NULL;2,138
8030;2021-01-02 00:00:00;42,36;NULL;1,991
8030;2021-01-02 02:00:00;42,38;NULL;1,594
8030;2021-01-02 04:00:00;42,39;NULL;1,843
8030;2021-01-02 06:00:00;42,42;2;1,695
8030;2021-01-02 08:00:00;42,37;NULL;1,544
8030;2021-01-02 10:00:00;42,35;NULL;2,338
8030;2021-01-02 12:00:00;42,37;2;2,288
8030;2021-01-02 14:00:00;42,38;NULL;2,689
8030;2021-01-02 16:00:00;42,35;NULL;1,095
8030;2021-01-02 18:00:00;41,99;2;1,134
8030;2021-01-02 20:00:00;41,85;NULL;1,375
8030;2021-01-02 22:00:00;42,22;NULL;3,372
8030;2021-01-03 00:00:00;42,7;NULL;2,156
8030;2021-01-03 02:00:00;42,94;NULL;2,575
8030;2021-01-03 04:00:00;43,1;NULL;3,095
8030;2021-01-03 06:00:00;43,35;2;2,858
8030;2021-01-03 08:00:00;43,47;NULL;3,329
8030;2021-01-03 10:00:00;43,8;NULL;2,065
8030;2021-01-03 12:00:00;44,04;2;1,508
8030;2021-01-03 14:00:00;44,91;NULL;1,486
8030;2021-01-03 16:00:00;44,26;NULL;2,557
8030;2021-01-03 18:00:00;45;2;2,019
8030;2021-01-03 20:00:00;45,34;NULL;3,162
8030;2021-01-03 22:00:00;37,83;NULL;3,399
8030;2021-01-04 00:00:00;35,64;NULL;3,228
