ObjectID;DateTime;P_in;T_in;Qh
8031;2021-01-01 00:00:00;40,2;2,4;2,001
8031;2021-01-01 02:00:00;40,34;2,38;1,982
8031;2021-01-01 04:00:00;40,42;2,34;1,984
8031;2021-01-01 06:00:00;40,48;2,38;2,013
8031;2021-01-01 08:00:00;40,68;2,47;1,955
8031;2021-01-01 10:00:00;40,75;2,39;2,066
8031;2021-01-01 12:00:00;40,8;2,47;2,016
8031;2021-01-01 14:00:00;41,1;2,51;2,04
8031;2021-01-01 16:00:00;41,28;2,57;1,999
8031;2021-01-01 18:00:00;41,5;2,62;1,997
8031;2021-01-01 20:00:00;41,73;2,64;2,004
8031;2021-01-01 22:00:00;41,81;2,6;1,983
8031;2021-01-02 00:00:00;41,83;2,57;1,928
8031;2021-01-02 02:00:00;41,82;2,56;1,893
8031;2021-01-02 04:00:00;41,84;2,55;1,946
8031;2021-01-02 06:00:00;41,87;2,53;1,887
8031;2021-01-02 08:00:00;41,83;2,52;1,92
8031;2021-01-02 10:00:00;41,83;2,5;2,017
8031;2021-01-02 12:00:00;41,85;2,45;1,986
8031;2021-01-02 14:00:00;41,87;2,51;2,08
8031;2021-01-02 16:00:00;41,68;2,33;2,02
8031;2021-01-02 18:00:00;41,43;2;2,031
8031;2021-01-02 20:00:00;41,39;2,26;2,017
8031;2021-01-02 22:00:00;41,98;2,51;1,965
8031;2021-01-03 00:00:00;42,29;2,55;1,967
8031;2021-01-03 02:00:00;42,52;2,59;1,958
8031;2021-01-03 04:00:00;42,73;2,64;1,911
8031;2021-01-03 06:00:00;42,94;2,54;1,974
8031;2021-01-03 08:00:00;43,07;2,49;1,98
8031;2021-01-03 10:00:00;43,2;2,5;2,075
8031;2021-01-03 12:00:00;43,29;2,52;2,08
8031;2021-01-03 14:00:00;44,36;2,81;2,083
8031;2021-01-03 16:00:00;43,57;2,29;2,091
8031;2021-01-03 18:00:00;44,67;2,79;2,032
8031;2021-01-03 20:00:00;42,21;2,06;2,015
8031;2021-01-03 22:00:00;36,29;0,74;2,005
8031;2021-01-04 00:00:00;35,09;1,44;1,898
8031;2021-01-04 02:00:00;34,61;1,53;1,886
8031;2021-01-04 04:00:00;41,46;2,78;1,924
8031;2021-01-04 06:00:00;40,88;2,12;2,054
8031;2021-01-04 08:00:00;40,78;2,2;1,976
8031;2021-01-04 10:00:00;40,81;2,18;2,176
8031;2021-01-04 12:00:00;40,67;2,1;2,217
8031;2021-01-04 14:00:00;40,48;2,06;2,107
8031;2021-01-04 16:00:00;40,35;2,09;2,199
8031;2021-01-04 18:00:00;40,3;2,07;2,068
8031;2021-01-04 20:00:00;40,09;1,96;2,13
8031;2021-01-04 22:00:00;39,91;1,97;2,096
8031;2021-01-05 00:00:00;39,86;2,01;2,026
8031;2021-01-05 02:00:00;39,99;2,06;1,993
8031;2021-01-05 04:00:00;40,09;2,07;1,967
8031;2021-01-05 06:00:00;40,21;2,1;2,081
8031;2021-01-05 08:00:00;40,38;2,13;2,003
8031;2021-01-05 10:00:00;40,42;2,1;2,134
8031;2021-01-05 12:00:00;40,64;2,2;2,126
8031;2021-01-05 14:00:00;40,49;2,03;2,227
8031;2021-01-05 16:00:00;40,1;1,87;2,117
8031;2021-01-05 18:00:00;40,2;1,99;2,222
8031;2021-01-05 20:00:00;39,97;1,87;2,195
8031;2021-01-05 22:00:00;39,85;1,92;2,066
8031;2021-01-06 00:00:00;39,79;1,94;2,045
8031;2021-01-06 02:00:00;39,82;2,01;1,996
8031;2021-01-06 04:00:00;39,74;1,94;1,992
8031;2021-01-06 06:00:00;39,58;1,91;2,042
8031;2021-01-06 08:00:00;39,68;1,98;2,046
8031;2021-01-06 10:00:00;39,7;1,92;2,123
8031;2021-01-06 12:00:00;39,49;1,83;2,226
8031;2021-01-06 14:00:00;39,38;1,89;2,117
8031;2021-01-06 16:00:00;39,32;1,92;2,092
8031;2021-01-06 18:00:00;39,19;1,83;2,245
8031;2021-01-06 20:00:00;39,45;1,93;2,191
8031;2021-01-06 22:00:00;39,6;1,93;2,134
8031;2021-01-07 00:00:00;39,65;1,97;2,028
8031;2021-01-07 02:00:00;39,67;1,99;2,035
8031;2021-01-07 04:00:00;39,5;1,86;2,027
8031;2021-01-07 06:00:00;39,36;1,86;2,061
8031;2021-01-07 08:00:00;39,18;1,77;2,104
8031;2021-01-07 10:00:00;39;1,69;2,251
8031;2021-01-07 12:00:00;38,87;1,71;2,173
8031;2021-01-07 14:00:00;38,78;1,71;2,252
8031;2021-01-07 16:00:00;38,84;1,7;2,22
8031;2021-01-07 18:00:00;38,97;1,73;2,216
8031;2021-01-07 20:00:00;39,18;1,72;2,235
8031;2021-01-07 22:00:00;39,43;1,76;2,216
8031;2021-01-08 00:00:00;39,56;1,7;2,189
8031;2021-01-08 02:00:00;39,8;1,73;2,151
8031;2021-01-08 04:00:00;39,94;1,76;2,158
8031;2021-01-08 06:00:00;40,15;1,75;2,183
8031;2021-01-08 08:00:00;40,5;1,77;2,297
8031;2021-01-08 10:00:00;40,83;1,81;2,31
8031;2021-01-08 12:00:00;40,98;1,89;2,275
8031;2021-01-08 14:00:00;41,07;1,95;2,272
8031;2021-01-08 16:00:00;41,06;1,92;2,236
