ObjectID;DateTime;P_in;T_in;Qh
8020;2021-01-01 00:00:00;39,68;4,06;0,115
8020;2021-01-01 02:00:00;39,81;4,01;0,106
8020;2021-01-01 04:00:00;39,87;3,82;0,115
8020;2021-01-01 06:00:00;40,01;4,45;0,112
8020;2021-01-01 08:00:00;40,13;4,67;0,111
8020;2021-01-01 10:00:00;40,24;4,91;0,102
8020;2021-01-01 12:00:00;40,35;5,1;0,108
8020;2021-01-01 14:00:00;40,58;5,51;0,102
8020;2021-01-01 16:00:00;40,75;5,07;0,115
8020;2021-01-01 18:00:00;40,83;4,96;0,106
8020;2021-01-01 20:00:00;41,2;4,84;0,108
8020;2021-01-01 22:00:00;41,28;4,61;0,118
8020;2021-01-02 00:00:00;41,29;4,58;0,115
8020;2021-01-02 02:00:00;41,28;4,45;0,111
8020;2021-01-02 04:00:00;41,31;4,36;0,112
8020;2021-01-02 06:00:00;41,32;4,54;0,109
8020;2021-01-02 08:00:00;41,28;4,45;0,11
8020;2021-01-02 10:00:00;41,31;4,58;0,121
8020;2021-01-02 12:00:00;41,33;5,3;0,115
8020;2021-01-02 14:00:00;41,39;5,39;0,111
8020;2021-01-02 16:00:00;41,18;5,2;0,119
8020;2021-01-02 18:00:00;40,94;4,78;0,132
8020;2021-01-02 20:00:00;40,83;4,71;0,11
8020;2021-01-02 22:00:00;41,41;4,61;0,126
8020;2021-01-03 00:00:00;41,73;4,9;0,106
8020;2021-01-03 02:00:00;41,97;4,75;0,12
8020;2021-01-03 04:00:00;42,16;4,57;0,114
8020;2021-01-03 06:00:00;42,38;4,23;0,13
8020;2021-01-03 08:00:00;42,52;4,08;0,113
8020;2021-01-03 10:00:00;42,67;3,84;0,119
8020;2021-01-03 12:00:00;42,74;4,57;0,107
8020;2021-01-03 14:00:00;43,87;5,06;0,105
8020;2021-01-03 16:00:00;43,07;4,87;0,1
8020;2021-01-03 18:00:00;44,1;4,89;0,096
8020;2021-01-03 20:00:00;42,39;5,15;0,094
8020;2021-01-03 22:00:00;35,99;5,02;0,091
8020;2021-01-04 00:00:00;34,65;5,6;0,086
8020;2021-01-04 02:00:00;33,94;5,57;0,09
8020;2021-01-04 04:00:00;40,67;5,22;0,111
8020;2021-01-04 06:00:00;40,42;4,62;0,133
8020;2021-01-04 08:00:00;40,24;4,51;0,124
8020;2021-01-04 10:00:00;40,33;4,47;0,121
8020;2021-01-04 12:00:00;40,24;4,9;0,106
8020;2021-01-04 14:00:00;40,01;5,08;0,119
8020;2021-01-04 16:00:00;39,91;4,91;0,131
8020;2021-01-04 18:00:00;39,81;4,74;0,119
8020;2021-01-04 20:00:00;39,64;4,48;0,121
8020;2021-01-04 22:00:00;39,45;4,22;0,119
8020;2021-01-05 00:00:00;39,36;4,2;0,125
8020;2021-01-05 02:00:00;39,46;4,05;0,122
8020;2021-01-05 04:00:00;39,56;4,09;0,12
8020;2021-01-05 06:00:00;39,71;4,08;0,115
8020;2021-01-05 08:00:00;39,87;3,78;0,125
8020;2021-01-05 10:00:00;39,94;4,02;0,121
8020;2021-01-05 12:00:00;40,16;4,63;0,11
8020;2021-01-05 14:00:00;40,09;4,44;0,13
8020;2021-01-05 16:00:00;39,65;4,57;0,129
8020;2021-01-05 18:00:00;39,78;4,21;0,14
8020;2021-01-05 20:00:00;39,54;4,19;0,121
8020;2021-01-05 22:00:00;39,36;4,27;0,123
8020;2021-01-06 00:00:00;39,29;4,29;0,133
8020;2021-01-06 02:00:00;39,3;4,07;0,134
8020;2021-01-06 04:00:00;39,24;4,38;0,117
8020;2021-01-06 06:00:00;39,09;4,43;0,121
8020;2021-01-06 08:00:00;39,17;4,22;0,132
8020;2021-01-06 10:00:00;39,21;4,24;0,115
8020;2021-01-06 12:00:00;39,05;4,15;0,134
8020;2021-01-06 14:00:00;38,91;4,56;0,107
8020;2021-01-06 16:00:00;38,85;4,7;0,125
8020;2021-01-06 18:00:00;38,76;4,65;0,128
8020;2021-01-06 20:00:00;38,96;4,35;0,133
8020;2021-01-06 22:00:00;39,11;4,24;0,129
8020;2021-01-07 00:00:00;39,13;4,38;0,12
