ObjectID;DateTime;P_in;T_in;Qh
7130;2021-01-01 12:00:00;46,7;3;0,42
7130;2021-01-02 06:00:00;44;3;0,42
7130;2021-01-02 12:00:00;44,6;1;0,43
7130;2021-01-03 12:00:00;46,1;3;0,44
7130;2021-01-04 12:00:00;47;0;0,44
7130;2021-01-04 16:00:00;46,9;0;0,4
7130;2021-01-05 12:00:00;47;0;0,477
7130;2021-01-06 06:00:00;46,7;0;0,45
7130;2021-01-06 12:00:00;46,3;0;0,44
7130;2021-01-07 12:00:00;44,8;0;0,43
7130;2021-01-08 12:00:00;46,7;0;0,44
7130;2021-01-08 16:00:00;46,7;0;0,44
7130;2021-01-09 12:00:00;47;0;0,44
7130;2021-01-10 06:00:00;47;0;0,4
7130;2021-01-10 12:00:00;47,8;0;0,45
7130;2021-01-11 12:00:00;47,8;0;0,45
7130;2021-01-12 12:00:00;42,1;-1;0,42
7130;2021-01-12 16:00:00;42;-1;0,42
7130;2021-01-13 12:00:00;40,3;0;0,4
7130;2021-01-14 06:00:00;39,4;0;0,44
7130;2021-01-14 12:00:00;39,5;0;0,4
7130;2021-01-15 12:00:00;39,2;0;0,4
7130;2021-01-16 12:00:00;40,5;0;0,41
7130;2021-01-17 12:00:00;44,3;0;0,43
7130;2021-01-18 12:00:00;44,1;0;0,43
7130;2021-01-19 12:00:00;41,8;0;0,42
7130;2021-01-20 12:00:00;41,7;0;0,41
7130;2021-01-20 16:00:00;41,7;0;0,41
7130;2021-01-21 12:00:00;41,7;-1;0,41
7130;2021-01-22 06:00:00;39;-1;0,4
7130;2021-01-22 12:00:00;39,8;0;0,4
7130;2021-01-23 12:00:00;42,8;-1;0,42
7130;2021-01-24 12:00:00;43,5;-1;0,42
7130;2021-01-24 16:00:00;43;0;0,42
7130;2021-01-25 06:00:00;43,4;0;0,4
7130;2021-01-25 12:00:00;44,9;1;0,43
7130;2021-01-26 06:00:00;46,7;1;0,43
7130;2021-01-26 12:00:00;47,8;1;0,45
7130;2021-01-27 12:00:00;48,5;0;0,45
7130;2021-01-28 12:00:00;48,6;0;0,45
7130;2021-01-28 16:00:00;47,8;0;0,45
7130;2021-01-29 12:00:00;47,6;0;0,44
7130;2021-01-30 06:00:00;47,7;0;0,44
7130;2021-01-30 12:00:00;47,9;1;0,45
7130;2021-01-31 12:00:00;48;2;0,45
7130;2021-02-01 12:00:00;48;2;0,42
7130;2021-02-02 12:00:00;48,1;0;0,45
7130;2021-02-03 06:00:00;48,5;0;0,45
7130;2021-02-04 12:00:00;48,7;2;0,2
7130;2021-02-05 12:00:00;47,7;1;0,44
7130;2021-02-05 16:00:00;47,7;1;0,44
7130;2021-02-06 12:00:00;47,8;1;0,19
7130;2021-02-07 12:00:00;47,5;-2;0,35
7130;2021-02-08 12:00:00;42,9;-2;0,402
7130;2021-02-09 12:00:00;43,1;-2;0,42
7130;2021-02-10 12:00:00;38,6;0;0,39
7130;2021-02-11 12:00:00;38;0;0,4
7130;2021-02-12 12:00:00;37,4;0;0,39
7130;2021-02-13 12:00:00;38,7;1;0,4
7130;2021-02-14 12:00:00;38,5;1;0,35
7130;2021-02-15 06:00:00;42,3;1;0,35
7130;2021-02-15 12:00:00;42,7;0;0,42
7130;2021-02-16 12:00:00;40,8;0;0,41
7130;2021-02-17 12:00:00;38,9;0;0,4
7130;2021-02-18 12:00:00;37,5;-1;0,39
7130;2021-02-19 12:00:00;38,1;0;0,39
7130;2021-02-20 12:00:00;38,9;1;0,4
7130;2021-02-21 12:00:00;38,4;0;0,4
7130;2021-02-22 12:00:00;36,3;0;0,38
