ObjectID;DateTime;P_in;T_in;Qh
8080;2021-01-01 00:00:00;37,15;1,18;0
8080;2021-01-01 02:00:00;37,24;1,16;0
8080;2021-01-01 04:00:00;37,26;1,14;0
8080;2021-01-01 06:00:00;37,38;1,15;0
8080;2021-01-01 08:00:00;37,5;1,15;0
8080;2021-01-01 10:00:00;37,57;1,15;0
8080;2021-01-01 12:00:00;37,68;1,15;0
8080;2021-01-01 14:00:00;37,84;1,15;0
8080;2021-01-01 16:00:00;37,97;1,11;0
8080;2021-01-01 18:00:00;38,16;1,08;0
8080;2021-01-01 20:00:00;38,35;1,08;0
8080;2021-01-01 22:00:00;38,43;1,07;0
8080;2021-01-02 00:00:00;38,5;1,05;0
8080;2021-01-02 02:00:00;38,53;1,01;0
8080;2021-01-02 04:00:00;38,62;1,03;0
8080;2021-01-02 06:00:00;38,66;1,04;0
8080;2021-01-02 08:00:00;38,65;1,03;0
8080;2021-01-02 10:00:00;38,7;1,06;0
8080;2021-01-02 12:00:00;39,69;1,11;0
8080;2021-01-02 14:00:00;38,77;1,1;0
8080;2021-01-02 16:00:00;38,65;1,05;0
8080;2021-01-02 18:00:00;38,54;1,05;0
8080;2021-01-02 20:00:00;38,44;1,06;0
8080;2021-01-02 22:00:00;38,76;1,1;0
8080;2021-01-03 00:00:00;38,99;1,1;0
8080;2021-01-03 02:00:00;39,18;1,05;0
8080;2021-01-03 04:00:00;39,34;1,01;0
8080;2021-01-03 06:00:00;39,52;1,01;0
8080;2021-01-03 08:00:00;39,69;1,01;0
8080;2021-01-03 10:00:00;39,84;0,98;0
8080;2021-01-03 12:00:00;39,76;0,93;0
8080;2021-01-03 14:00:00;37,91;-1,64;0
8080;2021-01-03 16:00:00;38;0,73;0
8080;2021-01-03 18:00:00;36,21;-4,38;0
8080;2021-01-03 20:00:00;38,89;0,92;0
8080;2021-01-03 22:00:00;35,67;0,4;0
8080;2021-01-04 00:00:00;34,64;0,84;0
8080;2021-01-04 02:00:00;33,93;0,91;0
8080;2021-01-04 04:00:00;37,05;1,54;0
8080;2021-01-04 06:00:00;37,17;0,99;0
8080;2021-01-04 08:00:00;37,22;0,93;0
8080;2021-01-04 10:00:00;37,38;0,92;0
8080;2021-01-04 12:00:00;37,36;0,9;0
8080;2021-01-04 14:00:00;37,25;0,89;0
8080;2021-01-04 16:00:00;37,21;0,89;0
8080;2021-01-04 18:00:00;37,15;0,88;0
