ObjectID;DateTime;P_in;T_in;Qh
7410;2021-01-01 00:00:00;42,55;0,47;0,228
7410;2021-01-01 02:00:00;42,63;0,56;0,227
7410;2021-01-01 04:00:00;42,72;0,81;0,235
7410;2021-01-01 06:00:00;42,79;0,96;0,234
7410;2021-01-01 08:00:00;42,97;0,91;0,23
7410;2021-01-01 10:00:00;43,07;0,9;0,243
7410;2021-01-01 12:00:00;43,18;1,37;0,235
7410;2021-01-01 14:00:00;43,32;1,62;0,234
7410;2021-01-01 16:00:00;43,66;1,64;0,24
7410;2021-01-01 18:00:00;43,66;1,64;0,24
7410;2021-01-01 20:00:00;44,05;1,39;0,242
7410;2021-01-01 22:00:00;44,1;1,44;0,232
7410;2021-01-02 00:00:00;44,07;1,51;0,231
7410;2021-01-02 02:00:00;44,05;1,73;0,226
7410;2021-01-02 04:00:00;44,05;1,94;0,224
7410;2021-01-02 06:00:00;44,04;2;0,229
7410;2021-01-02 08:00:00;44,03;1,99;0,224
7410;2021-01-02 10:00:00;44,06;2,07;0,231
7410;2021-01-02 12:00:00;44,07;2,3;0,225
7410;2021-01-02 14:00:00;44,04;2,47;0,221
7410;2021-01-02 16:00:00;43,93;2,33;0,224
7410;2021-01-02 18:00:00;43,93;2,33;0,224
7410;2021-01-02 20:00:00;43,78;1,32;0,23
7410;2021-01-02 22:00:00;44,06;1,28;0,231
7410;2021-01-03 00:00:00;44,52;1,36;0,219
7410;2021-01-03 02:00:00;44,74;1,32;0,216
7410;2021-01-03 04:00:00;44,95;1,34;0,22
7410;2021-01-03 06:00:00;45,14;1,16;0,223
7410;2021-01-03 08:00:00;45,52;0,69;0,231
7410;2021-01-03 10:00:00;45,65;0,77;0,235
7410;2021-01-03 12:00:00;45,74;1,24;0,226
7410;2021-01-03 14:00:00;46,1;1,74;0,224
7410;2021-01-03 16:00:00;45,96;1,68;0,226
7410;2021-01-03 18:00:00;45,96;1,68;0,226
7410;2021-01-03 20:00:00;46,65;1,45;0,228
7410;2021-01-03 22:00:00;46,92;1,53;0,22
7410;2021-01-04 00:00:00;46,97;1,79;0,212
7410;2021-01-04 02:00:00;46,96;1,79;0,216
7410;2021-01-04 04:00:00;46,58;1,56;0,223
7410;2021-01-04 06:00:00;47,18;1,51;0,223
7410;2021-01-04 08:00:00;47,14;1,57;0,228
7410;2021-01-04 10:00:00;47,08;1,57;0,227
7410;2021-01-04 12:00:00;46,98;1,93;0,221
7410;2021-01-04 14:00:00;46,83;2,52;0,222
7410;2021-01-04 16:00:00;46,84;2,35;0,224
7410;2021-01-04 18:00:00;46,84;2,35;0,224
7410;2021-01-04 20:00:00;46,63;1,4;0,238
7410;2021-01-04 22:00:00;46,43;0,96;0,226
7410;2021-01-05 00:00:00;46,29;1,31;0,215
7410;2021-01-05 02:00:00;46,47;1,77;0,217
7410;2021-01-05 04:00:00;46,53;1,84;0,216
7410;2021-01-05 06:00:00;46,65;2,01;0,217
7410;2021-01-05 08:00:00;46,78;1,82;0,226
7410;2021-01-05 10:00:00;46,82;1,8;0,234
7410;2021-01-05 12:00:00;46,93;2,09;0,228
7410;2021-01-05 14:00:00;46,86;2,49;0,222
7410;2021-01-05 16:00:00;46,53;2,27;0,231
7410;2021-01-05 18:00:00;46,53;2,27;0,231
7410;2021-01-05 20:00:00;46,16;1,91;0,228
7410;2021-01-05 22:00:00;46,19;2,08;0,222
7410;2021-01-06 00:00:00;46,2;2,02;0,215
7410;2021-01-06 02:00:00;46,21;2,01;0,215
7410;2021-01-06 04:00:00;46,25;2,13;0,216
7410;2021-01-06 06:00:00;46,26;2,19;0,219
7410;2021-01-06 08:00:00;46,3;2,29;0,221
7410;2021-01-06 10:00:00;46,31;2,07;0,226
7410;2021-01-06 12:00:00;46,3;2,18;0,215
7410;2021-01-06 14:00:00;46,25;2,17;0,218
7410;2021-01-06 16:00:00;46,2;1,95;0,218
7410;2021-01-06 18:00:00;46,2;1,95;0,218
7410;2021-01-06 20:00:00;45,19;0,97;0,228
7410;2021-01-06 22:00:00;45,16;0,6;0,23
7410;2021-01-07 00:00:00;45,12;0,32;0,23
7410;2021-01-07 02:00:00;45,09;0,03;0,231
7410;2021-01-07 04:00:00;45,04;-0,14;0,226
7410;2021-01-07 06:00:00;44,82;-0,42;0,231
7410;2021-01-07 08:00:00;44,7;-0,33;0,235
7410;2021-01-07 10:00:00;44,57;0,1;0,243
7410;2021-01-07 12:00:00;44,4;0,92;0,236
7410;2021-01-07 14:00:00;44,57;1,3;0,228
7410;2021-01-07 16:00:00;44,66;1,31;0,228
7410;2021-01-07 18:00:00;44,66;1,31;0,228
7410;2021-01-07 20:00:00;45,18;-0,35;0,241
7410;2021-01-07 22:00:00;45,36;-0,7;0,241
7410;2021-01-08 00:00:00;45,55;-1,16;0,237
7410;2021-01-08 02:00:00;45,73;-1,02;0,24
7410;2021-01-08 04:00:00;45,9;-1,21;0,241
7410;2021-01-08 06:00:00;45,97;-1,24;0,238
7410;2021-01-08 08:00:00;46,21;-1,46;0,241
7410;2021-01-08 10:00:00;46,35;-1,07;0,245
7410;2021-01-08 12:00:00;46,4;-0,07;0,241
7410;2021-01-08 14:00:00;46,49;1,78;0,234
7410;2021-01-08 16:00:00;46,52;1,76;0,24
7410;2021-01-08 18:00:00;46,52;1,76;0,24
7410;2021-01-08 20:00:00;46,55;1,6;0,243
7410;2021-01-08 22:00:00;46,55;1,51;0,24
7410;2021-01-09 00:00:00;46,58;1,46;0,225
7410;2021-01-09 02:00:00;46,64;1,88;0,222
7410;2021-01-09 04:00:00;46,69;1,98;0,225
7410;2021-01-09 06:00:00;46,72;1,98;0,228
7410;2021-01-09 08:00:00;46,74;1,7;0,229
7410;2021-01-09 10:00:00;46,76;1,91;0,234
7410;2021-01-09 12:00:00;46,73;1,92;0,232
7410;2021-01-09 14:00:00;46,66;1,84;0,228
7410;2021-01-09 16:00:00;46,64;1,26;0,232
7410;2021-01-09 18:00:00;46,64;1,26;0,232
7410;2021-01-09 20:00:00;46,63;1;0,227
7410;2021-01-09 22:00:00;46,66;1,35;0,213
7410;2021-01-10 00:00:00;46,59;2,23;0,213
7410;2021-01-10 02:00:00;46,58;2,72;0,216
7410;2021-01-10 04:00:00;46,68;2,77;0,214
7410;2021-01-10 06:00:00;46,76;2,8;0,215
7410;2021-01-10 08:00:00;46,93;2,66;0,212
7410;2021-01-10 10:00:00;47,47;2,32;0,217
7410;2021-01-10 12:00:00;47,79;2,11;0,219
7410;2021-01-10 14:00:00;47,8;2,43;0,216
7410;2021-01-10 16:00:00;47,75;2,29;0,212
7410;2021-01-10 18:00:00;47,75;2,29;0,212
7410;2021-01-10 20:00:00;47,43;2,66;0,216
7410;2021-01-10 22:00:00;47,34;2,71;0,214
7410;2021-01-11 00:00:00;47,29;2,29;0,205
7410;2021-01-11 02:00:00;47,41;1,98;0,202
7410;2021-01-11 04:00:00;47,6;2,23;0,201
7410;2021-01-11 06:00:00;47,71;2,08;0,213
7410;2021-01-11 08:00:00;47,75;1,88;0,216
7410;2021-01-11 10:00:00;47,78;1,55;0,221
7410;2021-01-11 12:00:00;47,65;1,37;0,212
7410;2021-01-11 14:00:00;47,34;1,63;0,215
7410;2021-01-11 16:00:00;47,01;1,6;0,215
7410;2021-01-11 18:00:00;47,01;1,6;0,215
7410;2021-01-11 20:00:00;44,64;0,13;0,233
7410;2021-01-11 22:00:00;43,02;-0,34;0,227
7410;2021-01-12 00:00:00;42,24;-0,53;0,221
7410;2021-01-12 02:00:00;42,15;-1,17;0,229
7410;2021-01-12 04:00:00;42,01;-1,55;0,23
7410;2021-01-12 06:00:00;41,99;-1,68;0,233
7410;2021-01-12 08:00:00;41,84;-1,39;0,233
7410;2021-01-12 10:00:00;41,71;-1,04;0,254
7410;2021-01-12 12:00:00;41,66;-1,13;0,253
7410;2021-01-12 14:00:00;41,54;-0,98;0,233
7410;2021-01-12 16:00:00;41,49;-0,8;0,234
7410;2021-01-12 18:00:00;41,49;-0,8;0,234
7410;2021-01-12 20:00:00;40,9;0,33;0,251
7410;2021-01-12 22:00:00;40,66;0,49;0,247
7410;2021-01-13 00:00:00;40,44;0,31;0,237
7410;2021-01-13 02:00:00;40,32;0,01;0,235
7410;2021-01-13 04:00:00;40,2;-0,14;0,238
7410;2021-01-13 06:00:00;40,09;-0,37;0,253
7410;2021-01-13 08:00:00;40,03;-0,65;0,252
7410;2021-01-13 10:00:00;39,86;-1,21;0,249
7410;2021-01-13 12:00:00;39,73;-0,1;0,245
7410;2021-01-13 14:00:00;39,63;0,95;0,241
7410;2021-01-13 16:00:00;39,5;0,54;0,252
7410;2021-01-13 18:00:00;39,5;0,54;0,252
7410;2021-01-13 20:00:00;39,26;-1,28;0,255
7410;2021-01-13 22:00:00;39,1;-1,81;0,254
7410;2021-01-14 00:00:00;39,04;-2,01;0,254
7410;2021-01-14 02:00:00;38,95;-2,51;0,254
7410;2021-01-14 04:00:00;38,92;-2,65;0,254
7410;2021-01-14 06:00:00;38,89;-2,8;0,254
7410;2021-01-14 08:00:00;39,01;-2,93;0,255
7410;2021-01-14 10:00:00;39,05;-2,52;0,255
7410;2021-01-14 12:00:00;39,03;-1,9;0,254
7410;2021-01-14 14:00:00;39;-0,01;0,252
7410;2021-01-14 16:00:00;39,01;0,1;0,253
7410;2021-01-14 18:00:00;39,01;0,1;0,253
7410;2021-01-14 20:00:00;38,83;-1,11;0,253
7410;2021-01-14 22:00:00;38,76;-1,09;0,253
7410;2021-01-15 00:00:00;38,72;-0,92;0,252
7410;2021-01-15 02:00:00;38,67;-0,65;0,252
7410;2021-01-15 04:00:00;38,61;-0,58;0,252
7410;2021-01-15 06:00:00;38,59;-0,61;0,252
7410;2021-01-15 08:00:00;38,57;-0,51;0,251
7410;2021-01-15 10:00:00;38,6;0,37;0,249
7410;2021-01-15 12:00:00;38,65;0,7;0,251
7410;2021-01-15 14:00:00;38,67;1,34;0,248
7410;2021-01-15 16:00:00;38,65;1,75;0,249
7410;2021-01-15 18:00:00;38,65;1,75;0,249
7410;2021-01-15 20:00:00;39,11;1,36;0,252
7410;2021-01-15 22:00:00;39,17;1,51;0,244
7410;2021-01-16 00:00:00;39,27;2,06;0,23
7410;2021-01-16 02:00:00;39,36;2,39;0,229
7410;2021-01-16 04:00:00;39,47;2,47;0,228
7410;2021-01-16 06:00:00;39,53;2,25;0,229
7410;2021-01-16 08:00:00;39,69;2,1;0,236
7410;2021-01-16 10:00:00;39,79;1,51;0,221
7410;2021-01-16 12:00:00;39,9;1,84;0,236
7410;2021-01-16 14:00:00;40,04;2,19;0,235
7410;2021-01-16 16:00:00;40,16;2,14;0,232
7410;2021-01-16 18:00:00;40,16;2,14;0,232
7410;2021-01-16 20:00:00;40,36;1,08;0,238
7410;2021-01-16 22:00:00;41,62;0,88;0,227
7410;2021-01-17 00:00:00;42,45;0,68;0,221
7410;2021-01-17 02:00:00;42,73;0,57;0,215
7410;2021-01-17 04:00:00;42,85;0,66;0,221
7410;2021-01-17 06:00:00;43,06;1,11;0,225
7410;2021-01-17 08:00:00;43,21;0,9;0,226
