ObjectID;DateTime;P_in;T_in;Qh
7150;2021-01-01 12:00:00;NULL;NULL;0
7150;2021-01-02 12:00:00;44;5;0
7150;2021-01-03 12:00:00;NULL;NULL;0
7150;2021-01-04 12:00:00;NULL;NULL;0
7150;2021-01-05 12:00:00;NULL;NULL;0
7150;2021-01-07 12:00:00;NULL;NULL;0
7150;2021-01-08 12:00:00;NULL;NULL;0
7150;2021-01-09 12:00:00;NULL;NULL;0
7150;2021-01-12 06:00:00;41;-3;0
7150;2021-01-12 12:00:00;NULL;NULL;0
7150;2021-01-13 06:00:00;40;-5;0
7150;2021-01-13 12:00:00;NULL;NULL;0
7150;2021-01-14 06:00:00;40;-7;0
7150;2021-01-14 12:00:00;39;-5;0
7150;2021-01-14 16:00:00;39;-5;0
7150;2021-01-15 06:00:00;39;-3;0
7150;2021-01-15 12:00:00;NULL;NULL;0
7150;2021-01-16 12:00:00;40;0;0
7150;2021-01-18 06:00:00;43;-2;0
7150;2021-01-18 12:00:00;NULL;NULL;0
7150;2021-01-19 06:00:00;41;-1;0
7150;2021-01-19 12:00:00;41,7;-1;0
7150;2021-01-19 16:00:00;41,7;-1;0
7150;2021-01-20 12:00:00;NULL;NULL;0
7150;2021-01-21 06:00:00;42;-4;0
7150;2021-01-21 12:00:00;NULL;NULL;0
7150;2021-01-22 06:00:00;39;-1;0
7150;2021-01-23 12:00:00;NULL;NULL;0
7150;2021-01-24 12:00:00;NULL;NULL;0
7150;2021-01-25 12:00:00;43;5;0
7150;2021-01-26 06:00:00;45,1;6;0
7150;2021-01-27 06:00:00;46;6;0
7150;2021-01-27 12:00:00;NULL;NULL;0
7150;2021-01-28 06:00:00;46;3;0
7150;2021-01-28 12:00:00;NULL;NULL;0
7150;2021-01-29 12:00:00;46;1;0
7150;2021-01-31 12:00:00;NULL;NULL;0
7150;2021-02-01 06:00:00;46;2;0
7150;2021-02-01 12:00:00;46;2;0
7150;2021-02-02 12:00:00;NULL;NULL;0
7150;2021-02-03 06:00:00;47;8;0
7150;2021-02-03 12:00:00;NULL;NULL;0
7150;2021-02-04 06:00:00;48;6;0
7150;2021-02-04 12:00:00;NULL;NULL;0
7150;2021-02-05 06:00:00;46;NULL;0
7150;2021-02-05 12:00:00;NULL;NULL;0
7150;2021-02-06 12:00:00;NULL;NULL;0
7150;2021-02-08 06:00:00;41;1;0
7150;2021-02-08 12:00:00;42,2;1;0
7150;2021-02-09 06:00:00;42;-3;0
7150;2021-02-09 12:00:00;NULL;NULL;0
7150;2021-02-10 12:00:00;NULL;NULL;0
7150;2021-02-11 06:00:00;39;0;0
7150;2021-02-12 12:00:00;NULL;NULL;0
7150;2021-02-13 12:00:00;NULL;NULL;0
7150;2021-02-14 12:00:00;NULL;NULL;0
7150;2021-02-15 06:00:00;42;3;0
7150;2021-02-15 12:00:00;NULL;NULL;0
7150;2021-02-16 12:00:00;NULL;NULL;0
7150;2021-02-17 06:00:00;39;-2;0
7150;2021-02-17 12:00:00;NULL;NULL;0
7150;2021-02-18 06:00:00;38;0;0
7150;2021-02-18 12:00:00;NULL;NULL;0
7150;2021-02-19 06:00:00;37;-2;0
7150;2021-02-20 06:00:00;38;0;0
7150;2021-02-20 12:00:00;NULL;NULL;0
7150;2021-02-21 12:00:00;NULL;NULL;0
7150;2021-02-22 12:00:00;NULL;NULL;0
7150;2021-02-24 06:00:00;40;0;0
7150;2021-02-24 12:00:00;NULL;NULL;0
7150;2021-02-25 06:00:00;40;0;0
7150;2021-02-25 12:00:00;NULL;NULL;0
7150;2021-02-26 06:00:00;39;0;0
7150;2021-02-26 12:00:00;NULL;NULL;0
7150;2021-02-28 12:00:00;NULL;NULL;0
7150;2021-03-01 12:00:00;NULL;NULL;0
7150;2021-03-02 12:00:00;NULL;NULL;0
7150;2021-03-03 06:00:00;47;2;0
7150;2021-03-04 12:00:00;NULL;NULL;0
7150;2021-03-05 06:00:00;46;5;0
7150;2021-03-05 12:00:00;NULL;NULL;0
7150;2021-03-06 12:00:00;NULL;NULL;0
7150;2021-03-08 12:00:00;NULL;NULL;0
7150;2021-03-09 06:00:00;41;5;0
7150;2021-03-09 12:00:00;NULL;NULL;0
7150;2021-03-10 06:00:00;41;8;0
7150;2021-03-10 12:00:00;NULL;NULL;0
7150;2021-03-11 06:00:00;40;0;0
7150;2021-03-12 12:00:00;NULL;NULL;0
7150;2021-03-13 12:00:00;NULL;NULL;0
7150;2021-03-14 12:00:00;NULL;NULL;0
7150;2021-03-14 16:00:00;44,2;5;0
7150;2021-03-15 06:00:00;44;0;0
7150;2021-03-16 06:00:00;44;1;0
7150;2021-03-16 12:00:00;NULL;NULL;0
7150;2021-03-17 12:00:00;NULL;NULL;0
7150;2021-03-18 06:00:00;45;0;0
7150;2021-03-18 12:00:00;NULL;NULL;0
7150;2021-03-19 06:00:00;44;2;0
7150;2021-03-20 12:00:00;NULL;NULL;0
7150;2021-03-21 12:00:00;NULL;NULL;0
7150;2021-03-22 06:00:00;45;5;0
7150;2021-03-22 12:00:00;NULL;NULL;0
7150;2021-03-23 06:00:00;45;0;0
7150;2021-03-23 12:00:00;44,6;3;0
7150;2021-03-23 16:00:00;44,5;4;0
7150;2021-03-24 12:00:00;NULL;NULL;0
7150;2021-03-25 06:00:00;42;1;0
7150;2021-03-25 12:00:00;NULL;NULL;0
7150;2021-03-26 06:00:00;42;1;0
7150;2021-03-26 12:00:00;NULL;NULL;0
7150;2021-03-28 12:00:00;43,1;5;0
7150;2021-03-28 16:00:00;43,1;4;0
7150;2021-03-29 06:00:00;44;4;0
7150;2021-03-29 12:00:00;NULL;NULL;0
7150;2021-03-30 12:00:00;NULL;NULL;0
7150;2021-03-31 06:00:00;44,1;4;0
7150;2021-04-01 06:00:00;44;8;0
7150;2021-04-01 12:00:00;NULL;NULL;0
7150;2021-04-02 06:00:00;44;9;0
7150;2021-04-02 12:00:00;NULL;NULL;0
7150;2021-04-03 12:00:00;NULL;NULL;0
7150;2021-04-05 12:00:00;44,7;8;0
7150;2021-04-05 16:00:00;44,6;7;0
7150;2021-04-06 06:00:00;46;5;0
7150;2021-04-06 12:00:00;NULL;NULL;0
7150;2021-04-07 06:00:00;46;8;0
7150;2021-04-07 12:00:00;NULL;NULL;0
7150;2021-04-08 06:00:00;46;9;0
7150;2021-04-08 12:00:00;NULL;NULL;0
7150;2021-04-09 12:00:00;NULL;NULL;0
7150;2021-04-10 12:00:00;NULL;NULL;0
7150;2021-04-11 12:00:00;NULL;NULL;0
7150;2021-04-12 06:00:00;44;9;0
7150;2021-04-12 12:00:00;43,2;10;0
7150;2021-04-13 12:00:00;NULL;NULL;0
7150;2021-04-14 06:00:00;42;6;0
7150;2021-04-14 12:00:00;NULL;NULL;0
7150;2021-04-15 06:00:00;42;5;0
7150;2021-04-15 12:00:00;NULL;NULL;0
7150;2021-04-16 06:00:00;42;4;0
7150;2021-04-17 12:00:00;NULL;NULL;0
7150;2021-04-18 12:00:00;NULL;NULL;0
7150;2021-04-19 12:00:00;40;8;0
7150;2021-04-20 06:00:00;38,8;2;0
7150;2021-04-20 12:00:00;NULL;NULL;0
7150;2021-04-21 12:00:00;NULL;NULL;0
7150;2021-04-22 06:00:00;42;5;0
7150;2021-04-22 12:00:00;NULL;NULL;0
7150;2021-04-23 12:00:00;NULL;NULL;0
7150;2021-04-25 12:00:00;NULL;NULL;0
7150;2021-04-26 06:00:00;45;8;0
7150;2021-04-26 12:00:00;NULL;NULL;0
7150;2021-04-27 06:00:00;45;10;0
7150;2021-04-27 12:00:00;NULL;NULL;0
7150;2021-04-29 06:00:00;44;8;0
7150;2021-04-29 12:00:00;NULL;NULL;0
7150;2021-04-30 06:00:00;44;6;0
7150;2021-04-30 12:00:00;NULL;NULL;0
7150;2021-05-01 12:00:00;NULL;NULL;0
7150;2021-05-03 12:00:00;43,9;5;0
7150;2021-05-03 16:00:00;43,8;5;0
7150;2021-05-04 12:00:00;NULL;NULL;0
7150;2021-05-05 06:00:00;41;6;0
7150;2021-05-05 12:00:00;NULL;NULL;0
7150;2021-05-06 12:00:00;40,1;5;0
7150;2021-05-06 16:00:00;40;5;0
7150;2021-05-07 12:00:00;NULL;NULL;0
7150;2021-05-08 06:00:00;39,5;6;0
7150;2021-05-08 12:00:00;NULL;NULL;0
7150;2021-05-09 12:00:00;NULL;NULL;0
7150;2021-05-11 06:00:00;40,1;8;0
7150;2021-05-11 12:00:00;NULL;NULL;0
7150;2021-05-12 06:00:00;40;6;0
7150;2021-05-12 12:00:00;NULL;NULL;0
7150;2021-05-13 06:00:00;36;8;0
7150;2021-05-13 12:00:00;NULL;NULL;0
7150;2021-05-14 06:00:00;30,3;10;0
7150;2021-05-15 12:00:00;NULL;NULL;0
7150;2021-05-16 12:00:00;NULL;NULL;0
7150;2021-05-17 06:00:00;38;11;0
7150;2021-05-17 12:00:00;NULL;NULL;0
7150;2021-05-18 06:00:00;38;14;0
7150;2021-05-19 12:00:00;NULL;NULL;0
7150;2021-05-20 06:00:00;38;10;0
7150;2021-05-20 12:00:00;NULL;NULL;0
7150;2021-05-21 06:00:00;38;10;0
7150;2021-05-21 12:00:00;NULL;NULL;0
7150;2021-05-23 12:00:00;NULL;NULL;0
7150;2021-05-24 06:00:00;38;17;0
7150;2021-05-24 12:00:00;NULL;NULL;0
7150;2021-05-25 06:00:00;38;14;0
7150;2021-05-25 12:00:00;NULL;NULL;0
7150;2021-05-26 06:00:00;38;19;0
7150;2021-05-27 12:00:00;NULL;NULL;0
7150;2021-05-28 06:00:00;37;13;NULL
7150;2021-05-28 12:00:00;NULL;NULL;0
7150;2021-05-29 12:00:00;NULL;NULL;0
7150;2021-05-31 06:00:00;40;15;0
