ObjectID;DateTime;P_in;T_in;Qh
7380;2021-01-01 00:00:00;NULL;NULL;1,412
7380;2021-01-01 02:00:00;NULL;NULL;1,401
7380;2021-01-01 04:00:00;NULL;NULL;1,381
7380;2021-01-01 06:00:00;42,6;-1;1,397
7380;2021-01-01 08:00:00;NULL;NULL;1,342
7380;2021-01-01 10:00:00;NULL;NULL;1,388
7380;2021-01-01 12:00:00;42,8;-1;1,376
7380;2021-01-01 14:00:00;NULL;NULL;1,402
7380;2021-01-01 16:00:00;NULL;NULL;1,466
7380;2021-01-01 18:00:00;42,6;-1;1,447
7380;2021-01-01 20:00:00;NULL;NULL;1,402
7380;2021-01-01 22:00:00;NULL;NULL;1,391
7380;2021-01-02 00:00:00;NULL;NULL;1,393
7380;2021-01-02 02:00:00;NULL;NULL;1,409
7380;2021-01-02 04:00:00;NULL;NULL;1,363
7380;2021-01-02 06:00:00;43,7;-1;1,37
7380;2021-01-02 08:00:00;NULL;NULL;1,46
7380;2021-01-02 10:00:00;NULL;NULL;2,228
7380;2021-01-02 12:00:00;43,8;-1;2,26
7380;2021-01-02 14:00:00;NULL;NULL;2,222
7380;2021-01-02 16:00:00;NULL;NULL;2,28
7380;2021-01-02 18:00:00;43,1;-1;2,342
7380;2021-01-02 20:00:00;NULL;NULL;2,273
7380;2021-01-02 22:00:00;NULL;NULL;2,221
7380;2021-01-03 00:00:00;NULL;NULL;2,222
7380;2021-01-03 02:00:00;NULL;NULL;2,211
7380;2021-01-03 04:00:00;NULL;NULL;2,286
7380;2021-01-03 06:00:00;44,1;-1;2,298
7380;2021-01-03 08:00:00;NULL;NULL;2,372
7380;2021-01-03 10:00:00;NULL;NULL;2,338
7380;2021-01-03 12:00:00;44,3;0;2,236
7380;2021-01-03 14:00:00;NULL;NULL;2,205
7380;2021-01-03 16:00:00;NULL;NULL;2,254
7380;2021-01-03 18:00:00;45,5;0;2,278
7380;2021-01-03 20:00:00;NULL;NULL;2,38
7380;2021-01-03 22:00:00;NULL;NULL;2,256
7380;2021-01-04 00:00:00;NULL;NULL;2,102
7380;2021-01-04 02:00:00;NULL;NULL;2,223
7380;2021-01-04 04:00:00;NULL;NULL;2,198
7380;2021-01-04 06:00:00;44,1;-1;2,296
7380;2021-01-04 08:00:00;NULL;NULL;2,248
7380;2021-01-04 10:00:00;NULL;NULL;2,152
7380;2021-01-04 12:00:00;44;-1;2,124
7380;2021-01-04 14:00:00;NULL;NULL;2,192
7380;2021-01-04 16:00:00;NULL;NULL;2,247
7380;2021-01-04 18:00:00;43,7;-1;2,138
7380;2021-01-04 20:00:00;NULL;NULL;2,155
