ObjectID;DateTime;P_in;T_in;Qh
8025;2021-01-01 00:00:00;41,32;2,85;1,085
8025;2021-01-01 02:00:00;41,42;2,66;1,064
8025;2021-01-01 04:00:00;41,51;2,62;1,01
8025;2021-01-01 06:00:00;41,58;2,63;1,016
8025;2021-01-01 08:00:00;41,77;2,48;0,928
8025;2021-01-01 10:00:00;41,87;2,56;1,008
8025;2021-01-01 12:00:00;41,97;2,4;0,998
8025;2021-01-01 14:00:00;42,24;2,69;0,961
8025;2021-01-01 16:00:00;42,43;2,91;1
8025;2021-01-01 18:00:00;42,64;2,57;1,042
8025;2021-01-01 20:00:00;42,74;2,45;1,043
8025;2021-01-01 22:00:00;42,91;2,29;0,974
8025;2021-01-02 00:00:00;42,89;2,21;0,974
8025;2021-01-02 02:00:00;42,87;2,54;0,93
8025;2021-01-02 04:00:00;42,87;2,62;0,978
8025;2021-01-02 06:00:00;42,87;2,69;0,982
8025;2021-01-02 08:00:00;42,87;2,84;0,923
8025;2021-01-02 10:00:00;42,89;2,98;0,924
8025;2021-01-02 12:00:00;42,91;3,1;0,892
8025;2021-01-02 14:00:00;42,9;3,45;0,93
8025;2021-01-02 16:00:00;42,67;3,32;0,942
8025;2021-01-02 18:00:00;42,38;3,03;0,959
8025;2021-01-02 20:00:00;42,56;3,08;0,924
8025;2021-01-02 22:00:00;43,06;2,93;1,027
8025;2021-01-03 00:00:00;43,33;2,65;0,942
8025;2021-01-03 02:00:00;43,56;2,37;0,933
8025;2021-01-03 04:00:00;43,77;2,43;0,935
8025;2021-01-03 06:00:00;43,96;2,45;0,96
8025;2021-01-03 08:00:00;43,75;2,28;0,917
8025;2021-01-03 10:00:00;43,88;1,97;1,005
8025;2021-01-03 12:00:00;43,97;2,07;0,976
8025;2021-01-03 14:00:00;44,64;2,57;0,944
8025;2021-01-03 16:00:00;44,22;2,33;1,017
8025;2021-01-03 18:00:00;44,87;1,95;0,964
8025;2021-01-03 20:00:00;45,53;1,62;0,999
8025;2021-01-03 22:00:00;45,7;1,61;0,957
8025;2021-01-04 00:00:00;45,69;1,86;0,942
8025;2021-01-04 02:00:00;45,48;2,39;0,924
8025;2021-01-04 04:00:00;43,2;2,37;0,909
8025;2021-01-04 06:00:00;42,53;2,41;0,904
8025;2021-01-04 08:00:00;42,42;2,14;0,908
8025;2021-01-04 10:00:00;42,42;2,49;0,925
8025;2021-01-04 12:00:00;42,39;2,4;0,915
8025;2021-01-04 14:00:00;42,23;2,62;0,912
8025;2021-01-04 16:00:00;42,1;2,84;0,929
8025;2021-01-04 18:00:00;42,03;2,93;0,987
8025;2021-01-04 20:00:00;41,79;2,93;0,908
8025;2021-01-04 22:00:00;41,6;2,54;0,908
8025;2021-01-05 00:00:00;41,5;2,51;0,925
8025;2021-01-05 02:00:00;41,63;2,67;0,939
8025;2021-01-05 04:00:00;41,75;2,64;0,893
8025;2021-01-05 06:00:00;41,88;2,54;0,917
8025;2021-01-05 08:00:00;42,02;2,39;0,957
8025;2021-01-05 10:00:00;42,1;2,62;0,897
8025;2021-01-05 12:00:00;42,29;2,05;0,924
8025;2021-01-05 14:00:00;42,16;2,61;0,918
8025;2021-01-05 16:00:00;41,99;2,64;0,948
8025;2021-01-05 18:00:00;41,82;2,6;0,943
8025;2021-01-05 20:00:00;41,6;2,55;0,946
