ObjectID;DateTime;P_in;T_in;Qh
8026;2021-01-01 00:00:00;NULL;NULL;0,732
8026;2021-01-01 02:00:00;NULL;NULL;0,679
8026;2021-01-01 04:00:00;NULL;NULL;0,675
8026;2021-01-01 06:00:00;41,7;3;0,655
8026;2021-01-01 08:00:00;NULL;NULL;0,674
8026;2021-01-01 10:00:00;NULL;NULL;0,683
8026;2021-01-01 12:00:00;42;3;0,681
8026;2021-01-01 14:00:00;NULL;NULL;0,636
8026;2021-01-01 16:00:00;NULL;NULL;0,642
8026;2021-01-01 18:00:00;42,8;3;0,665
8026;2021-01-01 20:00:00;NULL;NULL;0,689
8026;2021-01-01 22:00:00;NULL;NULL;0,653
8026;2021-01-02 00:00:00;NULL;NULL;0,681
8026;2021-01-02 02:00:00;NULL;NULL;0,661
8026;2021-01-02 04:00:00;NULL;NULL;0,652
8026;2021-01-02 06:00:00;42,9;3;0,644
8026;2021-01-02 08:00:00;NULL;NULL;0,672
8026;2021-01-02 10:00:00;NULL;NULL;0,654
8026;2021-01-02 12:00:00;43;3;0,628
8026;2021-01-02 14:00:00;NULL;NULL;0,619
8026;2021-01-02 16:00:00;NULL;NULL;0,667
8026;2021-01-02 18:00:00;42,4;3;0,659
8026;2021-01-02 20:00:00;NULL;NULL;0,699
8026;2021-01-02 22:00:00;NULL;NULL;0,669
8026;2021-01-03 00:00:00;NULL;NULL;0,62
8026;2021-01-03 02:00:00;NULL;NULL;0,62
8026;2021-01-03 04:00:00;NULL;NULL;0,664
8026;2021-01-03 06:00:00;43,8;2;0,679
8026;2021-01-03 08:00:00;NULL;NULL;0,689
8026;2021-01-03 10:00:00;NULL;NULL;0,708
8026;2021-01-03 12:00:00;43,9;2;0,691
8026;2021-01-03 14:00:00;NULL;NULL;0,656
8026;2021-01-03 16:00:00;NULL;NULL;0,662
8026;2021-01-03 18:00:00;44,7;2;0,687
8026;2021-01-03 20:00:00;NULL;NULL;0,687
8026;2021-01-03 22:00:00;NULL;NULL;0,67
8026;2021-01-04 00:00:00;NULL;NULL;0,677
8026;2021-01-04 02:00:00;NULL;NULL;0,614
8026;2021-01-04 04:00:00;NULL;NULL;0,663
8026;2021-01-04 06:00:00;42,1;3;0,648
8026;2021-01-04 08:00:00;NULL;NULL;0,682
8026;2021-01-04 10:00:00;NULL;NULL;0,694
8026;2021-01-04 12:00:00;42;3;0,666
8026;2021-01-04 14:00:00;NULL;NULL;0,682
8026;2021-01-04 16:00:00;NULL;NULL;0,685
8026;2021-01-04 18:00:00;41,6;3;0,695
8026;2021-01-04 20:00:00;NULL;NULL;0,69
8026;2021-01-04 22:00:00;NULL;NULL;0,687
8026;2021-01-05 00:00:00;NULL;NULL;0,677
8026;2021-01-05 02:00:00;NULL;NULL;0,66
8026;2021-01-05 04:00:00;NULL;NULL;0,663
8026;2021-01-05 06:00:00;41,5;3;0,657
8026;2021-01-05 08:00:00;NULL;NULL;0,694
8026;2021-01-05 10:00:00;NULL;NULL;0,66
8026;2021-01-05 12:00:00;41,8;3;0,661
8026;2021-01-05 14:00:00;NULL;NULL;0,681
8026;2021-01-05 16:00:00;NULL;NULL;0,679
8026;2021-01-05 18:00:00;41,3;3;0,687
8026;2021-01-05 20:00:00;NULL;NULL;0,684
8026;2021-01-05 22:00:00;NULL;NULL;0,686
8026;2021-01-06 00:00:00;NULL;NULL;0,655
8026;2021-01-06 02:00:00;NULL;NULL;0,664
8026;2021-01-06 04:00:00;NULL;NULL;0,655
8026;2021-01-06 06:00:00;40,9;3;0,655
8026;2021-01-06 08:00:00;NULL;NULL;0,702
8026;2021-01-06 10:00:00;NULL;NULL;0,695
8026;2021-01-06 12:00:00;40,9;3;0,678
8026;2021-01-06 14:00:00;NULL;NULL;0,678
8026;2021-01-06 16:00:00;NULL;NULL;0,675
