ObjectID;DateTime;P_in;T_in;Qh
8033;2021-01-01 06:00:00;38,8;2;2,16
8033;2021-01-01 12:00:00;40,2;2;2,1
8033;2021-01-01 18:00:00;40,2;2;2,1
8033;2021-01-02 06:00:00;40,2;2;2,1
8033;2021-01-02 12:00:00;41,2;2;2,1
8033;2021-01-02 18:00:00;40,6;2;2,1
8033;2021-01-03 06:00:00;41,6;2;2
8033;2021-01-03 12:00:00;43,1;2;1,999
8033;2021-01-03 18:00:00;44,4;2;1,9
8033;2021-01-04 06:00:00;42;2;1,9
8033;2021-01-04 12:00:00;41,6;2;1,895
8033;2021-01-04 18:00:00;41,2;2;1,91
8033;2021-01-05 06:00:00;41,3;2;1,9
8033;2021-01-05 12:00:00;41,4;2;2
8033;2021-01-05 18:00:00;41;2;2
8033;2021-01-06 06:00:00;40,9;2;2
8033;2021-01-06 12:00:00;40,4;2;2
8033;2021-01-06 18:00:00;40,2;2;2
8033;2021-01-07 06:00:00;40,2;2;2
8033;2021-01-07 12:00:00;39,7;2;2,115
8033;2021-01-07 18:00:00;39,7;2;2,1
8033;2021-01-08 06:00:00;40,7;2;2,1
8033;2021-01-08 12:00:00;41,7;1;2,1
8033;2021-01-08 18:00:00;41,9;1;2,189
8033;2021-01-09 06:00:00;42;1;2,1
8033;2021-01-09 12:00:00;42,1;1;2
8033;2021-01-09 18:00:00;42,1;1;2
8033;2021-01-10 06:00:00;42,1;1;2
8033;2021-01-10 12:00:00;42,5;1;5
8033;2021-01-10 18:00:00;42,3;1;2,5
8033;2021-01-11 06:00:00;42,3;1;2
8033;2021-01-11 12:00:00;42,1;1;2,056
8033;2021-01-11 18:00:00;40,1;1;2,056
8033;2021-01-12 06:00:00;39,1;1;2,056
8033;2021-01-12 12:00:00;38,6;1;2,056
8033;2021-01-12 18:00:00;37,2;1;2,226
8033;2021-01-13 06:00:00;36,7;1;2,1
8033;2021-01-13 12:00:00;36,3;1;2,1
8033;2021-01-13 18:00:00;36,3;1;2,2
8033;2021-01-14 06:00:00;35,3;1;2,358
8033;2021-01-14 12:00:00;35,7;1;2,3
8033;2021-01-14 18:00:00;35,3;1;2,3
8033;2021-01-15 06:00:00;35,3;1;2,2
8033;2021-01-15 12:00:00;35,3;1;2,14
8033;2021-01-15 18:00:00;35,6;1;2,1
8033;2021-01-16 06:00:00;36,2;1;2,1
8033;2021-01-16 12:00:00;36,7;1;2
8033;2021-01-16 18:00:00;37,2;1;2,1
8033;2021-01-17 06:00:00;38;1;2,1
8033;2021-01-17 12:00:00;40,9;1;2,1
8033;2021-01-17 18:00:00;41;1;2,1
8033;2021-01-18 06:00:00;41;1;2
8033;2021-01-18 12:00:00;40,6;1;2
8033;2021-01-18 18:00:00;38,3;1;2
8033;2021-01-19 06:00:00;38;1;2
8033;2021-01-19 12:00:00;39,6;1;1,949
8033;2021-01-19 18:00:00;39,7;1;1,9
8033;2021-01-20 06:00:00;39,6;1;1,9
8033;2021-01-20 12:00:00;39,1;1;1,9
8033;2021-01-20 18:00:00;38,7;1;2
8033;2021-01-21 06:00:00;39;1;1,8
8033;2021-01-21 12:00:00;39,1;1;2
8033;2021-01-21 18:00:00;38,4;1;2
8033;2021-01-22 06:00:00;37,4;1;2,11
8033;2021-01-22 12:00:00;35,9;1;2,2
8033;2021-01-22 18:00:00;35,9;1;2,2
8033;2021-01-23 06:00:00;37,5;1;2,1
8033;2021-01-23 12:00:00;38,9;1;2,167
8033;2021-01-23 18:00:00;39;1;2,2
8033;2021-01-24 06:00:00;39,3;1;2,2
8033;2021-01-24 12:00:00;40,2;1;2,2
8033;2021-01-24 18:00:00;40;1;2,3
8033;2021-01-25 06:00:00;41,5;1;2
8033;2021-01-25 12:00:00;40,8;1;2
8033;2021-01-25 18:00:00;40,8;1;2
8033;2021-01-26 06:00:00;41,9;1;2,1
8033;2021-01-26 12:00:00;42,7;1;2
8033;2021-01-26 18:00:00;43,8;1;2,1
8033;2021-01-27 06:00:00;44;1;2
8033;2021-01-27 12:00:00;41,7;1;1,7
8033;2021-01-27 18:00:00;40,9;1;2
8033;2021-01-28 06:00:00;41;1;2,1
8033;2021-01-28 12:00:00;41,1;1;2,1
8033;2021-01-28 18:00:00;39,9;1;2,2
8033;2021-01-29 06:00:00;39,9;1;1,9
8033;2021-01-29 12:00:00;39,7;1;2
8033;2021-01-29 18:00:00;39,7;1;2
8033;2021-01-30 06:00:00;41,2;1;2,1
8033;2021-01-30 12:00:00;40,1;1;2
8033;2021-01-30 18:00:00;40,2;1;2
8033;2021-01-31 06:00:00;40,2;1;2
8033;2021-01-31 12:00:00;40,5;1;2,118
8033;2021-01-31 18:00:00;40,5;1;2,118
8033;2021-02-01 06:00:00;40,5;1;2,1
8033;2021-02-01 12:00:00;40,5;1;2,1
8033;2021-02-01 18:00:00;40,3;1;2,1
8033;2021-02-02 06:00:00;40,9;1;2,08
8033;2021-02-02 12:00:00;40,3;1;2
8033;2021-02-02 18:00:00;40,3;1;2
8033;2021-02-03 06:00:00;41,5;1;2,1
8033;2021-02-03 12:00:00;41,4;2;2,1
8033;2021-02-03 18:00:00;41,4;2;2,1
8033;2021-02-04 06:00:00;41,4;2;2
8033;2021-02-04 12:00:00;41,8;2;1,194
8033;2021-02-04 18:00:00;41,4;2;1,19
8033;2021-02-05 06:00:00;41;2;1,19
8033;2021-02-05 12:00:00;40,9;2;1,3
8033;2021-02-05 18:00:00;40,4;2;1,4
8033;2021-02-06 06:00:00;40,6;2;1,1
8033;2021-02-06 12:00:00;40,4;1;1,9
8033;2021-02-06 18:00:00;40,4;1;1,9
8033;2021-02-07 06:00:00;39,8;1;2,2
8033;2021-02-07 12:00:00;39,3;0;2,2
8033;2021-02-07 18:00:00;39,6;0;2,2
8033;2021-02-08 06:00:00;37,5;0;2
8033;2021-02-08 12:00:00;39,1;0;2,1
8033;2021-02-08 18:00:00;38,8;0;2
8033;2021-02-09 06:00:00;39,1;0;2
8033;2021-02-09 12:00:00;39,2;0;2
8033;2021-02-09 18:00:00;39;0;2,1
8033;2021-02-10 06:00:00;36,5;0;2
8033;2021-02-10 12:00:00;35,7;0;2
8033;2021-02-10 18:00:00;35;0;2
8033;2021-02-11 06:00:00;35,6;0;2,1
8033;2021-02-11 12:00:00;35,1;0;2,1
8033;2021-02-11 18:00:00;33,2;0;2,1
8033;2021-02-12 06:00:00;34;0;2
8033;2021-02-12 12:00:00;34,3;1;2,1
8033;2021-02-12 18:00:00;34,8;1;2
