ObjectID;DateTime;P_in;T_in;Qh
8027;2021-01-01 00:00:00;NULL;NULL;5,369
8027;2021-01-01 02:00:00;NULL;NULL;4,94
8027;2021-01-01 04:00:00;NULL;NULL;5,709
8027;2021-01-01 06:00:00;39,9;2;5,532
8027;2021-01-01 08:00:00;NULL;NULL;4,713
8027;2021-01-01 10:00:00;NULL;NULL;5,638
8027;2021-01-01 12:00:00;42;2;5,984
8027;2021-01-01 14:00:00;NULL;NULL;6,013
8027;2021-01-01 16:00:00;NULL;NULL;5,728
8027;2021-01-01 18:00:00;42;2;5,436
8027;2021-01-01 20:00:00;NULL;NULL;5,469
8027;2021-01-01 22:00:00;NULL;NULL;5,49
8027;2021-01-02 00:00:00;NULL;NULL;5,901
8027;2021-01-02 02:00:00;NULL;NULL;5,455
8027;2021-01-02 04:00:00;NULL;NULL;5,094
8027;2021-01-02 06:00:00;41;1;5,622
8027;2021-01-02 08:00:00;NULL;NULL;5,085
8027;2021-01-02 10:00:00;NULL;NULL;5,998
8027;2021-01-02 12:00:00;41,2;1;5,587
8027;2021-01-02 14:00:00;NULL;NULL;5,338
8027;2021-01-02 16:00:00;NULL;NULL;5,829
8027;2021-01-02 18:00:00;40,8;1;5,526
8027;2021-01-02 20:00:00;NULL;NULL;5,509
8027;2021-01-02 22:00:00;NULL;NULL;5,588
8027;2021-01-03 00:00:00;NULL;NULL;4,968
8027;2021-01-03 02:00:00;NULL;NULL;4,932
8027;2021-01-03 04:00:00;NULL;NULL;5,64
8027;2021-01-03 06:00:00;41,8;1;5,342
8027;2021-01-03 08:00:00;NULL;NULL;5,427
8027;2021-01-03 10:00:00;NULL;NULL;6,355
8027;2021-01-03 12:00:00;42,9;1;5,703
8027;2021-01-03 14:00:00;NULL;NULL;5,832
8027;2021-01-03 16:00:00;NULL;NULL;5,751
8027;2021-01-03 18:00:00;44,2;-1;5,888
8027;2021-01-03 20:00:00;NULL;NULL;5,982
8027;2021-01-03 22:00:00;NULL;NULL;5,218
8027;2021-01-04 00:00:00;NULL;NULL;5,177
8027;2021-01-04 02:00:00;NULL;NULL;5,536
8027;2021-01-04 04:00:00;NULL;NULL;5,616
8027;2021-01-04 06:00:00;41,5;2;5,521
8027;2021-01-04 08:00:00;NULL;NULL;6,077
8027;2021-01-04 10:00:00;NULL;NULL;6,202
8027;2021-01-04 12:00:00;41,4;2;5,802
8027;2021-01-04 14:00:00;NULL;NULL;5,772
8027;2021-01-04 16:00:00;NULL;NULL;6,245
8027;2021-01-04 18:00:00;41;2;5,841
8027;2021-01-04 20:00:00;NULL;NULL;5,617
8027;2021-01-04 22:00:00;NULL;NULL;5,71
8027;2021-01-05 00:00:00;NULL;NULL;5,771
8027;2021-01-05 02:00:00;NULL;NULL;5,003
8027;2021-01-05 04:00:00;NULL;NULL;5,307
8027;2021-01-05 06:00:00;40,9;2;5,858
8027;2021-01-05 08:00:00;NULL;NULL;5,187
8027;2021-01-05 10:00:00;NULL;NULL;6,06
8027;2021-01-05 12:00:00;41,1;2;6,076
8027;2021-01-05 14:00:00;NULL;NULL;5,401
8027;2021-01-05 16:00:00;NULL;NULL;6,117
8027;2021-01-05 18:00:00;40,9;3;5,517
8027;2021-01-05 20:00:00;NULL;NULL;5,464
8027;2021-01-05 22:00:00;NULL;NULL;5,447
8027;2021-01-06 00:00:00;NULL;NULL;6,145
8027;2021-01-06 02:00:00;NULL;NULL;5,625
8027;2021-01-06 04:00:00;NULL;NULL;5,567
8027;2021-01-06 06:00:00;40,2;5;5,316
8027;2021-01-06 08:00:00;NULL;NULL;5,871
8027;2021-01-06 10:00:00;NULL;NULL;5,88
8027;2021-01-06 12:00:00;40,2;3;6,133
8027;2021-01-06 14:00:00;NULL;NULL;6,401
8027;2021-01-06 16:00:00;NULL;NULL;6,387
8027;2021-01-06 18:00:00;40;2;6,367
8027;2021-01-06 20:00:00;NULL;NULL;6,367
8027;2021-01-06 22:00:00;NULL;NULL;5,881
8027;2021-01-07 00:00:00;NULL;NULL;5,886
8027;2021-01-07 02:00:00;NULL;NULL;5,883
8027;2021-01-07 04:00:00;NULL;NULL;5,859
8027;2021-01-07 06:00:00;40;2;5,836
8027;2021-01-07 08:00:00;NULL;NULL;5,816
8027;2021-01-07 10:00:00;NULL;NULL;6,386
8027;2021-01-07 12:00:00;39,8;2;6,353
8027;2021-01-07 14:00:00;NULL;NULL;6,061
8027;2021-01-07 16:00:00;NULL;NULL;5,901
8027;2021-01-07 18:00:00;39,8;2;6,457
8027;2021-01-07 20:00:00;NULL;NULL;6,487
8027;2021-01-07 22:00:00;NULL;NULL;6,04
8027;2021-01-08 00:00:00;NULL;NULL;5,901
8027;2021-01-08 02:00:00;NULL;NULL;5,691
8027;2021-01-08 04:00:00;NULL;NULL;6,425
8027;2021-01-08 06:00:00;40,8;0;6,54
8027;2021-01-08 08:00:00;NULL;NULL;5,673
8027;2021-01-08 10:00:00;NULL;NULL;5,692
8027;2021-01-08 12:00:00;41,8;0;6,384
8027;2021-01-08 14:00:00;NULL;NULL;6,392
8027;2021-01-08 16:00:00;NULL;NULL;6,066
8027;2021-01-08 18:00:00;41,8;1;5,702
8027;2021-01-08 20:00:00;NULL;NULL;6,542
8027;2021-01-08 22:00:00;NULL;NULL;6,059
8027;2021-01-09 00:00:00;NULL;NULL;5,888
8027;2021-01-09 02:00:00;NULL;NULL;5,898
8027;2021-01-09 04:00:00;NULL;NULL;5,9
8027;2021-01-09 06:00:00;41,9;2;5,139
8027;2021-01-09 08:00:00;NULL;NULL;6,106
8027;2021-01-09 10:00:00;NULL;NULL;6,11
8027;2021-01-09 12:00:00;42;2;5,37
8027;2021-01-09 14:00:00;NULL;NULL;6,029
8027;2021-01-09 16:00:00;NULL;NULL;5,542
8027;2021-01-09 18:00:00;42;2;5,57
8027;2021-01-09 20:00:00;NULL;NULL;5,565
8027;2021-01-09 22:00:00;NULL;NULL;5,577
8027;2021-01-10 00:00:00;NULL;NULL;5,047
8027;2021-01-10 02:00:00;NULL;NULL;4,825
8027;2021-01-10 04:00:00;NULL;NULL;5,311
8027;2021-01-10 06:00:00;42,1;2;4,585
8027;2021-01-10 08:00:00;NULL;NULL;5,906
8027;2021-01-10 10:00:00;NULL;NULL;5,857
8027;2021-01-10 12:00:00;42,2;2;6,181
8027;2021-01-10 14:00:00;NULL;NULL;6,158
8027;2021-01-10 16:00:00;NULL;NULL;6,141
8027;2021-01-10 18:00:00;42;2;5,486
8027;2021-01-10 20:00:00;NULL;NULL;6,174
8027;2021-01-10 22:00:00;NULL;NULL;5,505
8027;2021-01-11 00:00:00;NULL;NULL;5,503
8027;2021-01-11 02:00:00;NULL;NULL;6,336
8027;2021-01-11 04:00:00;NULL;NULL;5,713
8027;2021-01-11 06:00:00;42,1;2;5,73
8027;2021-01-11 08:00:00;NULL;NULL;5,74
8027;2021-01-11 10:00:00;NULL;NULL;5,736
8027;2021-01-11 12:00:00;42;1;6,531
8027;2021-01-11 14:00:00;NULL;NULL;6,479
