ObjectID;DateTime;P_in;T_in;Qh
7122;2021-01-01 00:00:00;46,6;0,11;0,042
7122;2021-01-01 02:00:00;46,64;0,25;0,041
7122;2021-01-01 04:00:00;46,64;0,26;0,042
7122;2021-01-01 06:00:00;46,68;0,37;0,043
7122;2021-01-01 08:00:00;46,65;0,48;0,043
7122;2021-01-01 10:00:00;46,64;0,57;0,046
7122;2021-01-01 12:00:00;46,56;0,74;0,045
7122;2021-01-01 14:00:00;46,44;0,76;0,044
7122;2021-01-01 16:00:00;46,51;0,64;0,043
7122;2021-01-01 18:00:00;46,76;0,68;0,049
7122;2021-01-01 20:00:00;46,98;0,67;0,045
7122;2021-01-01 22:00:00;47,38;0,68;0,042
7122;2021-01-02 00:00:00;47,51;0,59;0,043
7122;2021-01-02 02:00:00;47,6;0,52;0,041
7122;2021-01-02 04:00:00;47,63;0,62;0,042
7122;2021-01-02 06:00:00;47,65;0,64;0,041
7122;2021-01-02 08:00:00;47,82;0,67;0,044
7122;2021-01-02 10:00:00;47,9;0,73;0,048
7122;2021-01-02 12:00:00;47,91;0,89;0,044
7122;2021-01-02 14:00:00;48,09;1,1;0,043
7122;2021-01-02 16:00:00;48,17;1,02;0,043
7122;2021-01-02 18:00:00;48,53;0,8;0,045
7122;2021-01-02 20:00:00;46,62;0,08;0,041
7122;2021-01-02 22:00:00;46,15;0,19;0,042
7122;2021-01-03 00:00:00;46,32;0,44;0,038
7122;2021-01-03 02:00:00;46,49;0,43;0,04
7122;2021-01-03 04:00:00;46,69;0,47;0,039
7122;2021-01-03 06:00:00;46,85;0,5;0,04
7122;2021-01-03 08:00:00;46,97;0,52;0,044
7122;2021-01-03 10:00:00;47,15;0,5;0,042
7122;2021-01-03 12:00:00;47,22;0,75;0,042
7122;2021-01-03 14:00:00;47,31;0,8;0,043
7122;2021-01-03 16:00:00;47,37;0,62;0,042
7122;2021-01-03 18:00:00;47,39;0,53;0,043
7122;2021-01-03 20:00:00;47,55;0,49;0,047
7122;2021-01-03 22:00:00;47,79;0,45;0,043
7122;2021-01-04 00:00:00;47,9;0,39;0,045
7122;2021-01-04 02:00:00;47,98;0,31;0,045
7122;2021-01-04 04:00:00;47,76;0,3;0,043
7122;2021-01-04 06:00:00;47,72;0,24;0,044
7122;2021-01-04 08:00:00;47,66;0,27;0,042
7122;2021-01-04 10:00:00;47,62;0,43;0,044
7122;2021-01-04 12:00:00;47,6;0,64;0,044
7122;2021-01-04 14:00:00;47,46;0,9;0,04
7122;2021-01-04 16:00:00;47,4;0,71;0,042
7122;2021-01-04 18:00:00;47,38;0,51;0,047
7122;2021-01-04 20:00:00;47,19;0,54;0,047
7122;2021-01-04 22:00:00;47,08;0,4;0,039
7122;2021-01-05 00:00:00;46,96;0,39;0,041
7122;2021-01-05 02:00:00;47,08;0,51;0,041
7122;2021-01-05 04:00:00;47,18;0,54;0,042
7122;2021-01-05 06:00:00;47,31;0,57;0,044
7122;2021-01-05 08:00:00;47,37;0,59;0,043
7122;2021-01-05 10:00:00;47,49;0,67;0,045
7122;2021-01-05 12:00:00;47,65;0,82;0,042
7122;2021-01-05 14:00:00;47,54;0,74;0,042
7122;2021-01-05 16:00:00;47,36;0,61;0,043
7122;2021-01-05 18:00:00;47,24;0,48;0,044
7122;2021-01-05 20:00:00;47,05;0,4;0,047
