ObjectID;DateTime;P_in;T_in;Qh
7120;2021-01-01 00:00:00;46,6;0,11;169,998
7120;2021-01-01 02:00:00;46,64;0,25;170,051
7120;2021-01-01 04:00:00;46,64;0,26;169,861
7120;2021-01-01 06:00:00;46,68;0,37;169,747
7120;2021-01-01 08:00:00;46,65;0,48;169,336
7120;2021-01-01 10:00:00;46,64;0,57;182,866
7120;2021-01-01 12:00:00;46,56;0,74;196,383
7120;2021-01-01 14:00:00;46,44;0,76;209,963
7120;2021-01-01 16:00:00;46,51;0,64;198,422
7120;2021-01-01 18:00:00;46,76;0,68;191,084
7120;2021-01-01 20:00:00;46,98;0,67;189,002
7120;2021-01-01 22:00:00;47,38;0,68;165,275
7120;2021-01-02 00:00:00;47,51;0,59;161,02
7120;2021-01-02 02:00:00;47,6;0,52;147,305
7120;2021-01-02 04:00:00;47,63;0,62;147,696
7120;2021-01-02 06:00:00;47,65;0,64;155,676
7120;2021-01-02 08:00:00;47,82;0,67;157,928
7120;2021-01-02 10:00:00;47,9;0,73;158,593
7120;2021-01-02 12:00:00;47,91;0,89;158,901
7120;2021-01-02 14:00:00;48,09;1,1;160,305
7120;2021-01-02 16:00:00;48,17;1,02;169,987
7120;2021-01-02 18:00:00;48,53;0,8;180,414
7120;2021-01-02 20:00:00;46,62;0,08;169,602
7120;2021-01-02 22:00:00;46,15;0,19;174,527
7120;2021-01-03 00:00:00;46,32;0,44;166,811
7120;2021-01-03 02:00:00;46,49;0,43;167,626
7120;2021-01-03 04:00:00;46,69;0,47;168,546
7120;2021-01-03 06:00:00;46,85;0,5;169,157
7120;2021-01-03 08:00:00;46,97;0,52;164
7120;2021-01-03 10:00:00;47,15;0,5;159,402
7120;2021-01-03 12:00:00;47,22;0,75;165,53
7120;2021-01-03 14:00:00;47,31;0,8;170
7120;2021-01-03 16:00:00;47,37;0,62;171,771
7120;2021-01-03 18:00:00;47,39;0,53;171,962
7120;2021-01-03 20:00:00;47,55;0,49;172,851
7120;2021-01-03 22:00:00;47,79;0,45;174,079
7120;2021-01-04 00:00:00;47,9;0,39;174,507
7120;2021-01-04 02:00:00;47,98;0,31;174,667
7120;2021-01-04 04:00:00;47,76;0,3;173,137
7120;2021-01-04 06:00:00;47,72;0,24;154,988
7120;2021-01-04 08:00:00;47,66;0,27;154,581
7120;2021-01-04 10:00:00;47,62;0,43;159,396
7120;2021-01-04 12:00:00;47,6;0,64;163,843
7120;2021-01-04 14:00:00;47,46;0,9;169,786
7120;2021-01-04 16:00:00;47,4;0,71;189,566
7120;2021-01-04 18:00:00;47,38;0,51;174,289
7120;2021-01-04 20:00:00;47,19;0,54;190,874
7120;2021-01-04 22:00:00;47,08;0,4;184,272
7120;2021-01-05 00:00:00;46,96;0,39;182,773
7120;2021-01-05 02:00:00;47,08;0,51;183,169
7120;2021-01-05 04:00:00;47,18;0,54;183,566
7120;2021-01-05 06:00:00;47,31;0,57;183,888
7120;2021-01-05 08:00:00;47,37;0,59;184,105
7120;2021-01-05 10:00:00;47,49;0,67;184,517
7120;2021-01-05 12:00:00;47,65;0,82;170,657
7120;2021-01-05 14:00:00;47,54;0,74;170,942
7120;2021-01-05 16:00:00;47,36;0,61;175,982
7120;2021-01-05 18:00:00;47,24;0,48;175,431
7120;2021-01-05 20:00:00;47,05;0,4;176,506
7120;2021-01-05 22:00:00;46,99;0,36;176,341
7120;2021-01-06 00:00:00;46,94;0,3;176,159
7120;2021-01-06 02:00:00;46,93;0,3;182,348
7120;2021-01-06 04:00:00;46,96;0,3;182,591
7120;2021-01-06 06:00:00;46,99;0,31;182,704
7120;2021-01-06 08:00:00;47,04;0,42;182,625
7120;2021-01-06 10:00:00;47,03;0,49;182,469
7120;2021-01-06 12:00:00;46,97;0,62;181,924
7120;2021-01-06 14:00:00;46,92;0,6;181,164
7120;2021-01-06 16:00:00;46,85;0,29;164,158
7120;2021-01-06 18:00:00;46,7;0,11;172,488
7120;2021-01-06 20:00:00;46,54;0,15;171,599
7120;2021-01-06 22:00:00;46,44;0,24;171,16
7120;2021-01-07 00:00:00;46,38;0,23;170,812
7120;2021-01-07 02:00:00;46,3;0,22;170,576
7120;2021-01-07 04:00:00;46,17;0,22;170,029
7120;2021-01-07 06:00:00;46,03;0,15;169,501
7120;2021-01-07 08:00:00;45,92;0,15;169,298
7120;2021-01-07 10:00:00;45,79;0,18;173,855
7120;2021-01-07 12:00:00;45,62;0,45;200
7120;2021-01-07 14:00:00;45,67;0,5;200,702
7120;2021-01-07 16:00:00;45,78;0,43;201,113
7120;2021-01-07 18:00:00;45,95;0,09;202,021
7120;2021-01-07 20:00:00;46,21;0,09;203,151
7120;2021-01-07 22:00:00;46,4;0,03;190,282
7120;2021-01-08 00:00:00;46,57;-0,04;191,284
7120;2021-01-08 02:00:00;46,74;0,05;192,013
7120;2021-01-08 04:00:00;46,9;-0,22;192,469
7120;2021-01-08 06:00:00;47,03;-0,28;183,142
