ObjectID;DateTime;P_in;T_in;Qh
10090;2021-01-01 00:00:00;47,83;2,09;3,462
10090;2021-01-01 02:00:00;47,9;2,05;3,354
10090;2021-01-01 04:00:00;47,85;2,04;3,519
10090;2021-01-01 06:00:00;47,91;2,05;3,354
10090;2021-01-01 08:00:00;47,91;1,99;3,299
10090;2021-01-01 10:00:00;47,88;2,01;3,524
10090;2021-01-01 12:00:00;47,89;1,97;3,446
10090;2021-01-01 14:00:00;47,84;1,96;3,522
10090;2021-01-01 16:00:00;48,08;1,99;3,545
10090;2021-01-01 18:00:00;48,2;1,98;3,436
10090;2021-01-01 20:00:00;48,69;1,99;3,422
10090;2021-01-01 22:00:00;48,77;1,93;3,662
10090;2021-01-02 00:00:00;48,82;1,93;3,428
10090;2021-01-02 02:00:00;48,9;1,94;3,259
10090;2021-01-02 04:00:00;48,8;1,9;3,543
10090;2021-01-02 06:00:00;48,85;1,9;3,547
10090;2021-01-02 08:00:00;49,22;1,92;3,46
10090;2021-01-02 10:00:00;49,23;1,88;3,521
10090;2021-01-02 12:00:00;49,18;1,9;3,459
10090;2021-01-02 14:00:00;49,6;1,94;3,55
10090;2021-01-02 16:00:00;50;1,93;3,522
10090;2021-01-02 18:00:00;50,32;1,92;3,55
10090;2021-01-02 20:00:00;50,39;1,9;3,553
10090;2021-01-02 22:00:00;50,11;1,9;3,531
10090;2021-01-03 00:00:00;50,14;1,9;3,473
10090;2021-01-03 02:00:00;50,2;1,87;3,6
10090;2021-01-03 04:00:00;50,36;1,87;3,37
10090;2021-01-03 06:00:00;50,36;1,86;3,431
10090;2021-01-03 08:00:00;50,77;1,86;3,523
10090;2021-01-03 10:00:00;50,85;1,86;3,53
10090;2021-01-03 12:00:00;50,84;1,88;3,501
10090;2021-01-03 14:00:00;50,88;1,94;3,471
10090;2021-01-03 16:00:00;50,84;1,9;3,712
10090;2021-01-03 18:00:00;50,85;1,93;3,529
10090;2021-01-03 20:00:00;50,87;1,9;3,531
10090;2021-01-03 22:00:00;50,89;1,92;3,654
10090;2021-01-04 00:00:00;50,97;1,92;3,537
10090;2021-01-04 02:00:00;51,04;1,93;3,42
10090;2021-01-04 04:00:00;51,06;1,89;3,361
10090;2021-01-04 06:00:00;50,98;1,86;3,54
