ObjectID;DateTime;P_in;T_in;Qh
7170;2021-01-01 00:00:00;43,6;1,76;8,59
7170;2021-01-01 02:00:00;43,67;1,76;8,553
7170;2021-01-01 04:00:00;43,79;1,79;8,476
7170;2021-01-01 06:00:00;43,86;1,81;8,49
7170;2021-01-01 08:00:00;44,03;1,81;8,473
7170;2021-01-01 10:00:00;44,11;1,8;8,751
7170;2021-01-01 12:00:00;44,15;1,81;8,759
7170;2021-01-01 14:00:00;44,42;1,87;8,447
7170;2021-01-01 16:00:00;44,73;1,91;8,932
7170;2021-01-01 18:00:00;44,73;1,91;8,932
7170;2021-01-01 20:00:00;45,09;1,92;8,957
7170;2021-01-01 22:00:00;45,14;1,93;8,594
7170;2021-01-02 00:00:00;45,09;1,9;8,533
7170;2021-01-02 02:00:00;45,06;1,89;8,526
7170;2021-01-02 04:00:00;45,08;1,91;8,104
7170;2021-01-02 06:00:00;45,07;1,9;8,156
7170;2021-01-02 08:00:00;45,05;1,87;8,472
7170;2021-01-02 10:00:00;45,03;1,83;8,896
7170;2021-01-02 12:00:00;45,05;1,84;8,74
7170;2021-01-02 14:00:00;45;1,86;8,41
7170;2021-01-02 16:00:00;44,89;1,84;8,441
7170;2021-01-02 18:00:00;44,89;1,84;8,441
7170;2021-01-02 20:00:00;44,85;1,83;8,699
7170;2021-01-02 22:00:00;45,28;1,88;8,413
7170;2021-01-03 00:00:00;45,56;1,94;7,873
7170;2021-01-03 02:00:00;45,77;1,95;8,021
7170;2021-01-03 04:00:00;46,01;1,98;7,902
7170;2021-01-03 06:00:00;46,18;1,97;7,935
7170;2021-01-03 08:00:00;46,23;1,92;8,439
7170;2021-01-03 10:00:00;46,3;1,89;8,84
7170;2021-01-03 12:00:00;46,41;1,9;8,642
7170;2021-01-03 14:00:00;46,56;1,9;8,617
7170;2021-01-03 16:00:00;46,59;1,9;8,624
7170;2021-01-03 18:00:00;46,59;1,9;8,624
7170;2021-01-03 20:00:00;46,88;1,89;8,683
7170;2021-01-03 22:00:00;47,21;1,94;8,3
7170;2021-01-04 00:00:00;47,32;1,94;8,209
7170;2021-01-04 02:00:00;47,4;1,95;7,997
7170;2021-01-04 04:00:00;47,02;1,84;8,043
7170;2021-01-04 06:00:00;47,02;1,83;7,821
7170;2021-01-04 08:00:00;46,96;1,8;8,144
7170;2021-01-04 10:00:00;46,82;1,77;8,621
7170;2021-01-04 12:00:00;46,74;1,77;8,605
7170;2021-01-04 14:00:00;46,63;1,77;8,25
7170;2021-01-04 16:00:00;46,6;1,75;8,633
7170;2021-01-04 18:00:00;46,6;1,75;8,633
7170;2021-01-04 20:00:00;46,37;1,66;8,921
7170;2021-01-04 22:00:00;46,17;1,63;8,88
7170;2021-01-05 00:00:00;46,05;1,63;8,69
7170;2021-01-05 02:00:00;46,24;1,7;8,398
7170;2021-01-05 04:00:00;46,32;1,71;8,412
7170;2021-01-05 06:00:00;46,49;1,73;8,39
7170;2021-01-05 08:00:00;46,54;1,7;8,788
7170;2021-01-05 10:00:00;46,61;1,72;8,415
7170;2021-01-05 12:00:00;46,68;1,73;8,817
7170;2021-01-05 14:00:00;46,65;1,73;8,421
7170;2021-01-05 16:00:00;46,27;1,64;8,845
