ObjectID;DateTime;P_in;T_in;Qh
7070;2021-01-01 00:00:00;NULL;NULL;0,249
7070;2021-01-01 02:00:00;NULL;NULL;0,245
7070;2021-01-01 04:00:00;NULL;NULL;0,239
7070;2021-01-01 06:00:00;44,5;0;0,243
7070;2021-01-01 08:00:00;NULL;NULL;0,257
7070;2021-01-01 10:00:00;NULL;NULL;0,282
7070;2021-01-01 12:00:00;44,6;1;0,281
7070;2021-01-01 14:00:00;NULL;NULL;0,265
7070;2021-01-01 16:00:00;45,3;1;0,268
7070;2021-01-01 18:00:00;NULL;NULL;0,285
7070;2021-01-01 20:00:00;NULL;NULL;0,286
7070;2021-01-01 22:00:00;NULL;NULL;0,263
7070;2021-01-02 00:00:00;NULL;NULL;0,248
7070;2021-01-02 02:00:00;NULL;NULL;0,248
7070;2021-01-02 04:00:00;NULL;NULL;0,248
7070;2021-01-02 06:00:00;45,5;3;0,253
7070;2021-01-02 08:00:00;NULL;NULL;0,267
7070;2021-01-02 10:00:00;NULL;NULL;0,28
7070;2021-01-02 12:00:00;45,6;3;0,264
7070;2021-01-02 14:00:00;NULL;NULL;0,259
7070;2021-01-02 16:00:00;45,1;2;0,271
7070;2021-01-02 18:00:00;NULL;NULL;0,284
7070;2021-01-02 20:00:00;NULL;NULL;0,269
7070;2021-01-02 22:00:00;NULL;NULL;0,264
7070;2021-01-03 00:00:00;NULL;NULL;0,242
7070;2021-01-03 02:00:00;NULL;NULL;0,237
7070;2021-01-03 04:00:00;NULL;NULL;0,242
7070;2021-01-03 06:00:00;46,5;1;0,247
7070;2021-01-03 08:00:00;NULL;NULL;0,271
7070;2021-01-03 10:00:00;NULL;NULL;0,272
7070;2021-01-03 12:00:00;46,8;2;0,26
7070;2021-01-03 14:00:00;NULL;NULL;0,267
7070;2021-01-03 16:00:00;47;2;0,274
7070;2021-01-03 18:00:00;NULL;NULL;0,297
7070;2021-01-03 20:00:00;NULL;NULL;0,278
7070;2021-01-03 22:00:00;NULL;NULL;0,264
7070;2021-01-04 00:00:00;NULL;NULL;0,232
7070;2021-01-04 02:00:00;NULL;NULL;0,234
7070;2021-01-04 04:00:00;NULL;NULL;0,237
7070;2021-01-04 06:00:00;47,3;2;0,238
7070;2021-01-04 08:00:00;NULL;NULL;0,257
7070;2021-01-04 10:00:00;NULL;NULL;0,269
7070;2021-01-04 12:00:00;47,8;2;0,262
7070;2021-01-04 14:00:00;NULL;NULL;0,253
7070;2021-01-04 16:00:00;47,1;1;0,264
7070;2021-01-04 18:00:00;NULL;NULL;0,279
7070;2021-01-04 20:00:00;NULL;NULL;0,279
7070;2021-01-04 22:00:00;NULL;NULL;0,271
7070;2021-01-05 00:00:00;NULL;NULL;0,244
7070;2021-01-05 02:00:00;NULL;NULL;0,241
7070;2021-01-05 04:00:00;NULL;NULL;0,241
7070;2021-01-05 06:00:00;46,9;1;0,245
7070;2021-01-05 08:00:00;NULL;NULL;0,259
7070;2021-01-05 10:00:00;NULL;NULL;0,272
7070;2021-01-05 12:00:00;47,1;2;0,266
7070;2021-01-05 14:00:00;NULL;NULL;0,253
7070;2021-01-05 16:00:00;46,6;2;0,267
7070;2021-01-05 18:00:00;NULL;NULL;0,285
7070;2021-01-05 20:00:00;NULL;NULL;0,278
7070;2021-01-05 22:00:00;NULL;NULL;0,254
7070;2021-01-06 00:00:00;NULL;NULL;0,235
7070;2021-01-06 02:00:00;NULL;NULL;0,236
7070;2021-01-06 04:00:00;NULL;NULL;0,239
7070;2021-01-06 06:00:00;46,4;2;0,242
7070;2021-01-06 08:00:00;NULL;NULL;0,259
7070;2021-01-06 10:00:00;NULL;NULL;0,257
7070;2021-01-06 12:00:00;46,5;2;0,263
7070;2021-01-06 14:00:00;NULL;NULL;0,255
7070;2021-01-06 16:00:00;46,3;0;0,259
7070;2021-01-06 18:00:00;NULL;NULL;0,294
7070;2021-01-06 20:00:00;NULL;NULL;0,275
7070;2021-01-06 22:00:00;NULL;NULL;0,259
7070;2021-01-07 00:00:00;NULL;NULL;0,244
7070;2021-01-07 02:00:00;NULL;NULL;0,237
7070;2021-01-07 04:00:00;NULL;NULL;0,243
