ObjectID;DateTime;P_in;T_in;Qh
7400;2021-01-01 00:00:00;NULL;NULL;0,13
7400;2021-01-01 02:00:00;NULL;NULL;0,127
7400;2021-01-01 04:00:00;NULL;NULL;0,13
7400;2021-01-01 06:00:00;44,3;1;0,134
7400;2021-01-01 08:00:00;NULL;NULL;0,146
7400;2021-01-01 10:00:00;NULL;NULL;0,146
7400;2021-01-01 12:00:00;44,5;1;0,146
7400;2021-01-01 14:00:00;45,1;1;0,144
7400;2021-01-01 16:00:00;NULL;NULL;0,153
7400;2021-01-01 18:00:00;45,4;1;0,164
7400;2021-01-01 20:00:00;NULL;NULL;0,165
7400;2021-01-01 22:00:00;NULL;NULL;0,156
7400;2021-01-02 00:00:00;NULL;NULL;0,138
7400;2021-01-02 02:00:00;NULL;NULL;0,131
7400;2021-01-02 04:00:00;NULL;NULL;0,13
7400;2021-01-02 06:00:00;45,8;1;0,138
7400;2021-01-02 08:00:00;NULL;NULL;0,143
7400;2021-01-02 10:00:00;NULL;NULL;0,141
7400;2021-01-02 12:00:00;45,8;1;0,151
7400;2021-01-02 14:00:00;45,6;1;0,144
7400;2021-01-02 16:00:00;NULL;NULL;0,159
7400;2021-01-02 18:00:00;44,9;1;0,161
7400;2021-01-02 20:00:00;NULL;NULL;0,152
7400;2021-01-02 22:00:00;NULL;NULL;0,134
7400;2021-01-03 00:00:00;NULL;NULL;0,127
7400;2021-01-03 02:00:00;NULL;NULL;0,124
7400;2021-01-03 04:00:00;NULL;NULL;0,126
7400;2021-01-03 06:00:00;46,2;1;0,144
7400;2021-01-03 08:00:00;NULL;NULL;0,141
7400;2021-01-03 10:00:00;NULL;NULL;0,147
7400;2021-01-03 12:00:00;46,4;1;0,143
7400;2021-01-03 14:00:00;46,5;1;0,136
7400;2021-01-03 16:00:00;NULL;NULL;0,153
7400;2021-01-03 18:00:00;46,7;1;0,159
7400;2021-01-03 20:00:00;NULL;NULL;0,144
7400;2021-01-03 22:00:00;NULL;NULL;0,141
7400;2021-01-04 00:00:00;NULL;NULL;0,129
7400;2021-01-04 02:00:00;NULL;NULL;0,122
7400;2021-01-04 04:00:00;NULL;NULL;0,121
7400;2021-01-04 06:00:00;47,4;1;0,132
7400;2021-01-04 08:00:00;NULL;NULL;0,155
7400;2021-01-04 10:00:00;NULL;NULL;0,137
7400;2021-01-04 12:00:00;47,2;1;0,14
7400;2021-01-04 14:00:00;47;1;0,132
7400;2021-01-04 16:00:00;NULL;NULL;0,148
7400;2021-01-04 18:00:00;46,9;1;0,159
7400;2021-01-04 20:00:00;NULL;NULL;0,148
