ObjectID;DateTime;P_in;T_in;Qh
6020;2021-01-01 06:00:00;44,3;1;11,439
6020;2021-01-01 10:00:00;44,5;1;11,773
6020;2021-01-01 12:00:00;NULL;NULL;11,545
6020;2021-01-01 14:00:00;45,1;1;12,66
6020;2021-01-01 18:00:00;45,4;1;12,872
6020;2021-01-02 06:00:00;45,8;1;10,954
6020;2021-01-02 10:00:00;45,8;1;11,256
6020;2021-01-02 12:00:00;45,8;1;11,546
6020;2021-01-02 14:00:00;45,6;1;10,227
6020;2021-01-02 18:00:00;44,9;1;10,285
6020;2021-01-03 06:00:00;46,2;1;11,82
6020;2021-01-03 10:00:00;46,4;1;11,971
6020;2021-01-03 12:00:00;NULL;NULL;11,635
6020;2021-01-03 14:00:00;46,5;1;12,179
6020;2021-01-03 18:00:00;46,7;1;12,354
6020;2021-01-04 06:00:00;47,4;1;10,896
6020;2021-01-04 10:00:00;47,3;1;10,964
6020;2021-01-04 12:00:00;NULL;NULL;11,508
6020;2021-01-04 14:00:00;47;1;11,707
6020;2021-01-04 18:00:00;46,9;1;11,498
6020;2021-01-05 06:00:00;46,6;1;12,335
6020;2021-01-05 10:00:00;46,7;1;12,65
6020;2021-01-05 12:00:00;NULL;NULL;12,021
6020;2021-01-05 14:00:00;46,5;1;10,66
6020;2021-01-05 18:00:00;46,2;1;11,964
6020;2021-01-06 06:00:00;46,5;1;11,396
6020;2021-01-06 10:00:00;46,5;1;11,603
6020;2021-01-06 12:00:00;46,5;1;12,876
6020;2021-01-06 14:00:00;46,5;1;11,867
6020;2021-01-06 18:00:00;46,3;1;11,921
6020;2021-01-07 06:00:00;45,3;1;12,28
6020;2021-01-07 10:00:00;45,1;1;12,1
6020;2021-01-07 12:00:00;NULL;NULL;13,033
6020;2021-01-07 14:00:00;45,2;1;13,483
6020;2021-01-07 18:00:00;45,5;1;18,065
6020;2021-01-08 06:00:00;47,2;1;13,737
6020;2021-01-08 10:00:00;47,5;1;13,191
6020;2021-01-08 12:00:00;NULL;NULL;15,455
6020;2021-01-08 14:00:00;47,7;1;12,585
6020;2021-01-08 18:00:00;47,7;1;12,959
6020;2021-01-09 06:00:00;47,6;1;12,436
6020;2021-01-09 10:00:00;47,5;1;12,118
6020;2021-01-09 12:00:00;NULL;NULL;12,755
6020;2021-01-09 14:00:00;47,5;1;12,12
6020;2021-01-09 18:00:00;47,4;1;12,6
6020;2021-01-10 06:00:00;48;1;11,775
6020;2021-01-10 10:00:00;48,2;1;11,929
6020;2021-01-10 12:00:00;NULL;NULL;11,919
6020;2021-01-10 14:00:00;48,2;1;11,071
6020;2021-01-10 18:00:00;47,9;1;10,994
6020;2021-01-11 06:00:00;47,9;1;11,94
6020;2021-01-11 10:00:00;47,9;1;11,121
6020;2021-01-11 12:00:00;NULL;NULL;12,735
6020;2021-01-11 14:00:00;47,6;1;9,616
6020;2021-01-11 18:00:00;45,8;1;11,956
6020;2021-01-12 06:00:00;43,9;1;14,78
6020;2021-01-12 10:00:00;43,8;1;12,198
6020;2021-01-12 12:00:00;NULL;NULL;12,285
6020;2021-01-12 14:00:00;43,6;0;12,167
6020;2021-01-12 18:00:00;43,3;0;12,411
6020;2021-01-13 06:00:00;41,8;0;15,605
6020;2021-01-13 10:00:00;41,7;0;16,136
6020;2021-01-13 12:00:00;NULL;NULL;14,438
6020;2021-01-13 14:00:00;41,4;0;16,52
6020;2021-01-13 18:00:00;41,4;0;13,963
6020;2021-01-14 06:00:00;41,1;0;13,05
6020;2021-01-14 10:00:00;41,2;0;13,581
6020;2021-01-14 12:00:00;NULL;NULL;13,319
6020;2021-01-14 14:00:00;41,1;0;12,963
6020;2021-01-14 18:00:00;41,1;0;13,431
6020;2021-01-15 06:00:00;40,3;0;14,98
6020;2021-01-15 10:00:00;40,3;0;16,712
6020;2021-01-15 12:00:00;NULL;NULL;14,908
6020;2021-01-15 14:00:00;40,4;0;13,737
6020;2021-01-15 18:00:00;40,8;0;16,986
6020;2021-01-16 06:00:00;41,8;0;13,713
6020;2021-01-16 10:00:00;42,1;0;12,962
6020;2021-01-16 12:00:00;NULL;NULL;15,015
6020;2021-01-16 14:00:00;42,3;0;12,318
6020;2021-01-16 18:00:00;42,5;0;12,322
6020;2021-01-17 06:00:00;44,5;0;14,315
6020;2021-01-17 10:00:00;44,8;0;12,176
6020;2021-01-17 12:00:00;NULL;NULL;14,506
6020;2021-01-17 14:00:00;45,1;0;12,8
6020;2021-01-17 18:00:00;45,2;0;13,11
6020;2021-01-18 06:00:00;45,4;0;11,678
6020;2021-01-18 10:00:00;45,3;0;12,076
6020;2021-01-18 12:00:00;NULL;NULL;11,908
6020;2021-01-18 14:00:00;44,6;0;7,323
6020;2021-01-18 18:00:00;43,3;0;11,83
6020;2021-01-19 06:00:00;42,5;0;12,27
6020;2021-01-19 10:00:00;42,8;0;13,16
6020;2021-01-19 12:00:00;NULL;NULL;12,991
6020;2021-01-19 14:00:00;43;0;14,408
6020;2021-01-19 18:00:00;43,1;0;11,637
6020;2021-01-20 06:00:00;43,2;0;15,001
6020;2021-01-20 10:00:00;43,2;0;15,658
6020;2021-01-20 12:00:00;NULL;NULL;14,63
6020;2021-01-20 14:00:00;43,2;0;14,332
6020;2021-01-20 18:00:00;43,2;0;13,448
6020;2021-01-21 06:00:00;42,7;0;16,337
6020;2021-01-21 10:00:00;42,9;0;12,798
6020;2021-01-21 12:00:00;NULL;NULL;15,32
6020;2021-01-21 14:00:00;42,5;0;12,139
6020;2021-01-21 18:00:00;42;0;12,26
6020;2021-01-22 06:00:00;40,9;0;12,645
6020;2021-01-22 10:00:00;41,5;0;13,533
6020;2021-01-22 12:00:00;NULL;NULL;13,737
6020;2021-01-22 14:00:00;42;0;12,551
6020;2021-01-22 18:00:00;41,4;0;12,727
6020;2021-01-23 06:00:00;44,2;0;12,7
6020;2021-01-23 10:00:00;44,2;0;16,71
6020;2021-01-23 12:00:00;NULL;NULL;13,691
6020;2021-01-23 14:00:00;44,1;0;13,463
6020;2021-01-23 18:00:00;44,3;0;13,466
6020;2021-01-24 06:00:00;44,8;0;16,241
6020;2021-01-24 10:00:00;45;0;13,206
6020;2021-01-24 12:00:00;NULL;NULL;15,052
6020;2021-01-24 14:00:00;45;0;11,419
6020;2021-01-24 18:00:00;44,4;0;12,296
6020;2021-01-25 06:00:00;44,7;0;15,868
6020;2021-01-25 10:00:00;45,2;0;9,554
6020;2021-01-25 12:00:00;NULL;NULL;14,169
6020;2021-01-25 14:00:00;45;0;11,58
6020;2021-01-25 18:00:00;45,2;0;17,121
6020;2021-01-26 06:00:00;47,6;0;11,918
6020;2021-01-26 10:00:00;48,1;0;12,315
6020;2021-01-26 12:00:00;NULL;NULL;14,293
6020;2021-01-26 14:00:00;48,3;0;11,396
6020;2021-01-26 18:00:00;48,5;0;11,075
6020;2021-01-27 06:00:00;48,4;0;10,27
6020;2021-01-27 10:00:00;48,4;0;11,159
6020;2021-01-27 12:00:00;NULL;NULL;10,88
6020;2021-01-27 14:00:00;48,5;0;10,793
6020;2021-01-27 18:00:00;48,6;0;11,728
6020;2021-01-28 06:00:00;49;0;10,535
6020;2021-01-28 10:00:00;48,9;0;10,883
6020;2021-01-28 12:00:00;NULL;NULL;12,377
6020;2021-01-28 14:00:00;47,4;0;13,425
6020;2021-01-28 18:00:00;47,3;0;14,987
6020;2021-01-29 06:00:00;47,2;0;13,796
6020;2021-01-29 10:00:00;47,4;0;11,31
6020;2021-01-29 12:00:00;NULL;NULL;13,146
6020;2021-01-29 14:00:00;47,8;0;11,221
6020;2021-01-29 18:00:00;47,8;0;11,87
6020;2021-01-30 06:00:00;48,2;0;10,627
6020;2021-01-30 10:00:00;48,2;0;10,718
6020;2021-01-30 12:00:00;NULL;NULL;12,429
6020;2021-01-30 14:00:00;48,2;0;10,824
6020;2021-01-30 18:00:00;48,2;0;12,351
6020;2021-01-31 06:00:00;48;0;11,73
6020;2021-01-31 10:00:00;48;0;10,82
6020;2021-01-31 12:00:00;NULL;NULL;12,534
6020;2021-01-31 14:00:00;47,9;0;10,014
6020;2021-01-31 18:00:00;47,8;0;11,178
6020;2021-02-01 06:00:00;48,4;0;10,693
6020;2021-02-01 10:00:00;48,4;0;10,699
6020;2021-02-01 12:00:00;NULL;NULL;10,535
6020;2021-02-01 14:00:00;48,4;0;10,186
6020;2021-02-01 18:00:00;48,4;0;11,6
6020;2021-02-02 06:00:00;48,2;0;10,759
6020;2021-02-02 10:00:00;48;0;10,586
6020;2021-02-02 12:00:00;NULL;NULL;12,044
6020;2021-02-02 14:00:00;48,2;0;10,51
6020;2021-02-02 18:00:00;48,3;0;11,124
6020;2021-02-03 06:00:00;49;0;11,785
6020;2021-02-03 10:00:00;49,2;0;10,397
6020;2021-02-03 12:00:00;NULL;NULL;11,857
6020;2021-02-03 14:00:00;49,2;0;9,383
6020;2021-02-03 18:00:00;49,2;0;10,744
6020;2021-02-04 06:00:00;49;0;12,14
6020;2021-02-04 10:00:00;49;0;10,28
6020;2021-02-04 12:00:00;NULL;NULL;11,587
6020;2021-02-04 14:00:00;48,4;0;11,49
6020;2021-02-04 18:00:00;48,3;0;9,646
6020;2021-02-05 06:00:00;48,2;0;8,706
6020;2021-02-05 10:00:00;48,2;0;9,099
6020;2021-02-05 12:00:00;NULL;NULL;9,383
6020;2021-02-05 14:00:00;48,1;0;8,706
6020;2021-02-05 18:00:00;48;0;9,145
6020;2021-02-06 06:00:00;47,8;0;12,025
6020;2021-02-06 10:00:00;47,8;0;12,192
6020;2021-02-06 12:00:00;NULL;NULL;10,652
6020;2021-02-06 14:00:00;48;0;9,92
6020;2021-02-06 18:00:00;47,9;0;10,26
6020;2021-02-07 06:00:00;48,1;0;10,675
6020;2021-02-07 10:00:00;47,9;0;10,818
6020;2021-02-07 12:00:00;NULL;NULL;11,263
6020;2021-02-07 14:00:00;46,3;0;3,335
6020;2021-02-07 18:00:00;44,4;0;10,703
6020;2021-02-08 06:00:00;42,9;0;14,11
6020;2021-02-08 10:00:00;44,3;0;11,859
6020;2021-02-08 12:00:00;NULL;NULL;12,313
6020;2021-02-08 14:00:00;44,2;0;11,981
6020;2021-02-08 18:00:00;44,2;0;13,44
6020;2021-02-09 06:00:00;44,7;0;13,425
6020;2021-02-09 10:00:00;44,7;0;14,071
6020;2021-02-09 12:00:00;NULL;NULL;13,059
6020;2021-02-09 14:00:00;44,6;0;12,308
6020;2021-02-09 18:00:00;43,6;0;12,477
