ObjectID;DateTime;P_in;T_in;Qh
7350;2021-01-01 00:00:00;44,71;5,46;5,599
7350;2021-01-01 02:00:00;44,78;5,45;5,504
7350;2021-01-01 04:00:00;44,94;5,45;5,471
7350;2021-01-01 06:00:00;45,06;5,43;5,489
7350;2021-01-01 08:00:00;45,18;5,4;5,713
7350;2021-01-01 10:00:00;45,28;5,39;5,887
7350;2021-01-01 12:00:00;44,8;5,37;5,946
7350;2021-01-01 14:00:00;45,82;5,39;5,852
7350;2021-01-01 16:00:00;46,07;5,37;5,942
7350;2021-01-01 18:00:00;45,7;5,37;6,074
7350;2021-01-01 20:00:00;46,31;5,35;6,039
7350;2021-01-01 22:00:00;46,25;5,36;5,87
7350;2021-01-02 00:00:00;46,21;5,35;5,704
7350;2021-01-02 02:00:00;46,15;5,36;5,479
7350;2021-01-02 04:00:00;46,13;5,36;5,476
7350;2021-01-02 06:00:00;45,6;5,38;5,528
7350;2021-01-02 08:00:00;46,13;5,37;5,743
7350;2021-01-02 10:00:00;46,15;5,39;5,852
7350;2021-01-02 12:00:00;45,6;5,36;5,853
7350;2021-01-02 14:00:00;45,91;5,34;5,778
7350;2021-01-02 16:00:00;45,55;5,3;5,945
7350;2021-01-02 18:00:00;45,17;5,26;5,996
7350;2021-01-02 20:00:00;45,7;5,31;5,922
7350;2021-01-02 22:00:00;46,1;5,27;5,734
7350;2021-01-03 00:00:00;46,33;5,31;5,497
7350;2021-01-03 02:00:00;46,61;5,35;5,42
7350;2021-01-03 04:00:00;46,81;5,34;5,45
7350;2021-01-03 06:00:00;46,97;5,31;5,527
7350;2021-01-03 08:00:00;47,04;5,29;5,757
7350;2021-01-03 10:00:00;47,15;5,29;5,937
7350;2021-01-03 12:00:00;47,2;5,25;5,893
7350;2021-01-03 14:00:00;47,38;5,27;5,801
7350;2021-01-03 16:00:00;47,35;5,22;5,973
7350;2021-01-03 18:00:00;47,48;5,19;6,093
7350;2021-01-03 20:00:00;47,73;5,23;6,008
7350;2021-01-03 22:00:00;47,98;5,2;5,717
7350;2021-01-04 00:00:00;48,08;5,18;5,508
7350;2021-01-04 02:00:00;48,11;5,14;5,404
7350;2021-01-04 04:00:00;47,71;5,12;5,417
7350;2021-01-04 06:00:00;47,2;5,13;5,578
7350;2021-01-04 08:00:00;47,64;5,12;5,737
7350;2021-01-04 10:00:00;47,57;5,14;5,84
7350;2021-01-04 12:00:00;46,9;5,14;5,763
7350;2021-01-04 14:00:00;47,38;5,19;5,644
7350;2021-01-04 16:00:00;47,38;5,15;5,868
7350;2021-01-04 18:00:00;46,7;5,11;6,185
7350;2021-01-04 20:00:00;47,01;5,07;6,099
7350;2021-01-04 22:00:00;46,83;4,99;5,964
7350;2021-01-05 00:00:00;46,78;5,02;5,791
7350;2021-01-05 02:00:00;47,05;5,03;5,545
7350;2021-01-05 04:00:00;47,19;5,04;5,564
7350;2021-01-05 06:00:00;47,29;5,03;5,578
7350;2021-01-05 08:00:00;47,36;5;5,866
7350;2021-01-05 10:00:00;47,46;5;5,932
7350;2021-01-05 12:00:00;46,9;4,99;5,783
7350;2021-01-05 14:00:00;47,19;4,95;5,744
7350;2021-01-05 16:00:00;46,96;4,94;5,988
7350;2021-01-05 18:00:00;46,3;4,91;6,125
7350;2021-01-05 20:00:00;46,59;4,91;6,041
7350;2021-01-05 22:00:00;46,73;4,93;5,781
7350;2021-01-06 00:00:00;46,75;4,91;5,569
7350;2021-01-06 02:00:00;46,78;4,96;5,407
7350;2021-01-06 04:00:00;46,81;4,9;5,468
7350;2021-01-06 06:00:00;46,3;4,91;5,526
7350;2021-01-06 08:00:00;46,87;4,91;5,749
7350;2021-01-06 10:00:00;46,87;4,89;5,805
7350;2021-01-06 12:00:00;46,3;4,91;5,695
7350;2021-01-06 14:00:00;46,82;4,91;5,69
7350;2021-01-06 16:00:00;46,71;4,87;5,951
7350;2021-01-06 18:00:00;46,1;4,84;6,156
7350;2021-01-06 20:00:00;46,47;4,81;6,082
7350;2021-01-06 22:00:00;46,46;4,81;5,806
7350;2021-01-07 00:00:00;46,41;4,79;5,639
7350;2021-01-07 02:00:00;46,34;4,79;5,467
7350;2021-01-07 04:00:00;46,23;4,78;5,51
7350;2021-01-07 06:00:00;45,5;4,76;5,597
7350;2021-01-07 08:00:00;45,94;4,73;5,848
7350;2021-01-07 10:00:00;45,82;4,73;6,097
7350;2021-01-07 12:00:00;45,75;4,78;5,858
7350;2021-01-07 14:00:00;46;4,77;5,682
7350;2021-01-07 16:00:00;46,19;4,72;5,981
7350;2021-01-07 18:00:00;46,5;4,72;6,292
7350;2021-01-07 20:00:00;46,66;4,71;6,265
7350;2021-01-07 22:00:00;46,87;4,7;6,132
7350;2021-01-08 00:00:00;47,1;4,72;5,888
7350;2021-01-08 02:00:00;47,29;4,71;5,806
7350;2021-01-08 04:00:00;47,47;4,72;5,775
7350;2021-01-08 06:00:00;47,1;4,72;5,908
7350;2021-01-08 08:00:00;47,74;4,7;6,149
7350;2021-01-08 12:00:00;47,4;4,75;6,182
7350;2021-01-08 14:00:00;47,5;4,73;6,076
7350;2021-01-08 16:00:00;48,03;4,71;6,192
7350;2021-01-08 18:00:00;47,5;4,74;6,363
7350;2021-01-08 20:00:00;48,06;4,76;6,252
7350;2021-01-08 22:00:00;48,06;4,71;6,029
7350;2021-01-09 00:00:00;48,12;4,73;5,809
7350;2021-01-09 02:00:00;48,14;4,73;5,699
7350;2021-01-09 04:00:00;48,17;4,75;5,589
7350;2021-01-09 06:00:00;48,22;4,74;5,539
7350;2021-01-09 12:00:00;47,7;4,68;6,155
7350;2021-01-09 14:00:00;47,6;4,7;6,26
7350;2021-01-09 16:00:00;48,08;4,71;6,37
7350;2021-01-09 18:00:00;47,6;4,74;6,317
7350;2021-01-09 20:00:00;48,06;4,76;6,03
7350;2021-01-09 22:00:00;48,1;4,79;5,696
7350;2021-01-10 00:00:00;47,99;4,82;5,457
7350;2021-01-10 02:00:00;48,07;4,85;5,288
7350;2021-01-10 04:00:00;48,26;4,82;5,254
7350;2021-01-10 06:00:00;47,8;4,82;5,33
7350;2021-01-10 08:00:00;48,49;4,78;5,456
7350;2021-01-10 10:00:00;48,58;4,76;5,526
7350;2021-01-10 12:00:00;48,1;4,76;5,535
7350;2021-01-10 14:00:00;48;4,78;5,475
7350;2021-01-10 16:00:00;48,4;4,78;5,626
7350;2021-01-10 18:00:00;47,7;4,8;5,718
7350;2021-01-10 20:00:00;48,15;4,81;5,589
7350;2021-01-10 22:00:00;48,08;4,83;5,296
7350;2021-01-11 00:00:00;48,06;4,85;5,067
7350;2021-01-11 02:00:00;48,31;4,88;4,975
7350;2021-01-11 04:00:00;48,51;4,89;5
7350;2021-01-11 06:00:00;48;4,89;5,015
7350;2021-01-11 08:00:00;48,67;4,85;5,137
7350;2021-01-11 10:00:00;48,67;4,85;5,196
7350;2021-01-11 12:00:00;48,46;4,8;5,243
7350;2021-01-11 14:00:00;48,05;4,77;5,303
7350;2021-01-11 16:00:00;47,36;4,68;5,468
7350;2021-01-11 18:00:00;46,5;4,64;5,95
7350;2021-01-11 20:00:00;45,81;4,62;5,96
7350;2021-01-11 22:00:00;44,99;4,6;5,747
7350;2021-01-12 00:00:00;44,69;4,59;5,577
7350;2021-01-12 02:00:00;44,54;4,61;5,502
7350;2021-01-12 04:00:00;44,39;4,62;5,534
7350;2021-01-12 06:00:00;43,8;4,62;5,676
7350;2021-01-12 08:00:00;44,22;4,6;5,818
7350;2021-01-12 10:00:00;44,1;4,63;5,904
7350;2021-01-12 12:00:00;43,6;4,64;5,836
7350;2021-01-12 14:00:00;43,4;4,64;5,774
7350;2021-01-12 16:00:00;43,84;4,63;5,967
7350;2021-01-12 18:00:00;43,2;4,6;6,298
7350;2021-01-12 20:00:00;43,39;4,57;6,362
7350;2021-01-12 22:00:00;43,19;4,58;6,078
7350;2021-01-13 00:00:00;43,03;4,55;5,902
7350;2021-01-13 02:00:00;42,9;4,56;5,881
7350;2021-01-13 04:00:00;42,77;4,56;5,813
7350;2021-01-13 06:00:00;42,64;4,51;6,093
7350;2021-01-13 08:00:00;42,5;4,48;6,368
7350;2021-01-13 10:00:00;42,37;4,5;6,494
7350;2021-01-13 12:00:00;41,9;4,51;6,329
7350;2021-01-13 14:00:00;41,7;4,54;6,167
7350;2021-01-13 16:00:00;42,08;4,5;6,494
7350;2021-01-13 18:00:00;41,5;4,47;6,911
7350;2021-01-13 20:00:00;41,81;4,43;6,794
7350;2021-01-13 22:00:00;41,62;4,41;6,663
7350;2021-01-14 00:00:00;41,55;4,41;6,503
7350;2021-01-14 02:00:00;41,49;4,41;6,444
7350;2021-01-14 04:00:00;41,44;4,4;6,484
7350;2021-01-14 06:00:00;41;4,38;6,666
7350;2021-01-14 08:00:00;41,38;4,38;6,855
7350;2021-01-14 10:00:00;41,42;4,42;6,908
7350;2021-01-14 12:00:00;41;4,43;6,812
7350;2021-01-14 14:00:00;41;4,43;6,665
7350;2021-01-14 16:00:00;41,37;4,4;6,807
7350;2021-01-14 18:00:00;40,9;4,38;7,084
7350;2021-01-14 20:00:00;41,24;4,36;7,025
7350;2021-01-14 22:00:00;41,18;4,35;6,823
7350;2021-01-15 00:00:00;41,14;4,37;6,528
7350;2021-01-15 02:00:00;41,12;4,38;6,431
7350;2021-01-15 04:00:00;41,07;4,37;6,377
7350;2021-01-15 06:00:00;40,7;4,39;6,51
7350;2021-01-15 08:00:00;41,11;4,32;6,521
7350;2021-01-15 10:00:00;41,16;4,35;6,386
7350;2021-01-15 12:00:00;41,17;4,4;6,345
7350;2021-01-15 14:00:00;41,08;4,37;6,235
7350;2021-01-15 16:00:00;41,81;4,48;6,307
7350;2021-01-15 18:00:00;41,75;4,5;6,527
7350;2021-01-15 20:00:00;41,8;4,48;6,344
7350;2021-01-15 22:00:00;41,89;4,52;6,064
7350;2021-01-16 00:00:00;41,97;4,52;5,833
7350;2021-01-16 02:00:00;42,06;4,55;5,652
7350;2021-01-16 04:00:00;42,15;4,54;5,664
